Kitchener, (26060) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Kitchener (26060)
Address,West Ave./Homewood Ave.
Latitude,43.443833
Longitude,-80.503806
Elevation, 325 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
26060,Fine Particulate Matter,2024-01-01,10,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,4,3,2,3,3,4,
26060,Fine Particulate Matter,2024-01-02,4,5,5,5,5,7,8,7,8,10,10,6,7,9,12,14,10,7,8,11,11,9,10,10,
26060,Fine Particulate Matter,2024-01-03,10,10,10,10,10,10,11,11,11,11,11,11,9,10,7,4,4,4,5,6,6,4,2,1,
26060,Fine Particulate Matter,2024-01-04,1,1,3,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,
26060,Fine Particulate Matter,2024-01-05,3,4,5,5,5,5,6,6,7,8,8,7,9,10,10,10,11,11,12,12,13,14,16,17,
26060,Fine Particulate Matter,2024-01-06,18,18,18,18,17,17,17,17,17,17,14,13,10,9,10,10,10,10,12,12,10,8,9,8,
26060,Fine Particulate Matter,2024-01-07,7,7,6,6,6,6,6,6,6,7,8,9,11,14,17,18,15,15,15,16,17,15,11,7,
26060,Fine Particulate Matter,2024-01-08,5,5,5,8,11,11,8,8,9,11,11,11,11,12,13,14,14,14,15,16,16,18,16,16,
26060,Fine Particulate Matter,2024-01-09,14,15,12,9,7,7,7,8,9,9,6,3,3,2,2,3,3,3,3,3,2,2,3,3,
26060,Fine Particulate Matter,2024-01-10,3,2,3,3,3,3,3,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,
26060,Fine Particulate Matter,2024-01-11,4,4,4,5,8,9,9,9,10,9,7,6,5,11,8,6,7,9,8,7,6,6,6,5,
26060,Fine Particulate Matter,2024-01-12,6,6,6,7,7,8,9,10,10,8,6,8,8,6,6,6,7,7,5,3,1,1,2,3,
26060,Fine Particulate Matter,2024-01-13,3,3,2,2,2,3,5,9,6,4,5,5,5,5,3,2,2,2,2,2,2,2,1,2,
26060,Fine Particulate Matter,2024-01-14,1,2,4,10,9,8,7,7,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,7,
26060,Fine Particulate Matter,2024-01-15,7,7,6,6,7,7,7,7,7,7,7,6,6,6,6,4,5,5,5,5,6,6,6,7,
26060,Fine Particulate Matter,2024-01-16,7,7,7,7,7,8,8,10,10,8,9999,8,8,9,9,9,14,15,13,13,13,12,10,9,
