Date,Station ID,Latitude,Longitude,CO_subAQI,NO2_subAQI,O3_subAQI,PM2.5_subAQI,SO2_subAQI,AQI
2022-04-26,12008,42.315778,-83.043667,1.0,14.0,28.0,21.0,0.0,28.0
2022-04-26,12016,42.292889,-83.073139,,11.0,27.0,23.0,7.0,27.0
2022-04-26,13001,42.403694,-82.208306,,5.0,27.0,10.0,,27.0
2022-04-26,14111,42.990263,-82.395341,,10.0,28.0,7.0,0.0,28.0
2022-04-26,15020,43.333084,-81.74289,,1.0,29.0,14.0,,29.0
2022-04-26,15026,42.974485,-81.200813,,5.0,27.0,14.0,,27.0
2022-04-26,16015,42.672127,-81.162948,,3.0,25.0,13.0,,25.0
2022-04-26,18007,44.314472,-81.549722,,,27.0,8.0,,27.0
2022-04-26,21005,43.138611,-80.292639,,4.0,28.0,23.0,,28.0
2022-04-26,26060,43.443833,-80.503806,,5.0,27.0,7.0,,27.0
2022-04-26,27067,43.160056,-79.23475,,7.0,28.0,28.0,,28.0
2022-04-26,28028,43.551611,-80.264167,,4.0,29.0,17.0,,29.0
2022-04-26,29000,43.25778,-79.861664,1.0,5.0,26.0,23.0,0.0,26.0
2022-04-26,29118,43.257444,-79.90775,,6.0,26.0,21.0,,26.0
2022-04-26,29214,43.241324,-79.889328,,3.0,27.0,42.0,0.0,42.0
2022-04-26,31129,43.645451,-79.3891,,20.0,22.0,32.0,,32.0
2022-04-26,33003,43.747917,-79.274056,,12.0,22.0,19.0,,22.0
2022-04-26,34021,43.78047,-79.467372,,18.0,23.0,26.0,0.0,26.0
2022-04-26,35125,43.709444,-79.5435,2.0,28.0,19.0,30.0,0.0,30.0
2022-04-26,44008,43.314603,-79.80277,,10.0,22.0,17.0,,22.0
2022-04-26,44017,43.486917,-79.702278,,5.0,28.0,16.0,,28.0
2022-04-26,44029,43.52965,-79.862449,,8.0,26.0,22.0,1.0,26.0
2022-04-26,45027,43.952248,-78.91252,,5.0,27.0,24.0,,27.0
2022-04-26,46090,43.669911,-79.766589,,4.0,26.0,16.0,,26.0
2022-04-26,46108,43.546174,-79.658797,,7.0,27.0,13.0,,27.0
2022-04-26,47045,44.382338,-79.702446,,6.0,24.0,11.0,,24.0
2022-04-26,48006,44.044306,-79.48325,,3.0,27.0,7.0,,27.0
2022-04-26,49005,45.338261,-80.039269,,1.0,29.0,18.0,,29.0
2022-04-26,49010,45.224278,-78.932944,,,28.0,11.0,,28.0
2022-04-26,51001,45.434333,-75.676,,11.0,30.0,23.0,0.0,30.0
2022-04-26,52023,44.219953,-76.521143,,3.0,31.0,21.0,,31.0
2022-04-26,54012,44.150528,-77.3955,,6.0,31.0,17.0,,31.0
2022-04-26,56051,45.017976,-74.735339,,5.0,32.0,17.0,,32.0
2022-04-26,59006,44.301918,-78.34622,,2.0,28.0,11.0,,28.0
2022-04-26,63203,48.379389,-89.290167,,11.0,39.0,12.0,,39.0
2022-04-26,71078,46.533194,-84.309917,,3.0,29.0,14.0,0.0,29.0
2022-04-26,75010,46.3225,-79.44945,,3.0,24.0,12.0,,24.0
2022-04-26,77233,46.492002,-81.003099,,3.0,20.0,11.0,0.0,20.0
2022-04-27,12008,42.315778,-83.043667,2.0,9.0,30.0,23.0,0.0,30.0
2022-04-27,12016,42.292889,-83.073139,,13.0,29.0,16.0,0.0,29.0
2022-04-27,13001,42.403694,-82.208306,,4.0,30.0,14.0,,30.0
2022-04-27,14111,42.990263,-82.395341,,3.0,31.0,9.0,0.0,31.0
2022-04-27,15020,43.333084,-81.74289,,0.0,31.0,11.0,,31.0
2022-04-27,15026,42.974485,-81.200813,,4.0,29.0,10.0,,29.0
2022-04-27,16015,42.672127,-81.162948,,0.0,28.0,8.0,,28.0
2022-04-27,18007,44.314472,-81.549722,,,35.0,6.0,,35.0
2022-04-27,21005,43.138611,-80.292639,,4.0,28.0,9.0,,28.0
