Windsor Downtown, (12008) Hourly, Carbon monoxide (CO) Concentrations
Station,Windsor Downtown (12008)
Address,467 University Ave. W.
Latitude,42.315778
Longitude,-83.043667
Elevation, 176 metres
Air intake height,4 metres
Pollutant,Carbon Monoxide (carbon monoxide CO)
Unit, parts per million (ppm)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12008,Carbon Monoxide,2020-01-01,9999,0.36,0.24,0.22,0.3,0.16,0.15,0.19,0.22,0.2,0.21,0.27,0.28,0.19,0.2,0.15,0.14,0.15,0.21,0.19,0.18,0.17,0.17,0.18,
12008,Carbon Monoxide,2020-01-02,9999,0.15,0.15,0.14,0.14,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.18,0.2,0.21,0.21,0.25,0.21,0.2,0.2,0.2,0.23,0.22,0.2,
12008,Carbon Monoxide,2020-01-03,9999,0.23,0.24,0.2,0.23,0.4,0.26,0.31,0.31,0.32,0.26,0.25,0.24,0.27,0.25,0.27,0.32,0.3,0.25,0.27,0.22,0.22,0.21,0.2,
12008,Carbon Monoxide,2020-01-04,9999,0.17,0.16,0.17,0.19,0.2,0.22,0.19,0.18,0.2,0.2,0.2,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,
12008,Carbon Monoxide,2020-01-05,9999,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.18,0.38,0.2,0.18,0.16,0.14,0.16,0.15,0.15,0.15,0.16,0.16,0.26,0.17,0.15,0.12,
12008,Carbon Monoxide,2020-01-06,9999,0.14,0.13,9999,0.11,0.12,0.15,0.18,0.23,0.21,0.2,0.2,0.2,0.15,0.14,0.19,0.16,0.17,0.17,0.19,0.21,0.26,0.36,0.44,
12008,Carbon Monoxide,2020-01-07,9999,0.74,0.47,0.53,0.21,0.22,0.24,0.31,0.41,0.32,0.51,0.29,0.3,0.41,0.18,0.24,0.17,0.15,0.16,0.18,0.25,0.22,0.37,0.25,
12008,Carbon Monoxide,2020-01-08,9999,0.13,0.15,0.15,0.16,0.17,0.17,0.16,0.19,0.17,0.18,0.14,0.14,0.14,0.15,0.17,0.16,0.2,0.21,0.21,0.2,0.23,0.2,0.24,
12008,Carbon Monoxide,2020-01-09,9999,0.16,0.15,0.17,0.14,0.17,0.18,0.22,0.23,0.2,0.19,0.17,0.18,0.19,0.21,0.22,0.24,0.22,0.18,0.2,0.17,0.17,0.15,0.15,
12008,Carbon Monoxide,2020-01-10,9999,0.14,0.14,0.15,0.17,0.17,0.18,0.2,0.21,0.19,0.21,0.25,0.25,0.22,0.23,0.29,0.3,0.29,0.26,0.25,0.23,0.21,0.25,0.22,
12008,Carbon Monoxide,2020-01-11,9999,0.16,0.14,0.15,0.12,0.15,0.14,0.25,0.25,0.32,0.21,0.18,0.17,0.18,0.2,0.21,0.21,0.19,0.17,0.17,0.17,0.18,0.17,0.17,
12008,Carbon Monoxide,2020-01-12,9999,0.17,0.17,0.16,0.17,0.18,0.17,0.16,0.15,0.16,0.19,0.2,0.28,0.28,0.3,0.33,0.28,0.19,0.19,0.18,0.2,0.2,0.18,0.18,
12008,Carbon Monoxide,2020-01-13,9999,0.14,0.14,9999,0.14,0.2,0.22,0.3,0.29,0.25,0.42,0.43,0.24,0.22,0.23,0.24,0.24,0.24,0.3,0.3,0.31,0.29,0.21,0.18,
12008,Carbon Monoxide,2020-01-14,9999,0.15,0.18,0.18,0.21,0.2,0.24,0.26,0.25,0.25,0.22,0.25,0.26,0.22,0.23,0.23,0.24,0.25,0.2,0.24,0.2,0.22,0.23,0.26,
12008,Carbon Monoxide,2020-01-15,9999,0.19,0.21,0.2,0.21,0.25,0.3,0.55,0.63,0.51,0.23,0.2,0.18,0.18,0.21,0.21,0.24,0.24,0.22,0.24,0.26,0.34,0.29,0.22,
12008,Carbon Monoxide,2020-01-16,9999,0.15,0.14,0.15,0.16,0.17,0.17,0.18,0.18,0.2,0.22,0.2,0.2,0.18,0.19,0.21,0.2,0.23,0.22,0.2,0.18,0.16,0.17,0.16,
12008,Carbon Monoxide,2020-01-17,9999,0.15,0.15,0.14,0.12,0.15,0.15,0.19,0.28,0.24,0.23,0.2,0.17,0.16,0.21,0.18,0.2,0.18,0.15,0.13,0.14,0.15,0.14,0.15,
12008,Carbon Monoxide,2020-01-18,9999,0.17,0.14,0.17,0.17,0.17,0.18,0.2,0.2,0.18,0.19,0.18,0.18,0.19,0.22,0.19,0.29,0.2,0.19,0.2,0.21,0.22,0.21,0.22,
12008,Carbon Monoxide,2020-01-19,9999,0.26,0.18,0.18,0.21,0.21,0.18,0.19,0.18,0.18,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.23,0.23,0.26,0.34,0.33,
12008,Carbon Monoxide,2020-01-20,9999,0.3,0.26,9999,0.24,0.23,0.26,0.32,0.35,0.31,0.31,0.28,0.23,0.2,0.18,0.18,0.19,0.21,0.23,0.22,0.24,0.22,0.25,0.23,
12008,Carbon Monoxide,2020-01-21,9999,0.23,0.28,0.29,0.23,0.18,0.17,0.14,0.22,0.18,0.18,0.18,0.19,0.25,0.27,0.25,0.25,0.18,0.2,0.23,0.36,0.46,0.27,0.22,
12008,Carbon Monoxide,2020-01-22,9999,0.18,0.2,0.16,0.19,0.18,0.18,0.21,0.21,0.23,0.22,0.24,0.21,0.21,0.22,0.23,0.24,0.25,0.21,0.2,0.28,0.28,0.26,0.23,
12008,Carbon Monoxide,2020-01-23,9999,0.21,0.22,0.22,0.21,0.26,0.25,0.32,0.37,0.32,0.25,0.22,0.21,0.24,0.27,0.27,0.3,0.27,0.31,0.35,0.36,0.35,0.35,0.31,
12008,Carbon Monoxide,2020-01-24,9999,0.38,0.34,0.34,0.3,0.27,0.26,0.28,0.32,0.32,0.33,0.31,0.29,0.29,0.3,0.3,0.3,0.3,0.26,0.25,0.26,0.23,0.26,0.23,
12008,Carbon Monoxide,2020-01-25,9999,0.19,0.19,0.19,0.2,0.22,0.21,0.24,0.24,0.25,0.25,0.28,0.24,0.24,0.26,0.26,0.26,0.28,0.34,0.3,0.39,0.5,0.45,0.4,
12008,Carbon Monoxide,2020-01-26,9999,0.26,0.25,0.38,0.24,0.23,0.26,0.27,0.39,0.32,0.44,0.29,0.42,0.46,0.26,0.26,0.25,0.25,0.24,0.27,0.28,0.22,0.21,0.2,
12008,Carbon Monoxide,2020-01-27,9999,0.19,0.18,9999,0.15,0.16,0.18,0.22,0.27,0.26,0.24,0.22,0.21,0.19,0.2,0.22,0.21,0.21,0.21,0.27,0.3,0.26,0.3,0.28,
12008,Carbon Monoxide,2020-01-28,9999,0.24,0.21,0.17,0.17,0.19,0.18,0.18,0.29,0.34,0.28,0.26,0.21,0.19,0.19,0.2,0.23,0.29,0.23,0.25,0.23,0.22,0.23,0.21,
12008,Carbon Monoxide,2020-01-29,9999,0.16,0.16,0.15,0.15,0.17,0.17,0.19,0.22,0.22,0.2,0.17,0.17,0.18,0.2,0.19,0.19,0.17,0.17,0.19,0.19,0.18,0.18,0.17,
12008,Carbon Monoxide,2020-01-30,9999,0.14,0.14,0.14,0.14,0.15,0.16,0.17,0.2,0.22,0.19,0.18,0.19,0.19,0.2,0.22,0.22,0.2,0.2,0.18,0.18,0.19,0.19,0.18,
12008,Carbon Monoxide,2020-01-31,9999,0.16,0.16,0.17,0.18,0.19,0.18,0.23,0.25,0.24,0.26,0.23,0.18,0.17,0.18,0.22,0.26,0.31,0.24,0.23,0.26,0.33,0.49,0.45,
12008,Carbon Monoxide,2020-02-01,9999,0.47,0.31,0.3,0.28,0.33,0.31,0.31,0.35,0.31,0.24,0.21,0.18,0.17,0.17,0.16,0.17,0.21,0.29,0.46,0.26,0.29,0.25,0.29,
12008,Carbon Monoxide,2020-02-02,9999,0.42,0.26,0.18,0.19,0.18,0.16,0.17,0.18,0.19,0.24,0.21,0.2,0.16,0.16,0.17,0.15,0.18,0.16,0.13,0.11,0.12,0.19,0.15,
12008,Carbon Monoxide,2020-02-03,9999,0.19,0.26,9999,0.36,0.37,0.64,0.47,0.67,0.65,0.54,0.38,0.24,0.28,0.29,0.28,0.35,0.29,0.24,0.22,0.22,0.19,0.23,0.21,
12008,Carbon Monoxide,2020-02-04,9999,0.22,0.21,0.19,0.18,0.18,0.16,0.17,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.22,0.22,0.2,0.18,0.19,0.2,0.19,0.19,
12008,Carbon Monoxide,2020-02-05,9999,0.15,0.16,0.15,0.16,0.18,0.18,0.18,0.2,0.2,0.16,0.14,0.14,0.15,0.17,0.17,0.2,0.17,0.16,0.18,0.2,0.19,0.19,0.17,
