Windsor Downtown, (12008) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Windsor Downtown (12008)
Address,467 University Ave. W.
Latitude,42.315778
Longitude,-83.043667
Elevation, 176 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12008,Fine Particulate Matter,2020-01-01,5,6,6,5,6,5,5,5,4,4,4,6,7,5,6,6,6,7,7,7,7,6,5,5,
12008,Fine Particulate Matter,2020-01-02,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,6,6,6,6,6,7,8,8,7,
12008,Fine Particulate Matter,2020-01-03,8,9,9,9,10,13,12,14,17,18,20,21,18,18,15,14,15,12,12,11,10,10,10,10,
12008,Fine Particulate Matter,2020-01-04,10,9,9,8,8,7,7,7,7,7,6,5,6,6,4,4,4,4,4,4,4,3,3,3,
12008,Fine Particulate Matter,2020-01-05,3,3,3,2,2,2,2,2,3,4,4,4,4,4,6,5,6,5,6,7,7,6,5,5,
12008,Fine Particulate Matter,2020-01-06,4,5,6,5,4,4,4,5,5,5,5,4,3,3,3,3,5,6,6,6,6,6,6,7,
12008,Fine Particulate Matter,2020-01-07,10,15,10,9,7,7,7,7,7,6,8,6,6,5,4,4,4,5,5,6,7,7,8,5,
12008,Fine Particulate Matter,2020-01-08,5,5,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,3,4,4,4,3,3,3,
12008,Fine Particulate Matter,2020-01-09,2,2,3,3,2,3,3,3,5,5,6,6,6,6,6,6,6,7,6,5,4,4,4,4,
12008,Fine Particulate Matter,2020-01-10,4,5,5,6,6,7,7,8,8,9,9,9,8,5,6,8,8,8,8,8,8,7,5,5,
12008,Fine Particulate Matter,2020-01-11,5,3,2,3,4,4,5,5,3,2,4,6,6,5,4,3,4,3,3,3,2,2,2,2,
12008,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,6,6,6,5,5,5,5,
12008,Fine Particulate Matter,2020-01-13,6,7,6,6,6,7,7,8,8,9,9,9,9,7,7,6,7,8,9,9,9,9,8,8,
12008,Fine Particulate Matter,2020-01-14,8,8,9,9,9,8,8,9,9,9,10,11,13,12,12,13,12,11,10,9,10,10,11,11,
12008,Fine Particulate Matter,2020-01-15,12,12,11,11,11,12,12,13,13,14,10,10,12,13,12,13,13,14,14,15,18,23,22,15,
12008,Fine Particulate Matter,2020-01-16,10,11,8,8,7,7,6,4,4,5,7,6,6,6,6,5,5,5,5,5,4,4,4,3,
12008,Fine Particulate Matter,2020-01-17,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,
12008,Fine Particulate Matter,2020-01-18,5,6,5,5,4,4,4,4,5,5,5,4,5,4,5,4,4,3,3,4,4,5,5,5,
12008,Fine Particulate Matter,2020-01-19,7,8,9,9,9,9,9,8,8,8,9,8,8,8,7,7,6,5,6,5,6,5,6,5,
12008,Fine Particulate Matter,2020-01-20,5,5,5,5,5,4,5,5,6,6,6,5,4,4,4,4,5,5,6,5,6,6,5,5,
12008,Fine Particulate Matter,2020-01-21,6,6,6,6,6,5,5,4,4,4,4,3,4,4,5,5,6,8,9,9,11,12,12,13,
12008,Fine Particulate Matter,2020-01-22,15,16,17,15,16,15,14,13,13,14,13,12,11,11,10,10,13,14,13,13,15,13,13,13,
12008,Fine Particulate Matter,2020-01-23,12,12,12,11,11,11,12,13,13,13,12,11,10,10,11,12,13,13,14,15,15,15,16,16,
12008,Fine Particulate Matter,2020-01-24,18,19,19,20,17,14,13,14,14,13,13,12,12,11,11,11,11,12,11,11,12,14,17,10,
12008,Fine Particulate Matter,2020-01-25,7,9,10,12,16,11,7,5,6,8,10,8,9,6,6,6,5,6,6,5,5,6,6,6,
12008,Fine Particulate Matter,2020-01-26,6,7,7,7,8,8,8,9,7,7,7,7,8,10,7,9,6,7,8,8,8,8,7,6,
12008,Fine Particulate Matter,2020-01-27,6,6,6,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,
12008,Fine Particulate Matter,2020-01-28,6,7,6,4,4,3,3,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
12008,Fine Particulate Matter,2020-01-29,9999,9999,9999,9999,9999,9999,9999,4,3,3,3,3,3,3,3,3,4,5,5,7,6,5,6,5,
12008,Fine Particulate Matter,2020-01-30,4,4,4,5,4,4,4,4,5,5,5,5,5,6,7,8,9,10,10,9,8,8,8,9,
