Windsor West, (12016) Hourly, Nitric oxide (NO) Concentrations
Station,Windsor West (12016)
Address,College Ave./South St.
Latitude,42.292889
Longitude,-83.073139
Elevation, 180 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12016,Nitrogen Oxide,2020-01-01,0.5,0.5,0.6,0.2,0.6,1.1,0.3,0.3,1.6,3.2,3.8,2.3,1.6,1.8,1.2,0.8,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,
12016,Nitrogen Oxide,2020-01-02,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.9,1.7,2.3,3.6,2.3,1.4,1.3,1.8,1,0.7,0.6,0.4,0.3,0.2,0.2,0.4,
12016,Nitrogen Oxide,2020-01-03,0.4,0.4,0.4,0.3,3.6,0.7,1.1,5.8,12.1,9.4,5.7,3.1,3.8,2.4,2.3,2.4,3.3,2.8,1.3,0.7,0.8,0.5,0.8,0.5,
12016,Nitrogen Oxide,2020-01-04,0.5,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.8,0.9,1.1,0.6,1,1.2,2,0.9,0.5,0.5,0.6,0.3,0.8,1,0.4,0.3,
12016,Nitrogen Oxide,2020-01-05,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.8,0.9,0.8,0.3,0.5,0.3,0.6,0.3,0.2,0.1,0.1,0.3,0.9,2.2,0.3,0.2,
12016,Nitrogen Oxide,2020-01-06,0.2,0.2,0.3,9999,0.2,0.3,0.3,0.7,1.7,2.4,2.8,3,5.4,4.4,4.8,3.7,1.9,2.4,1.9,1.6,1.2,0.8,0.4,0.4,
12016,Nitrogen Oxide,2020-01-07,0.3,0.4,1,0.4,0.6,0.8,3.3,9.3,12.6,10.4,20.8,14.2,10.1,3.6,3.5,2.3,1.8,0.5,0.6,0.3,0.4,1.6,0.9,0.5,
12016,Nitrogen Oxide,2020-01-08,0.3,0.2,0.1,0.3,0.4,0.5,0.4,1.5,1.4,2.2,2.4,2.2,2.8,2.9,3.9,1.8,2,0.9,0.8,1.9,1.2,1.4,15.3,30.1,
12016,Nitrogen Oxide,2020-01-09,30.4,0.5,1.1,9999,0.5,0.8,1.5,15.2,2.3,2.8,2.4,1.7,2.4,2.9,2.4,2.2,1.5,0.5,0.2,0.1,0.3,0.2,0.2,0.2,
12016,Nitrogen Oxide,2020-01-10,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,1,1.9,1.4,1,1.3,1.4,0.9,1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,
12016,Nitrogen Oxide,2020-01-11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.7,4.5,0.6,0.6,1.5,1.7,1.3,1.4,0.6,0.6,0.5,0.7,1,0.4,0.2,0.2,
12016,Nitrogen Oxide,2020-01-12,0.2,0.1,0.5,0.8,0.3,0.6,0.2,0.3,0.7,0.9,1.4,2.9,7.9,5.6,4.1,3.4,2,0.7,0.4,0.5,0.6,0.4,0.4,0.3,
12016,Nitrogen Oxide,2020-01-13,0.3,0.4,0.3,9999,0.3,1.1,3.9,6,2.7,4.5,9.3,6.7,6.8,4.3,3.7,3.2,3.8,1.6,1.2,2.8,4.1,1.8,0.4,0.2,
12016,Nitrogen Oxide,2020-01-14,0.4,0.3,0.3,1.9,1.7,0.5,0.7,1.6,2.6,1.9,2.2,6.7,7.5,7.3,5.2,3.4,2.8,2.4,1.2,1.2,1.5,1.3,1.4,1.6,
12016,Nitrogen Oxide,2020-01-15,0.7,0.2,0.5,1.8,0.4,1.3,3.7,37.9,112,64.9,7.6,3.1,3,2.5,2.7,1,0.7,1,0.6,0.5,0.6,4.8,1.7,0.5,
12016,Nitrogen Oxide,2020-01-16,0.2,0.1,0.9,9999,0.2,0.3,0.5,0.5,0.6,0.8,0.8,2,1.3,2.6,2,1.1,1.1,0.7,0.5,0.6,0.4,0.7,0.7,0.4,
12016,Nitrogen Oxide,2020-01-17,0.2,0.3,0.1,0.2,0.4,0.2,0.7,1.4,3.4,8.7,5.3,3,1.7,1.3,0.8,0.8,0.5,0.2,0.2,0.1,0.3,0.4,0.4,0.4,
12016,Nitrogen Oxide,2020-01-18,0.4,0.2,0.2,0.4,0.1,0.3,0.2,0.3,0.2,0.3,0.4,0.5,0.6,0.7,1,1.6,3.3,3.1,3.1,1.7,3.2,3,0.4,0.8,
12016,Nitrogen Oxide,2020-01-19,0.5,0.6,0.7,0.6,0.3,0.4,0.3,0.2,0.4,0.9,4.6,3,2.7,2.9,3.1,3,1.9,0.9,0.4,0.2,0.4,0.5,0.4,0.4,
12016,Nitrogen Oxide,2020-01-20,0.5,0.5,0.2,9999,0.2,0.4,1.4,2.1,9.9,11.8,17.4,8.1,5.1,4,2.6,2.8,2.7,1,2.1,0.6,0.6,0.3,0.2,0.3,
12016,Nitrogen Oxide,2020-01-21,1.2,0.1,0.2,0.2,0.6,0.1,0.4,0.4,1.8,4.1,3.9,5.6,6.3,5.4,3.9,2.5,2.3,0.7,0.6,0.5,0.5,0.5,0.8,1.5,
12016,Nitrogen Oxide,2020-01-22,1.8,1.6,0.8,0.7,1.2,1.1,0.9,1.2,3.8,5.4,8,7.6,6.8,5.3,6.3,4.8,3,1.2,0.3,0.2,0.4,0.3,0.2,0.1,
12016,Nitrogen Oxide,2020-01-23,0.2,0.2,0.9,9999,0.2,0.3,5,14.9,15.5,9.4,6.1,3.8,2.2,2.3,2.5,3.8,3.7,2.2,6.4,6.9,7.5,3.3,2.9,6.4,
12016,Nitrogen Oxide,2020-01-24,5.4,4.1,5.4,2.2,1.1,0.8,1.1,1.9,2.3,3.5,4.3,3.6,3.3,2.6,2,1.6,1.1,0.9,0.5,0.4,0.4,0.3,0.1,0.2,
12016,Nitrogen Oxide,2020-01-25,0.3,0.2,0.2,0.2,0.5,5.4,6.6,6.9,8.1,4.6,8.4,4.8,8.4,7.6,4.8,2,1.6,0.7,2.6,11.1,5.9,2.2,1.8,1.1,
12016,Nitrogen Oxide,2020-01-26,1.5,2.1,1.7,1.4,2.2,1.9,1.2,1.1,0.7,1.6,1.5,2.7,1.2,1.7,3.7,5.1,5,3.1,1.9,0.7,0.4,0.2,0.2,0.1,
12016,Nitrogen Oxide,2020-01-27,0.1,0.2,0.1,9999,0.1,0.3,0.5,1.8,2.5,2.3,2,2.7,2,2,2.3,1.7,1.5,1,1.1,0.7,0.4,0.4,0.3,0.7,
