Windsor West, (12016) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Windsor West (12016)
Address,College Ave./South St.
Latitude,42.292889
Longitude,-83.073139
Elevation, 180 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12016,Fine Particulate Matter,2020-01-01,12,14,13,11,10,10,9,9,10,11,13,15,13,11,10,9,10,10,11,12,11,9,8,6,
12016,Fine Particulate Matter,2020-01-02,7,7,7,6,7,7,7,7,6,5,5,5,5,5,5,7,9,10,10,11,11,12,11,11,
12016,Fine Particulate Matter,2020-01-03,11,12,11,12,13,14,18,16,9999,22,21,22,21,20,17,18,18,14,15,14,7,4,4,5,
12016,Fine Particulate Matter,2020-01-04,6,6,6,7,6,6,6,7,7,7,6,5,5,5,4,4,4,3,3,3,4,3,3,3,
12016,Fine Particulate Matter,2020-01-05,5,5,5,5,5,4,4,4,5,5,6,7,7,7,10,8,8,8,9,9,10,10,8,6,
12016,Fine Particulate Matter,2020-01-06,6,7,7,6,5,5,6,6,6,6,6,6,6,6,6,5,5,6,7,11,14,14,13,12,
12016,Fine Particulate Matter,2020-01-07,15,17,15,14,13,13,13,13,13,13,15,13,10,8,7,7,8,10,10,11,13,15,14,9,
12016,Fine Particulate Matter,2020-01-08,10,8,7,7,6,6,6,7,6,6,6,5,5,5,4,4,5,7,7,7,7,7,8,10,
12016,Fine Particulate Matter,2020-01-09,8,5,4,5,4,5,5,6,5,4,5,7,6,7,8,6,6,6,5,5,5,5,5,5,
12016,Fine Particulate Matter,2020-01-10,6,7,9,9,8,8,11,10,12,12,9,8,9,6,7,10,11,7,7,10,9,6,6,7,
12016,Fine Particulate Matter,2020-01-11,6,5,4,5,6,5,6,9,7,6,3,4,4,5,5,6,7,7,7,5,5,4,3,2,
12016,Fine Particulate Matter,2020-01-12,2,2,3,2,2,2,2,2,3,4,4,3,4,5,5,6,6,6,6,6,6,6,5,5,
12016,Fine Particulate Matter,2020-01-13,7,8,8,8,8,8,9,11,14,19,14,12,13,11,10,10,8,9,10,10,11,10,9,9,
12016,Fine Particulate Matter,2020-01-14,10,11,12,13,12,11,10,11,11,10,11,13,15,14,15,15,17,18,15,13,15,19,18,16,
12016,Fine Particulate Matter,2020-01-15,17,17,16,16,15,16,17,17,20,20,16,15,17,17,18,17,19,19,20,21,23,28,25,17,
12016,Fine Particulate Matter,2020-01-16,13,14,11,11,10,9,7,5,5,7,9,8,8,9,8,6,6,6,6,5,5,5,4,4,
12016,Fine Particulate Matter,2020-01-17,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,7,7,7,7,7,6,6,6,
12016,Fine Particulate Matter,2020-01-18,8,9,8,7,7,6,7,7,7,7,7,6,5,5,5,3,3,5,8,10,12,13,11,11,
12016,Fine Particulate Matter,2020-01-19,13,17,16,16,16,15,14,13,11,10,11,11,10,10,9,8,8,6,7,7,7,8,8,8,
12016,Fine Particulate Matter,2020-01-20,9,9,8,8,8,7,7,7,7,7,6,5,5,4,4,4,4,5,6,6,6,7,8,7,
12016,Fine Particulate Matter,2020-01-21,6,7,7,8,7,6,6,6,6,6,5,5,6,6,6,7,7,9,11,12,12,13,16,15,
12016,Fine Particulate Matter,2020-01-22,18,22,22,19,20,19,18,17,20,22,20,17,16,14,14,13,14,14,14,13,14,15,15,15,
12016,Fine Particulate Matter,2020-01-23,17,18,18,17,16,15,17,17,19,18,17,14,12,12,13,14,16,17,22,21,21,19,20,21,
12016,Fine Particulate Matter,2020-01-24,20,22,23,24,21,17,16,16,16,15,14,13,13,13,13,12,14,15,13,13,15,17,12,8,
12016,Fine Particulate Matter,2020-01-25,9,8,12,14,16,13,10,7,8,9,11,9,10,7,6,6,6,8,8,7,7,7,8,9,
