Chatham, (13001) Hourly, Nitric oxide (NO) Concentrations
Station,Chatham (13001)
Address,435 Grand Ave. W.
Latitude,42.403694
Longitude,-82.208306
Elevation, 179 metres
Air intake height,15 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
13001,Nitrogen Oxide,2020-01-01,1.2,0.8,1.1,1,1.2,1.3,1.4,1.8,2,1.6,1.9,2,1.7,1.7,1.6,1.1,0.8,0.7,0.7,0.6,0.5,0.6,0.5,0.6,
13001,Nitrogen Oxide,2020-01-02,0.8,0.8,0.8,0.8,0.5,0.5,0.6,0.7,0.7,0.9,1.2,2,1.7,1.6,1.7,1.4,0.9,0.8,0.8,0.6,0.6,0.6,0.6,0.6,
13001,Nitrogen Oxide,2020-01-03,0.8,0.7,0.8,1,0.9,0.9,1.1,1.2,3.2,3.5,5.9,5.9,6.7,6.9,9,6.1,1.2,0.8,0.8,0.7,0.8,0.7,0.8,0.9,
13001,Nitrogen Oxide,2020-01-04,1.7,5.5,1.6,1.2,2.9,19.7,18.1,8.9,3.3,4.1,3.3,1.7,1,1.6,2.3,2,3.6,8,4.5,8.3,8,6.3,10.9,9.1,
13001,Nitrogen Oxide,2020-01-05,6.5,10.2,6.6,5.5,7.6,5.9,5.3,1.8,2,2,1.8,1.2,0.9,0.9,0.7,0.7,0.6,0.6,0.6,0.6,0.6,1.1,1.6,1.7,
13001,Nitrogen Oxide,2020-01-06,1.6,3.2,4.5,2.6,3.7,5.6,1.7,3.1,1.7,1.8,2.1,2.3,2.3,1.7,1.2,1.1,1.3,1,0.9,0.8,1.2,1,0.8,1.2,
13001,Nitrogen Oxide,2020-01-07,0.7,0.7,0.9,1,0.9,1.6,2,3.2,4,9.3,7.4,4,3.6,2.5,1.7,1.8,1.8,0.9,1.6,1.7,1.4,1.3,1.3,1.2,
13001,Nitrogen Oxide,2020-01-08,1.2,1.3,2.2,2.4,5.8,7.4,6.1,8.1,12.2,6,5.5,6.5,4.6,4.2,5.3,4,7.7,13,2.8,4.3,1.1,2.9,2.1,2,
13001,Nitrogen Oxide,2020-01-09,11.5,10.8,6,1.9,1.2,2.5,8.2,4.2,3.2,2.6,2.6,2.9,3.6,4.3,4,3.8,3.4,2.2,2.4,0.9,0.7,0.6,0.6,0.6,
13001,Nitrogen Oxide,2020-01-10,0.8,0.6,0.6,0.6,0.7,1,1,0.7,0.7,0.8,0.8,0.9,1.3,1.1,1.1,0.8,0.8,0.7,0.8,0.6,0.6,0.6,2.1,0.9,
13001,Nitrogen Oxide,2020-01-11,0.6,0.5,0.6,0.5,0.5,0.6,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,
13001,Nitrogen Oxide,2020-01-12,0.7,2.4,4.2,2.4,5.2,8.2,7.5,8.1,7,8.8,9.4,4.2,7.2,9.6,8.6,3.6,3.8,2,3,1,1,1.2,0.6,0.9,
13001,Nitrogen Oxide,2020-01-13,1,4.5,3.2,7.6,8.1,6.3,3.1,4.1,3.6,5.2,4,2.9,2,2.4,2.2,2.8,5.3,10.7,2.4,3.4,4.1,9.6,14.9,9.1,
13001,Nitrogen Oxide,2020-01-14,5.7,6.6,1.1,3.5,2.7,3.2,7.8,6.7,1.7,1.7,2.2,2,2.3,2.3,2.4,2.4,2.2,1.4,2.3,2.1,1.6,1.6,1.5,1.3,
13001,Nitrogen Oxide,2020-01-15,1.8,5,17.6,4.4,2.5,3.4,3.9,2.6,8.5,26.2,6.3,5.9,2.6,4.3,1.9,3.8,2.1,0.7,0.6,0.7,6.6,14.1,3.2,3.9,
13001,Nitrogen Oxide,2020-01-16,3.4,4.8,3.3,5.4,4.2,9.6,8.3,7.6,5.4,6.3,6.1,5.3,5.5,5,3.8,4.5,6.8,7.1,7.9,7.8,5.2,4.2,1,0.9,
13001,Nitrogen Oxide,2020-01-17,1.3,3.6,6.4,8.1,11.9,13.5,4.3,8.3,2.4,1.1,2,2.6,1.7,1.8,1.8,2.5,1.8,1.5,1.1,1.4,1.2,1,1.2,1.1,
