Chatham, (13001) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Chatham (13001)
Address,435 Grand Ave. W.
Latitude,42.403694
Longitude,-82.208306
Elevation, 179 metres
Air intake height,15 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
13001,Nitrogen Oxides,2020-01-01,5.2,4.5,4.6,4.1,4.4,4.6,5,5.5,6.7,5.4,5.9,6.2,5.8,5.9,5.8,5.3,5.6,7.7,5.5,5.4,4.3,3.8,4.2,5.7,
13001,Nitrogen Oxides,2020-01-02,10.7,9.8,10.1,9.6,4.2,4.4,5,6,6.2,5.8,6,10.4,7.2,6.9,8.9,8.9,7.2,9.9,10.9,6.8,6.7,6.2,6.8,7.7,
13001,Nitrogen Oxides,2020-01-03,9.1,7.5,9,10.4,7.7,7.9,8.2,8.8,11.3,12.4,18,15.6,15.3,14.9,19.2,15,6.2,5.4,4.8,3.9,4.1,3.8,4.1,4.2,
13001,Nitrogen Oxides,2020-01-04,5.1,9.8,5.2,4.6,6.7,32.9,31,16.4,7.8,8.3,7.4,4.8,3.9,5.3,7.2,4.9,8.2,15.2,9.9,15.8,15.3,12.4,19.1,16.8,
13001,Nitrogen Oxides,2020-01-05,11.8,18.6,12.9,10.1,14.6,11.9,11.2,6.9,6.8,7.6,5.5,3.4,3,4.9,4.7,4.3,3.7,3.4,3.2,3.8,4.8,5.3,6.2,6.8,
13001,Nitrogen Oxides,2020-01-06,5.3,6.9,9.3,6.1,7.9,11.5,4.7,6.9,5.7,6.3,7,7.4,7.7,6,4.5,4.4,5.5,5.5,5,5,6.1,7.3,8.2,8.4,
13001,Nitrogen Oxides,2020-01-07,8.3,8.3,9.4,10.7,12.9,15.4,15.5,18.7,17.8,23.7,20.2,13.2,12.5,10.3,8.1,12.2,15.5,8.5,7.5,7.7,7.8,7.3,8.5,7,
13001,Nitrogen Oxides,2020-01-08,5.2,4.4,5.5,5.8,12,14.4,12.1,14.9,22.2,12,11,12.1,8.7,8.2,10.1,7.9,13.9,24.2,8.1,11.9,9.9,12.1,15.9,19.4,
13001,Nitrogen Oxides,2020-01-09,41.4,38.3,27.2,20.8,12.1,12.2,20,11.9,9.4,7.3,7.5,9.1,11.4,12.8,12.9,13.8,14.6,13.5,15.2,9.5,7.7,6.1,4.4,5.2,
13001,Nitrogen Oxides,2020-01-10,8.9,5.7,4.6,4.8,5.9,10.4,10.6,5.4,5.5,6.4,7.3,7.2,9.6,9.6,9.8,8.3,10.4,10.7,9.9,7.9,7,5.8,8.9,5.9,
13001,Nitrogen Oxides,2020-01-11,3.7,4.3,3.7,2.9,3,3.4,3.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.6,2.3,2.4,2.3,2.5,2.4,2.6,2.2,
13001,Nitrogen Oxides,2020-01-12,2.3,4.2,8.4,4.7,9.6,14.8,13.8,15.1,13.1,16.4,17.2,9.1,13.4,18.6,17.1,9.4,11,7.4,9.1,5.3,4.5,5.4,3.9,4.4,
13001,Nitrogen Oxides,2020-01-13,5.4,10.1,8.4,15.9,16.5,15.8,16.4,21.5,18.2,17.2,13.6,10.3,7.8,8.6,9.2,11.4,15.6,25.7,19.5,24.7,25.4,32,38.5,30.2,
13001,Nitrogen Oxides,2020-01-14,20.5,17.9,7.9,11.2,10.1,10.1,17.4,16.3,8.5,7.7,8.2,7,9.4,8.4,10,11.7,11.9,8.4,9.9,10.9,8.4,9,8.2,8,
13001,Nitrogen Oxides,2020-01-15,7.9,12.7,30.6,10.7,11.8,21.5,25.4,19.4,27.2,50.9,16.9,13.8,7.7,10.4,6.5,10.4,9.2,6.2,5.5,6.1,17.4,24.8,7.7,13.8,
13001,Nitrogen Oxides,2020-01-16,15.5,11.5,8.6,11.5,9.6,17.8,16.1,15,11.9,13,13.4,11.5,11.4,10.1,8.3,9.3,13.5,13.6,14.5,14.7,9.8,7.6,3.2,2.4,
13001,Nitrogen Oxides,2020-01-17,3.6,7.4,12.2,13.3,20.8,23.9,8.5,14.3,7.3,5.1,6.1,7,5.7,6.1,6.1,7.8,6.2,5.9,5.8,7.1,6.1,6.2,5.8,5.2,
13001,Nitrogen Oxides,2020-01-18,8.3,7.8,6.6,7.3,6.2,7.6,7.8,6.6,7.1,6.7,6.9,7.9,7.5,7.4,6.5,8.1,6.3,5.5,6.5,6.4,5.9,5.9,5.3,5.7,
13001,Nitrogen Oxides,2020-01-19,6.5,6.4,6.7,6.5,6.5,6.1,5.7,6,6.5,6.1,7.3,7.1,7.8,7.8,17.9,18.7,12.4,14.6,18.9,25.1,14.7,5.7,4.3,6.8,
13001,Nitrogen Oxides,2020-01-20,7.4,28.5,30.4,5.4,14.8,36.8,12.8,34.5,24.2,30.2,14,23.4,19,21.8,18.2,16,18.5,16.3,9.6,5.6,15.4,31.2,31.4,21.9,
13001,Nitrogen Oxides,2020-01-21,15.4,13.4,36.3,32.7,27.6,46.8,28.6,19.1,38.3,29.3,15.4,8.2,7.8,10.8,9.5,6.4,8.2,9.5,10.7,12.8,10.6,11.9,11.5,16.1,
13001,Nitrogen Oxides,2020-01-22,14.9,9.7,12.6,14.6,12.3,15.6,18,15.8,17.7,15.3,12.3,10.8,12.5,15,14.4,13.4,14.3,23.4,22.4,15.5,16.4,17.5,12.5,15,
13001,Nitrogen Oxides,2020-01-23,11.6,11.4,10.6,11.3,13.3,16.5,18.3,19.3,25.8,26.9,15.8,18.8,19.4,22.3,24.8,23.3,23.6,25.2,25.6,26,21.7,19.3,16.3,15.3,
13001,Nitrogen Oxides,2020-01-24,16.1,15,13.9,11.4,11.1,11.2,10.9,10.5,11.4,12.2,11.8,10.9,10.7,10.1,10.3,9.9,9.6,9.5,9.2,7.4,6.6,8.2,8.4,6.6,
13001,Nitrogen Oxides,2020-01-25,7.7,6,11.2,9.7,9.1,8.5,8.9,9.2,9.2,11,6.4,5.4,6.5,6.3,7.9,7.2,9.2,9.2,8.9,8.6,8.1,7.5,6.7,6.4,
13001,Nitrogen Oxides,2020-01-26,6.2,6.1,6.1,6.2,6.4,7.1,6.2,5.9,5.9,5.8,5.7,6.2,6.2,6.1,5.6,5.5,6.2,6.1,6.3,7.6,8.2,8.9,8.7,9,
