Chatham, (13001) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Chatham (13001)
Address,435 Grand Ave. W.
Latitude,42.403694
Longitude,-82.208306
Elevation, 179 metres
Air intake height,15 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
13001,Fine Particulate Matter,2020-01-01,5,6,7,6,5,4,4,4,4,5,5,9,9,7,6,6,6,7,8,8,7,4,5,5,
13001,Fine Particulate Matter,2020-01-02,5,5,5,5,4,4,5,6,6,6,5,5,4,6,6,7,6,7,10,10,7,7,7,8,
13001,Fine Particulate Matter,2020-01-03,7,9,9,11,10,11,12,11,11,13,14,13,12,11,9,9,8,10,7,6,6,7,7,7,
13001,Fine Particulate Matter,2020-01-04,5,5,5,5,4,4,5,4,4,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,
13001,Fine Particulate Matter,2020-01-05,3,3,2,3,2,2,1,1,3,4,4,4,3,6,5,4,7,4,4,4,6,7,8,7,
13001,Fine Particulate Matter,2020-01-06,5,2,3,3,2,2,2,1,1,1,2,3,4,3,3,2,1,1,1,1,2,2,2,2,
13001,Fine Particulate Matter,2020-01-07,2,2,2,4,3,3,5,6,9,8,7,5,4,4,4,5,5,4,4,5,6,5,6,6,
13001,Fine Particulate Matter,2020-01-08,4,3,2,2,2,3,3,2,2,2,3,2,2,3,4,4,4,3,3,3,4,4,3,3,
13001,Fine Particulate Matter,2020-01-09,4,6,7,4,2,2,2,3,5,6,9,9,8,9,7,8,10,9,8,7,4,5,4,4,
13001,Fine Particulate Matter,2020-01-10,4,3,5,6,6,7,7,8,8,8,9,9,9,6,4,5,4,3,5,9,9,5,5,6,
13001,Fine Particulate Matter,2020-01-11,6,6,7,6,5,5,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,4,4,3,2,2,3,3,
13001,Fine Particulate Matter,2020-01-12,2,3,3,3,3,2,2,3,4,4,5,3,3,4,2,2,3,3,4,5,5,6,8,8,
13001,Fine Particulate Matter,2020-01-13,7,3,4,4,5,8,7,5,8,8,8,8,6,7,8,6,4,5,11,10,8,7,7,8,
13001,Fine Particulate Matter,2020-01-14,10,11,9,8,6,6,6,6,5,6,6,7,7,7,9,8,8,9,12,12,9,8,6,2,
13001,Fine Particulate Matter,2020-01-15,2,2,2,2,2,3,4,5,6,7,7,7,8,8,8,8,11,12,12,13,13,13,13,15,
13001,Fine Particulate Matter,2020-01-16,17,9,9,5,4,4,3,2,2,2,2,3,2,2,4,4,4,4,3,3,2,2,2,2,
13001,Fine Particulate Matter,2020-01-17,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,6,6,6,8,7,7,7,
13001,Fine Particulate Matter,2020-01-18,7,7,8,8,8,8,6,6,6,7,7,7,7,6,2,2,3,2,2,2,2,3,3,4,
13001,Fine Particulate Matter,2020-01-19,7,10,11,11,10,9,7,6,8,8,7,7,7,7,6,6,3,3,3,3,2,2,2,2,
13001,Fine Particulate Matter,2020-01-20,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,
13001,Fine Particulate Matter,2020-01-21,3,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,5,7,8,7,7,8,8,10,
13001,Fine Particulate Matter,2020-01-22,12,12,12,11,11,10,10,10,11,11,10,10,9,10,10,10,11,12,13,11,11,13,12,12,
13001,Fine Particulate Matter,2020-01-23,11,11,11,10,10,11,12,13,13,12,10,10,10,10,11,11,11,13,14,16,16,16,15,16,
13001,Fine Particulate Matter,2020-01-24,16,13,12,11,11,10,10,10,11,12,11,10,10,9,9,9,11,11,9,6,5,5,6,6,
13001,Fine Particulate Matter,2020-01-25,7,7,9,9,10,12,12,9,7,7,5,4,7,6,5,5,4,4,5,4,4,4,3,4,
13001,Fine Particulate Matter,2020-01-26,6,6,8,8,9,9,11,11,12,12,11,9,9,9,7,7,7,8,8,9,9,8,8,8,
13001,Fine Particulate Matter,2020-01-27,7,6,5,3,2,2,2,2,2,2,2,2,3,4,3,2,2,3,3,2,3,5,4,3,
13001,Fine Particulate Matter,2020-01-28,3,4,4,4,3,3,3,3,5,5,4,3,3,3,3,3,3,2,2,2,2,3,2,2,
13001,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,4,3,4,4,5,4,4,3,4,3,4,5,4,4,5,4,4,4,
13001,Fine Particulate Matter,2020-01-30,6,6,5,5,4,5,5,7,16,21,20,13,10,9,7,7,9,12,14,12,10,9,8,9,
13001,Fine Particulate Matter,2020-01-31,13,16,18,16,16,15,15,14,15,14,12,12,10,6,6,7,5,4,4,7,9,9,9,11,
13001,Fine Particulate Matter,2020-02-01,13,14,16,15,14,18,16,16,17,14,10,8,8,9,10,10,12,12,13,9,10,10,10,9,
13001,Fine Particulate Matter,2020-02-02,11,11,11,12,14,15,11,10,8,7,6,6,6,5,5,4,4,4,3,3,3,3,3,4,
13001,Fine Particulate Matter,2020-02-03,3,3,4,4,4,4,4,5,7,8,8,7,7,7,7,8,9,9,9,8,8,7,7,6,
13001,Fine Particulate Matter,2020-02-04,10,12,10,11,9,5,4,3,3,2,2,2,3,3,3,2,2,3,3,3,3,2,2,2,
13001,Fine Particulate Matter,2020-02-05,2,2,2,2,2,2,2,2,4,3,3,2,3,6,5,4,4,4,4,4,5,7,6,7,
13001,Fine Particulate Matter,2020-02-06,9,12,11,9,9,8,7,6,5,6,5,3,3,4,3,3,3,4,5,3,2,2,2,2,
13001,Fine Particulate Matter,2020-02-07,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,5,5,
13001,Fine Particulate Matter,2020-02-08,6,6,6,7,7,7,5,5,4,3,3,3,3,4,4,5,9,9,10,8,8,9,9,6,
13001,Fine Particulate Matter,2020-02-09,6,6,7,6,8,11,16,19,26,25,19,17,15,14,12,11,9,9,10,6,5,5,5,4,
13001,Fine Particulate Matter,2020-02-10,4,5,7,7,7,7,7,8,8,9,10,8,8,6,5,4,5,5,4,4,4,6,5,6,
13001,Fine Particulate Matter,2020-02-11,5,6,5,5,5,7,9,8,7,7,9,10,9,9,10,11,12,11,12,9,6,6,6,6,
13001,Fine Particulate Matter,2020-02-12,9,9,9,10,9,10,10,10,13,15,13,15,14,13,11,11,9,8,8,8,9,8,8,8,
13001,Fine Particulate Matter,2020-02-13,8,9,10,11,12,11,12,12,11,11,11,9,1,1,1,1,1,1,1,1,1,1,2,2,
13001,Fine Particulate Matter,2020-02-14,2,2,2,1,2,2,2,2,3,3,4,4,3,3,3,3,3,4,5,5,4,2,2,3,
13001,Fine Particulate Matter,2020-02-15,4,4,4,4,5,7,6,6,8,9,8,9,8,8,8,7,8,7,10,6,5,5,5,6,
13001,Fine Particulate Matter,2020-02-16,8,8,9,9,10,11,11,10,10,10,10,9,9,10,11,13,15,17,16,16,16,17,17,16,
13001,Fine Particulate Matter,2020-02-17,10,7,5,4,5,4,3,3,3,3,3,3,3,4,5,8,9,10,10,9,9,8,6,6,
13001,Fine Particulate Matter,2020-02-18,6,6,5,5,5,5,6,9,14,13,11,10,6,5,4,5,4,4,4,5,5,6,8,6,
13001,Fine Particulate Matter,2020-02-19,5,5,5,5,6,4,4,3,2,2,2,2,2,2,3,3,5,5,5,5,4,4,4,4,
13001,Fine Particulate Matter,2020-02-20,3,3,4,3,3,3,2,2,2,2,3,4,5,4,4,4,4,4,4,4,5,4,4,4,
13001,Fine Particulate Matter,2020-02-21,3,3,4,4,4,4,5,5,7,9,8,6,6,6,6,7,7,6,5,5,5,5,5,4,
13001,Fine Particulate Matter,2020-02-22,3,3,4,4,4,5,5,5,6,7,7,8,9,10,9,9,10,11,10,9,8,7,7,8,
13001,Fine Particulate Matter,2020-02-23,8,10,10,10,10,11,10,9,9,9,9,9,9,9,9,9,11,12,11,11,11,12,13,13,
13001,Fine Particulate Matter,2020-02-24,13,12,11,11,11,11,11,12,12,13,14,14,16,16,15,17,18,16,17,16,14,17,17,19,
13001,Fine Particulate Matter,2020-02-25,23,24,21,16,13,11,9,8,5,6,6,7,6,5,5,5,6,6,5,5,4,4,5,5,
13001,Fine Particulate Matter,2020-02-26,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,2,2,2,3,2,
13001,Fine Particulate Matter,2020-02-27,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,
13001,Fine Particulate Matter,2020-02-28,2,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,5,4,4,3,3,3,2,2,
13001,Fine Particulate Matter,2020-02-29,4,4,4,2,2,2,2,2,4,4,5,4,4,4,4,4,4,5,7,6,7,8,7,6,
13001,Fine Particulate Matter,2020-03-01,5,4,4,5,6,5,6,9,10,8,7,8,8,10,10,9,7,7,6,5,4,4,4,4,
13001,Fine Particulate Matter,2020-03-02,6,8,9,9,10,11,12,11,14,13,12,12,11,11,11,10,9,9,10,11,12,11,12,12,
13001,Fine Particulate Matter,2020-03-03,11,12,16,17,19,17,14,15,17,20,16,17,16,17,16,15,7,5,6,7,5,6,5,5,
13001,Fine Particulate Matter,2020-03-04,6,7,6,4,3,3,4,4,5,4,5,4,4,4,4,5,4,3,3,4,5,5,5,5,
13001,Fine Particulate Matter,2020-03-05,5,6,5,5,6,6,5,6,5,4,3,3,5,8,8,8,11,10,7,6,4,4,4,5,
13001,Fine Particulate Matter,2020-03-06,6,7,8,7,9,10,10,9,7,5,12,11,8,4,2,2,2,2,3,2,2,2,2,2,
13001,Fine Particulate Matter,2020-03-07,2,2,3,2,1,1,2,2,4,5,4,5,5,7,7,7,6,6,5,5,5,7,6,5,
13001,Fine Particulate Matter,2020-03-08,5,6,-999,-999,7,6,6,6,7,8,8,7,7,7,6,5,6,7,5,5,5,4,4,6,
13001,Fine Particulate Matter,2020-03-09,7,6,6,6,7,7,6,5,7,6,7,7,10,12,11,10,11,12,13,14,14,12,9,8,
13001,Fine Particulate Matter,2020-03-10,8,7,7,7,7,7,6,4,3,4,6,5,5,6,7,7,6,7,6,5,5,4,4,3,
13001,Fine Particulate Matter,2020-03-11,4,5,5,6,6,8,6,5,6,7,6,8,6,8,10,11,11,14,14,12,11,9,15,9,
13001,Fine Particulate Matter,2020-03-12,12,14,16,13,15,16,17,16,12,11,11,11,9,9,8,8,7,7,8,8,8,8,8,8,
13001,Fine Particulate Matter,2020-03-13,9,8,9,13,6,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,4,5,5,
13001,Fine Particulate Matter,2020-03-14,4,3,4,3,3,3,4,4,4,4,3,4,4,3,3,4,7,7,6,4,4,3,4,4,
13001,Fine Particulate Matter,2020-03-15,4,3,3,4,3,3,3,3,3,2,2,2,2,2,3,2,3,4,5,4,5,5,4,4,
13001,Fine Particulate Matter,2020-03-16,5,5,5,5,5,4,2,2,2,2,2,2,2,3,3,3,5,7,8,8,8,7,8,8,
13001,Fine Particulate Matter,2020-03-17,11,10,10,10,14,17,17,17,15,9,8,6,5,4,4,4,5,5,6,6,7,6,7,8,
13001,Fine Particulate Matter,2020-03-18,10,11,11,11,12,14,12,13,15,14,15,11,10,10,10,11,12,11,11,11,10,10,9,9,
13001,Fine Particulate Matter,2020-03-19,9,9,9,8,9,10,9,10,10,12,10,9,8,8,8,7,7,8,9,7,5,6,6,3,
13001,Fine Particulate Matter,2020-03-20,4,4,5,7,7,7,7,6,5,7,6,4,3,2,1,1,1,1,1,1,1,1,1,1,
13001,Fine Particulate Matter,2020-03-21,1,1,1,1,2,3,3,2,4,4,4,3,3,3,4,4,4,4,4,4,4,3,2,2,
13001,Fine Particulate Matter,2020-03-22,3,3,3,4,3,3,3,4,7,8,6,5,4,4,4,5,5,5,5,4,5,6,5,5,
