Sarnia, (14111) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Sarnia (14111)
Address,700 Christina St. N.
Latitude,42.990263
Longitude,-82.395341
Elevation, 182 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
14111,Fine Particulate Matter,2020-01-01,3,3,3,3,3,3,3,3,5,5,6,6,6,5,6,9,13,11,11,10,11,11,9,7,
14111,Fine Particulate Matter,2020-01-02,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,10,10,12,
14111,Fine Particulate Matter,2020-01-03,12,13,13,14,14,14,16,16,17,19,19,18,16,16,10,8,11,9,8,7,7,6,4,3,
14111,Fine Particulate Matter,2020-01-04,3,3,4,4,3,2,2,2,3,3,3,3,3,4,3,2,2,2,2,2,2,1,1,2,
14111,Fine Particulate Matter,2020-01-05,3,3,3,3,2,2,2,2,2,2,2,2,2,3,4,6,8,11,11,9,9,9,9,8,
14111,Fine Particulate Matter,2020-01-06,7,5,5,6,4,4,3,3,2,2,3,2,2,2,1,1,1,1,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-01-07,2,2,2,3,3,4,5,6,7,9,10,9,8,7,7,6,4,4,6,6,6,6,8,6,
14111,Fine Particulate Matter,2020-01-08,4,3,3,3,4,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,4,6,
14111,Fine Particulate Matter,2020-01-09,7,8,7,6,5,5,4,4,4,4,3,3,4,4,5,5,4,5,6,5,4,4,4,5,
14111,Fine Particulate Matter,2020-01-10,5,6,6,6,5,6,8,11,13,15,16,18,19,15,18,17,20,22,22,22,14,14,12,8,
14111,Fine Particulate Matter,2020-01-11,4,3,3,4,4,5,5,6,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,
14111,Fine Particulate Matter,2020-01-12,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,6,5,5,4,4,
14111,Fine Particulate Matter,2020-01-13,5,4,4,4,4,5,6,5,7,14,9,10,12,13,11,8,10,11,7,6,8,6,7,6,
14111,Fine Particulate Matter,2020-01-14,6,6,7,9,9,8,8,11,14,15,13,11,10,11,11,13,14,10,10,11,9,10,10,11,
14111,Fine Particulate Matter,2020-01-15,11,11,11,10,9,8,7,8,9,11,11,10,10,11,12,13,13,15,16,16,16,17,13,13,
14111,Fine Particulate Matter,2020-01-16,12,13,13,10,4,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,
14111,Fine Particulate Matter,2020-01-17,1,1,1,1,1,1,1,2,2,3,4,3,3,3,4,4,5,5,5,5,5,5,5,5,
14111,Fine Particulate Matter,2020-01-18,5,5,6,6,6,7,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,
14111,Fine Particulate Matter,2020-01-19,5,6,7,9,8,7,7,7,7,7,7,6,6,5,3,3,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-01-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,
14111,Fine Particulate Matter,2020-01-21,3,3,2,2,2,2,3,3,3,3,2,2,2,3,3,3,4,5,7,8,8,10,10,12,
14111,Fine Particulate Matter,2020-01-22,13,15,15,15,15,14,15,15,15,16,14,14,15,15,14,14,16,19,17,16,17,20,19,16,
14111,Fine Particulate Matter,2020-01-23,14,14,15,15,14,13,14,16,19,20,19,17,15,14,14,15,14,13,11,13,15,16,17,16,
14111,Fine Particulate Matter,2020-01-24,13,12,11,11,11,13,19,17,14,14,14,15,15,14,13,13,13,12,13,12,9,6,5,6,
14111,Fine Particulate Matter,2020-01-25,7,9,10,9,14,14,17,19,15,7,6,4,3,5,8,9,9,7,6,7,7,7,8,9,
14111,Fine Particulate Matter,2020-01-26,10,9,8,8,8,8,8,7,7,6,6,6,4,3,3,2,2,3,3,3,3,3,3,3,
14111,Fine Particulate Matter,2020-01-27,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,4,4,6,5,6,4,5,
14111,Fine Particulate Matter,2020-01-28,7,7,7,6,5,4,4,5,6,6,5,3,3,2,2,3,3,3,3,3,2,2,2,2,
14111,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,
14111,Fine Particulate Matter,2020-01-30,2,2,2,2,2,3,3,3,4,5,7,9,12,11,10,8,6,7,8,8,10,12,12,14,
14111,Fine Particulate Matter,2020-01-31,12,11,9,12,14,13,13,14,15,16,16,13,10,9,11,19,20,17,20,19,15,16,14,15,
14111,Fine Particulate Matter,2020-02-01,16,14,17,19,19,21,24,21,18,18,15,13,11,16,13,14,16,15,13,12,15,14,10,10,
14111,Fine Particulate Matter,2020-02-02,12,12,12,14,16,16,21,16,18,21,14,13,11,10,10,9,9,10,11,4,3,3,3,3,
14111,Fine Particulate Matter,2020-02-03,2,3,4,4,4,5,5,7,10,11,10,7,7,7,6,5,5,5,5,6,7,6,5,4,
14111,Fine Particulate Matter,2020-02-04,4,4,4,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,
14111,Fine Particulate Matter,2020-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,4,5,5,4,6,
14111,Fine Particulate Matter,2020-02-06,8,9,8,7,7,6,6,6,4,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-02-07,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,4,5,7,7,7,8,8,8,
14111,Fine Particulate Matter,2020-02-08,7,6,6,6,6,4,4,2,2,2,2,2,2,2,2,2,2,3,4,7,5,6,7,6,
14111,Fine Particulate Matter,2020-02-09,6,7,8,9,13,15,18,22,28,29,27,20,15,13,10,10,12,12,12,11,7,5,6,6,
14111,Fine Particulate Matter,2020-02-10,7,8,10,11,10,8,9,12,10,8,6,7,6,5,5,5,4,4,4,4,4,4,5,4,
14111,Fine Particulate Matter,2020-02-11,4,5,7,7,9,8,9,11,12,11,10,7,8,7,9,9,9,8,7,8,7,7,7,7,
14111,Fine Particulate Matter,2020-02-12,7,7,8,9,10,10,11,12,13,16,17,16,15,14,12,10,11,11,10,10,12,13,13,15,
14111,Fine Particulate Matter,2020-02-13,20,17,16,17,18,17,18,17,15,7,2,2,2,2,2,2,1,1,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-02-14,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,5,5,5,5,5,6,5,
14111,Fine Particulate Matter,2020-02-15,5,6,6,7,10,11,11,10,8,8,9,8,8,10,9,9,11,10,11,12,12,11,11,12,
14111,Fine Particulate Matter,2020-02-16,13,14,14,14,13,12,12,11,12,11,11,11,10,10,9,8,8,8,9,16,16,11,9,9,
14111,Fine Particulate Matter,2020-02-17,9,8,6,3,3,3,3,4,5,5,5,5,5,4,5,4,5,8,9,10,10,8,9,9,
14111,Fine Particulate Matter,2020-02-18,8,7,7,7,7,7,7,12,18,17,11,6,5,5,5,5,5,5,6,6,7,7,7,7,
14111,Fine Particulate Matter,2020-02-19,7,7,7,7,6,4,4,4,4,3,3,3,3,3,3,4,5,5,5,6,6,6,6,4,
14111,Fine Particulate Matter,2020-02-20,3,2,3,3,3,3,3,4,5,4,4,3,3,3,3,4,5,4,5,5,6,7,6,7,
14111,Fine Particulate Matter,2020-02-21,8,7,6,6,6,6,6,8,9,8,7,7,6,5,5,5,5,5,5,5,5,4,4,5,
14111,Fine Particulate Matter,2020-02-22,6,6,6,6,7,7,7,6,6,6,7,8,8,10,11,12,13,13,14,13,13,12,11,10,
14111,Fine Particulate Matter,2020-02-23,10,10,9,9,9,11,14,16,17,16,15,14,14,14,13,13,14,16,17,17,16,15,15,16,
14111,Fine Particulate Matter,2020-02-24,15,15,16,16,19,21,22,22,21,19,14,11,10,10,10,11,11,10,9,8,7,5,5,6,
14111,Fine Particulate Matter,2020-02-25,6,5,5,5,5,4,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,
14111,Fine Particulate Matter,2020-02-26,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-02-27,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-02-28,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,6,5,4,4,4,4,3,
14111,Fine Particulate Matter,2020-02-29,4,4,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,4,5,6,5,5,5,7,
14111,Fine Particulate Matter,2020-03-01,6,5,5,6,6,6,6,8,12,10,11,8,7,8,8,9,9,9,8,8,7,6,6,7,
14111,Fine Particulate Matter,2020-03-02,7,8,10,12,13,14,11,7,7,8,13,17,20,28,27,19,12,18,20,19,19,19,20,21,
14111,Fine Particulate Matter,2020-03-03,26,22,18,16,14,15,17,18,15,8,7,8,7,9,13,11,7,7,9,12,16,14,9,7,
14111,Fine Particulate Matter,2020-03-04,6,6,6,5,4,4,4,4,4,5,5,5,3,3,3,3,3,3,4,4,4,4,6,5,
14111,Fine Particulate Matter,2020-03-05,4,4,6,6,7,7,7,7,5,4,3,3,3,4,4,5,7,9,10,10,8,6,5,5,
14111,Fine Particulate Matter,2020-03-06,5,6,6,7,8,12,14,14,13,15,13,7,3,2,2,3,3,3,3,3,3,2,2,2,
14111,Fine Particulate Matter,2020-03-07,3,2,3,2,2,2,3,4,3,3,3,3,3,4,5,6,8,9,9,8,8,8,9,9,
14111,Fine Particulate Matter,2020-03-08,9,10,-999,-999,9,11,11,12,12,12,12,12,12,12,11,10,9,9,8,8,7,8,9,10,
14111,Fine Particulate Matter,2020-03-09,10,9,9,10,10,10,10,11,12,11,12,14,14,14,14,15,13,14,15,16,13,12,12,10,
14111,Fine Particulate Matter,2020-03-10,8,8,8,8,9,10,9,9,10,11,7,8,7,6,6,4,4,4,4,5,4,4,3,3,
14111,Fine Particulate Matter,2020-03-11,4,4,5,5,5,5,6,6,5,5,5,4,4,5,5,7,7,6,9,11,13,13,11,10,
14111,Fine Particulate Matter,2020-03-12,10,11,13,14,17,20,22,22,18,19,17,14,13,11,10,9,9,10,11,11,11,11,10,10,
14111,Fine Particulate Matter,2020-03-13,9,8,9,10,3,3,3,3,3,3,2,2,2,2,2,3,4,5,5,6,5,4,5,4,
14111,Fine Particulate Matter,2020-03-14,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-03-15,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
14111,Fine Particulate Matter,2020-03-16,4,3,4,3,4,4,4,4,3,3,3,3,4,4,5,6,7,10,11,11,9,8,11,14,
14111,Fine Particulate Matter,2020-03-17,16,15,14,15,15,14,13,11,10,8,5,4,3,3,3,3,4,4,7,15,21,20,14,8,
14111,Fine Particulate Matter,2020-03-18,4,4,4,4,4,4,5,5,6,8,11,13,13,12,11,11,13,13,12,14,13,12,13,15,
14111,Fine Particulate Matter,2020-03-19,12,12,12,12,13,16,18,18,16,19,15,11,11,7,7,7,7,7,9,7,7,5,4,6,
14111,Fine Particulate Matter,2020-03-20,5,7,9,10,9,10,10,11,8,7,6,5,3,2,2,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-03-21,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,5,4,4,3,3,3,
14111,Fine Particulate Matter,2020-03-22,3,4,4,5,5,5,7,7,6,5,6,5,5,5,5,5,5,6,6,5,5,6,5,5,
14111,Fine Particulate Matter,2020-03-23,4,5,5,5,6,7,7,9,10,10,11,11,10,10,8,6,6,5,5,5,6,7,12,12,
14111,Fine Particulate Matter,2020-03-24,7,7,9,8,8,9,11,12,14,15,14,14,12,15,16,17,17,16,18,18,17,8,8,9,
14111,Fine Particulate Matter,2020-03-25,10,11,12,12,13,15,15,15,13,12,12,12,10,11,12,12,13,15,19,19,15,18,21,22,
14111,Fine Particulate Matter,2020-03-26,21,18,17,17,16,16,14,11,9,9,10,10,12,14,9,10,8,6,5,5,4,4,3,3,
14111,Fine Particulate Matter,2020-03-27,3,4,4,3,3,3,3,3,4,4,4,4,5,6,5,5,5,6,6,6,6,5,4,5,
14111,Fine Particulate Matter,2020-03-28,7,7,7,7,7,8,10,9,7,6,6,6,12,11,11,11,10,9,8,9,9,6,7,8,
14111,Fine Particulate Matter,2020-03-29,9,7,5,3,3,3,4,5,7,9,9,9,8,6,3,2,2,1,1,1,2,2,1,1,
14111,Fine Particulate Matter,2020-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-03-31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,2,2,2,2,2,4,
14111,Fine Particulate Matter,2020-04-01,6,7,9,8,7,4,3,4,4,3,3,3,3,3,3,2,3,3,4,5,5,4,4,5,
14111,Fine Particulate Matter,2020-04-02,9,9,10,7,6,6,7,5,3,3,3,4,5,5,5,5,5,5,5,5,5,6,7,8,
14111,Fine Particulate Matter,2020-04-03,7,7,4,3,3,3,3,2,2,2,2,2,2,2,3,3,4,4,4,4,4,3,2,2,
14111,Fine Particulate Matter,2020-04-04,3,3,3,3,3,3,3,3,3,4,5,5,6,6,6,6,8,8,12,13,12,7,5,4,
14111,Fine Particulate Matter,2020-04-05,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,2,4,
14111,Fine Particulate Matter,2020-04-06,9,9,7,7,7,7,9,8,4,4,3,3,4,5,5,7,7,6,5,5,4,5,8,9,
14111,Fine Particulate Matter,2020-04-07,7,7,7,7,7,7,5,5,6,5,7,9,7,6,5,9,11,18,22,17,21,18,11,12,
14111,Fine Particulate Matter,2020-04-08,15,15,13,15,18,20,10,4,6,7,8,9,8,6,7,7,6,6,6,6,6,6,4,4,
14111,Fine Particulate Matter,2020-04-09,4,4,5,3,3,2,1,1,1,1,1,2,3,3,3,4,4,4,3,3,2,2,2,2,
14111,Fine Particulate Matter,2020-04-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,6,5,4,4,4,2,
14111,Fine Particulate Matter,2020-04-11,2,2,2,2,2,2,3,4,3,3,4,4,5,7,9,9,11,12,11,14,12,11,11,10,
14111,Fine Particulate Matter,2020-04-12,10,11,12,11,10,9,11,12,12,10,10,9,7,8,8,8,8,9,8,8,6,6,5,5,
14111,Fine Particulate Matter,2020-04-13,6,8,8,7,8,8,12,10,7,7,4,5,3,2,2,2,2,2,2,2,2,2,2,2,
14111,Fine Particulate Matter,2020-04-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,4,5,
14111,Fine Particulate Matter,2020-04-15,6,7,7,7,7,7,7,6,5,4,4,5,5,6,6,7,8,7,6,5,6,7,6,7,
14111,Fine Particulate Matter,2020-04-16,8,8,6,5,4,4,3,4,4,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7,
14111,Fine Particulate Matter,2020-04-17,8,8,9,9,9,9,10,9,8,8,8,9,9,7,7,9,8,7,7,6,6,8,11,15,
14111,Fine Particulate Matter,2020-04-18,17,16,15,13,12,12,12,11,10,9,10,10,11,10,7,6,6,8,10,11,10,9,10,11,
14111,Fine Particulate Matter,2020-04-19,11,11,10,10,10,10,11,12,12,12,11,7,5,5,4,3,3,4,4,4,3,3,2,2,
14111,Fine Particulate Matter,2020-04-20,3,3,3,3,4,4,4,3,3,3,3,4,3,4,5,5,6,7,7,6,6,5,5,5,
14111,Fine Particulate Matter,2020-04-21,6,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,
14111,Fine Particulate Matter,2020-04-22,7,7,6,6,5,6,5,5,4,5,4,4,5,5,5,6,7,7,8,7,7,8,9,10,
14111,Fine Particulate Matter,2020-04-23,9,8,8,8,8,7,7,6,6,6,6,5,6,6,6,8,9,9,9,10,11,12,11,11,
14111,Fine Particulate Matter,2020-04-24,11,12,11,12,10,9,9,8,6,5,4,4,5,7,8,9,7,6,6,6,6,5,4,4,
14111,Fine Particulate Matter,2020-04-25,3,3,3,3,3,4,6,6,6,5,6,8,9,10,10,10,8,6,5,5,5,4,4,3,
14111,Fine Particulate Matter,2020-04-26,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,5,5,5,4,5,
14111,Fine Particulate Matter,2020-04-27,5,5,5,6,7,8,8,8,5,4,4,5,5,7,9,11,14,15,12,9,8,7,7,7,
14111,Fine Particulate Matter,2020-04-28,6,6,6,7,7,7,6,4,4,5,6,7,8,8,8,8,8,10,9,8,10,12,10,8,
14111,Fine Particulate Matter,2020-04-29,7,6,7,8,9,9,8,8,8,8,8,9,9,10,11,11,10,9,7,6,5,4,4,4,
14111,Fine Particulate Matter,2020-04-30,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,4,4,2,1,1,2,1,
14111,Fine Particulate Matter,2020-05-01,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,3,4,4,7,6,7,
14111,Fine Particulate Matter,2020-05-02,6,6,6,5,6,7,6,5,6,6,5,5,5,5,5,6,8,10,11,14,15,12,11,13,
14111,Fine Particulate Matter,2020-05-03,15,14,9,9,11,11,10,10,9,6,3,3,3,3,3,4,5,5,4,4,3,2,2,2,
14111,Fine Particulate Matter,2020-05-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,
14111,Fine Particulate Matter,2020-05-05,3,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,3,3,3,2,2,2,2,
14111,Fine Particulate Matter,2020-05-06,2,3,3,2,2,2,2,2,2,2,2,3,4,4,4,5,6,6,6,6,6,5,5,10,
14111,Fine Particulate Matter,2020-05-07,10,6,6,6,6,6,6,7,8,7,6,5,6,5,5,4,3,4,4,4,3,3,2,2,
14111,Fine Particulate Matter,2020-05-08,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,
14111,Fine Particulate Matter,2020-05-09,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,4,5,5,6,6,7,10,8,6,
14111,Fine Particulate Matter,2020-05-10,6,5,5,4,4,5,5,6,7,7,7,8,7,7,7,6,4,3,3,3,2,2,2,2,
14111,Fine Particulate Matter,2020-05-11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,
14111,Fine Particulate Matter,2020-05-12,6,6,6,5,5,5,6,5,5,6,6,5,6,6,6,6,6,5,4,4,4,3,2,2,
14111,Fine Particulate Matter,2020-05-13,3,4,5,4,4,5,5,4,4,4,4,4,5,5,5,6,6,7,7,7,9,8,8,6,
14111,Fine Particulate Matter,2020-05-14,6,5,5,4,3,3,3,3,5,5,7,7,6,7,9,16,25,24,32,24,23,18,20,22,
14111,Fine Particulate Matter,2020-05-15,21,18,17,16,12,13,12,9,8,8,8,6,5,5,6,6,3,1,1,2,3,4,2,1,
14111,Fine Particulate Matter,2020-05-16,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,4,3,3,2,2,2,2,
14111,Fine Particulate Matter,2020-05-17,2,2,2,2,2,2,3,4,4,4,5,4,4,4,7,8,8,9,8,8,7,6,5,5,
14111,Fine Particulate Matter,2020-05-18,5,6,8,7,6,6,7,9,9,9,9,9,9,9,10,10,9,9,11,9,9,9,9,4,
14111,Fine Particulate Matter,2020-05-19,2,3,3,2,2,3,3,3,3,3,4,4,5,5,6,6,8,8,8,7,6,7,6,4,
14111,Fine Particulate Matter,2020-05-20,4,4,3,3,3,3,3,4,5,5,4,4,4,4,4,3,3,4,4,4,5,5,7,9,
14111,Fine Particulate Matter,2020-05-21,9,8,8,8,6,5,4,3,3,4,4,5,4,6,7,7,6,6,7,8,8,6,7,10,
14111,Fine Particulate Matter,2020-05-22,10,10,12,13,10,10,9,10,11,10,10,10,11,10,11,10,8,9,8,9,12,11,13,14,
14111,Fine Particulate Matter,2020-05-23,15,16,19,17,14,12,11,10,8,8,8,8,6,6,7,7,7,6,7,7,7,7,7,7,
14111,Fine Particulate Matter,2020-05-24,5,5,5,4,4,5,6,6,6,7,8,9,10,11,11,11,11,11,11,11,12,12,11,12,
14111,Fine Particulate Matter,2020-05-25,13,15,17,16,18,18,15,11,8,9,8,10,11,11,10,10,8,8,6,7,8,8,7,8,
14111,Fine Particulate Matter,2020-05-26,8,9,9,9,9,9,9,11,9,9,10,9,9,8,7,8,7,6,7,7,6,5,8,10,
14111,Fine Particulate Matter,2020-05-27,11,13,13,11,11,10,9,8,8,9,9,11,8,8,9,10,10,11,11,11,9,9,10,10,
14111,Fine Particulate Matter,2020-05-28,9,8,7,5,4,5,5,4,5,5,5,5,7,7,7,5,4,4,4,7,5,4,2,4,
14111,Fine Particulate Matter,2020-05-29,4,6,5,6,5,6,12,12,10,10,10,8,8,5,3,2,1,1,1,2,3,3,5,7,
14111,Fine Particulate Matter,2020-05-30,7,6,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,
14111,Fine Particulate Matter,2020-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,3,
14111,Fine Particulate Matter,2020-06-01,5,5,4,4,7,10,11,6,6,3,2,2,3,4,5,5,5,7,9,7,5,7,8,5,
14111,Fine Particulate Matter,2020-06-02,3,6,7,8,7,4,5,6,7,7,5,9,13,20,26,31,29,27,25,21,23,22,22,20,
14111,Fine Particulate Matter,2020-06-03,18,13,13,6,4,4,4,6,6,7,7,8,6,3,3,3,3,2,3,5,4,3,7,9,
14111,Fine Particulate Matter,2020-06-04,7,7,8,10,11,11,11,11,12,10,8,6,7,7,5,9,12,13,11,10,10,14,20,29,
14111,Fine Particulate Matter,2020-06-05,28,16,14,16,16,17,18,17,14,12,12,11,10,9,8,7,7,7,3,4,7,6,12,11,
14111,Fine Particulate Matter,2020-06-06,10,10,5,3,2,5,5,4,5,3,2,2,2,2,2,3,2,1,1,1,2,3,4,5,
14111,Fine Particulate Matter,2020-06-07,5,4,2,1,2,2,1,3,4,3,3,3,3,1,1,1,3,5,5,3,3,2,2,3,
14111,Fine Particulate Matter,2020-06-08,3,3,2,2,1,1,2,2,3,2,3,3,5,6,7,12,13,13,13,14,9,10,5,3,
14111,Fine Particulate Matter,2020-06-09,4,5,6,4,2,2,3,7,10,14,13,14,15,13,13,10,12,9,8,6,6,7,7,8,
14111,Fine Particulate Matter,2020-06-10,17,22,26,25,27,28,31,37,39,38,37,9999,9999,9999,21,19,12,2,4,5,5,7,5,2,
14111,Fine Particulate Matter,2020-06-11,0,9999,9999,9999,0,0,0,1,2,2,2,1,1,1,0,0,1,0,0,0,2,1,0,1,
14111,Fine Particulate Matter,2020-06-12,0,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,0,0,1,1,1,2,3,1,2,
14111,Fine Particulate Matter,2020-06-13,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,
14111,Fine Particulate Matter,2020-06-14,2,3,5,6,7,9,9,4,2,2,3,3,4,3,3,2,2,3,3,3,2,2,3,4,
14111,Fine Particulate Matter,2020-06-15,4,3,3,3,4,3,3,8,7,6,6,7,8,7,9,8,8,6,6,6,5,4,7,20,
14111,Fine Particulate Matter,2020-06-16,10,5,4,5,6,6,3,3,3,2,3,3,2,2,1,2,1,1,1,2,2,2,3,3,
14111,Fine Particulate Matter,2020-06-17,4,6,8,8,12,16,14,9,9,10,9,8,7,6,5,7,5,5,3,2,3,2,5,15,
14111,Fine Particulate Matter,2020-06-18,16,16,21,22,20,17,13,12,12,12,12,10,9,10,13,12,9,10,13,14,11,10,10,12,
14111,Fine Particulate Matter,2020-06-19,14,19,27,22,18,15,14,13,11,11,9,8,5,4,5,4,5,7,7,6,7,10,10,18,
14111,Fine Particulate Matter,2020-06-20,31,38,30,24,23,22,24,19,12,8,7,8,9,11,9,8,7,7,5,5,6,9,10,7,
14111,Fine Particulate Matter,2020-06-21,6,6,6,7,9,10,11,12,14,12,12,10,12,11,9,9,9,10,8,9,11,13,15,15,
14111,Fine Particulate Matter,2020-06-22,14,14,15,19,20,14,13,12,12,9,7,7,10,11,12,14,16,16,16,15,13,11,8,9,
14111,Fine Particulate Matter,2020-06-23,10,7,4,6,7,7,8,10,11,12,14,6,4,4,4,3,3,3,2,2,1,1,1,1,
14111,Fine Particulate Matter,2020-06-24,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,6,12,9,
14111,Fine Particulate Matter,2020-06-25,8,12,13,11,14,10,11,14,5,2,1,1,2,5,5,6,6,5,6,8,12,12,7,7,
14111,Fine Particulate Matter,2020-06-26,8,8,8,6,3,3,2,2,2,2,3,4,4,6,14,14,17,12,9,13,20,23,18,18,
14111,Fine Particulate Matter,2020-06-27,20,16,12,7,7,7,6,8,6,6,4,4,5,3,2,3,4,3,3,3,6,10,7,6,
14111,Fine Particulate Matter,2020-06-28,6,6,2,6,10,9,5,5,8,14,10,6,2,7,12,17,19,18,15,10,12,12,15,12,
14111,Fine Particulate Matter,2020-06-29,11,13,9,8,6,5,4,4,6,6,5,4,3,4,3,4,5,2,1,1,2,4,8,8,
14111,Fine Particulate Matter,2020-06-30,5,3,5,7,5,5,3,3,5,3,4,3,4,4,3,2,5,2,2,3,2,2,4,5,
14111,Fine Particulate Matter,2020-07-01,5,3,3,3,3,3,6,4,2,4,7,7,7,6,6,5,4,3,5,7,9,12,12,14,
14111,Fine Particulate Matter,2020-07-02,12,12,13,10,10,10,8,6,2,2,2,5,5,4,2,2,2,2,2,2,10,25,31,17,
14111,Fine Particulate Matter,2020-07-03,13,11,14,10,8,13,13,9,13,12,7,8,7,9,7,3,2,2,2,2,2,3,3,2,
14111,Fine Particulate Matter,2020-07-04,3,3,2,2,3,4,4,4,5,5,5,5,5,5,3,2,2,2,2,2,3,5,5,8,
14111,Fine Particulate Matter,2020-07-05,8,29,74,50,38,28,19,13,11,10,8,7,7,7,6,6,7,9,12,10,8,5,6,10,
14111,Fine Particulate Matter,2020-07-06,13,16,15,15,14,15,15,14,14,15,19,15,15,13,11,12,13,13,11,12,12,11,10,11,
14111,Fine Particulate Matter,2020-07-07,11,10,12,13,11,11,11,12,10,11,10,9,10,11,9,9,6,6,8,10,11,13,10,9,
14111,Fine Particulate Matter,2020-07-08,8,8,7,8,11,15,13,11,15,20,14,13,10,8,5,6,5,7,9,9,8,7,5,3,
14111,Fine Particulate Matter,2020-07-09,3,3,5,8,11,15,22,26,20,17,17,19,15,11,10,12,10,11,9,6,4,4,5,6,
14111,Fine Particulate Matter,2020-07-10,4,4,6,6,7,13,20,19,14,14,16,13,12,9,5,5,6,4,4,5,6,8,14,12,
14111,Fine Particulate Matter,2020-07-11,4,3,4,1,2,1,2,3,4,4,3,3,4,4,2,3,3,3,3,3,5,11,24,27,
14111,Fine Particulate Matter,2020-07-12,12,5,5,5,11,12,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,
