Sarnia, (14111) Hourly, Sulphur dioxide (SO2) Concentrations
Station,Sarnia (14111)
Address,700 Christina St. N.
Latitude,42.990263
Longitude,-82.395341
Elevation, 182 metres
Air intake height,5 metres
Pollutant,Sulphur Dioxide (sulphur dioxide SO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
14111,Sulphur Dioxide,2020-01-01,0.2,1.4,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0,0.3,3.7,22.4,4.4,11.2,10.1,30.2,13.4,8.6,65,
14111,Sulphur Dioxide,2020-01-02,62,54.2,74.9,81.7,84.4,76.7,74.3,70.2,76.6,66.5,66.8,54.7,7.3,5.3,22.7,11.7,13.7,13.8,4.1,11.1,33,43.6,40.8,25.3,
14111,Sulphur Dioxide,2020-01-03,21.8,9,4.8,3.3,7.9,2.8,1.8,1.7,1.5,1.5,1.6,1.3,0.8,0.8,0.6,0.5,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.1,
14111,Sulphur Dioxide,2020-01-04,0.1,1.3,0.6,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,
14111,Sulphur Dioxide,2020-01-05,0,0.9,0.4,1.9,0.7,0.3,0.2,0.4,0.3,0.4,0.2,0.1,0.1,11.5,14.2,10.8,1.4,0.5,0.4,0.3,6.4,4.7,1.5,1,
14111,Sulphur Dioxide,2020-01-06,1.1,2.1,1.1,9999,3.6,1.5,0.9,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,
14111,Sulphur Dioxide,2020-01-07,0.4,1.5,0.7,0.6,2.7,4.7,5,10.3,16.9,38.2,8.1,1.5,1.2,0.5,1.9,1.5,0.3,0.8,1.3,1,0.7,0.6,0.6,0.4,
14111,Sulphur Dioxide,2020-01-08,0.2,1.9,0.9,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14111,Sulphur Dioxide,2020-01-09,0,1.1,0.4,3.1,1,0.8,0.6,0.5,0.6,4.6,1.8,1.5,0.9,0.8,0.8,1.3,0.8,1.3,3,1.3,1,1,7.5,58.5,
14111,Sulphur Dioxide,2020-01-10,48.6,16.4,15.8,22.6,10.8,6.6,20.6,59.7,64.9,53.1,50.6,65.2,47.6,26.8,5.7,2.7,3.5,1.7,1.1,0.7,0.6,0.5,0.4,0.3,
14111,Sulphur Dioxide,2020-01-11,0.3,1.5,0.7,0.5,0.3,0.3,3.8,1.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,
14111,Sulphur Dioxide,2020-01-12,0,0.8,0.2,2.4,0.6,0.4,0.3,0.2,0.1,0.3,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0,
14111,Sulphur Dioxide,2020-01-13,0,1.2,0.4,9999,4.3,1.5,1.3,0.8,0.6,3.5,1.2,0.9,0.9,0.9,0.9,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.6,
14111,Sulphur Dioxide,2020-01-14,1.3,2.8,1.4,0.7,0.6,0.5,0.5,0.4,0.3,0.4,0.5,0.7,2.2,2.1,1,0.8,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.2,
14111,Sulphur Dioxide,2020-01-15,0.2,1.1,0.6,0.3,0.2,0.1,0.1,0.2,0.2,0.9,2.5,2.2,1.3,0.9,0.7,0.7,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0.1,
14111,Sulphur Dioxide,2020-01-16,0.1,1.7,0.8,3.3,1,0.7,0.5,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,
14111,Sulphur Dioxide,2020-01-17,0,0.3,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,
14111,Sulphur Dioxide,2020-01-18,0.1,0.8,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.9,0.3,0.2,0.2,0.1,16.9,3.5,1.2,1.1,0.9,0.7,0.5,0.4,0.3,
