Grand Bend, (15020) Hourly, Ground-level ozone (O3) Concentrations
Station,Grand Bend (15020)
Address,Point Blake Conservation Area
Latitude,43.333084
Longitude,-81.74289
Elevation, 185 metres
Air intake height,5 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15020,Ozone,2020-01-01,33,32,32,32,33,33,35,38,40,39,38,37,36,36,35,34,32,29,30,28,28,27,28,31,
15020,Ozone,2020-01-02,31,30,29,29,29,29,29,30,30,30,29,29,29,29,28,28,28,27,26,25,25,24,24,23,
15020,Ozone,2020-01-03,22,22,21,19,18,16,17,16,15,14,17,18,21,27,26,27,31,35,35,35,35,33,28,27,
15020,Ozone,2020-01-04,27,30,30,29,30,31,29,28,30,31,33,32,33,32,31,30,31,30,30,30,31,30,30,30,
15020,Ozone,2020-01-05,31,34,33,35,35,36,37,35,35,34,35,36,37,37,36,36,32,31,31,29,29,29,28,25,
15020,Ozone,2020-01-06,24,27,27,9999,32,34,34,34,34,33,33,33,35,37,37,38,38,39,38,37,37,36,34,32,
15020,Ozone,2020-01-07,32,30,29,25,23,21,19,16,15,15,18,21,23,21,22,24,21,36,34,32,32,32,32,35,
15020,Ozone,2020-01-08,38,37,38,39,37,36,35,34,33,31,31,30,30,31,33,35,35,36,36,36,36,36,36,35,
15020,Ozone,2020-01-09,34,34,32,29,27,27,29,29,31,31,30,32,34,33,32,32,31,30,30,30,29,25,24,26,
15020,Ozone,2020-01-10,29,31,29,29,30,29,29,28,27,26,26,26,26,25,25,21,19,20,19,18,17,18,18,21,
15020,Ozone,2020-01-11,22,25,27,29,29,30,31,32,27,26,25,24,24,25,26,28,29,30,34,32,32,31,30,29,
15020,Ozone,2020-01-12,28,29,28,33,34,35,35,35,35,36,36,37,37,37,37,37,37,35,35,37,37,36,36,33,
15020,Ozone,2020-01-13,31,31,30,9999,27,26,25,23,21,21,20,19,18,20,20,20,21,20,19,19,19,21,16,12,
15020,Ozone,2020-01-14,12,11,14,13,13,15,19,19,18,19,20,21,20,19,21,21,21,19,21,22,22,27,29,28,
