Grand Bend, (15020) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Grand Bend (15020)
Address,Point Blake Conservation Area
Latitude,43.333084
Longitude,-81.74289
Elevation, 185 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15020,Fine Particulate Matter,2020-01-01,2,2,2,2,2,1,2,2,3,3,3,6,4,5,5,6,9,13,10,10,9,8,7,5,
15020,Fine Particulate Matter,2020-01-02,5,5,5,5,4,4,4,4,11,5,4,5,4,5,5,7,5,6,6,6,5,5,6,6,
15020,Fine Particulate Matter,2020-01-03,7,8,8,9,9,10,11,13,14,14,16,12,12,8,9,8,6,4,4,3,3,4,4,4,
15020,Fine Particulate Matter,2020-01-04,4,4,4,4,3,3,3,3,3,7,10,2,1,1,1,1,1,1,1,1,1,1,1,1,
15020,Fine Particulate Matter,2020-01-05,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,4,5,4,4,5,4,4,5,
15020,Fine Particulate Matter,2020-01-06,5,5,3,3,3,2,2,2,3,3,3,4,3,3,2,2,3,3,3,2,2,3,3,3,
15020,Fine Particulate Matter,2020-01-07,4,5,5,5,5,6,6,6,10,12,10,8,8,8,8,7,6,5,4,5,4,4,5,4,
15020,Fine Particulate Matter,2020-01-08,3,3,3,3,2,2,2,2,2,2,11,8,5,4,4,3,4,4,3,4,3,3,3,3,
15020,Fine Particulate Matter,2020-01-09,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,
15020,Fine Particulate Matter,2020-01-10,5,5,5,5,4,3,4,5,7,8,4,2,2,2,3,5,4,3,5,5,5,7,6,6,
15020,Fine Particulate Matter,2020-01-11,4,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
15020,Fine Particulate Matter,2020-01-12,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,4,
15020,Fine Particulate Matter,2020-01-13,3,3,3,4,4,4,5,6,10,10,9,20,13,6,5,6,6,6,7,7,6,6,8,9,
15020,Fine Particulate Matter,2020-01-14,11,16,13,13,16,14,7,7,8,10,10,10,9,9,10,9,9,11,9,7,8,7,7,7,
15020,Fine Particulate Matter,2020-01-15,7,7,8,9,8,5,4,4,4,5,5,5,5,6,7,7,9,10,11,11,11,10,10,10,
15020,Fine Particulate Matter,2020-01-16,10,9,8,5,5,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,
15020,Fine Particulate Matter,2020-01-17,5,8,7,6,5,4,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,4,
15020,Fine Particulate Matter,2020-01-18,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,5,6,7,7,6,6,5,
15020,Fine Particulate Matter,2020-01-19,5,6,6,6,7,7,7,-999,-999,5,4,2,2,2,2,2,2,2,2,9999,9999,9999,9999,9999,
15020,Fine Particulate Matter,2020-01-20,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
15020,Fine Particulate Matter,2020-01-21,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,3,4,3,4,4,4,4,
15020,Fine Particulate Matter,2020-01-22,3,4,6,7,8,10,10,11,14,15,14,13,13,12,12,12,13,14,14,14,14,14,13,14,
15020,Fine Particulate Matter,2020-01-23,14,14,14,14,14,15,16,17,17,17,15,14,12,12,12,12,14,16,15,16,15,15,14,14,
15020,Fine Particulate Matter,2020-01-24,14,15,16,15,14,13,12,12,14,16,16,14,13,12,12,11,10,10,10,11,11,9,7,7,
15020,Fine Particulate Matter,2020-01-25,8,9,9,10,10,8,8,8,8,9,9,6,6,7,8,7,8,7,7,7,6,6,6,6,
15020,Fine Particulate Matter,2020-01-26,8,8,8,7,7,7,7,7,7,6,6,5,5,4,4,4,3,3,3,3,3,3,2,2,
15020,Fine Particulate Matter,2020-01-27,2,3,3,2,2,2,2,2,4,4,4,3,3,3,3,2,3,3,3,3,2,2,2,2,
15020,Fine Particulate Matter,2020-01-28,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
15020,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,
15020,Fine Particulate Matter,2020-01-30,3,4,5,6,9,11,12,12,13,14,14,13,11,10,9,9,11,11,10,11,10,10,10,10,
15020,Fine Particulate Matter,2020-01-31,11,11,12,12,13,13,13,14,15,16,17,17,21,17,15,15,16,15,15,16,16,16,17,16,
15020,Fine Particulate Matter,2020-02-01,15,15,15,15,16,17,15,16,20,22,19,17,15,15,14,14,14,14,14,14,13,13,12,10,
15020,Fine Particulate Matter,2020-02-02,10,10,10,10,10,10,12,11,11,11,11,10,10,10,9,9,9,9,9,9,9,8,7,6,
15020,Fine Particulate Matter,2020-02-03,7,7,7,6,6,5,5,5,6,5,6,5,5,6,5,5,5,5,5,5,5,5,5,4,
15020,Fine Particulate Matter,2020-02-04,4,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
15020,Fine Particulate Matter,2020-02-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,4,5,4,4,4,4,
15020,Fine Particulate Matter,2020-02-06,4,4,4,4,4,4,5,5,4,3,3,3,2,2,3,2,2,3,3,3,3,2,2,2,
15020,Fine Particulate Matter,2020-02-07,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,6,6,6,6,5,5,5,4,
15020,Fine Particulate Matter,2020-02-08,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,5,
15020,Fine Particulate Matter,2020-02-09,8,9,8,9,9,10,10,11,12,17,19,20,19,18,18,15,15,15,14,12,9,8,8,7,
15020,Fine Particulate Matter,2020-02-10,7,7,8,8,8,7,9,9,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,
15020,Fine Particulate Matter,2020-02-11,4,4,4,4,5,5,6,6,4,4,5,5,5,6,7,8,10,11,11,11,9,8,8,8,
