London, (15026) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,London (15026)
Address,42 St. Julien St.
Latitude,42.974485
Longitude,-81.200813
Elevation, 244 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15026,Nitrogen Dioxide,2020-01-01,4.3,4.4,4,3.7,3.8,3,3.5,3.7,2.9,3.3,3.3,3.5,3.5,3,3.6,4.2,5.4,6.1,6,5.2,4.7,4.5,3.6,3.5,
15026,Nitrogen Dioxide,2020-01-02,3.5,4.1,4.4,4,3.7,3.3,4.2,5.3,5.9,5,4.5,4.3,4.3,4.3,3.8,5.3,5.4,5.8,5.2,5.3,5.2,5.6,5.9,6.5,
15026,Nitrogen Dioxide,2020-01-03,5.7,8.5,5.4,5.9,5.9,6,7.5,8.3,8.5,9.8,9,7.1,5.1,6.6,6.6,6.9,5.4,4.8,5.5,8.1,7.1,6.6,5.9,9.4,
15026,Nitrogen Dioxide,2020-01-04,9.2,7.2,4.6,4.5,6.5,7.6,6.7,8.5,11.5,7.7,6,3.5,3.9,3.6,3.6,4.3,4.1,3.1,3.1,3.5,3.7,4.2,3.9,3.3,
15026,Nitrogen Dioxide,2020-01-05,3.1,3.5,2.9,3.2,3.2,3.8,4.6,4.7,3.7,3.2,3.8,3.5,2.6,2.8,2.5,1.5,2.4,2.8,3.1,4.2,4,3.8,4.5,6,
15026,Nitrogen Dioxide,2020-01-06,4.6,5.3,4.2,9999,3.5,3.2,4,4.1,3.9,3.7,3.3,3,2.6,3.2,3.6,4.7,5.2,5.8,7,8.3,8.5,8,7.5,8.2,
15026,Nitrogen Dioxide,2020-01-07,8,8.5,8.5,12,11.1,13.7,23.8,23.9,19.9,14.7,10,7.6,5.2,6.2,7.5,9.3,10.1,11.7,13,6.8,6.9,6.4,5.9,6,
15026,Nitrogen Dioxide,2020-01-08,5.2,4.1,3.6,5.1,4,4.5,3.5,4.9,4.5,4.1,3,2,1.8,1.9,2.2,3,3.3,3.9,4.8,4.6,4.6,5.4,6.5,5.2,
15026,Nitrogen Dioxide,2020-01-09,5.4,5.3,5,13.1,13.5,14,14.2,4.5,4.5,3.8,2.9,2.2,2.3,2.3,2.7,2.8,3.6,3.8,3.2,3.8,4.8,11.3,10.8,7,
15026,Nitrogen Dioxide,2020-01-10,5.4,3.7,3.5,3.1,3.4,3.2,3.5,4.4,4.8,6.7,5.5,5.1,5.4,5.1,5.6,7.8,8.3,11.5,7.9,7.8,6.5,8.9,8.1,6.8,
15026,Nitrogen Dioxide,2020-01-11,3.9,7.1,5.1,3.6,4.2,6.9,2.6,2.3,3.1,5.9,6.2,5.7,8.9,4.4,3.2,3.5,2.9,2.6,3.5,3.8,4,2.6,4.4,5.9,
