London, (15026) Hourly, Nitrogen oxides (NOx) Concentrations
Station,London (15026)
Address,42 St. Julien St.
Latitude,42.974485
Longitude,-81.200813
Elevation, 244 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15026,Nitrogen Oxides,2020-01-01,4.7,4.9,4.5,4.2,4.4,3.5,4.2,4.2,3.4,4,4.1,4.5,4.7,3.9,4.5,5.1,5.9,6.2,6.2,5.4,4.8,4.6,3.5,3.5,
15026,Nitrogen Oxides,2020-01-02,3.5,4.2,4.5,4.2,3.8,3.4,4.2,5.4,6.2,5.4,5.2,4.9,4.8,5.1,4.4,5.6,5.5,5.9,5.3,5.4,5.2,5.7,5.9,6.6,
15026,Nitrogen Oxides,2020-01-03,5.8,8.9,5.7,6.1,6.1,6.2,7.9,8.9,9.4,11.2,10.3,8.5,6.1,7.4,7.3,7.7,5.6,5,5.7,8.2,7.2,6.7,6,9.6,
15026,Nitrogen Oxides,2020-01-04,9.2,7.3,4.6,4.4,6.5,7.7,6.7,8.6,12.1,8.4,6.7,3.9,4.3,3.9,3.9,4.6,4.5,3.4,3.4,4,4,4.6,4.3,3.8,
15026,Nitrogen Oxides,2020-01-05,3.6,4.1,3.4,3.7,3.8,4.4,5.4,5.2,4.5,3.8,4.5,4.4,3.3,3.3,2.7,1.5,2.4,2.8,3.1,4.1,3.9,3.7,4.7,6.4,
15026,Nitrogen Oxides,2020-01-06,5,5.9,4.9,9999,4.2,3.7,4.6,4.6,4.7,4.8,4.4,4.1,3.4,4.3,4.8,5.7,5.8,6.3,7.6,9.1,9.3,8.8,8.4,9.4,
15026,Nitrogen Oxides,2020-01-07,9.1,9.1,8.7,12.4,11.6,14.2,28.9,30,25.7,22,15.6,11.5,7.2,8.3,10,11.3,10.7,11.9,13.5,7.3,7.4,7.1,6.4,6.5,
15026,Nitrogen Oxides,2020-01-08,5.6,4.7,4.3,5.7,4.6,4.9,3.8,5.3,5.1,5.2,4.1,2.9,2.7,3,3.2,4.1,4,4.4,5.4,5,5,6.4,7.3,5.3,
15026,Nitrogen Oxides,2020-01-09,5.5,5.4,5,13.1,13.4,14.1,14.4,4.4,4.7,4.6,3.7,2.8,3,2.7,3.2,3.2,3.7,3.8,3.2,3.7,4.7,11.3,10.8,7,
15026,Nitrogen Oxides,2020-01-10,5.3,3.7,3.5,3.1,3.4,3.2,3.5,4.4,4.9,6.9,5.8,5.5,5.8,5.6,6,8.2,8.3,11.6,7.9,7.8,6.5,8.9,8.1,6.8,
15026,Nitrogen Oxides,2020-01-11,3.9,7.1,5.1,3.6,4.1,6.9,2.6,2.3,3.3,6.1,6.5,6.1,9.8,4.9,3.4,3.7,3,2.7,3.6,3.8,4,2.6,4.4,5.8,
15026,Nitrogen Oxides,2020-01-12,5.2,4.7,6.1,3.8,3.5,1.9,1.8,2.9,3.4,2.6,3,2.8,3.2,2.9,2.5,2.2,2.6,2.4,1.5,1.2,1.1,0.9,1.1,1.2,
15026,Nitrogen Oxides,2020-01-13,1.2,1.1,1,9999,1.9,2.4,3.7,6,7.4,10,10.8,10.3,8.5,6.4,6.7,8.9,15.4,18.7,18.3,16.8,16,14.4,15.2,12.6,
15026,Nitrogen Oxides,2020-01-14,16.7,10.2,8.2,9.1,5.7,3.7,5.5,8.4,10.7,9.2,7.8,6.7,7.1,8.1,10.2,6.6,7.3,9.5,11.4,10.8,8.5,6,6.8,6.1,
15026,Nitrogen Oxides,2020-01-15,5.1,4.9,7.1,4.8,5.9,8.6,12.8,14,19.2,12.6,8.7,6,3.8,4.1,3.5,3.8,4.4,7,7.5,7.1,4.2,4.8,4.1,11.5,
15026,Nitrogen Oxides,2020-01-16,8.6,5.9,4.9,4.6,4,4.7,4.1,4.5,5.3,5.9,4.9,4.5,4.1,4.4,4.3,3.6,4,6.5,6.4,3.2,4.1,3.9,6.5,3.2,
15026,Nitrogen Oxides,2020-01-17,3.9,5.9,7.5,5.4,6.4,5,3.7,4.8,7.1,5.8,3.3,3.2,2.5,2.4,2.3,3.4,3.5,5.2,5.6,4.5,3.6,3,3.5,4.1,
15026,Nitrogen Oxides,2020-01-18,4.1,3,3.2,3.7,3.2,3.2,3,3.3,4.2,4.2,4,3.6,3.5,4.3,5.3,6.6,6,5.3,5.6,6,5.2,5.3,5,6.4,
15026,Nitrogen Oxides,2020-01-19,4.9,4.5,4.6,4.1,4.2,4.2,4.8,5.2,5.2,5.2,12.5,5.8,5.2,5.6,7.6,4.8,3.8,7.2,5.7,7.1,7.5,19.2,26,18.7,
15026,Nitrogen Oxides,2020-01-20,16.8,28.8,34.7,9999,41.7,39,46.8,71.3,81.2,56.5,28.1,12.5,6.2,4.8,4.1,4.5,6.6,8.7,9.5,7.9,7.7,5.7,5.8,5.5,
15026,Nitrogen Oxides,2020-01-21,5.4,6.1,6.6,6,5.6,5.4,5.7,6.5,6.9,8.4,6.7,5.2,4.4,4.1,4.1,4.2,5.1,6.6,11.8,12.3,16.1,14.8,11.5,10.5,
15026,Nitrogen Oxides,2020-01-22,11.3,13.9,10.4,7.5,10.2,8.4,10.3,13.2,10.5,8.8,6.4,6.3,5.5,7.1,7.3,7.9,10.5,13.1,11.4,11.7,12.5,20.7,24.5,24.4,
15026,Nitrogen Oxides,2020-01-23,26.3,30.8,27.1,25.4,24.5,26.3,39.7,54.9,105.5,69.6,28.5,21,19.6,20.7,19.5,16.2,17.2,17.1,18.8,20.8,14.9,11.9,10.3,9.5,
15026,Nitrogen Oxides,2020-01-24,14.2,15.6,14.9,14,12.1,11.7,15.4,16.5,14.8,12.5,12,11.1,9.6,8.4,8,11.4,10.6,9.8,9.2,8,7.5,6.7,4.8,4.4,
15026,Nitrogen Oxides,2020-01-25,4.9,5.9,5.3,4.9,4.2,4.8,5,4,6.6,8.4,7.7,7,7.4,8.3,6.1,5.7,7.2,7.8,7.7,7.6,7.5,6.8,7.6,7.7,
15026,Nitrogen Oxides,2020-01-26,6.7,8.2,9.4,10.5,9.5,9.2,8.5,8.2,6.7,6.4,6.1,6.2,5.8,6.2,6.3,6.8,6.9,6.5,5.7,5.5,5.2,6.6,5.5,6.2,
15026,Nitrogen Oxides,2020-01-27,4.6,4.6,4.9,9999,5,5.4,7,6.7,7.7,7.1,4.8,3.8,3.8,4.3,5.3,5.3,4.6,4.2,5.9,6.8,6.2,6.4,4,4.7,
15026,Nitrogen Oxides,2020-01-28,4.7,4,5.9,5.6,8.6,5.2,6,7.1,7.1,6,5.5,5.7,3.3,4.2,4.9,4.1,4.1,4.6,4.4,3.1,4.4,5.7,5.1,6.1,
15026,Nitrogen Oxides,2020-01-29,4.6,3.4,3.1,5.7,3.3,4.4,3.9,4.8,5.1,4.1,3.6,3,2.3,2.5,2.4,2.3,3.2,5.8,9.7,11.6,17.4,14.9,12.1,7.4,
15026,Nitrogen Oxides,2020-01-30,8.9,9.9,10,9.3,9.5,11.5,17,19.4,21.1,16.1,15.8,12.8,7.5,7.6,6.8,5.8,6.3,7,7.9,9.1,8.3,9.2,13,12.5,
15026,Nitrogen Oxides,2020-01-31,12.1,11,11.9,9.6,6.4,6,8.2,11.4,11.2,13.9,13.6,9.8,5.6,5.1,4.8,4.9,5.2,6.1,7.6,9,11.6,10.6,11.1,10.3,
15026,Nitrogen Oxides,2020-02-01,9.3,10.3,6.9,8.5,10.5,11.3,14.1,19.7,17.7,15.2,11.1,6,4.1,4.6,4.5,4.2,4.8,5.7,6,5.1,5,5.6,6.8,8.7,
15026,Nitrogen Oxides,2020-02-02,10.5,8.3,7.4,7.5,9.1,7.4,7.6,4.8,4.2,3.5,4.6,5.3,5.9,7.6,7.9,7.7,9.4,11.3,14.6,16,12.4,12.1,6.6,6.5,
15026,Nitrogen Oxides,2020-02-03,5.7,6.8,5.4,9999,5.9,5.7,8.4,9999,9999,10.2,8.3,7,7.6,8,6.2,5.8,5.8,6.6,11,10.9,15.3,10.9,6.4,10,
15026,Nitrogen Oxides,2020-02-04,12.3,17.7,12.5,19.4,17.3,15.4,10.3,8.8,8.5,5.8,7.2,6.8,5.4,5.3,4.8,4.6,5,4.1,3.2,3.8,2.9,2.5,2.2,2.4,
15026,Nitrogen Oxides,2020-02-05,2.2,2.4,2.2,3,2.2,2.7,3.7,5.7,4.6,2.9,2.3,2.2,2.8,5.2,5.1,4.6,5.6,5.4,7.8,11.5,15,13.2,11.5,10.7,
15026,Nitrogen Oxides,2020-02-06,9.2,8.6,5.2,6.8,7.9,6.4,6.3,7.2,6.5,6.7,5.2,5.2,4.5,4.1,4.4,5,5.3,5.2,8.8,7.2,4.3,3.4,4.1,6,
15026,Nitrogen Oxides,2020-02-07,6.2,6.1,2.7,4.6,3.3,3.3,5.8,6.6,5.9,7.9,4.9,4.2,4.4,3.9,3.9,3.4,3.1,3.5,5.4,5.9,11.3,9.7,9.2,8.6,
15026,Nitrogen Oxides,2020-02-08,8.3,11.9,7.3,7.6,6.9,11.6,10.5,10.2,11.4,8.4,6.2,7.4,6.8,7,5.3,4.2,4.3,3.2,3.3,6.1,8.4,10.1,9.2,7.5,
15026,Nitrogen Oxides,2020-02-09,7.6,14.3,10.5,8.6,5.9,6.8,7.4,6,7.7,9.6,7.7,5.8,4.2,3.8,2.8,2.8,3.3,4.2,3.4,3,2.6,3.1,5,3.4,
15026,Nitrogen Oxides,2020-02-10,3.3,7,5.3,9999,6.9,7.2,8.8,15.4,10.4,10,5.8,4.5,5.1,4.2,4.5,4,3.9,7.6,8.9,12.2,20.5,21.1,20.8,7.8,
15026,Nitrogen Oxides,2020-02-11,5.5,6.9,6.7,7.5,6.8,14,9.9,7.6,7.1,6.4,5.8,5.4,5,4.5,4.4,5.9,12.6,12.1,7.2,6.8,4,4.3,4.3,4.4,
15026,Nitrogen Oxides,2020-02-12,5.1,4.3,5.1,4.5,4.9,6.7,9.7,20.9,25.6,9.2,6,4.7,4.3,5.2,5.4,4.6,4.6,5.6,7,8.1,7.7,7.7,8.7,7.7,
15026,Nitrogen Oxides,2020-02-13,7.9,10.7,9.2,10.7,8.6,7.4,13.2,22.3,15,11.1,9.4,7,6,5.2,5.4,4.6,4.2,3.8,4.7,3.7,3.9,4.8,3.6,3.8,
15026,Nitrogen Oxides,2020-02-14,3.5,3.8,5.7,5.4,5.1,3.9,3.8,6.2,9.5,8.3,7.1,8,6.5,4.6,3.8,4.4,3.7,3.2,4.5,6.8,9.4,8.4,11,13.9,
15026,Nitrogen Oxides,2020-02-15,11,11.1,6.2,10.4,8,7.2,9.5,8.4,7.2,5.3,3.7,4.5,3.9,3.9,3.9,3.5,4.2,5.1,5.1,4.6,7,6.4,6,4.4,
15026,Nitrogen Oxides,2020-02-16,4.9,5.6,5.6,6.9,6.2,7.1,6.8,7.8,6.9,6.2,5,4.7,4.8,4,3.9,4.1,5,6.7,9.6,10.4,11.4,9.6,9.7,11.3,
15026,Nitrogen Oxides,2020-02-17,11.3,8.5,9.7,9999,15.7,14.4,11.2,12,10.8,4.9,3,3.1,4,2.2,2.1,2,2.6,3.4,3.5,3.3,2.6,2.7,3.1,3.3,
15026,Nitrogen Oxides,2020-02-18,3.3,3.8,3.5,3.5,3.4,3.4,4.7,8.1,6.9,8.2,7.3,7.6,7.3,7.5,6.2,5.9,5.2,4.8,4.5,4.2,4.7,5,6,5.8,
15026,Nitrogen Oxides,2020-02-19,3.3,4,3.3,5.3,6.3,5.3,5.3,3.9,4.2,3.2,2.9,2.4,2.4,2.8,2.6,2.5,2.5,4.4,10.4,13,8,9.7,12.7,12.1,
15026,Nitrogen Oxides,2020-02-20,14.5,9.6,8.6,5.9,5.4,6.5,9.8,9.1,13.2,6.6,3.9,2.7,2.5,2.5,3,3.3,3.2,5.2,3.4,3.7,4.8,3.7,6.8,8.9,
15026,Nitrogen Oxides,2020-02-21,8.3,8.7,7.7,7.9,9.4,10.5,10.4,11.2,9.8,6.9,6.3,5.7,5.5,7.1,8.4,6.1,5.7,9.5,11,8.6,8.4,7.6,6.4,4.2,
15026,Nitrogen Oxides,2020-02-22,4.5,4.4,4.5,5.1,5,7.2,8.8,6.2,5.9,5.3,5.3,5,4.8,4.7,5,5.6,6.5,8.3,6.7,5.8,6.2,8.3,8.4,7.5,
15026,Nitrogen Oxides,2020-02-23,7,8.6,7.9,9.9,7.4,6.5,6.8,7,7,5.9,5.3,5,4.5,4.2,4.2,4,4.6,4.8,5.1,5.7,5.7,5.4,4.6,4.8,
15026,Nitrogen Oxides,2020-02-24,6.5,9.5,7.3,9999,12.7,8.5,12.3,15,23.5,15.3,13,10.9,10.2,7.7,9.9,8.3,8.2,10.3,11.5,14.3,10.2,8.7,10.1,6.1,
15026,Nitrogen Oxides,2020-02-25,5.2,6.2,5.7,6.6,6.8,4.9,5.5,5.3,5.6,7.7,8.1,7.8,7.9,9.4,12.4,13.2,8.5,6,4.5,5.1,6,4,3.3,3.7,
15026,Nitrogen Oxides,2020-02-26,2.8,2.9,3.6,4.7,6.7,5.2,4.2,5.8,6.3,7.5,8.2,7.8,6.8,8.1,9.1,7.8,8.6,9.1,6.7,5.4,4.4,6.7,5.6,5.2,
15026,Nitrogen Oxides,2020-02-27,4,3.9,4.5,3.7,3.1,3.5,3.4,13.6,4,3.4,3.7,3.6,2.9,3.2,3,3,3.2,2.9,3,3.3,3.3,3.7,3.2,2.9,
15026,Nitrogen Oxides,2020-02-28,3.2,3.8,4.4,4.4,4.1,4,3.9,4,3.4,3.2,3.2,3.5,3.2,3.4,3.1,3.5,4.1,4.9,4.7,4.2,4.1,3.5,4.1,4.2,
15026,Nitrogen Oxides,2020-02-29,4.2,3.1,3.2,6.9,8.3,7.3,11.3,9.2,17,8.7,9.8,3.7,2.9,2.8,2.4,2.4,2.5,3.5,7,10,11.1,11.7,14.2,9.7,
