London, (15026) Hourly, Ground-level ozone (O3) Concentrations
Station,London (15026)
Address,42 St. Julien St.
Latitude,42.974485
Longitude,-81.200813
Elevation, 244 metres
Air intake height,5 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15026,Ozone,2020-01-01,26,25,26,27,28,29,30,32,36,36,34,33,32,34,34,32,30,27,26,26,27,28,30,30,
15026,Ozone,2020-01-02,30,29,29,30,30,32,31,30,29,30,30,30,30,29,30,28,28,27,27,26,26,24,22,21,
15026,Ozone,2020-01-03,21,19,21,19,18,17,15,14,13,12,14,17,21,20,20,22,24,24,25,23,23,24,25,22,
15026,Ozone,2020-01-04,21,21,24,23,19,19,19,16,15,18,22,27,28,28,28,27,26,27,28,26,26,25,25,26,
15026,Ozone,2020-01-05,26,26,28,28,29,29,29,29,31,30,29,30,32,34,34,36,32,30,29,27,27,27,26,23,
15026,Ozone,2020-01-06,22,20,22,9999,25,29,30,30,30,30,30,30,32,32,32,32,32,32,31,29,28,27,27,26,
15026,Ozone,2020-01-07,25,24,23,18,18,13,2,2,6,12,17,20,26,27,25,22,20,18,16,31,29,27,27,26,
15026,Ozone,2020-01-08,26,34,35,33,34,34,33,31,30,30,29,29,28,28,28,28,30,31,30,30,31,30,29,28,
15026,Ozone,2020-01-09,26,26,25,15,15,14,15,27,28,28,30,32,32,32,31,31,30,30,30,30,28,21,20,24,
15026,Ozone,2020-01-10,27,29,29,30,29,28,27,26,26,22,24,25,25,26,25,23,21,18,21,21,22,18,17,19,
15026,Ozone,2020-01-11,23,26,28,28,29,27,31,32,31,25,23,19,14,17,18,18,20,20,19,18,18,20,18,18,
15026,Ozone,2020-01-12,20,21,20,21,24,30,32,31,31,32,32,32,32,33,33,34,33,33,34,33,33,32,31,30,
15026,Ozone,2020-01-13,29,28,28,9999,24,24,21,18,16,14,14,14,15,17,18,16,10,7,6,6,5,5,2,5,
15026,Ozone,2020-01-14,1,6,7,8,14,18,16,13,12,15,18,18,17,16,15,19,20,18,15,16,18,21,24,24,
15026,Ozone,2020-01-15,25,25,23,26,24,21,12,11,10,16,21,25,28,27,28,27,27,23,21,21,23,22,23,16,
15026,Ozone,2020-01-16,16,19,21,23,24,22,27,28,28,26,28,29,29,29,29,27,26,25,25,27,27,29,29,31,
15026,Ozone,2020-01-17,29,25,25,28,27,28,30,29,28,30,32,33,33,33,33,32,31,28,26,26,28,29,28,26,
15026,Ozone,2020-01-18,26,27,27,26,27,27,27,26,25,25,26,27,29,29,28,27,27,26,22,19,20,21,22,22,
15026,Ozone,2020-01-19,21,22,21,23,23,24,24,24,24,24,23,26,28,33,34,34,35,31,33,33,34,25,18,23,
