Port Stanley, (16015) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Port Stanley (16015)
Address,43665 Dexter Line, Elgin Water T. Plt
Latitude,42.672127
Longitude,-81.162948
Elevation, 212 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
16015,Fine Particulate Matter,2020-01-01,6,6,7,6,5,5,6,7,6,6,5,6,6,6,9,8,9,8,7,7,5,5,5,5,
16015,Fine Particulate Matter,2020-01-02,4,4,4,3,3,3,3,3,2,1,2,2,2,2,2,2,3,4,5,4,3,3,4,4,
16015,Fine Particulate Matter,2020-01-03,4,5,7,8,9,10,10,10,11,12,13,13,16,16,12,11,12,10,9,10,9,8,8,9,
16015,Fine Particulate Matter,2020-01-04,11,9,11,11,10,10,10,9,8,8,6,6,5,3,3,2,2,2,2,2,2,2,2,2,
16015,Fine Particulate Matter,2020-01-05,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,4,7,9,11,8,10,9,8,9,
16015,Fine Particulate Matter,2020-01-06,9,9,7,5,4,5,3,3,3,4,5,5,5,5,5,5,5,6,6,5,4,3,3,3,
16015,Fine Particulate Matter,2020-01-07,4,7,7,6,7,8,8,9,10,12,11,12,10,9,7,6,7,8,6,5,5,7,8,8,
16015,Fine Particulate Matter,2020-01-08,7,6,4,4,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,
16015,Fine Particulate Matter,2020-01-09,2,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,7,6,
16015,Fine Particulate Matter,2020-01-10,5,5,5,5,6,4,3,3,5,5,5,5,5,5,4,4,5,6,6,6,5,3,2,3,
16015,Fine Particulate Matter,2020-01-11,6,10,12,9,7,5,5,5,5,5,2,3,5,8,6,3,4,4,3,2,2,2,2,2,
16015,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,
16015,Fine Particulate Matter,2020-01-13,2,2,2,2,3,4,5,5,5,7,8,8,7,7,6,6,8,9,10,10,9,9,9,10,
16015,Fine Particulate Matter,2020-01-14,11,11,10,11,10,8,8,8,9,9,9,8,7,6,7,9,10,12,13,16,15,12,10,11,
16015,Fine Particulate Matter,2020-01-15,12,12,12,13,13,12,12,11,12,13,9,10,11,10,10,9,11,12,13,13,14,15,16,17,
16015,Fine Particulate Matter,2020-01-16,20,20,15,13,13,11,6,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,
16015,Fine Particulate Matter,2020-01-17,3,3,4,4,4,3,2,2,3,3,3,3,3,3,4,4,6,7,6,6,5,5,5,5,
16015,Fine Particulate Matter,2020-01-18,8,9,8,8,7,6,5,5,5,7,6,6,6,4,4,5,5,4,4,3,3,3,3,4,
16015,Fine Particulate Matter,2020-01-19,4,5,7,8,8,8,9,7,7,7,8,7,5,5,5,3,3,4,4,3,4,4,4,5,
16015,Fine Particulate Matter,2020-01-20,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,5,5,5,3,3,3,3,
16015,Fine Particulate Matter,2020-01-21,3,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,6,7,8,8,8,9,9,8,
16015,Fine Particulate Matter,2020-01-22,10,10,11,13,13,13,12,10,11,11,11,10,10,10,8,8,8,8,9,12,12,12,11,9,
16015,Fine Particulate Matter,2020-01-23,8,8,7,7,7,9,9,10,9,9,10,10,10,10,10,9,9,9,10,11,11,9,7,7,
16015,Fine Particulate Matter,2020-01-24,9,11,14,14,13,11,10,11,11,10,9,8,8,11,12,12,13,12,11,9,7,7,9,8,
16015,Fine Particulate Matter,2020-01-25,8,9,8,6,6,7,7,6,11,11,7,6,7,9,8,6,4,4,4,5,5,4,3,3,
