Tiverton, (18007) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Tiverton (18007)
Address,4th Concession/Bruce Rd. 23
Latitude,44.314472
Longitude,-81.549722
Elevation, 226 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
18007,Fine Particulate Matter,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,6,7,6,9,11,9,8,7,
18007,Fine Particulate Matter,2020-01-02,7,6,4,3,3,3,3,3,4,4,4,3,4,4,4,4,5,5,5,6,6,7,7,7,
18007,Fine Particulate Matter,2020-01-03,10,12,12,12,12,14,14,14,14,10,6,2,2,3,2,2,2,1,1,1,1,1,1,1,
18007,Fine Particulate Matter,2020-01-04,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,1,1,0,0,1,0,0,1,0,
18007,Fine Particulate Matter,2020-01-05,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,3,4,7,8,6,7,
18007,Fine Particulate Matter,2020-01-06,5,4,2,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,
18007,Fine Particulate Matter,2020-01-07,1,1,1,1,1,2,3,4,5,8,8,8,7,8,7,7,9,6,5,3,3,3,2,1,
18007,Fine Particulate Matter,2020-01-08,1,1,1,1,1,0,0,0,0,0,0,0,9999,-999,-999,-999,-999,2,3,3,3,3,3,6,
18007,Fine Particulate Matter,2020-01-09,13,12,11,9,9,8,8,7,8,8,7,8,7,6,6,6,4,4,4,4,4,4,4,4,
18007,Fine Particulate Matter,2020-01-10,3,3,3,4,4,5,5,6,10,12,11,11,13,11,12,11,16,23,25,25,23,19,15,10,
18007,Fine Particulate Matter,2020-01-11,9,6,4,3,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,
18007,Fine Particulate Matter,2020-01-12,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,
18007,Fine Particulate Matter,2020-01-13,4,3,4,4,4,6,7,7,9,11,15,15,13,9,2,2,3,3,2,4,10,11,10,8,
18007,Fine Particulate Matter,2020-01-14,7,6,5,5,5,7,6,7,14,20,15,11,13,13,12,13,14,13,11,9,9,9,7,5,
18007,Fine Particulate Matter,2020-01-15,3,3,2,3,3,2,3,2,3,4,4,6,4,6,7,7,6,6,6,6,7,7,7,5,
18007,Fine Particulate Matter,2020-01-16,6,5,1,2,2,1,1,1,2,2,2,2,2,2,3,3,4,4,5,4,4,3,3,3,
18007,Fine Particulate Matter,2020-01-17,3,3,4,4,4,4,3,3,3,2,2,2,2,2,2,3,3,4,4,4,4,5,5,6,
18007,Fine Particulate Matter,2020-01-18,7,10,11,9,8,7,7,6,4,4,4,3,3,3,3,2,3,3,2,2,2,2,3,9999,
18007,Fine Particulate Matter,2020-01-19,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,2,2,2,2,2,2,4,5,4,4,3,3,
18007,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,
