Brantford, (21005) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Brantford (21005)
Address,324 Grand River Ave.
Latitude,43.138611
Longitude,-80.292639
Elevation, 205 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
21005,Fine Particulate Matter,2020-01-01,2,1,2,4,5,4,4,2,1,2,3,3,4,5,7,6,7,10,11,12,12,11,10,11,
21005,Fine Particulate Matter,2020-01-02,5,4,3,3,2,2,2,2,3,2,2,2,2,3,3,4,4,5,5,5,5,6,5,6,
21005,Fine Particulate Matter,2020-01-03,6,7,7,7,9,11,11,11,11,12,13,15,16,13,12,13,13,11,10,11,9,9,9,8,
21005,Fine Particulate Matter,2020-01-04,8,6,6,5,6,5,4,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,
21005,Fine Particulate Matter,2020-01-05,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,4,7,7,7,6,5,6,
21005,Fine Particulate Matter,2020-01-06,5,7,6,4,2,2,2,2,2,1,2,2,3,4,4,4,5,5,5,4,4,4,4,4,
21005,Fine Particulate Matter,2020-01-07,4,4,5,6,6,6,6,6,7,10,14,11,9,9,6,6,6,7,8,8,7,6,7,9,
21005,Fine Particulate Matter,2020-01-08,9,8,5,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,
21005,Fine Particulate Matter,2020-01-09,2,2,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,5,8,9,9,8,8,
21005,Fine Particulate Matter,2020-01-10,5,4,5,6,7,6,5,6,7,6,5,4,3,4,6,8,8,8,10,12,13,6,6,4,
21005,Fine Particulate Matter,2020-01-11,3,3,3,2,1,3,4,4,4,3,2,2,2,1,1,1,1,1,1,2,2,2,1,1,
21005,Fine Particulate Matter,2020-01-12,1,1,1,1,1,1,1,1,2,2,1,1,1,2,3,3,3,4,3,4,4,4,5,5,
21005,Fine Particulate Matter,2020-01-13,8,9,10,11,13,11,9,10,9,7,12,12,11,12,11,9,7,7,9,12,14,14,13,12,
21005,Fine Particulate Matter,2020-01-14,11,11,9,11,11,12,11,12,12,11,10,10,11,12,11,10,11,12,13,13,11,10,10,8,
21005,Fine Particulate Matter,2020-01-15,8,8,8,9,10,9,8,7,7,8,7,7,9,8,8,8,9,12,13,16,16,12,10,9,
21005,Fine Particulate Matter,2020-01-16,9,15,24,22,12,5,2,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,
21005,Fine Particulate Matter,2020-01-17,2,1,2,2,2,2,2,2,3,2,2,3,3,3,4,5,6,6,5,5,5,5,5,5,
21005,Fine Particulate Matter,2020-01-18,5,5,7,7,8,7,6,6,6,5,6,6,6,6,6,5,4,1,2,3,2,2,3,3,
21005,Fine Particulate Matter,2020-01-19,3,4,5,5,8,10,12,11,8,9,9,6,3,3,3,3,3,3,3,2,2,2,2,7,
21005,Fine Particulate Matter,2020-01-20,2,2,3,2,2,2,2,3,3,3,4,6,4,3,4,2,3,3,3,6,5,4,6,5,
21005,Fine Particulate Matter,2020-01-21,3,2,5,8,8,10,8,8,7,6,6,6,6,7,13,10,7,7,7,7,7,8,8,9,
21005,Fine Particulate Matter,2020-01-22,10,12,14,16,17,16,16,15,13,11,10,10,11,11,11,11,11,10,10,12,13,14,15,15,
21005,Fine Particulate Matter,2020-01-23,16,19,16,16,16,16,18,21,20,21,24,20,16,14,12,13,13,11,13,21,26,25,24,21,
21005,Fine Particulate Matter,2020-01-24,19,14,12,15,20,23,22,17,12,12,11,10,10,11,11,11,13,15,17,13,13,11,13,12,
21005,Fine Particulate Matter,2020-01-25,11,12,10,10,10,10,7,7,7,5,4,5,5,5,6,6,11,10,12,10,8,6,6,4,
21005,Fine Particulate Matter,2020-01-26,4,3,4,7,13,14,13,10,8,7,9,7,7,8,9,7,6,4,3,1,1,1,1,1,
21005,Fine Particulate Matter,2020-01-27,1,1,1,2,2,2,2,2,1,1,1,2,3,4,4,3,3,3,3,3,3,3,3,3,
21005,Fine Particulate Matter,2020-01-28,3,3,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,3,2,2,2,4,
21005,Fine Particulate Matter,2020-01-29,5,3,1,2,3,2,2,3,4,4,4,3,3,3,3,3,3,6,12,18,19,18,18,19,
21005,Fine Particulate Matter,2020-01-30,14,11,11,12,10,12,13,14,14,8,9,7,4,4,4,4,4,4,4,4,5,6,6,6,
21005,Fine Particulate Matter,2020-01-31,7,7,9,12,13,13,14,14,16,18,12,10,9,7,7,7,9,10,14,19,19,17,18,17,
21005,Fine Particulate Matter,2020-02-01,17,16,15,14,15,17,18,19,19,18,21,27,13,9,7,6,6,6,7,7,9,11,10,9,
21005,Fine Particulate Matter,2020-02-02,10,12,11,10,10,10,13,13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,15,14,14,14,14,13,
21005,Fine Particulate Matter,2020-02-03,9,5,3,3,3,3,3,2,3,2,2,3,2,3,3,4,4,4,6,7,9,10,10,10,
21005,Fine Particulate Matter,2020-02-04,9,6,3,4,5,4,2,1,2,1,1,1,2,3,3,3,3,3,3,4,3,3,3,3,
21005,Fine Particulate Matter,2020-02-05,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,6,6,6,7,7,6,4,6,10,
21005,Fine Particulate Matter,2020-02-06,11,2,5,8,7,6,5,5,4,4,4,5,3,4,4,4,5,5,4,4,3,3,2,3,
21005,Fine Particulate Matter,2020-02-07,2,2,3,3,3,3,2,2,3,4,4,5,4,5,3,3,4,4,4,5,6,5,4,5,
21005,Fine Particulate Matter,2020-02-08,5,6,6,7,8,8,8,8,6,3,2,4,4,5,5,5,7,7,5,5,5,7,8,11,
21005,Fine Particulate Matter,2020-02-09,13,15,16,17,21,20,23,19,14,13,14,17,19,19,18,13,16,17,18,9,4,4,3,2,
21005,Fine Particulate Matter,2020-02-10,1,1,1,3,4,7,9,10,11,16,13,9,7,8,7,4,4,4,5,6,6,8,8,8,
21005,Fine Particulate Matter,2020-02-11,9,9,9,9,9,8,7,6,6,8,9,9,12,15,14,14,11,11,14,12,11,9,7,6,
21005,Fine Particulate Matter,2020-02-12,6,6,6,8,9,11,12,12,13,14,13,11,9,9,10,12,14,11,13,13,12,13,14,15,
21005,Fine Particulate Matter,2020-02-13,23,25,18,16,15,17,17,17,15,14,13,14,15,15,7,3,2,1,1,1,1,2,2,2,
21005,Fine Particulate Matter,2020-02-14,3,4,3,3,4,4,5,5,5,4,3,3,3,2,2,3,3,2,4,4,3,3,3,3,
21005,Fine Particulate Matter,2020-02-15,3,3,4,6,5,3,3,3,5,5,5,6,5,4,5,7,7,6,6,6,5,6,7,7,
21005,Fine Particulate Matter,2020-02-16,7,8,17,23,24,21,17,16,16,12,11,12,12,12,12,12,14,15,16,17,17,18,18,17,
21005,Fine Particulate Matter,2020-02-17,17,20,16,11,10,8,8,9,7,3,3,3,3,3,3,4,4,4,3,3,3,3,4,5,
21005,Fine Particulate Matter,2020-02-18,5,6,8,9,8,7,9,11,9,9,14,17,11,11,8,4,3,3,2,3,2,2,2,2,
21005,Fine Particulate Matter,2020-02-19,3,3,3,4,7,9,9,6,3,2,2,2,2,2,2,2,2,2,4,5,6,6,6,7,
21005,Fine Particulate Matter,2020-02-20,8,8,6,4,4,3,3,4,3,2,1,1,1,2,1,2,2,2,2,3,3,3,2,3,
21005,Fine Particulate Matter,2020-02-21,3,4,5,5,5,6,7,7,7,7,6,6,5,5,6,7,7,7,8,8,6,5,5,5,
21005,Fine Particulate Matter,2020-02-22,5,5,5,4,4,5,5,5,6,5,7,10,10,9,10,11,11,11,12,14,13,12,11,10,
21005,Fine Particulate Matter,2020-02-23,9,9,9,9,9,11,12,13,12,10,9,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
21005,Fine Particulate Matter,2020-02-24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13,9,
21005,Fine Particulate Matter,2020-02-25,5,3,3,3,4,4,7,9,10,9999,12,8,8,9,10,13,12,9,9,7,6,5,5,6,
21005,Fine Particulate Matter,2020-02-26,6,5,4,4,4,4,6,6,6,6,7,8,8,6,6,6,8,7,6,5,4,4,4,3,
21005,Fine Particulate Matter,2020-02-27,3,2,2,2,3,2,1,2,3,2,2,1,2,2,2,2,2,3,3,3,3,2,3,2,
21005,Fine Particulate Matter,2020-02-28,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,6,5,4,4,4,3,
21005,Fine Particulate Matter,2020-02-29,3,3,3,5,4,5,5,4,4,3,3,3,4,4,4,4,3,3,4,6,8,6,6,7,
21005,Fine Particulate Matter,2020-03-01,10,8,10,10,10,9,9,11,10,6,5,5,5,6,12,8,6,7,8,9,9,8,6,4,
21005,Fine Particulate Matter,2020-03-02,4,3,4,5,7,8,8,11,13,13,8,7,10,10,5,6,11,15,16,13,16,15,19,11,
21005,Fine Particulate Matter,2020-03-03,13,7,4,4,4,4,5,4,6,8,14,27,33,16,10,11,13,12,11,15,16,6,6,8,
21005,Fine Particulate Matter,2020-03-04,8,7,7,7,7,8,8,8,5,4,3,4,5,5,5,5,4,4,3,3,2,2,2,2,
21005,Fine Particulate Matter,2020-03-05,2,2,3,5,6,6,7,7,6,3,3,4,3,4,4,3,3,3,5,5,5,4,6,8,
21005,Fine Particulate Matter,2020-03-06,10,12,12,15,14,15,12,13,18,13,8,4,3,2,2,2,2,1,2,2,2,2,3,2,
21005,Fine Particulate Matter,2020-03-07,2,2,3,3,4,5,4,4,3,2,2,2,3,3,3,4,4,4,6,9,8,7,7,8,
