Kitchener, (26060) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Kitchener (26060)
Address,West Ave./Homewood Ave.
Latitude,43.443833
Longitude,-80.503806
Elevation, 325 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
26060,Nitrogen Dioxide,2020-01-01,2.4,2.8,2.9,2.8,3.3,3.6,3.3,2.5,3.3,3.3,3.7,2.6,3.1,3,2.5,4.2,4.9,10.5,9.6,8,7,8.8,6.6,6.4,
26060,Nitrogen Dioxide,2020-01-02,5.9,5,5.2,5,5.2,5.2,5,6,6.5,6.1,6,5.4,5.5,5.1,5.1,5.4,6.7,6.9,6.6,6.5,6.1,6.6,6.1,6,
26060,Nitrogen Dioxide,2020-01-03,5.9,5.8,6.1,7.8,9.9,8,11.1,12.5,13.3,8.8,8.5,6.7,5.7,5.5,5.6,6.7,5.5,6.9,7.5,7.2,9.5,8.7,8.1,5.8,
26060,Nitrogen Dioxide,2020-01-04,5.7,5.6,4.7,4.7,5.9,5.5,5.3,9.3,8.4,6.3,4.3,4.2,3.2,3,2.9,2.9,3,2.9,3.4,3.3,2.4,2.5,2.1,2,
26060,Nitrogen Dioxide,2020-01-05,2,2.1,1.4,1.6,2,2.4,2.5,4.7,6,6,3.8,2.7,3,2.4,2.6,3.7,4.8,3.5,5,5.2,4.3,3.8,3.9,4,
26060,Nitrogen Dioxide,2020-01-06,4.7,4.4,3.1,9999,3.1,3.1,3,5.8,3.3,5,2.7,3.2,2.6,3,3.4,3.9,5.4,5.2,3.6,3.9,5.9,6.2,4.1,4.2,
26060,Nitrogen Dioxide,2020-01-07,5.1,8.2,10.5,10.6,9.8,9.5,20.3,22.3,17,13.9,11.2,13.2,11.9,7.7,8.4,7.9,11,12.9,12.5,10.6,6.6,7.7,6.8,5.9,
26060,Nitrogen Dioxide,2020-01-08,6.3,5.3,3.4,4.1,3.3,3.6,2.9,7.3,8,3,2,2.4,2.1,1.7,1.9,2,3,2.6,2.9,4,4.1,4.7,4.1,3.7,
26060,Nitrogen Dioxide,2020-01-09,4.2,4.9,6.2,11.8,9.4,21.8,19.4,15.1,15.5,11.3,7.8,4.5,4.5,4.1,4.9,6.4,10.3,15.8,11.3,11.7,12.2,14.2,11.7,7.9,
26060,Nitrogen Dioxide,2020-01-10,6.7,4.8,4.5,3.6,3.6,3.9,4.7,5.1,5.6,5,6.1,6.5,6.9,6.7,8.2,9,11.8,10.7,10.6,12.2,10.8,13.3,16.8,16.1,
26060,Nitrogen Dioxide,2020-01-11,11.6,9,8.7,4.3,3.2,2.9,2.8,2.7,3.2,3.4,5.7,5.8,3.2,3.1,3.3,3.7,3.6,3.4,3.3,3.6,3.1,3.8,3,4.8,
26060,Nitrogen Dioxide,2020-01-12,5.8,5.7,5.2,3.5,4.2,2.4,1.9,1.9,1.9,1.9,1.7,1.8,2,2.5,2,2.2,2.1,2.4,2.9,4.7,5.4,3.1,3.6,3.5,
26060,Nitrogen Dioxide,2020-01-13,4.6,8.1,6.9,9999,7,6.3,9.1,15.3,16.9,16.4,15.1,12.5,9.4,9.6,9.2,9.2,7.5,8.5,9.3,7.4,8.1,9.9,8.4,7.8,
26060,Nitrogen Dioxide,2020-01-14,5.8,19.2,22.1,18.8,15.8,17.6,13.7,13.4,13.3,14,9.7,8,8.9,8.7,11.7,12.8,14.3,14.3,11.1,7.8,7.2,6.8,5.9,4.8,
26060,Nitrogen Dioxide,2020-01-15,3.7,4.5,4.2,4.2,3.6,3.9,5.8,13.4,19.4,7,6.6,5.3,4.5,4.8,6.3,6.5,8.5,9,11.9,13,9.2,8.4,8.6,10.1,
