Kitchener, (26060) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Kitchener (26060)
Address,West Ave./Homewood Ave.
Latitude,43.443833
Longitude,-80.503806
Elevation, 325 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
26060,Fine Particulate Matter,2020-01-01,2,1,1,2,2,2,2,2,2,2,2,3,3,4,4,6,8,10,14,16,13,12,11,10,
26060,Fine Particulate Matter,2020-01-02,9,9,7,6,5,5,4,4,4,4,4,4,4,4,4,5,6,7,8,8,9,9,10,10,
26060,Fine Particulate Matter,2020-01-03,9,11,11,11,11,11,13,15,19,20,18,18,16,12,11,10,8,9,9,7,8,7,7,6,
26060,Fine Particulate Matter,2020-01-04,5,5,5,5,4,4,3,3,5,5,4,2,3,3,2,2,2,2,2,2,2,2,2,2,
26060,Fine Particulate Matter,2020-01-05,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,5,6,5,4,4,4,
26060,Fine Particulate Matter,2020-01-06,5,6,6,6,4,3,3,3,3,2,2,2,3,3,4,4,6,5,4,4,4,5,4,3,
26060,Fine Particulate Matter,2020-01-07,3,3,4,5,5,5,7,9,12,14,16,16,15,13,13,10,9,9,9,9,5,6,8,8,
26060,Fine Particulate Matter,2020-01-08,8,9,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
26060,Fine Particulate Matter,2020-01-09,2,2,3,4,4,5,5,4,5,4,3,3,4,3,3,3,5,7,8,8,7,7,6,6,
26060,Fine Particulate Matter,2020-01-10,7,6,6,6,8,9,8,9,8,6,5,4,4,4,5,5,8,12,13,10,8,8,8,4,
26060,Fine Particulate Matter,2020-01-11,5,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,2,2,
26060,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,7,5,5,6,
26060,Fine Particulate Matter,2020-01-13,6,7,8,9,9,6,6,7,6,8,10,11,14,16,11,8,6,6,5,7,7,8,10,9,
26060,Fine Particulate Matter,2020-01-14,6,7,8,11,17,16,13,9,10,12,12,12,13,14,14,13,14,15,18,13,9,9,10,9,
26060,Fine Particulate Matter,2020-01-15,6,6,7,7,5,5,5,5,7,8,8,8,7,6,9,10,10,9,9,9,9,9,10,11,
26060,Fine Particulate Matter,2020-01-16,16,19,18,15,9,5,2,2,2,2,2,2,2,2,1,2,3,4,4,4,4,4,4,4,
26060,Fine Particulate Matter,2020-01-17,3,3,3,3,4,3,3,3,2,2,3,2,2,3,4,5,5,5,7,7,7,7,8,8,
26060,Fine Particulate Matter,2020-01-18,6,6,7,8,7,6,6,6,6,6,6,5,5,5,5,5,6,7,5,4,3,4,4,4,
26060,Fine Particulate Matter,2020-01-19,4,4,5,5,5,5,8,8,7,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,
26060,Fine Particulate Matter,2020-01-20,3,4,3,4,3,3,3,3,3,3,3,2,2,2,2,2,3,4,4,4,3,3,3,4,
26060,Fine Particulate Matter,2020-01-21,2,2,2,2,2,2,2,2,3,4,4,4,3,3,3,4,6,7,8,9,9,10,11,12,
26060,Fine Particulate Matter,2020-01-22,11,11,13,15,16,17,18,17,14,15,14,12,13,13,12,12,11,10,10,12,14,17,21,23,
26060,Fine Particulate Matter,2020-01-23,24,23,22,20,15,17,18,19,22,21,17,13,11,10,12,13,14,12,20,23,23,23,22,20,
26060,Fine Particulate Matter,2020-01-24,19,18,18,15,15,20,26,23,17,14,12,12,10,11,11,12,14,16,17,18,17,9,7,7,
26060,Fine Particulate Matter,2020-01-25,9,12,12,13,12,11,8,5,5,4,4,5,9,7,8,8,7,5,8,12,13,9,7,7,
26060,Fine Particulate Matter,2020-01-26,5,6,9,15,16,15,11,7,8,8,9,8,8,7,5,4,2,2,2,2,2,2,2,2,
26060,Fine Particulate Matter,2020-01-27,2,2,2,2,3,3,2,2,3,3,3,4,6,4,3,3,3,3,3,2,3,3,2,2,
26060,Fine Particulate Matter,2020-01-28,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,5,6,4,4,4,4,3,3,
26060,Fine Particulate Matter,2020-01-29,3,3,2,2,2,2,3,6,3,3,3,4,3,3,3,4,6,7,8,9,13,9,7,5,
26060,Fine Particulate Matter,2020-01-30,5,5,6,7,9,10,10,10,11,12,12,13,12,9,8,7,7,7,7,6,7,7,7,7,
26060,Fine Particulate Matter,2020-01-31,9,9,8,9,10,12,11,10,10,11,12,12,10,8,9,10,11,12,15,17,19,22,26,23,
26060,Fine Particulate Matter,2020-02-01,23,23,20,22,25,28,30,30,26,28,28,24,18,18,18,19,12,12,15,14,17,16,14,12,
26060,Fine Particulate Matter,2020-02-02,14,14,12,10,10,11,14,16,18,16,9,4,7,7,8,10,13,15,14,13,15,13,11,12,
26060,Fine Particulate Matter,2020-02-03,9,6,4,4,4,3,4,3,3,3,2,3,3,3,4,4,5,6,8,7,7,6,4,3,
26060,Fine Particulate Matter,2020-02-04,5,7,8,7,3,3,3,3,2,2,3,3,2,3,3,3,4,4,5,5,4,3,3,3,
26060,Fine Particulate Matter,2020-02-05,2,2,2,2,1,1,2,2,3,2,3,2,2,2,3,3,4,6,6,6,6,5,3,4,
26060,Fine Particulate Matter,2020-02-06,6,7,6,5,4,3,3,4,4,4,4,3,2,2,2,4,4,4,5,5,5,4,4,3,
26060,Fine Particulate Matter,2020-02-07,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,4,5,5,5,5,6,6,4,
26060,Fine Particulate Matter,2020-02-08,5,5,4,4,4,5,5,4,4,4,3,3,2,2,4,5,5,9,13,12,12,10,8,10,
26060,Fine Particulate Matter,2020-02-09,10,12,12,12,12,12,10,10,14,19,24,27,27,28,27,22,14,14,15,13,8,5,5,4,
26060,Fine Particulate Matter,2020-02-10,3,4,4,5,6,8,8,11,17,13,8,6,6,5,5,5,5,6,6,7,7,8,9,9,
26060,Fine Particulate Matter,2020-02-11,8,8,8,7,7,6,6,6,7,8,8,9,8,8,11,13,14,14,13,12,9,7,7,7,
26060,Fine Particulate Matter,2020-02-12,7,6,7,8,9,10,11,13,15,15,14,15,14,13,14,14,16,15,15,18,18,21,23,20,
26060,Fine Particulate Matter,2020-02-13,15,13,13,13,13,13,13,13,14,14,12,13,9,3,4,2,2,2,2,3,2,3,3,3,
26060,Fine Particulate Matter,2020-02-14,3,3,4,4,3,3,6,6,5,5,6,5,3,4,5,4,5,5,5,5,6,5,5,6,
26060,Fine Particulate Matter,2020-02-15,7,7,8,7,7,8,10,10,10,10,9,6,6,8,9,9,8,7,7,7,9,10,10,9,
26060,Fine Particulate Matter,2020-02-16,10,12,13,15,16,14,11,11,11,11,11,11,10,9,9,10,9,11,15,14,15,15,17,14,
26060,Fine Particulate Matter,2020-02-17,9,7,7,7,8,8,6,6,5,3,2,4,3,4,3,3,5,6,6,5,5,4,4,5,
26060,Fine Particulate Matter,2020-02-18,6,6,6,6,6,6,6,7,12,13,15,11,11,8,6,5,5,4,4,4,3,3,3,3,
26060,Fine Particulate Matter,2020-02-19,4,4,3,4,5,3,3,4,3,3,3,2,2,2,3,3,2,2,2,3,3,3,4,4,
26060,Fine Particulate Matter,2020-02-20,4,3,3,3,2,2,3,3,3,4,3,2,3,3,3,3,3,3,4,4,4,5,4,4,
26060,Fine Particulate Matter,2020-02-21,4,3,2,2,2,3,4,4,6,6,7,7,5,6,5,6,8,9,12,13,10,8,9,9,
26060,Fine Particulate Matter,2020-02-22,8,8,8,7,8,8,8,7,8,8,8,8,7,8,9,10,11,13,15,15,15,14,13,15,
26060,Fine Particulate Matter,2020-02-23,11,10,10,10,9,9,10,11,16,15,14,13,12,12,11,12,12,13,12,13,12,11,11,12,
26060,Fine Particulate Matter,2020-02-24,13,13,14,15,16,16,17,19,21,21,20,19,17,16,15,15,15,12,22,20,19,16,14,10,
26060,Fine Particulate Matter,2020-02-25,6,5,4,4,4,4,4,4,6,7,8,8,9,10,5,5,6,7,6,7,7,6,7,9999,
26060,Fine Particulate Matter,2020-02-26,9999,9999,6,7,7,10,9,10,9,5,8,7,6,5,4,9,4,3,3,3,3,4,3,3,
26060,Fine Particulate Matter,2020-02-27,3,2,3,3,3,2,2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,
26060,Fine Particulate Matter,2020-02-28,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,5,4,3,3,4,
26060,Fine Particulate Matter,2020-02-29,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,3,4,4,5,5,5,6,5,
