St. Catharines, (27067) Hourly, Nitric oxide (NO) Concentrations
Station,St. Catharines (27067)
Address,Argyle Cres., Pump Stn.
Latitude,43.160056
Longitude,-79.23475
Elevation, 105 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
27067,Nitrogen Oxide,2020-01-01,0,0.1,0,0,0,0,0,0,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0,0.2,0.4,0.3,0.1,0.2,0.3,
27067,Nitrogen Oxide,2020-01-02,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.6,0.8,0.7,0.7,0.5,0.5,0.5,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,
27067,Nitrogen Oxide,2020-01-03,0,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.4,0.7,1,1,1.4,1.4,1.7,0.7,0.4,0.2,0.1,0,0.1,0.1,0.1,0,
27067,Nitrogen Oxide,2020-01-04,0,0,0,0,0,0,0,0,0.2,0.3,0.6,0.5,0.6,1.5,0.8,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,
27067,Nitrogen Oxide,2020-01-05,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,1.1,0.3,0.5,0.4,0.3,0.2,0.5,0.1,0.2,0.2,0.3,0.3,0.2,0.2,
27067,Nitrogen Oxide,2020-01-06,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.6,0.5,0.5,0.7,0.8,0.7,0.5,0.3,0.2,0.2,0.2,0.1,0,0.2,0.6,
27067,Nitrogen Oxide,2020-01-07,0.1,0.1,0.3,0.5,1.3,0.8,1.3,7.5,26.3,9.7,4.7,2.3,1.6,1.4,1.3,0.9,0.6,0.5,0.6,0.4,0.3,0.2,0.1,0.1,
27067,Nitrogen Oxide,2020-01-08,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.7,1.4,0.8,0.7,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,
27067,Nitrogen Oxide,2020-01-09,0,0.1,0.2,0.3,0.3,0.7,3.2,2,2.9,1.7,2.3,2,1.7,2.1,1.9,1.3,1.1,0.9,0.4,1.4,0.9,1.7,1.2,0.2,
27067,Nitrogen Oxide,2020-01-10,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.4,0.3,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.2,0.1,
27067,Nitrogen Oxide,2020-01-11,0.1,0.2,0.1,0.1,0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,0,0,0.1,
27067,Nitrogen Oxide,2020-01-12,0,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.5,0.6,0.5,0.4,0.2,0,0,0,0,0,0,0.1,
27067,Nitrogen Oxide,2020-01-13,0.1,0.1,0.1,0.2,0,0.2,0.4,0.3,1.4,5.3,7.8,4.9,3.7,1.8,3.2,5.5,1.8,0.9,0.5,0.5,0.5,0.6,0.8,0.8,
27067,Nitrogen Oxide,2020-01-14,4.3,17.3,16.1,16.7,21.8,8.9,5,7.7,7.1,7.1,7.1,3,2.7,4.3,2.3,1.1,1,1.1,0.9,0.5,0.3,0.2,0.2,0.1,
27067,Nitrogen Oxide,2020-01-15,0.1,0.2,0.1,0.1,0.1,0.1,0.1,2.5,3.5,1.4,1,0.8,0.5,0.5,0.5,0.5,0.8,0.5,0.9,0.1,0.3,0.5,0.1,0,
27067,Nitrogen Oxide,2020-01-16,0.2,0.2,0.1,0.4,0.3,0.3,0.7,0.8,0.3,0.6,0.8,0.7,0.5,0.5,0.4,0.7,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.1,
27067,Nitrogen Oxide,2020-01-17,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.5,0.8,1.4,1.4,1,0.5,0.8,0.6,0.6,0.4,0.1,0.7,0.5,0.3,0.4,0.6,0.2,
27067,Nitrogen Oxide,2020-01-18,0.2,0.2,0.2,0.3,0.6,1.5,1.6,1.4,0.9,0.7,2.1,2.5,2.8,2.8,0.9,0.7,0.5,0.4,0.3,0.1,0.2,0.3,0.2,0.1,
27067,Nitrogen Oxide,2020-01-19,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.6,0.6,0.8,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
27067,Nitrogen Oxide,2020-01-20,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,1.1,2.7,3.7,4.3,4.3,3.6,2.5,1,0.7,0.5,0.3,0.2,0.2,0.2,0.1,0.1,
27067,Nitrogen Oxide,2020-01-21,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.8,1.1,1,0.9,0.7,0.7,0.6,0.4,0.2,0.2,0.3,0.1,0.1,0.2,0.1,
27067,Nitrogen Oxide,2020-01-22,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.5,0.6,1,1.3,1,1.1,1,1,1.1,0.6,0.5,0.3,0.5,0.3,0.3,0.2,0.1,
27067,Nitrogen Oxide,2020-01-23,0.1,0.6,0.6,0.4,0.5,0.5,1.5,4.7,10.4,8.7,4.3,4.4,3.8,4,4.4,6,4.7,1.9,0.8,0.5,0.3,0.8,0.6,0.5,
27067,Nitrogen Oxide,2020-01-24,1.2,1.4,11.6,7.2,0.5,0.8,1.2,3.3,6.3,6.9,4.6,5,3.3,3.6,3.3,1.7,1,1.8,0.9,0.9,0.8,0.1,0.2,0.2,
27067,Nitrogen Oxide,2020-01-25,0.2,0.2,0.1,0.1,0.2,0.2,0.9,0.8,0.7,0.7,1.2,1.6,1.4,0.6,0.8,0.7,0.4,0.3,0.6,0.2,0.3,0.6,0.7,0.4,
27067,Nitrogen Oxide,2020-01-26,0.3,0.1,0.1,0.4,0.2,0.2,0.3,0.3,0.6,0.9,1.1,1,1,0.6,0.6,0.5,0.5,0.3,0.3,0.1,0.2,0.1,0.2,0.1,
27067,Nitrogen Oxide,2020-01-27,0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,1.2,1.2,1.9,1.5,1.2,1.1,0.6,0.5,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1,
27067,Nitrogen Oxide,2020-01-28,0.1,0.1,0.1,0.1,0,0,0,0.1,0.3,0.5,0.6,0.6,9999,9999,0.4,0.3,0.2,0.1,0.1,0,0.1,0.1,0,0,
27067,Nitrogen Oxide,2020-01-29,0,0.1,0,0,0,0,0.1,0.1,0.2,0.5,0.9,0.9,1.3,1.5,1.6,1.5,1,0.2,0.6,1.8,2.3,8.7,14.5,19.2,
27067,Nitrogen Oxide,2020-01-30,10,1.5,0.3,0.5,1,2.2,2.5,2.2,2.8,2,1.7,1.2,1.4,1,0.7,0.5,0.3,0.1,0.1,0.4,0.7,0.4,0.1,0.1,
27067,Nitrogen Oxide,2020-01-31,0.4,0.2,0.5,0.1,0.1,0.4,3.4,2.8,1.6,2.4,2.8,2.9,2.5,1.9,1.2,0.8,0.4,0.5,0.7,0.2,0.3,0.6,0.9,0.9,
27067,Nitrogen Oxide,2020-02-01,0.9,0.4,0.3,0.3,0.1,0.5,0.3,1.2,2,1.7,1,0.8,0.6,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.4,0.2,
27067,Nitrogen Oxide,2020-02-02,0.3,0.1,0,0.2,0.1,0.1,0.1,0.3,0.7,1.1,0.8,1.1,1.1,1.1,0.7,0.8,0.8,0.3,0.3,0.2,0.8,0.1,0.3,0.1,
