St. Catharines, (27067) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,St. Catharines (27067)
Address,Argyle Cres., Pump Stn.
Latitude,43.160056
Longitude,-79.23475
Elevation, 105 metres
Air intake height,4 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
27067,Nitrogen Dioxide,2020-01-01,3,3,2.6,2.6,2.5,2.9,2.7,2.9,3.1,2.8,2.6,2.7,2.7,3,2.7,2.8,3.5,5,8.7,7.8,6.7,3.6,3.5,3.5,
27067,Nitrogen Dioxide,2020-01-02,3.2,3.4,3.3,3.2,3,2.9,3.3,3.4,4,3.8,3.7,3.7,3.9,3.8,3.9,4.2,4.3,4.4,4.1,4,4.1,3.9,3.8,3.8,
27067,Nitrogen Dioxide,2020-01-03,3.6,3.4,3.2,3.5,4,4.7,5.9,7.2,6.8,8,7.9,8.5,9.2,11.3,9.5,8,11.7,11.7,9.4,8,9.7,9.8,6.7,4.6,
27067,Nitrogen Dioxide,2020-01-04,3.7,5.4,4.7,3.1,3,5.8,6.1,6.9,9.3,8.1,7.5,4.9,6.8,9.8,7.3,6.8,3.9,3.5,3.5,4.9,4.6,6.5,7,5.1,
27067,Nitrogen Dioxide,2020-01-05,5.1,2,2.6,3.2,2.9,3.6,4.1,4.2,3,4.3,5.9,3.1,3,3.1,3.1,2.9,4.7,3.1,3.6,4.5,3.7,3.5,3.1,3.2,
27067,Nitrogen Dioxide,2020-01-06,3.8,3.8,3.3,3.6,4.1,4.1,4,4.7,4.4,4.2,3.8,3.1,3.2,3.1,3.2,3.4,4.7,4.9,5.3,6.6,7.1,4.4,7,14.8,
27067,Nitrogen Dioxide,2020-01-07,8.3,4.9,5.8,9.4,14.1,12.7,16.4,28.3,32,23.9,13.5,7.7,5.7,5.8,6,6.4,7.1,7.8,8.1,8.3,7.6,7.6,6.5,6.7,
27067,Nitrogen Dioxide,2020-01-08,5.9,4.7,4.4,3.9,4,5.6,5.9,4.4,8,7.1,5,3.3,2.8,3.2,3,3.5,4,3.3,2.6,2.6,2.9,2.9,2.9,2.7,
27067,Nitrogen Dioxide,2020-01-09,2.5,3.7,5.2,5.2,6.5,8.7,13.5,16.5,15.1,6.9,7.9,5.9,5.4,6.7,7.7,9.5,13.1,16.2,9.5,10.8,16.1,20,12.7,4.8,
27067,Nitrogen Dioxide,2020-01-10,3.6,3.8,3.7,3.8,3,3.2,3.5,4,4,4,4.4,4.6,4.7,4.9,4.9,4.8,4.7,5,4.7,6.1,6.4,6.8,5.3,5.2,
27067,Nitrogen Dioxide,2020-01-11,6.6,4,3.5,3.1,2.9,2.8,3,2.9,2.7,2.4,2.2,6.1,9.2,9.4,8,8,6.3,5.1,2.4,2.2,2.1,2,2.6,2.4,
27067,Nitrogen Dioxide,2020-01-12,2.2,2.2,2.8,2.5,2.7,3,3.6,4.1,4.2,2.4,3.2,2.7,2.8,3.4,3.1,3.7,3.9,4.4,4.8,4.6,4.6,4.3,3.8,3.7,
27067,Nitrogen Dioxide,2020-01-13,4.3,3.7,3.2,3.3,5.2,8.1,6.6,9.9,13.9,19.1,18.1,15.6,12.4,8.5,13.8,18.4,10.8,10,8.7,8.3,8.9,11.9,12.6,11.8,
27067,Nitrogen Dioxide,2020-01-14,15.9,20.4,19.5,17.8,17.4,15,13.8,13.6,11.9,10.1,9.8,9.5,11.5,11.4,10.2,11.3,10.4,14.7,13,9.9,7.3,7.8,7,5.8,
27067,Nitrogen Dioxide,2020-01-15,4.7,4.4,5,4.3,4.5,5.6,8.6,19.9,18.9,9.4,7.1,5.3,4,4.5,4.6,4.9,7.3,9.6,8.5,7.2,6.4,6.8,6.9,7.1,
27067,Nitrogen Dioxide,2020-01-16,8.8,8.9,6.8,13.5,9.8,8.6,7.8,8,5.3,6.2,7.5,5.4,4,4,4.3,5.3,5.7,6,5.2,5.6,4,3.8,3.1,2.9,
27067,Nitrogen Dioxide,2020-01-17,3.4,3.6,3.6,3.9,3.8,4.4,5.9,6.6,7.4,6.9,6,3.9,2.8,2.8,2.9,3.7,4,4.9,6.7,6.6,5.4,4.6,5.7,4.8,
27067,Nitrogen Dioxide,2020-01-18,4.4,4.3,5,5.1,5.9,7.8,8.1,9.3,8.9,8.3,10,12.2,12.9,11.3,5.9,5.3,5,5.3,4.4,4.2,4.5,5.4,4.7,4.2,
27067,Nitrogen Dioxide,2020-01-19,4,3.6,3.6,3.6,3.3,3.2,3.7,4.3,5.1,4.4,4.7,6,5.1,3.7,4,6.1,3.2,4.9,4.2,5.1,4,3.8,3.9,3.9,
27067,Nitrogen Dioxide,2020-01-20,4.8,4.6,5.7,7.1,6.7,8.7,13.4,13,10.1,9.8,10.7,12.1,10.4,9,7.4,5,7.1,11.2,12.2,9.4,7.2,6.7,5.7,6.4,
27067,Nitrogen Dioxide,2020-01-21,6.3,5.8,6,6.1,5.7,7,10,10.2,11,8.8,7.6,5.4,4.9,4.3,4.9,4.6,5,5.7,6.3,5.9,6,7.1,6.2,6,
27067,Nitrogen Dioxide,2020-01-22,4.5,6,6.4,5.5,5.6,5.2,5.4,6,6.5,7.1,6.1,5.3,5.6,5.3,6.1,8,9,8.6,8.3,8.5,8.5,8.7,9,8.3,
27067,Nitrogen Dioxide,2020-01-23,9.5,12.7,11.9,14.9,11,12.3,20.6,27.4,28.6,21.9,13.7,12.8,12.3,13.9,16.9,23.5,27.2,29.3,24.6,16.9,19,23.2,19.9,20.1,
27067,Nitrogen Dioxide,2020-01-24,25.6,23.2,28.1,27.2,16.1,17.7,16.8,21.2,24,19.7,12.6,14.7,12.7,14.4,13.5,14,17.3,21.8,17.8,15.5,12.9,11.1,13.4,10,
