St. Catharines, (27067) Hourly, Nitrogen oxides (NOx) Concentrations
Station,St. Catharines (27067)
Address,Argyle Cres., Pump Stn.
Latitude,43.160056
Longitude,-79.23475
Elevation, 105 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
27067,Nitrogen Oxides,2020-01-01,3,3.1,2.6,2.6,2.5,2.9,2.7,2.9,3.3,3.2,2.9,2.9,2.8,3.1,2.9,3,3.7,5.1,8.9,8.2,7,3.8,3.7,3.7,
27067,Nitrogen Oxides,2020-01-02,3.3,3.5,3.5,3.3,3.2,3.1,3.6,3.8,4.4,4.4,4.5,4.4,4.6,4.3,4.4,4.8,4.6,4.6,4.3,4.1,4.2,4,3.9,3.9,
27067,Nitrogen Oxides,2020-01-03,3.6,3.5,3.3,3.6,4.1,5,6.2,7.7,7.2,8.8,8.9,9.5,10.6,12.6,11.2,8.7,12.1,11.9,9.5,8.1,9.8,9.9,6.8,4.6,
27067,Nitrogen Oxides,2020-01-04,3.6,5.5,4.7,3.1,3,5.9,6.1,6.9,9.5,8.5,8.1,5.4,7.4,11.3,8.1,7.1,4,3.6,3.6,5.1,4.8,6.8,7.2,5.3,
27067,Nitrogen Oxides,2020-01-05,5.2,2.1,2.6,3.2,3,3.7,4.2,4.3,3.1,4.7,7,3.4,3.4,3.5,3.3,3.1,5.2,3.2,3.8,4.7,4,3.8,3.3,3.4,
27067,Nitrogen Oxides,2020-01-06,4,4.1,3.3,3.7,4.3,4.3,4.2,5.1,4.9,4.8,4.3,3.7,3.9,3.9,3.9,3.9,5,5.1,5.5,6.8,7.2,4.5,7.2,15.4,
27067,Nitrogen Oxides,2020-01-07,8.4,5,6.1,9.9,15.4,13.5,17.7,35.8,58.2,33.6,18.2,10,7.3,7.2,7.4,7.3,7.6,8.3,8.6,8.6,7.8,7.7,6.6,6.9,
27067,Nitrogen Oxides,2020-01-08,5.9,4.8,4.5,4,4.1,5.7,6.1,4.5,8.7,8.5,5.8,4,3.5,4,3.7,4,4.4,3.6,2.8,2.8,3,3,3,2.8,
27067,Nitrogen Oxides,2020-01-09,2.6,3.8,5.4,5.5,6.8,9.4,16.7,18.6,18,8.6,10.2,8,7.1,8.8,9.6,10.8,14.1,17.1,9.9,12.1,17,21.7,14,5,
27067,Nitrogen Oxides,2020-01-10,3.9,4.1,3.9,4,3.1,3.3,3.7,4.4,4.3,4.5,4.9,5.1,5,5.4,5.3,5.2,5.1,5.4,5,6.4,6.7,7.2,5.6,5.3,
27067,Nitrogen Oxides,2020-01-11,6.8,4.2,3.6,3.2,3,3,3.2,3,2.9,2.6,2.3,6.3,9.5,9.7,8.4,8.4,6.6,5.4,2.5,2.3,2.2,2,2.6,2.5,
27067,Nitrogen Oxides,2020-01-12,2.3,2.3,2.8,2.5,2.8,3.1,3.7,4.2,4.4,2.7,3.6,3.2,3.3,4,3.6,4.1,4.1,4.5,4.8,4.6,4.6,4.3,3.8,3.8,
27067,Nitrogen Oxides,2020-01-13,4.4,3.8,3.3,3.5,5.2,8.3,7,10.2,15.3,24.4,25.9,20.5,16.2,10.3,17,23.9,12.6,10.9,9.2,8.8,9.4,12.5,13.4,12.7,
27067,Nitrogen Oxides,2020-01-14,20.3,37.7,35.6,34.5,39.2,24,18.7,21.3,19,17.2,16.9,12.4,14.3,15.8,12.5,12.3,11.4,15.8,13.9,10.5,7.6,8,7.2,6,
27067,Nitrogen Oxides,2020-01-15,4.8,4.5,5,4.4,4.6,5.7,8.7,22.4,22.5,10.8,8,6.1,4.5,5,5.1,5.4,8.1,10.1,9.4,7.3,6.7,7.3,7,7.1,
27067,Nitrogen Oxides,2020-01-16,9,9.1,6.9,13.8,10.1,8.9,8.5,8.8,5.6,6.8,8.2,6.1,4.5,4.5,4.7,6,6.1,6.3,5.5,5.8,4.2,4,3.3,3.1,
27067,Nitrogen Oxides,2020-01-17,3.5,3.8,3.7,4,3.9,4.6,6.1,7.1,8.1,8.4,7.4,4.9,3.2,3.5,3.4,4.3,4.4,5,7.4,7.1,5.7,5.1,6.3,5.1,
27067,Nitrogen Oxides,2020-01-18,4.6,4.5,5.3,5.4,6.5,9.2,9.7,10.7,9.7,9,12.1,14.7,15.8,14.1,6.8,6,5.5,5.7,4.7,4.3,4.7,5.8,4.9,4.3,
27067,Nitrogen Oxides,2020-01-19,4.2,3.7,3.7,3.8,3.4,3.2,3.8,4.5,5.4,4.8,5.2,6.6,5.9,4.3,4.6,7,3.5,5,4.4,5.2,4.1,3.9,4,4,
27067,Nitrogen Oxides,2020-01-20,4.9,4.7,5.8,7.2,6.8,8.9,13.6,13.4,11.2,12.5,14.4,16.4,14.7,12.6,9.9,6.1,7.7,11.7,12.6,9.6,7.4,6.9,5.9,6.5,
27067,Nitrogen Oxides,2020-01-21,6.5,5.9,6.1,6.2,5.8,7.1,10.1,10.4,11.6,9.6,8.7,6.4,5.9,5.1,5.6,5.2,5.3,5.8,6.5,6.1,6.1,7.2,6.4,6.1,
27067,Nitrogen Oxides,2020-01-22,4.6,6.5,6.5,5.6,5.8,5.4,5.8,6.5,7.1,8,7.4,6.3,6.7,6.3,7.1,9.1,9.6,9.1,8.6,9.1,8.8,9,9.2,8.4,
27067,Nitrogen Oxides,2020-01-23,9.6,13.3,12.5,15.4,11.5,12.8,22.1,32.1,38.9,30.6,18,17.2,16,17.9,21.3,29.5,31.9,31.2,25.4,17.3,19.4,24,20.5,20.5,
27067,Nitrogen Oxides,2020-01-24,26.8,24.5,39.7,34.3,16.5,18.5,18.1,24.6,30.3,26.6,17.2,19.7,16,18.1,16.9,15.7,18.3,23.7,18.7,16.4,13.6,11.2,13.5,10.2,
27067,Nitrogen Oxides,2020-01-25,9.1,10.2,7.5,5.8,6.3,7.1,9.9,11.2,12.9,12.4,17,17.2,11.3,5.4,5.9,6.7,5.5,6.1,7.9,5.8,7,8.4,8.5,6.3,
27067,Nitrogen Oxides,2020-01-26,5.2,4.6,4.9,5.6,5.8,5.4,6.1,6.9,7.9,7.5,7,6.5,5.7,4.5,4.9,5.5,6,5.9,5.3,5.1,5.1,5,5.5,5.1,
27067,Nitrogen Oxides,2020-01-27,3.4,3.4,3.5,4,4.5,4.7,6.5,8.2,10.4,12.5,10.4,9.4,9.9,8.3,5.3,5.5,6.6,7.2,5.9,5.2,5.4,5.4,4.8,4.1,
27067,Nitrogen Oxides,2020-01-28,4.4,5.6,4.6,4.8,3.3,3.2,4,5.4,5.8,7.2,5.7,4.9,9999,9999,5.8,7.7,6.5,4.8,4,3.5,3.4,3.4,3.1,3.3,
27067,Nitrogen Oxides,2020-01-29,4.5,4.1,4.2,4.6,3,4.3,4.4,5.6,6.1,6.5,7.7,7.7,10.3,10.4,10.8,8.9,10.8,12,14.9,23.9,29.5,40.7,45.3,50.6,
27067,Nitrogen Oxides,2020-01-30,41.9,25.5,19.6,15.8,14.4,13.8,17,19.2,20.5,11.8,9.1,7.2,7.1,5.7,4.5,4.6,5.4,8.3,16.6,17.7,12.6,10.1,8.3,7.8,
27067,Nitrogen Oxides,2020-01-31,8.9,10.8,13.4,12.9,14.8,18,19.6,17.1,15.4,15.4,15.4,15.3,14.4,14.2,11.8,12.4,11.9,12.7,14,11.8,14.5,17.1,21.2,22.9,
27067,Nitrogen Oxides,2020-02-01,22.4,17,14.1,12.5,12.5,13.8,12.3,17.1,16.7,14.9,9.6,8.1,7.3,5.4,4.8,5,6.4,6,7.2,7.4,7.7,9.1,7.1,5.8,
27067,Nitrogen Oxides,2020-02-02,5.8,5.6,5.8,5.9,5.2,5.3,5.5,6.3,7.5,8,6.3,6.7,6.3,8,6.6,8.1,9.9,8.4,8.5,7.3,9,7,7.3,5.7,
27067,Nitrogen Oxides,2020-02-03,5,4.7,4.8,4.7,5.6,7.2,8.6,11.7,11,9.5,6.3,5.2,4.5,5.5,6.5,6.8,7.1,11.6,16.7,20.5,16.7,9.8,9.6,8.1,
27067,Nitrogen Oxides,2020-02-04,6.5,8.3,7,6.2,5.1,5.3,7.6,10.6,11.9,14.3,15.8,12,12.1,12.5,8.8,11,9,9.6,10.4,11.1,5,4.2,3.6,3.2,
27067,Nitrogen Oxides,2020-02-05,3.2,3.3,2.8,3.1,3.3,3.8,4.5,7.4,6,5.6,4.7,3.5,3.2,4.1,3.3,4,4.1,4.6,3.9,3.1,3.1,2.9,2.9,3.6,
27067,Nitrogen Oxides,2020-02-06,4.9,3.9,3.9,4,4.4,4.6,7,8,7.3,7.9,5.9,5.2,4.3,4.3,6.7,4.8,4.2,4,4.2,4.2,3.8,3.1,3,2.8,
27067,Nitrogen Oxides,2020-02-07,2.9,2.8,3,3.3,3.1,3.3,3.9,4.3,5.4,4.7,5,6.6,7.6,9.2,8.4,7.8,6.5,5.4,3.8,3.7,3.9,4.4,4,7.4,
27067,Nitrogen Oxides,2020-02-08,10.2,6.3,6.1,7.4,9.6,16.6,14.2,12.4,8.4,4.8,3.2,3.1,3.2,2.8,2.7,2.8,3.2,5.4,8.6,7.6,8.3,11.1,15.5,22.1,
27067,Nitrogen Oxides,2020-02-09,25.6,26.8,36.6,47.5,59.2,60.9,37.7,34.2,31.5,20.1,14.3,10.8,8,5.9,4.8,4.5,5.4,6.8,8.3,7.1,5.4,4.3,4.4,4.4,
