St. Catharines, (27067) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,St. Catharines (27067)
Address,Argyle Cres., Pump Stn.
Latitude,43.160056
Longitude,-79.23475
Elevation, 105 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
27067,Fine Particulate Matter,2020-01-01,3,3,3,3,3,4,4,4,4,3,2,3,3,5,5,5,5,6,9,9,8,6,5,5,
27067,Fine Particulate Matter,2020-01-02,5,4,4,4,4,3,3,3,3,2,2,2,3,3,3,3,4,4,4,5,5,5,5,6,
27067,Fine Particulate Matter,2020-01-03,6,7,7,7,7,8,9,10,12,12,13,14,15,17,17,16,16,13,11,9,9,8,7,6,
27067,Fine Particulate Matter,2020-01-04,5,5,5,4,4,4,3,3,4,4,4,4,5,6,4,3,3,3,2,2,2,3,3,2,
27067,Fine Particulate Matter,2020-01-05,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,
27067,Fine Particulate Matter,2020-01-06,5,7,8,9,7,6,4,4,3,3,3,3,3,3,3,3,4,5,5,5,5,3,3,5,
27067,Fine Particulate Matter,2020-01-07,5,4,4,4,4,4,4,5,6,7,7,8,8,6,6,6,5,6,7,7,6,6,6,6,
27067,Fine Particulate Matter,2020-01-08,7,7,8,5,5,4,3,3,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,
27067,Fine Particulate Matter,2020-01-09,2,2,2,2,2,3,3,4,5,4,4,4,4,4,5,5,8,10,10,10,9,10,7,5,
27067,Fine Particulate Matter,2020-01-10,5,4,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,6,4,4,
27067,Fine Particulate Matter,2020-01-11,3,3,3,4,5,4,5,5,4,3,2,2,4,4,6,7,6,6,4,3,3,3,2,2,
27067,Fine Particulate Matter,2020-01-12,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,4,4,5,5,5,5,5,
27067,Fine Particulate Matter,2020-01-13,7,8,7,7,7,8,8,9,9,10,12,12,11,9,10,10,10,9,9,9,10,10,11,12,
27067,Fine Particulate Matter,2020-01-14,14,15,15,16,17,15,15,14,16,17,16,11,10,10,10,11,14,18,21,19,18,17,15,11,
27067,Fine Particulate Matter,2020-01-15,9,9,10,9,8,7,7,7,9,9,9,9,8,8,9,10,12,12,10,9,8,8,7,7,
