Guelph, (28028) Hourly, Nitric oxide (NO) Concentrations
Station,Guelph (28028)
Address,Exhibition St./Clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28028,Nitrogen Oxide,2020-01-01,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0,0.1,0.1,0.2,0.1,0.1,0.1,
28028,Nitrogen Oxide,2020-01-02,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,1.2,1.1,1.1,1,1.1,1.1,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
28028,Nitrogen Oxide,2020-01-03,0.1,0,0.1,0.1,0.1,0.1,0.3,0.5,0.6,0.9,1.2,0.9,0.9,0.5,0.6,0.7,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,
28028,Nitrogen Oxide,2020-01-04,0,0.1,0,0.1,0,0.1,0.1,0.1,0.8,0.4,0.7,0.5,0.5,0.5,0.6,0.5,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,
28028,Nitrogen Oxide,2020-01-05,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.1,0,0,0.1,0.1,0.1,0.1,0,
28028,Nitrogen Oxide,2020-01-06,0,0.1,0.1,9999,0.2,0.2,0.1,0.2,0.3,0.5,0.6,0.8,1.1,0.9,0.8,0.8,0.4,0.1,0.2,0.3,0.1,0,0,0,
28028,Nitrogen Oxide,2020-01-07,0,0,0,0.2,0.2,0.1,8.5,26.6,27,22.1,17.3,8,3.6,4.2,2.2,1.4,0.7,0.1,0.1,0.2,0.1,0.1,0.1,0.1,
28028,Nitrogen Oxide,2020-01-08,0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.6,0.9,0.8,0.8,0.7,0.6,0.6,0.4,0.6,0.2,0.5,0.5,0.4,0.2,0.1,0.3,
28028,Nitrogen Oxide,2020-01-09,0.1,0.1,0.2,2.6,1.8,1,1.1,1.3,2.3,4.7,5.1,4.3,4.4,3.1,1.7,1.5,1.1,0.6,0.6,0.4,0.3,0.4,0.1,0.1,
28028,Nitrogen Oxide,2020-01-10,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.6,0.9,0.6,0.7,0.5,0.3,1.7,4.6,0.5,5.1,26.1,2.9,0.9,
28028,Nitrogen Oxide,2020-01-11,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,
28028,Nitrogen Oxide,2020-01-12,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.6,0.8,0.6,0.4,0.5,0.5,0.4,0.1,0.2,0.1,0.1,0,0.1,0.1,
28028,Nitrogen Oxide,2020-01-13,0.1,0.2,0.3,9999,0.2,0.3,0.4,0.6,1.5,4.3,6.7,8.7,5.3,5.2,4.6,2.4,0.7,0.3,0.2,0.2,0.2,0.4,0.2,0.3,
28028,Nitrogen Oxide,2020-01-14,0.1,0.6,0.5,0.6,0.9,1,1,0.6,1,2.3,1.9,2.1,1.3,1.9,1.6,1.1,0.8,0.6,0.6,0.3,0.2,0.1,0.1,0.1,
