Hamilton Downtown, (29000) Hourly, Carbon monoxide (CO) Concentrations
Station,Hamilton Downtown (29000)
Address,Elgin St./Kelly St.
Latitude,43.25778
Longitude,-79.861664
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Carbon Monoxide (carbon monoxide CO)
Unit, parts per million (ppm)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Carbon Monoxide,2020-01-01,0.16,0.16,0.19,0.18,0.19,0.17,0.15,0.13,0.12,0.12,0.12,0.14,0.14,0.14,0.15,0.15,0.16,0.18,0.19,0.18,0.16,0.2,0.17,0.16,
29000,Carbon Monoxide,2020-01-02,0.16,0.17,0.18,0.17,0.17,0.16,0.17,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.2,0.18,0.18,0.18,0.17,0.18,0.18,
29000,Carbon Monoxide,2020-01-03,0.18,0.18,0.18,0.18,0.2,0.19,0.2,0.2,0.21,0.26,0.22,0.22,0.21,0.19,0.2,0.22,0.23,0.2,0.18,0.19,0.2,0.21,0.25,0.24,
29000,Carbon Monoxide,2020-01-04,0.3,0.28,0.26,0.19,0.2,0.23,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.15,
29000,Carbon Monoxide,2020-01-05,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.16,0.17,0.17,0.17,0.17,0.16,
29000,Carbon Monoxide,2020-01-06,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.19,0.2,0.18,0.17,0.19,0.24,0.21,0.17,
29000,Carbon Monoxide,2020-01-07,0.16,0.16,0.16,0.16,0.16,0.17,0.24,0.25,0.39,0.34,0.53,0.24,0.21,0.19,0.19,0.19,0.2,0.24,0.26,0.24,0.2,0.21,0.21,0.19,
29000,Carbon Monoxide,2020-01-08,0.19,0.17,0.16,0.15,0.15,0.14,0.14,0.15,0.17,0.16,0.14,0.13,0.14,0.14,0.14,0.14,0.17,0.17,0.15,0.15,0.14,0.14,0.11,0.13,
29000,Carbon Monoxide,2020-01-09,0.15,0.17,0.21,0.23,0.24,0.17,0.2,0.24,0.32,0.16,0.18,0.15,0.15,0.16,0.17,0.22,0.26,0.3,0.3,0.22,0.25,0.25,0.32,0.42,
29000,Carbon Monoxide,2020-01-10,0.22,0.15,0.15,0.14,0.15,0.16,0.17,0.19,0.21,0.2,0.2,0.2,0.21,0.23,0.24,0.24,0.25,0.28,0.26,0.36,0.27,0.36,0.37,0.41,
29000,Carbon Monoxide,2020-01-11,0.32,0.29,0.25,0.21,0.17,0.16,0.16,0.15,0.15,0.17,0.21,0.22,0.23,0.31,0.22,0.24,0.32,0.29,0.26,0.26,0.22,0.17,0.21,0.22,
29000,Carbon Monoxide,2020-01-12,0.18,0.19,0.17,0.18,0.2,0.17,0.16,0.15,0.13,0.13,0.13,0.15,0.15,0.14,0.14,0.16,0.16,0.16,0.15,0.16,0.23,0.28,0.28,0.26,
29000,Carbon Monoxide,2020-01-13,0.2,0.2,0.16,0.16,0.18,0.35,0.27,0.34,0.36,0.36,0.37,0.41,0.45,0.39,0.38,0.31,0.32,0.23,0.22,0.24,0.23,0.22,0.26,0.34,
29000,Carbon Monoxide,2020-01-14,0.47,0.35,0.42,0.36,0.26,0.27,0.26,0.33,0.36,0.25,0.23,0.23,0.48,0.41,0.44,0.33,0.33,0.43,0.29,0.22,0.18,0.18,0.17,0.16,
29000,Carbon Monoxide,2020-01-15,0.15,0.15,0.15,0.14,0.14,0.16,0.17,0.18,0.18,0.19,0.18,0.16,0.17,0.17,0.17,0.19,0.23,0.26,0.27,0.24,0.24,0.28,0.2,0.21,
29000,Carbon Monoxide,2020-01-16,0.21,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.14,
29000,Carbon Monoxide,2020-01-17,0.15,0.23,0.26,0.2,0.24,0.31,0.2,0.25,0.36,0.24,0.32,0.21,0.24,0.57,0.23,0.23,0.26,0.22,0.2,0.2,0.19,0.22,0.21,0.16,
29000,Carbon Monoxide,2020-01-18,0.16,0.18,0.18,0.17,0.17,0.19,0.19,0.26,0.2,0.21,0.22,0.24,0.24,0.27,0.29,0.34,0.42,0.63,0.39,0.18,0.19,0.19,0.19,0.18,
29000,Carbon Monoxide,2020-01-19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.16,
29000,Carbon Monoxide,2020-01-20,0.21,0.16,0.18,0.18,0.17,0.16,0.22,0.21,0.23,0.23,0.19,0.18,0.15,0.15,0.16,0.17,0.19,0.21,0.19,0.17,0.15,0.17,0.16,0.16,
29000,Carbon Monoxide,2020-01-21,0.16,0.15,0.14,0.13,0.14,0.15,0.15,0.19,0.23,0.21,0.2,9999,9999,0.1,0.09,0.11,0.12,0.17,0.18,0.16,0.15,0.17,0.16,0.18,
29000,Carbon Monoxide,2020-01-22,0.17,0.16,0.16,0.16,0.16,0.18,0.2,0.22,0.24,0.2,0.18,0.18,0.18,0.18,0.19,0.21,0.23,0.24,0.23,0.22,0.24,0.25,0.25,0.28,
29000,Carbon Monoxide,2020-01-23,0.31,0.29,0.25,0.24,0.27,0.34,0.44,0.48,0.58,0.55,0.51,0.52,0.63,0.56,0.71,0.66,0.73,0.5,0.45,0.41,0.42,0.4,0.42,0.45,
29000,Carbon Monoxide,2020-01-24,0.34,0.32,0.47,0.48,0.49,0.52,0.41,0.33,0.32,0.33,0.29,0.27,0.31,0.39,0.47,0.38,0.39,0.31,0.29,0.28,0.35,0.37,0.32,0.28,
29000,Carbon Monoxide,2020-01-25,0.3,0.33,0.26,0.3,0.22,0.23,0.28,0.33,0.27,0.31,0.33,0.43,0.34,0.31,0.26,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.23,0.23,
29000,Carbon Monoxide,2020-01-26,0.25,0.25,0.25,0.24,0.25,0.26,0.29,0.3,0.3,0.3,0.28,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.2,0.19,0.19,0.17,
29000,Carbon Monoxide,2020-01-27,0.16,0.16,0.16,0.16,0.17,0.17,0.19,0.2,0.23,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.21,0.22,0.2,0.18,0.17,0.18,0.19,0.18,
29000,Carbon Monoxide,2020-01-28,0.18,0.19,0.18,0.16,0.16,0.16,0.18,0.19,0.19,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.2,0.19,0.16,0.16,0.16,0.16,0.15,0.14,
