Hamilton Downtown, (29000) Hourly, Nitric oxide (NO) Concentrations
Station,Hamilton Downtown (29000)
Address,Elgin St./Kelly St.
Latitude,43.25778
Longitude,-79.861664
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Nitrogen Oxide,2020-01-01,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.4,0.6,0.6,0.1,0,0,0,0,0.5,0.1,0,
29000,Nitrogen Oxide,2020-01-02,0,0,0,0,0,0.5,0.6,0.2,0.5,1.3,1.2,1.5,0.9,1.2,1.1,0.5,0.1,0.1,0.1,0,0,0,0,0,
29000,Nitrogen Oxide,2020-01-03,0,0,0,0,0.1,0.1,0.8,0.7,2.4,6.9,5.3,3.3,1.8,1.4,1.5,3.2,3.5,1.5,1,0.7,0.8,0.9,1.1,1.7,
29000,Nitrogen Oxide,2020-01-04,1.3,1.1,0.8,0.8,0.7,2.6,1.1,4,1,0.9,1.9,2.6,1.8,1.2,0.9,0.9,0.7,0.8,0.3,0.1,0.1,0.1,0.2,0,
29000,Nitrogen Oxide,2020-01-05,0,0.1,0,0,0,0,0,0,0.6,0.7,0.3,0.4,0.3,0.4,0.6,0.2,0,0,0,0,0,0,0.3,0,
29000,Nitrogen Oxide,2020-01-06,0.1,0.1,0.2,0.1,0,0.1,0.2,0.3,0.7,0.7,1,1,1,1.7,1.5,1.1,0.7,0.3,0,0,0.4,1.3,0.1,0.2,
29000,Nitrogen Oxide,2020-01-07,0.1,0.1,0.4,0.5,0.5,0.8,2.4,2,20.5,14.4,35,7.6,3.6,2,2.6,1.3,0.7,0.4,0.9,0.9,0.2,0.3,0.1,0.4,
29000,Nitrogen Oxide,2020-01-08,0.5,0.2,0,0,0,0.1,0.2,0.4,1.3,2.5,2.8,2,3.5,2.3,1.8,1.7,1.5,1,0.7,0.7,0.3,0.3,0,0.1,
29000,Nitrogen Oxide,2020-01-09,0.2,4.1,4.3,28.1,22,4.6,7.1,6.7,15,2.8,2.7,2.9,2.7,2.8,2.7,4.1,4.2,3.3,3,1.5,1.8,1.5,4.5,18.9,
29000,Nitrogen Oxide,2020-01-10,6.8,0,0,0,0,0.8,0.5,0.3,1.4,2.4,3,2.9,2.2,1.7,0.7,0.5,0.2,0.1,0.1,1.8,1.2,4,4.6,5.5,
29000,Nitrogen Oxide,2020-01-11,4.6,2.8,1.7,1,0,0,0,0,0,0,0.4,0.5,0.3,1.9,2,2.2,2.3,1.9,1.2,3.7,3.5,0.7,1.1,0.8,
29000,Nitrogen Oxide,2020-01-12,1.3,1.8,1.2,2.4,1.4,0.7,0.1,0,0,0.2,0.3,0.6,0.8,0.7,0.6,0.3,0.3,0.5,0.4,0,0.4,0.5,0.9,1.7,
