Hamilton Downtown, (29000) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Hamilton Downtown (29000)
Address,Elgin St./Kelly St.
Latitude,43.25778
Longitude,-79.861664
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Fine Particulate Matter,2020-01-01,7,5,3,2,3,6,5,5,3,3,3,4,3,3,4,5,6,11,16,18,12,11,9,7,
29000,Fine Particulate Matter,2020-01-02,6,6,6,7,7,6,5,4,5,5,5,5,4,4,4,4,5,8,9,9,8,8,6,5,
29000,Fine Particulate Matter,2020-01-03,6,7,7,8,10,10,9,11,15,17,17,18,17,13,12,15,15,15,12,12,10,10,9,8,
29000,Fine Particulate Matter,2020-01-04,8,8,8,6,6,6,6,4,5,5,4,4,3,2,1,1,1,1,1,2,3,3,3,2,
29000,Fine Particulate Matter,2020-01-05,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,5,10,9,10,6,6,
29000,Fine Particulate Matter,2020-01-06,5,4,6,6,6,4,4,3,2,1,2,1,2,2,2,3,6,8,5,2,3,4,3,2,
29000,Fine Particulate Matter,2020-01-07,2,3,3,3,2,2,2,4,8,9,10,8,6,8,11,8,8,10,12,12,12,13,10,9,
29000,Fine Particulate Matter,2020-01-08,10,10,8,6,4,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,
29000,Fine Particulate Matter,2020-01-09,3,5,7,12,8,6,6,6,7,5,6,6,5,5,5,6,8,9,9,8,11,9,12,11,
29000,Fine Particulate Matter,2020-01-10,6,5,5,5,9,9,11,12,14,16,14,13,10,8,9,11,11,12,18,21,16,17,17,19,
29000,Fine Particulate Matter,2020-01-11,13,15,8,6,2,1,3,4,5,5,4,5,7,9,8,12,9,7,6,6,6,4,5,3,
29000,Fine Particulate Matter,2020-01-12,5,6,6,6,6,4,4,4,3,4,3,3,2,2,2,3,3,3,3,4,4,5,6,7,
29000,Fine Particulate Matter,2020-01-13,7,6,5,5,6,7,6,8,10,10,13,18,19,21,18,13,11,8,7,8,9,9,9,9,
29000,Fine Particulate Matter,2020-01-14,10,11,12,14,20,19,18,20,21,19,19,18,19,16,17,17,17,19,19,18,12,9,9,9,
29000,Fine Particulate Matter,2020-01-15,9,9,9,8,7,6,6,5,4,4,5,6,6,6,8,10,11,14,14,10,8,6,5,5,
29000,Fine Particulate Matter,2020-01-16,7,9,14,21,23,16,12,5,3,3,3,3,3,3,3,3,3,4,6,7,5,5,4,3,
29000,Fine Particulate Matter,2020-01-17,2,2,3,3,3,2,2,2,2,2,3,2,2,7,6,6,8,10,10,10,9,9,7,5,
29000,Fine Particulate Matter,2020-01-18,5,4,3,3,3,4,4,5,6,7,7,8,7,8,10,10,11,15,9,3,3,3,3,3,
29000,Fine Particulate Matter,2020-01-19,3,4,5,5,5,6,8,9,8,9,10,5,4,3,3,3,3,2,2,2,2,1,1,2,
29000,Fine Particulate Matter,2020-01-20,2,2,2,2,3,4,5,4,4,2,2,1,1,2,3,4,6,8,9,8,7,7,6,6,
29000,Fine Particulate Matter,2020-01-21,6,5,4,3,2,2,2,2,5,7,9999,9999,3,3,3,4,5,7,8,9,10,11,12,11,
29000,Fine Particulate Matter,2020-01-22,12,13,13,13,16,16,15,15,14,13,13,14,14,14,13,14,14,14,14,13,12,12,12,13,
29000,Fine Particulate Matter,2020-01-23,13,13,13,12,12,13,15,17,18,19,21,23,28,24,26,24,26,25,24,20,22,20,18,17,
29000,Fine Particulate Matter,2020-01-24,18,21,23,25,23,22,15,11,14,14,12,11,11,12,12,14,17,21,15,16,22,31,25,18,
29000,Fine Particulate Matter,2020-01-25,16,17,15,15,10,9,10,9,7,11,15,14,13,9,3,1,1,1,2,2,2,1,1,1,
29000,Fine Particulate Matter,2020-01-26,1,1,1,1,3,7,8,8,8,7,6,8,7,7,7,7,6,6,6,5,3,2,2,2,
29000,Fine Particulate Matter,2020-01-27,2,2,3,3,3,3,3,3,4,4,4,5,5,6,7,4,4,4,4,4,3,4,3,3,
29000,Fine Particulate Matter,2020-01-28,4,6,5,4,3,4,4,4,3,3,2,2,2,2,2,3,4,5,5,9,5,5,5,4,
29000,Fine Particulate Matter,2020-01-29,3,2,2,2,4,7,8,8,8,6,6,6,7,6,6,8,16,16,16,17,20,23,19,10,
29000,Fine Particulate Matter,2020-01-30,8,7,8,10,11,11,11,10,11,7,4,4,4,4,4,5,6,8,7,7,7,7,8,8,
29000,Fine Particulate Matter,2020-01-31,6,7,10,10,11,9,9,10,11,14,15,20,17,13,12,12,10,10,12,13,16,20,19,16,
29000,Fine Particulate Matter,2020-02-01,16,16,18,19,20,21,22,24,22,22,18,11,15,15,12,8,6,7,10,12,11,11,10,10,
29000,Fine Particulate Matter,2020-02-02,10,12,14,15,13,11,11,13,14,14,7,4,6,7,7,8,9,12,15,16,16,15,13,13,
29000,Fine Particulate Matter,2020-02-03,14,12,7,5,4,3,3,3,3,2,2,3,-999,-999,3,5,5,8,14,14,13,14,6,3,
29000,Fine Particulate Matter,2020-02-04,3,3,3,5,7,4,2,2,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,2,
29000,Fine Particulate Matter,2020-02-05,2,3,2,2,2,2,2,2,2,2,2,3,4,5,7,8,6,5,4,3,2,3,5,5,
29000,Fine Particulate Matter,2020-02-06,11,7,10,8,5,4,4,4,4,4,5,6,6,6,6,5,6,8,7,7,6,6,4,4,
29000,Fine Particulate Matter,2020-02-07,4,3,3,2,2,2,2,2,2,3,4,5,4,3,4,4,6,7,9,9,8,6,6,7,
29000,Fine Particulate Matter,2020-02-08,7,8,8,9,7,6,5,6,6,4,5,6,9,12,10,7,4,4,5,5,5,4,5,8,
29000,Fine Particulate Matter,2020-02-09,13,12,12,13,13,14,14,14,15,17,18,19,25,28,27,28,25,25,20,12,7,6,6,5,
29000,Fine Particulate Matter,2020-02-10,3,3,3,3,4,6,9,12,16,22,22,13,9,8,8,8,8,8,10,11,10,9,10,12,
29000,Fine Particulate Matter,2020-02-11,10,14,18,18,19,16,11,8,7,6,8,8,7,8,13,15,16,18,15,15,12,10,8,6,
29000,Fine Particulate Matter,2020-02-12,5,5,5,5,6,8,9,11,11,10,10,9,8,8,9,9,11,11,11,11,12,12,13,13,
29000,Fine Particulate Matter,2020-02-13,17,22,19,12,15,18,18,16,15,15,16,16,15,15,10,3,2,2,3,2,3,3,3,3,
