Hamilton Downtown, (29000) Hourly, Sulphur dioxide (SO2) Concentrations
Station,Hamilton Downtown (29000)
Address,Elgin St./Kelly St.
Latitude,43.25778
Longitude,-79.861664
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Sulphur Dioxide (sulphur dioxide SO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Sulphur Dioxide,2020-01-01,1.3,1,0.8,0.7,0.7,0.6,0.7,0.6,0.5,0.4,0.3,0.3,0.5,0.9,1.7,1.7,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,
29000,Sulphur Dioxide,2020-01-02,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.6,9999,9999,9999,9999,9999,9999,9999,9999,
29000,Sulphur Dioxide,2020-01-03,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.4,0.5,1.3,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.3,
29000,Sulphur Dioxide,2020-01-04,1.2,5.8,8.5,1.1,0.5,0.3,0.2,0.2,0.2,0.2,0.4,0.5,0.8,0.8,0.8,0.4,0.4,0.7,0.9,0.4,0.3,0.3,0.3,0.3,
29000,Sulphur Dioxide,2020-01-05,0.3,1.6,0.6,0.5,0.3,0.3,0.3,0.5,1.2,1.3,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,
29000,Sulphur Dioxide,2020-01-06,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.4,0.9,0.6,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.2,
29000,Sulphur Dioxide,2020-01-07,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1,0.9,0.8,0.7,0.6,0.5,0.5,0.3,0.4,0.5,0.3,0.3,0.3,
29000,Sulphur Dioxide,2020-01-08,0.4,0.5,0.3,0.4,0.7,0.8,1.2,1.8,1.4,1.2,2.1,0.8,0.5,0.5,0.3,1.8,1.1,0.5,1.8,2.7,1.6,2.1,0.9,0.5,
29000,Sulphur Dioxide,2020-01-09,0.5,0.5,0.3,0.5,0.4,0.4,0.5,0.6,1,0.6,0.7,0.5,0.4,0.5,0.4,0.4,0.8,8.3,11.5,4.8,1.9,1.2,2.9,4.9,
29000,Sulphur Dioxide,2020-01-10,3.8,2.3,1.7,1.6,0.9,0.4,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
29000,Sulphur Dioxide,2020-01-11,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,1.1,1.2,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,1.5,2.9,
29000,Sulphur Dioxide,2020-01-12,2.3,2.6,2.8,5.6,7.3,1.3,0.8,1,0.7,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,1.3,4.1,2.6,6.5,4.1,3.3,1.9,
29000,Sulphur Dioxide,2020-01-13,1.3,1.7,1.1,2.6,2.5,6.5,2.5,1.3,1,1.1,5,9.7,6.3,6.7,4.9,2.3,1.7,1.5,1.3,1.1,0.9,0.7,0.5,0.5,
29000,Sulphur Dioxide,2020-01-14,0.4,0.4,0.6,0.8,1.6,0.8,0.7,0.6,1.7,3.3,3.4,7,8,2.2,6.5,4.9,2.3,1.9,1.9,1.3,1.3,1,0.9,0.8,
29000,Sulphur Dioxide,2020-01-15,0.6,0.5,0.5,0.5,0.4,0.8,2.1,0.8,0.9,1,0.5,0.4,0.4,0.3,0.4,1.4,1.9,2.1,2.9,13.7,14.2,19.9,16.8,2.7,
29000,Sulphur Dioxide,2020-01-16,1.4,1.3,1.4,1.5,1.1,0.9,0.7,1.1,2.2,2,1.8,3,1.4,1.3,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
29000,Sulphur Dioxide,2020-01-17,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.5,10.8,38.6,13,25.5,22.8,10,2.9,6.2,1.1,0.6,0.5,0.6,0.6,0.7,0.5,
29000,Sulphur Dioxide,2020-01-18,0.6,0.5,1.8,1.3,4.4,6.9,3.4,2.5,2.2,3.5,1.7,2.8,2.5,1.2,0.8,0.6,0.6,1,0.8,0.5,0.6,0.8,0.7,0.7,
29000,Sulphur Dioxide,2020-01-19,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,1.5,0.6,0.6,0.6,0.4,0.5,0.3,0.3,0.3,0.2,0.2,0.3,0.2,
29000,Sulphur Dioxide,2020-01-20,0.3,0.5,0.4,0.3,0.2,0.2,0.5,0.4,1.2,1,0.6,0.6,0.5,0.3,0.4,2.6,2.5,2.4,1,0.5,0.4,0.4,0.4,0.4,
29000,Sulphur Dioxide,2020-01-21,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,9999,9999,0.3,0.3,0.3,0.3,0.5,0.6,0.4,0.3,0.3,0.4,
29000,Sulphur Dioxide,2020-01-22,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,
29000,Sulphur Dioxide,2020-01-23,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.8,0.9,1,1.2,14,17.7,21.9,10.6,13.9,4.4,7.3,7.2,1.5,1.2,1.2,1,
29000,Sulphur Dioxide,2020-01-24,0.9,0.9,0.9,1,0.7,0.7,0.7,1.5,2.2,4.1,10,9.4,7.5,4.7,2.1,2.4,3.2,11.6,8.6,4,4.4,2.9,2.3,3.7,
29000,Sulphur Dioxide,2020-01-25,7.7,12.1,6.6,11.3,4.3,1.4,5.1,5.8,2.6,2.6,4.1,6.9,5.6,2.8,2,1.5,1.2,0.9,0.7,0.7,0.6,0.7,0.7,0.6,
29000,Sulphur Dioxide,2020-01-26,0.6,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,
