Hamilton West, (29118) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Hamilton West (29118)
Address,Main St. W./Hwy 403
Latitude,43.257444
Longitude,-79.90775
Elevation, 96 metres
Air intake height,3 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29118,Fine Particulate Matter,2020-01-01,2,2,2,1,2,3,2,4,3,3,3,5,4,4,5,5,6,7,9,10,9,8,7,7,
29118,Fine Particulate Matter,2020-01-02,6,7,6,5,4,4,4,4,5,4,4,4,4,3,4,4,5,5,6,6,6,6,6,6,
29118,Fine Particulate Matter,2020-01-03,6,6,7,8,9,10,10,10,11,11,11,12,13,11,11,11,10,10,8,7,7,7,7,6,
29118,Fine Particulate Matter,2020-01-04,7,6,6,5,5,5,5,5,5,5,4,4,4,2,2,2,2,1,1,1,2,2,1,1,
29118,Fine Particulate Matter,2020-01-05,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,5,5,6,5,5,
29118,Fine Particulate Matter,2020-01-06,4,5,6,5,4,3,2,2,2,2,2,2,2,3,3,3,4,4,4,3,3,4,4,5,
29118,Fine Particulate Matter,2020-01-07,5,4,4,4,5,5,6,6,7,9,10,11,9,7,8,5,6,7,8,8,7,8,8,7,
29118,Fine Particulate Matter,2020-01-08,8,8,7,5,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,
29118,Fine Particulate Matter,2020-01-09,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,6,7,7,7,8,8,8,7,
29118,Fine Particulate Matter,2020-01-10,5,4,4,4,5,5,5,5,7,6,6,5,3,4,4,6,6,7,8,11,12,12,13,11,
29118,Fine Particulate Matter,2020-01-11,8,11,9,5,2,1,3,3,4,3,2,3,4,5,5,5,4,3,2,2,2,2,2,1,
29118,Fine Particulate Matter,2020-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,6,6,6,6,10,
29118,Fine Particulate Matter,2020-01-13,11,10,8,7,8,8,9,11,13,14,19,22,18,19,15,14,14,10,9,10,10,11,10,11,
29118,Fine Particulate Matter,2020-01-14,9,9,8,8,11,15,15,19,18,17,16,14,14,14,13,14,14,14,15,16,10,8,8,9,
29118,Fine Particulate Matter,2020-01-15,9,9,9,7,7,6,6,6,5,5,7,7,7,7,8,11,13,14,14,11,9,8,7,8,
29118,Fine Particulate Matter,2020-01-16,9,10,13,18,17,12,9,4,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,
29118,Fine Particulate Matter,2020-01-17,5,4,4,4,4,4,4,6,7,7,7,6,6,8,10,8,9,9,9,8,8,9,8,9,
29118,Fine Particulate Matter,2020-01-18,8,8,8,8,7,7,8,10,10,9,10,9,9,9,9,10,12,14,9,5,4,3,4,4,
29118,Fine Particulate Matter,2020-01-19,4,5,5,5,6,6,6,7,6,6,7,4,3,3,3,4,5,4,4,4,4,4,4,4,
29118,Fine Particulate Matter,2020-01-20,6,6,6,6,5,5,5,5,6,5,4,3,3,2,2,4,4,4,4,4,4,4,4,5,
29118,Fine Particulate Matter,2020-01-21,6,5,4,4,4,4,5,10,15,12,13,8,4,6,5,4,5,5,6,6,6,7,7,7,
29118,Fine Particulate Matter,2020-01-22,8,8,9,11,12,13,14,17,17,28,13,12,12,13,10,10,10,10,10,10,10,11,12,14,
29118,Fine Particulate Matter,2020-01-23,15,15,15,14,14,14,16,17,19,20,23,22,25,24,22,21,23,24,23,23,22,20,18,17,
29118,Fine Particulate Matter,2020-01-24,15,17,20,21,21,20,16,13,12,13,11,10,10,10,10,11,11,12,12,11,11,17,21,17,
29118,Fine Particulate Matter,2020-01-25,13,12,15,13,10,8,10,9,7,8,9,7,8,8,6,6,7,7,9,9,9,7,6,8,
29118,Fine Particulate Matter,2020-01-26,6,5,6,6,7,12,13,12,10,9,7,8,7,7,8,8,7,6,6,5,3,3,2,2,
29118,Fine Particulate Matter,2020-01-27,2,2,2,2,2,2,2,3,3,3,2,3,3,3,4,2,2,2,2,2,2,3,3,2,
29118,Fine Particulate Matter,2020-01-28,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,
29118,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,3,4,5,5,4,5,7,8,9,10,11,13,11,12,14,18,15,10,
29118,Fine Particulate Matter,2020-01-30,10,10,11,12,10,9,9,9,10,7,6,6,5,4,4,5,5,5,5,6,6,6,6,5,
29118,Fine Particulate Matter,2020-01-31,5,4,4,6,6,7,8,10,11,13,15,14,14,11,11,10,11,10,10,12,13,14,16,14,
29118,Fine Particulate Matter,2020-02-01,14,15,14,16,17,18,18,20,21,21,19,14,14,15,10,7,6,6,8,9,9,9,10,10,
29118,Fine Particulate Matter,2020-02-02,10,12,13,13,12,10,10,12,13,12,7,5,7,7,7,10,11,12,15,17,15,14,13,11,
29118,Fine Particulate Matter,2020-02-03,12,10,6,5,4,4,3,4,4,3,3,3,3,3,3,5,6,7,10,11,8,8,7,3,
29118,Fine Particulate Matter,2020-02-04,3,3,3,4,5,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,
29118,Fine Particulate Matter,2020-02-05,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,5,8,6,5,4,4,4,23,7,
29118,Fine Particulate Matter,2020-02-06,6,5,6,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,
