Hamilton Mountain, (29214) Hourly, Nitric oxide (NO) Concentrations
Station,Hamilton Mountain (29214)
Address,250 Fennell Ave. W.
Latitude,43.241324
Longitude,-79.889328
Elevation, 195 metres
Air intake height,3 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29214,Nitrogen Oxide,2020-01-01,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.8,1.1,0.9,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.5,
29214,Nitrogen Oxide,2020-01-02,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.8,1.1,1,1,0.9,0.9,1,0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,
29214,Nitrogen Oxide,2020-01-03,0.4,0.4,0.3,0.3,0.4,0.3,0.5,0.7,0.9,1.5,2.3,2,1.5,1,0.7,0.7,0.5,0.6,0.5,0.5,0.4,0.4,1.1,0.5,
29214,Nitrogen Oxide,2020-01-04,0.9,2,0.6,0.5,0.5,0.5,0.5,0.5,0.6,1.2,1.9,2.3,2.6,1.4,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,
29214,Nitrogen Oxide,2020-01-05,0.4,0.4,0.3,0.3,0.4,0.4,0.6,0.4,0.5,0.6,0.7,0.8,0.6,0.8,0.9,0.6,0.4,0.3,0.6,0.5,0.6,0.9,0.7,0.7,
29214,Nitrogen Oxide,2020-01-06,0.6,2,0.9,1.5,0.9,0.5,1.4,0.7,0.7,0.9,1.1,1.1,1.3,1.9,1.2,1.5,0.8,0.5,0.5,0.4,0.4,0.7,2.6,0.8,
29214,Nitrogen Oxide,2020-01-07,0.6,0.4,0.6,0.5,0.3,0.4,1.3,2.8,3.6,3.4,4.9,4.7,3,2.1,2.1,1.5,1.2,1.1,1.6,0.8,0.6,0.7,0.5,0.4,
29214,Nitrogen Oxide,2020-01-08,0.4,0.3,0.3,0.4,0.7,0.5,0.8,0.7,1.2,1.4,1.3,1,1.8,0.9,0.8,0.8,0.6,0.4,0.6,0.4,0.4,0.7,0.7,1.3,
29214,Nitrogen Oxide,2020-01-09,2.8,1.4,12.1,42.6,34.4,29.4,28.6,14.6,7.2,2,2.2,2.5,1.8,1.7,1.5,1.4,2.3,2.6,2.4,0.9,1.3,1.3,1.4,1.2,
29214,Nitrogen Oxide,2020-01-10,0.6,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1,1,1,1.1,1,1,0.8,0.8,1,0.7,1.8,1,1.2,0.4,1,
29214,Nitrogen Oxide,2020-01-11,3.3,3.1,2.7,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,1.4,1,0.6,0.6,0.6,1.5,2.5,1.5,0.8,1.5,
29214,Nitrogen Oxide,2020-01-12,0.9,0.5,1,1.1,1.9,0.6,0.7,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.7,9999,9999,9999,9999,9999,9999,
29214,Nitrogen Oxide,2020-01-13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2.3,1.7,1,0.9,0.8,0.9,0.6,0.7,
29214,Nitrogen Oxide,2020-01-14,11.7,35.6,51.4,37.4,5.8,1.8,1.6,5.2,8.6,6.6,3.5,2.9,6.9,6.6,9.3,4.7,2.8,4.7,1.3,0.8,0.5,0.4,0.3,0.3,
29214,Nitrogen Oxide,2020-01-15,0.2,0.3,0.2,0.3,0.3,0.4,0.6,0.6,0.9,1.5,1.1,0.9,0.9,0.7,0.7,1,0.9,1.4,2,2,0.8,2.3,0.6,1,
29214,Nitrogen Oxide,2020-01-16,0.3,0.4,0.4,0.3,0.4,0.5,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.3,
29214,Nitrogen Oxide,2020-01-17,0.3,0.6,0.8,0.6,0.8,0.7,0.4,0.5,3.6,10.5,17.3,8.2,7.7,8.3,7.6,3.7,1.7,0.7,0.6,1,0.6,0.6,0.4,0.4,
29214,Nitrogen Oxide,2020-01-18,0.5,0.3,0.7,1,1.1,1.3,1.5,1.9,1.6,1.7,2.6,3.1,3.9,3.9,5.2,3.3,2.8,1.7,0.4,0.4,0.5,0.5,0.7,0.7,
29214,Nitrogen Oxide,2020-01-19,0.3,1.2,1.5,0.6,0.7,0.4,0.8,2.1,1.2,0.6,0.7,1.2,1.2,1.8,0.8,0.8,0.7,0.4,0.4,0.5,0.4,0.5,0.5,0.3,
29214,Nitrogen Oxide,2020-01-20,0.7,0.5,0.6,1.1,0.4,0.4,19,13.4,3.2,4.4,4.9,2.5,2.1,1.6,1.9,1.2,0.7,0.5,0.8,0.5,0.4,0.5,0.3,0.3,
29214,Nitrogen Oxide,2020-01-21,0.2,0.3,0.3,0.3,0.2,0.5,2.3,1.1,1.4,2.4,2.3,2,1.8,1.1,1.6,2.3,1.5,0.6,0.5,0.4,0.4,0.4,0.3,0.3,
29214,Nitrogen Oxide,2020-01-22,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.6,1.2,1.5,1.2,1.2,1.5,1.2,1.2,1.5,1.2,0.7,0.8,0.5,0.4,0.3,0.3,0.4,
29214,Nitrogen Oxide,2020-01-23,0.3,0.3,0.3,0.5,0.5,1,2.1,3,4.2,6.1,8.7,24,41.4,34.6,23.7,22,18.4,11.7,3.7,2.8,2.6,2.6,3,5,
29214,Nitrogen Oxide,2020-01-24,1.2,2.1,10,13.2,7.6,7.3,6.1,1.3,2.3,5,3.9,4.8,4.2,4,3.3,2.8,3.8,2.2,2.5,1.5,4.1,3.9,1.5,2.2,
29214,Nitrogen Oxide,2020-01-25,1.4,1.7,2.4,0.7,2,0.9,1.3,1.7,0.7,2.8,2.1,3,2.7,3.3,0.8,0.6,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.4,
29214,Nitrogen Oxide,2020-01-26,0.4,0.4,0.4,0.3,0.3,0.4,0.8,0.8,1.4,1.9,2.6,1.5,1.1,0.6,0.9,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.3,
29214,Nitrogen Oxide,2020-01-27,0.3,0.3,0.4,0.4,0.3,1,2.1,0.8,1.1,1.9,1.8,0.9,1,9999,9999,0.9,0.7,0.6,0.8,0.4,0.4,0.3,0.4,0.3,
29214,Nitrogen Oxide,2020-01-28,0.4,0.3,0.3,0.4,0.3,0.3,1,0.4,0.7,3.2,6.9,0.9,3.1,10.2,0.9,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.2,
29214,Nitrogen Oxide,2020-01-29,0.2,0.2,0.3,0.2,0.3,0.6,0.8,2.6,1.9,2.1,8.3,6.1,6.9,4.9,7.8,6.4,5.8,3.4,1.4,1.2,5.8,5.1,1.1,0.9,
29214,Nitrogen Oxide,2020-01-30,1.9,1.4,1.2,1,3,4.5,7.5,1.5,3.8,3.1,2.8,2.7,3.4,2.2,2.4,1.5,2.5,1.1,1.7,1.1,0.4,0.3,0.9,0.3,
29214,Nitrogen Oxide,2020-01-31,0.3,0.3,0.2,0.4,0.5,0.2,0.3,1.5,3.5,4.3,3.3,7.6,5.4,2.9,2.7,1.6,1.8,1.4,0.8,0.4,0.2,0.9,0.5,0.5,
29214,Nitrogen Oxide,2020-02-01,0.3,0.9,1,0.5,0.5,0.3,0.9,1.2,1.2,1.1,1,1.2,1.2,1.2,1,1,0.6,0.5,0.7,0.7,0.5,0.5,0.4,0.5,
29214,Nitrogen Oxide,2020-02-02,0.4,0.3,0.3,0.3,0.3,0.8,0.3,0.4,0.8,1.4,1.3,1.7,1.9,1.7,1.9,1.4,1.4,2.7,1.1,2.9,1.6,0.6,0.5,0.3,
29214,Nitrogen Oxide,2020-02-03,0.3,0.3,0.3,0.3,0.3,0.3,1.6,0.9,1.3,1.7,1.1,0.9,0.8,0.6,0.6,0.5,0.7,0.7,0.8,1,2.2,1.4,1.1,0.6,
29214,Nitrogen Oxide,2020-02-04,1.3,0.9,0.3,1.2,1.1,0.4,0.5,0.4,0.5,0.4,0.9,0.8,0.6,0.5,0.6,0.5,0.5,0.3,0.4,0.3,0.2,0.2,0.2,0.2,
29214,Nitrogen Oxide,2020-02-05,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,1.1,2.1,2.4,3.7,8.8,7.9,7,4.3,1.9,1.8,1.6,1,1.4,0.8,1.4,0.9,
