Hamilton Mountain, (29214) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Hamilton Mountain (29214)
Address,250 Fennell Ave. W.
Latitude,43.241324
Longitude,-79.889328
Elevation, 195 metres
Air intake height,3 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29214,Fine Particulate Matter,2020-01-01,3,2,1,1,3,5,3,3,2,1,3,4,4,4,7,9,7,9,12,12,9,7,6,6,
29214,Fine Particulate Matter,2020-01-02,6,7,6,5,4,3,3,3,3,3,2,2,3,3,3,3,3,5,5,5,5,5,6,6,
29214,Fine Particulate Matter,2020-01-03,8,7,9,11,11,14,14,13,13,15,16,17,16,12,12,12,11,10,9,7,6,7,6,6,
29214,Fine Particulate Matter,2020-01-04,6,9,8,6,6,4,4,5,5,5,5,5,5,2,1,2,1,1,1,1,1,1,1,1,
29214,Fine Particulate Matter,2020-01-05,1,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,3,5,6,7,5,6,
29214,Fine Particulate Matter,2020-01-06,5,5,7,4,4,2,2,2,2,2,2,2,2,3,3,3,3,4,4,2,2,4,4,4,
29214,Fine Particulate Matter,2020-01-07,3,3,3,3,4,4,5,5,7,7,10,12,10,7,7,4,4,6,9,9,7,9,8,7,
29214,Fine Particulate Matter,2020-01-08,10,10,8,5,3,2,1,1,2,2,1,1,1,1,0,0,1,1,1,1,2,2,2,4,
29214,Fine Particulate Matter,2020-01-09,4,4,5,7,6,4,4,5,3,2,3,4,3,2,2,3,5,7,7,5,6,7,8,6,
29214,Fine Particulate Matter,2020-01-10,4,4,3,3,4,4,4,5,6,8,5,4,3,2,4,6,6,8,17,22,15,11,9,8,
29214,Fine Particulate Matter,2020-01-11,5,5,6,2,1,2,3,4,4,4,2,3,4,5,5,5,4,2,5,7,7,4,5,5,
29214,Fine Particulate Matter,2020-01-12,2,2,2,3,3,2,2,2,2,2,2,2,2,3,4,5,5,6,8,9,10,9,10,13,
29214,Fine Particulate Matter,2020-01-13,15,15,9,9,9,10,8,10,14,19,29,30,21,15,10,10,10,8,9,9,11,10,8,6,
29214,Fine Particulate Matter,2020-01-14,8,10,11,10,14,12,14,16,18,17,17,14,15,14,15,17,15,16,17,17,10,8,8,8,
29214,Fine Particulate Matter,2020-01-15,8,8,7,6,6,5,5,5,4,5,7,8,8,8,9,11,13,14,15,12,9,7,10,7,
29214,Fine Particulate Matter,2020-01-16,8,10,15,21,19,12,8,3,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,
29214,Fine Particulate Matter,2020-01-17,2,2,2,2,2,2,2,2,4,6,8,5,5,8,8,6,8,10,9,8,9,7,8,8,
29214,Fine Particulate Matter,2020-01-18,8,8,8,8,7,7,7,7,6,6,6,6,5,6,6,6,7,3,2,3,2,2,2,2,
29214,Fine Particulate Matter,2020-01-19,2,3,4,4,5,6,7,9,5,6,7,3,2,2,2,2,3,2,2,3,3,3,2,3,
29214,Fine Particulate Matter,2020-01-20,3,2,3,2,3,2,6,5,4,4,4,3,3,2,2,2,2,3,5,5,4,5,4,4,
29214,Fine Particulate Matter,2020-01-21,4,3,2,2,2,3,3,4,6,8,6,5,4,3,4,5,5,6,6,6,6,8,8,8,
29214,Fine Particulate Matter,2020-01-22,8,9,11,12,14,15,15,14,13,11,11,12,12,11,10,11,10,11,11,12,12,12,12,12,
29214,Fine Particulate Matter,2020-01-23,11,11,11,11,11,14,17,19,19,16,16,20,26,28,23,24,25,22,22,21,21,18,18,18,
29214,Fine Particulate Matter,2020-01-24,18,19,24,24,24,23,17,10,12,13,11,10,11,11,12,13,16,25,18,18,20,25,15,5,
29214,Fine Particulate Matter,2020-01-25,4,3,3,3,2,6,7,7,5,4,4,6,14,9,4,5,5,5,7,8,7,5,5,5,
29214,Fine Particulate Matter,2020-01-26,2,3,4,5,7,13,14,12,9,8,7,8,6,6,7,7,7,7,6,5,2,2,1,1,
29214,Fine Particulate Matter,2020-01-27,1,2,2,2,2,2,2,3,2,2,2,3,4,4,7,5,5,5,6,6,5,5,4,3,
