Toronto Downtown, (31129) Hourly, Nitric oxide (NO) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.645451
Longitude,-79.3891
Elevation, 85 metres
Air intake height,3 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Nitrogen Oxide,2020-01-01,3.4,4.8,3,2.4,1.5,1.3,1.3,1.2,1.6,2.2,3.7,3.2,3.5,2.5,2.3,1.6,1.8,2.4,2.7,2.9,3.2,4,4.5,1.7,
31129,Nitrogen Oxide,2020-01-02,3.4,3.7,2,1.7,1.6,1.9,1.5,6.3,10.9,10.8,5.4,15.9,7.8,6,6.2,4.4,2.8,2,3.2,1.8,1.6,1.3,3.3,3,
31129,Nitrogen Oxide,2020-01-03,3.4,4.2,2.5,3.6,2.7,2.6,11.1,50.4,40.5,44,19.6,17.5,20.4,18.2,18,12.3,6.1,4,4.7,3.6,5.4,4.9,3.2,2.9,
31129,Nitrogen Oxide,2020-01-04,2,7.4,3.1,3.8,2,2.1,38.6,42.9,27.8,11,4.7,5.9,5.6,6.7,3.5,4.2,4.6,5.1,8.4,6.5,3,2.9,3.4,2.3,
31129,Nitrogen Oxide,2020-01-05,3.2,4,1.4,1.1,0.9,0.8,0.9,1.2,1.1,4.1,3,3.1,3.7,5,6,4.1,3.6,2.8,3.4,3.1,1.3,1.6,1.2,1.8,
31129,Nitrogen Oxide,2020-01-06,1.2,0.9,2.7,2.1,3.2,2,4.3,14.1,26.8,15.6,16.2,16,9.9,12.1,7.8,10.3,12,5.9,1.8,1.4,3.1,4.8,3.1,8.4,
31129,Nitrogen Oxide,2020-01-07,2.9,3.2,3.1,2.6,2.3,12,16.2,38.5,15,11.7,35.5,38,21.7,19.2,10.7,8.7,9.5,7.6,6.1,5.1,4.8,5.9,2.7,5.2,
31129,Nitrogen Oxide,2020-01-08,4.9,1.9,4.2,1.1,1,1.5,4,14.1,18.4,14,15.1,15.2,12,9.2,12.6,5.9,4.3,3.4,4.9,3,3.5,2.4,4.4,2.3,
31129,Nitrogen Oxide,2020-01-09,3.5,2.5,3.2,7.7,20.8,6.2,22.7,22.8,25.4,20.4,18.8,12.9,13,20.3,23.2,17.2,13,12.4,5.7,6.2,4.7,5.2,6,2,
31129,Nitrogen Oxide,2020-01-10,1.5,5.5,0.9,0.9,3.1,2,1.4,4,5.1,9.5,4.4,10,6.8,6.9,6.5,6.8,12.1,28.9,24.5,10.5,10,12.2,5.9,6.6,
31129,Nitrogen Oxide,2020-01-11,6,2,1.9,7.6,0.7,0.5,0.5,2.7,2.5,2,5.4,10.8,4.3,3.4,3.2,3,4.2,2.9,2.6,3.5,3.2,4.3,8.8,2.1,
31129,Nitrogen Oxide,2020-01-12,1.9,2.2,2.6,1.7,2.2,1,1,1.4,3.1,2.5,3.5,3.2,4.7,4.6,3.4,4.1,4.3,3.2,4.2,7.7,10.2,4.6,5.6,2.2,
