Toronto Downtown, (31129) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.645451
Longitude,-79.3891
Elevation, 85 metres
Air intake height,3 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Fine Particulate Matter,2020-01-01,6,6,5,5,3,3,3,2,2,2,2,2,2,4,4,4,6,11,14,14,16,17,16,12,
31129,Fine Particulate Matter,2020-01-02,13,11,8,8,7,7,6,6,5,6,6,7,6,6,5,5,6,7,8,9,9,8,8,9,
31129,Fine Particulate Matter,2020-01-03,11,13,13,14,14,15,16,21,23,27,35,29,27,22,23,13,14,17,13,12,11,8,8,7,
31129,Fine Particulate Matter,2020-01-04,6,6,5,5,4,5,9,8,7,7,8,7,7,7,5,4,5,7,7,5,7,6,5,3,
31129,Fine Particulate Matter,2020-01-05,3,3,3,3,3,2,2,2,2,3,3,3,4,4,4,4,5,5,5,8,7,8,8,8,
31129,Fine Particulate Matter,2020-01-06,7,8,9,9,7,5,4,3,3,3,4,5,5,7,5,6,7,9,6,5,6,6,6,6,
31129,Fine Particulate Matter,2020-01-07,5,5,5,4,5,6,6,8,7,7,12,14,14,15,16,12,11,11,10,11,13,13,12,12,
31129,Fine Particulate Matter,2020-01-08,12,11,12,9,5,4,4,6,9,7,6,5,5,7,9,6,7,8,8,8,7,6,6,5,
31129,Fine Particulate Matter,2020-01-09,4,4,4,5,5,5,7,7,8,7,4,5,7,9,10,9,9,9,8,7,6,5,5,4,
31129,Fine Particulate Matter,2020-01-10,5,6,5,5,4,5,8,9,10,12,11,10,10,8,8,6,11,25,28,21,26,30,15,10,
31129,Fine Particulate Matter,2020-01-11,11,6,3,5,4,2,2,3,3,7,5,6,4,2,3,3,4,4,4,4,4,4,3,1,
31129,Fine Particulate Matter,2020-01-12,2,3,2,2,2,1,3,4,4,5,7,7,7,6,5,9,6,8,9,10,10,9,8,6,
31129,Fine Particulate Matter,2020-01-13,7,9,6,5,6,12,7,5,6,6,7,8,10,12,9,12,12,17,23,24,20,15,26,23,
31129,Fine Particulate Matter,2020-01-14,18,17,14,17,8,9,8,8,9,10,12,15,18,17,16,18,19,18,21,17,19,22,15,11,
31129,Fine Particulate Matter,2020-01-15,11,9,6,4,3,4,4,7,7,7,7,5,8,7,9,8,12,15,11,9,8,9,9,8,
31129,Fine Particulate Matter,2020-01-16,9,15,18,20,19,19,8,5,4,5,4,6,5,3,3,3,4,6,7,7,6,7,5,5,
31129,Fine Particulate Matter,2020-01-17,4,3,3,3,2,3,3,4,5,5,5,5,2,5,5,5,7,8,8,9,9,10,10,9,
31129,Fine Particulate Matter,2020-01-18,9,9,6,5,5,4,4,4,5,5,6,6,6,5,5,5,5,6,7,6,7,5,3,3,
31129,Fine Particulate Matter,2020-01-19,4,6,6,6,7,6,4,4,4,6,7,9,9,7,6,4,5,5,6,5,4,3,3,3,
31129,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,4,4,4,8,6,6,3,5,6,5,6,6,6,7,7,7,7,7,
31129,Fine Particulate Matter,2020-01-21,7,7,7,6,5,5,5,6,7,9,7,7,7,7,7,7,7,7,7,7,8,9,10,12,
31129,Fine Particulate Matter,2020-01-22,13,14,15,17,19,19,21,21,20,20,20,14,13,19,19,19,19,14,16,17,15,15,16,16,
31129,Fine Particulate Matter,2020-01-23,15,15,16,16,16,15,16,20,22,24,22,22,22,20,19,20,27,26,20,16,17,17,16,18,
31129,Fine Particulate Matter,2020-01-24,19,23,20,13,12,11,10,11,11,13,13,13,13,15,16,16,17,17,14,13,13,11,10,11,
31129,Fine Particulate Matter,2020-01-25,13,14,11,12,16,15,10,8,7,7,7,9,10,12,12,12,13,15,15,19,15,12,14,18,
31129,Fine Particulate Matter,2020-01-26,16,13,8,8,8,8,12,18,17,15,12,13,10,9,9,9,8,9,6,6,4,3,2,2,
31129,Fine Particulate Matter,2020-01-27,2,3,3,2,3,3,2,3,4,4,7,8,6,5,6,11,10,9,9,6,5,5,3,3,
31129,Fine Particulate Matter,2020-01-28,3,3,3,3,4,3,2,3,3,2,3,4,5,4,4,3,3,5,5,6,5,5,3,4,
31129,Fine Particulate Matter,2020-01-29,4,4,3,3,3,3,3,4,4,4,4,5,3,5,5,6,9,11,8,8,6,8,10,10,
31129,Fine Particulate Matter,2020-01-30,8,9,9,7,9,10,9,8,9,9,10,8,8,8,7,7,7,7,8,7,6,8,8,12,
31129,Fine Particulate Matter,2020-01-31,11,11,11,12,12,10,10,10,7,7,7,8,7,8,9,9,11,10,10,11,11,11,16,24,
31129,Fine Particulate Matter,2020-02-01,23,26,27,23,27,23,21,25,26,30,35,34,33,26,15,11,15,13,13,11,11,13,14,14,
31129,Fine Particulate Matter,2020-02-02,14,14,17,21,21,15,11,11,13,16,16,13,8,5,6,7,7,8,10,12,16,17,18,16,
31129,Fine Particulate Matter,2020-02-03,19,15,10,8,7,3,3,2,3,3,3,4,3,3,5,5,5,6,6,10,6,6,4,4,
31129,Fine Particulate Matter,2020-02-04,3,3,4,3,3,3,3,3,4,5,4,4,6,5,5,5,5,6,7,7,6,5,4,3,
31129,Fine Particulate Matter,2020-02-05,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,6,8,8,6,4,3,3,
