Toronto East, (33003) Hourly, Nitric oxide (NO) Concentrations
Station,Toronto East (33003)
Address,Kennedy Rd./Lawrence Ave. E.
Latitude,43.747917
Longitude,-79.274056
Elevation, 168 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Nitrogen Oxide,2020-01-01,0.6,0.3,0.6,9999,0.4,0.2,0.3,0.3,0.6,1,1.6,1.6,1.4,1.2,0.7,1.4,1.4,0.8,1.3,1.1,0.9,1,1.8,2.2,
33003,Nitrogen Oxide,2020-01-02,0.7,0.4,0.3,0.3,0.4,0.5,0.9,1.3,1.7,2.9,3.3,3.2,4,2.4,2.6,2.4,1.6,1.1,1.7,1,1.1,1.4,0.6,0.7,
33003,Nitrogen Oxide,2020-01-03,0.5,0.4,0.4,0.3,1.8,1.2,4.5,4.3,4.5,6.4,4.9,5.1,3.2,2.7,2.3,3,3.6,4.7,3.3,3.3,1.7,1.7,1.5,1.7,
33003,Nitrogen Oxide,2020-01-04,1.4,1.4,1.2,1,0.2,0,0,1.2,2.1,3.7,4.8,5.5,4.6,3.5,3.9,2.7,3.3,2.9,2.5,2.9,2,1.9,1.6,0.8,
33003,Nitrogen Oxide,2020-01-05,1.1,0.8,0.4,0.4,0.2,0.3,0.5,0.6,2,2.1,2.4,2.2,2,1.8,2.9,2.1,1.9,1.9,1,0.7,0.5,0.5,0.2,0.4,
33003,Nitrogen Oxide,2020-01-06,0.3,0.7,0.6,9999,1.1,1.6,2.4,2,3.8,4,3,2.5,2.5,2.7,2.4,2.4,1.1,1.3,1.9,1.3,1.5,1.3,0.9,0.5,
33003,Nitrogen Oxide,2020-01-07,1.1,0.6,0.9,1,2.6,11.8,17.8,35.4,43.3,32.4,19.4,17.1,14.5,12,10.1,8.4,5,2.6,1.9,1.2,2.4,1.9,0.7,0.8,
33003,Nitrogen Oxide,2020-01-08,0.6,0.4,0.7,0.4,0.4,0.6,2,3.1,6.2,4.2,4.4,3.9,3.7,3.8,3.7,3.4,2.7,3.1,2.1,2.6,2.1,1.6,1.3,0.9,
33003,Nitrogen Oxide,2020-01-09,1.2,0.7,0.4,0.3,0.5,0.8,1.5,2.9,6,10.4,7.4,1.8,1,0.8,0.7,0.5,0.1,0,0,0,0,0,0,0,
33003,Nitrogen Oxide,2020-01-10,0,0,0.1,0.2,0.4,0.5,0.7,1.6,2.6,3,3.3,3,3.7,4.8,6.6,10.8,13.2,9.1,14,4.4,1.9,4.9,1.8,0.2,
33003,Nitrogen Oxide,2020-01-11,0.4,0,0,0,0,0.1,0.2,0.1,0.4,1.8,1.9,1.8,3.5,3.8,3.8,3.5,3.1,2.3,0.6,0.2,0.4,0.3,0.4,0.3,
33003,Nitrogen Oxide,2020-01-12,0.1,0.1,0.3,0.6,0.4,0.6,0.7,0.6,0.8,1.2,1.8,2.7,2,2.5,3.2,3.3,2.5,1.8,2.8,1.5,1.6,1.4,0.5,0.2,
33003,Nitrogen Oxide,2020-01-13,0.1,0.2,0.3,9999,2.5,1.4,0.7,1,1.6,0.9,1.3,1.3,1.3,1.9,3,2.6,12.8,14.6,7.2,10.9,25.3,27,5.1,1.1,
33003,Nitrogen Oxide,2020-01-14,0.5,0.1,0.6,0.5,0.5,0.2,0.2,0.2,0.3,0.2,0.5,0.4,0.6,1.2,0.9,0.7,0.6,0.3,0.2,1.7,2.9,3.7,2.2,1,
33003,Nitrogen Oxide,2020-01-15,0.7,0.9,0.6,0.4,0.5,1,3.1,11.9,10.2,6.5,5.7,6.5,5.3,6,5,3.6,1.6,0.9,1,1,0.2,0.2,0.2,2.1,
33003,Nitrogen Oxide,2020-01-16,2.8,1.6,0.5,1.1,1.6,2.1,2.8,3.5,4.5,3.9,3.5,5.1,4.9,4.8,3.6,3.6,3.6,3.6,2.6,2.3,2.5,2.1,1.2,0.9,
33003,Nitrogen Oxide,2020-01-17,1.1,0.4,0.5,0.7,0.8,1.7,3.1,5.7,8.8,7.1,6.9,5.9,5,5.1,4.8,2.1,1,1.4,1.1,0.8,0.6,0.6,0.7,0.6,
33003,Nitrogen Oxide,2020-01-18,0.3,0.3,0.4,0.2,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.1,0,0.1,0.7,2,2.4,1.6,0.7,
33003,Nitrogen Oxide,2020-01-19,2,1.5,0.8,0.9,0.7,0.8,1.5,0.8,1,1.2,2.5,2.8,2.5,3,2.9,2.9,3,2.3,2.4,1.7,1.4,1.2,1.1,1,
33003,Nitrogen Oxide,2020-01-20,1.2,0.6,0.6,9999,1.5,2.1,5.4,10.5,11.9,12.5,9.9,9,6.3,4.5,8.3,5.1,3,3.5,2.3,1.9,2.1,2.4,6.5,12.3,
33003,Nitrogen Oxide,2020-01-21,34.5,51.6,72,83.4,103,187.2,170.8,127.8,134.8,65.2,43.4,13.9,4.9,3.4,3.4,2.5,1.7,1.7,1.5,1.3,1.4,0.8,0.8,1.1,
33003,Nitrogen Oxide,2020-01-22,1.1,0.9,0.6,0.6,0.7,1.5,4.2,4.6,3.8,3.8,4.5,5.4,4.2,4.1,4,3.6,3.3,3,2.6,2,1.1,1.3,1.1,1.4,
33003,Nitrogen Oxide,2020-01-23,1,1.5,3.1,5.5,5.2,8.9,25.7,66.1,87.4,45.2,9999,9999,31.2,19.7,10.3,8.9,3.2,1.6,0.8,0.6,0.8,1.3,3.1,2,
33003,Nitrogen Oxide,2020-01-24,2.1,0.4,0.2,0.3,0.5,0.6,0.5,1,2.1,2.1,2.8,2.6,2.4,1.5,1.3,1.8,0.9,0.2,0.3,0.1,0.1,0.1,0.1,0.2,
33003,Nitrogen Oxide,2020-01-25,0.1,0,0,0,0,0.1,0.1,0.2,0.2,0.4,0.6,0.7,0.8,0.6,0.5,0.5,0.9,3.4,2.9,3,2.4,1.5,2.1,3.2,
33003,Nitrogen Oxide,2020-01-26,2.8,1.6,1.3,1.5,1.5,1.2,2,2.7,4.3,7.1,8.8,6.3,3.6,2.2,2.1,2.4,2.5,1.8,2.1,1.8,1.7,2.1,1,1,
33003,Nitrogen Oxide,2020-01-27,0.5,0.6,1.2,9999,1.1,1.2,4.4,4.9,7.3,6,5.5,5.8,6.2,5.1,4.4,5.4,3.5,3,3,1.6,1.5,1.6,0.8,0.6,
