Toronto East, (33003) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Toronto East (33003)
Address,Kennedy Rd./Lawrence Ave. E.
Latitude,43.747917
Longitude,-79.274056
Elevation, 168 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Fine Particulate Matter,2020-01-01,1,2,2,2,2,2,2,2,1,1,3,5,4,4,4,5,12,9,13,20,17,23,20,13,
33003,Fine Particulate Matter,2020-01-02,8,10,10,7,6,6,6,5,4,5,5,4,3,3,6,5,5,6,9,9,10,10,10,7,
33003,Fine Particulate Matter,2020-01-03,6,8,15,16,17,17,16,13,19,25,27,23,14,7,8,11,10,10,12,8,7,8,6,4,
33003,Fine Particulate Matter,2020-01-04,6,4,2,1,1,2,3,2,4,3,2,3,6,4,2,2,4,5,4,3,2,2,1,1,
33003,Fine Particulate Matter,2020-01-05,2,2,2,2,2,3,3,3,3,6,5,4,5,5,5,6,5,4,6,5,7,6,7,8,
33003,Fine Particulate Matter,2020-01-06,5,4,5,5,6,6,4,3,2,2,2,2,3,2,2,4,3,2,2,2,2,3,2,3,
33003,Fine Particulate Matter,2020-01-07,4,4,3,5,4,4,7,11,11,11,6,8,11,20,25,23,16,19,16,14,17,15,14,13,
33003,Fine Particulate Matter,2020-01-08,14,12,12,9,4,3,3,2,2,3,2,3,3,3,2,3,3,2,2,2,4,2,2,2,
33003,Fine Particulate Matter,2020-01-09,3,3,2,2,3,4,6,7,9,10,7,2,2,2,3,7,7,6,6,4,2,2,3,5,
33003,Fine Particulate Matter,2020-01-10,4,3,3,3,4,7,4,4,6,8,4,4,3,4,6,6,7,11,20,27,25,17,11,3,
33003,Fine Particulate Matter,2020-01-11,2,5,5,4,3,2,2,3,3,3,4,5,6,7,7,8,5,5,3,3,4,2,4,3,
33003,Fine Particulate Matter,2020-01-12,2,4,4,3,2,2,2,1,1,2,1,2,2,6,8,9,6,5,6,5,4,5,5,3,
33003,Fine Particulate Matter,2020-01-13,4,7,7,11,13,6,7,8,11,11,8,5,6,4,5,7,14,19,19,18,20,19,14,12,
33003,Fine Particulate Matter,2020-01-14,11,13,13,13,13,7,5,4,6,9,9,9,12,11,9,9,15,14,15,15,14,14,15,11,
33003,Fine Particulate Matter,2020-01-15,8,11,8,6,6,6,4,3,3,4,6,5,4,4,5,5,6,5,6,7,7,8,6,10,
33003,Fine Particulate Matter,2020-01-16,8,8,12,10,8,4,2,2,3,4,4,4,5,1,1,1,4,3,3,4,5,4,3,2,
33003,Fine Particulate Matter,2020-01-17,1,1,1,1,1,2,3,3,3,3,5,4,4,2,3,5,7,9,12,9,6,5,7,11,
33003,Fine Particulate Matter,2020-01-18,11,8,6,5,6,5,4,3,2,2,5,7,8,7,4,4,5,5,3,2,3,3,2,2,
