Toronto North, (34021) Hourly, Nitric oxide (NO) Concentrations
Station,Toronto North (34021)
Address,4905 Dufferin St., Eccc
Latitude,43.78047
Longitude,-79.467372
Elevation, 186 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Nitrogen Oxide,2020-01-01,0,0,0,0.1,0.2,0.1,0.1,0.2,0.5,0.8,0.7,0.7,0.5,0.3,0.3,0.4,0.1,0,0,0,0,0,0,0,
34021,Nitrogen Oxide,2020-01-02,0,0,0,0,0.1,0.4,0.5,0.6,3.1,2.8,2.1,2,2.1,1.5,1.2,1.1,0.4,0.3,0.2,0.1,0,0,0.1,0,
34021,Nitrogen Oxide,2020-01-03,0.1,0,0.2,0.6,1.1,2.9,4.5,8.6,13.3,9.4,4.6,2.8,1.7,2,1.2,1.5,1.6,1.6,0.2,0,0,0,0,0,
34021,Nitrogen Oxide,2020-01-04,0,0,0,0,0,0,0,0,0.2,3.7,2.9,2.6,2,1.3,1.7,2.2,1.1,1.2,0.5,1.1,1.3,1.2,2.2,1.7,
34021,Nitrogen Oxide,2020-01-05,2.6,2.2,1.4,2.1,1.9,2,0.1,1.1,1.1,1.4,1.4,0.9,0.6,0.8,0.6,0.2,0.1,0,0,0,0,0,0,0,
34021,Nitrogen Oxide,2020-01-06,0,0,0.1,0.2,0.5,0.7,1.4,2,3.5,3.1,2.3,2.5,3,2.5,2.1,1.3,0.9,0.7,0.9,0.7,0.1,0.2,0.2,0.1,
34021,Nitrogen Oxide,2020-01-07,0,0,0,0.3,1,1.8,5.8,17.6,43.9,43.6,37.1,16.5,10.5,8.9,6,7.2,2.2,1,1.3,0.8,0.3,0.1,0,0.1,
34021,Nitrogen Oxide,2020-01-08,0,0,0,0,0,1.5,1.9,1.4,3.6,3.9,4.2,5.1,4.2,4.1,3.6,3.6,2.6,2.6,2.6,1.6,1.6,1.1,1.5,1.6,
34021,Nitrogen Oxide,2020-01-09,1.3,0,0,0,0,0,0,5.8,10,14.5,8.6,2.6,0.2,0.2,0.3,0.2,0,0,0,0,0,0,0,0,
34021,Nitrogen Oxide,2020-01-10,0,0,0,0,0,0,0.2,0.2,0.4,1,1.4,1.1,1.9,2.9,5.6,11,9.5,14.4,15.6,4.7,0.5,0,1.7,4.8,
34021,Nitrogen Oxide,2020-01-11,0.9,0,0,0,0,0,0,0,0,0.3,0.7,0.5,0.7,0.1,0,0,0,0.6,2.9,1.6,0.2,0,0,0,
34021,Nitrogen Oxide,2020-01-12,0,1.3,1.2,0.9,0.5,0.5,1.5,1,1.8,2.2,4,4.1,2.4,1.9,1.2,1.3,1.1,0.1,0,0,0,0,0,0,
34021,Nitrogen Oxide,2020-01-13,0,0,0,0,0.7,0,0,0.1,1,3.1,3.1,4.4,4.1,3.5,8.8,17,24.9,27.9,21,31.1,38.5,12.8,0.4,0,
34021,Nitrogen Oxide,2020-01-14,0,0,0,1.2,0,0,0,0.3,1.8,0.2,0.2,0.4,0.8,0.9,1.2,0.9,0,0,0,6.4,10.1,3,0.5,1.2,
