Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Toronto North (34021)
Address,4905 Dufferin St., Eccc
Latitude,43.78047
Longitude,-79.467372
Elevation, 186 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,2020-01-01,3,3,2,3,2,2,2,2,2,2,3,2,3,4,5,4,5,7,11,12,13,13,13,12,
34021,Fine Particulate Matter,2020-01-02,12,9,8,8,7,6,5,4,5,5,5,6,6,5,6,6,7,8,8,8,8,8,8,9,
34021,Fine Particulate Matter,2020-01-03,12,13,12,13,14,15,13,15,19,22,24,23,15,11,8,9,9,6,6,4,4,4,4,4,
34021,Fine Particulate Matter,2020-01-04,5,5,4,4,3,3,4,4,5,6,5,5,4,3,3,2,3,3,3,4,4,3,2,1,
34021,Fine Particulate Matter,2020-01-05,2,1,1,2,1,1,2,2,3,2,2,2,2,2,3,3,4,5,5,6,9,8,6,7,
34021,Fine Particulate Matter,2020-01-06,7,10,11,9,6,5,3,2,2,2,3,2,3,3,4,4,4,3,3,2,2,2,3,3,
34021,Fine Particulate Matter,2020-01-07,5,6,7,5,5,6,7,7,7,8,13,12,12,12,12,12,12,13,9,7,7,8,7,7,
34021,Fine Particulate Matter,2020-01-08,9,10,9,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
34021,Fine Particulate Matter,2020-01-09,2,2,2,2,2,2,2,2,3,3,4,2,2,3,3,5,5,6,6,5,4,4,4,4,
34021,Fine Particulate Matter,2020-01-10,5,6,7,7,5,4,4,4,6,7,8,8,8,8,8,9,10,11,17,21,17,12,12,11,
34021,Fine Particulate Matter,2020-01-11,4,3,3,2,2,2,2,2,3,5,4,3,5,6,4,3,2,2,2,2,2,3,3,3,
34021,Fine Particulate Matter,2020-01-12,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,
34021,Fine Particulate Matter,2020-01-13,6,7,7,7,10,7,5,4,7,9,9,11,11,11,15,24,28,29,20,19,19,19,15,12,
34021,Fine Particulate Matter,2020-01-14,11,12,11,13,14,12,6,6,6,7,7,8,11,12,13,14,15,16,16,19,18,15,11,11,
34021,Fine Particulate Matter,2020-01-15,11,11,8,5,4,4,4,4,5,6,6,4,4,5,6,6,7,7,8,8,7,6,8,9,
34021,Fine Particulate Matter,2020-01-16,12,14,16,14,14,11,3,2,2,2,1,1,1,1,1,1,3,4,4,4,3,3,2,2,
34021,Fine Particulate Matter,2020-01-17,1,1,1,1,1,1,1,2,2,2,2,2,3,5,5,5,6,6,7,8,8,8,7,7,
34021,Fine Particulate Matter,2020-01-18,8,10,10,10,6,3,2,2,4,4,5,5,3,3,3,3,2,3,3,5,7,2,2,3,
34021,Fine Particulate Matter,2020-01-19,4,6,7,7,4,3,3,3,4,4,5,6,5,4,3,2,3,3,3,2,2,2,2,1,
34021,Fine Particulate Matter,2020-01-20,2,2,2,2,2,2,3,5,6,3,3,4,3,5,5,3,2,5,4,5,6,8,9,9,
34021,Fine Particulate Matter,2020-01-21,11,11,11,11,13,14,14,12,13,22,15,5,3,5,7,6,6,6,8,8,8,11,13,15,
34021,Fine Particulate Matter,2020-01-22,16,19,20,21,20,22,24,24,25,23,21,16,14,14,14,15,15,16,15,16,15,15,16,16,
34021,Fine Particulate Matter,2020-01-23,17,16,16,15,14,14,15,15,16,18,18,19,18,17,22,26,27,23,20,16,16,16,16,17,
34021,Fine Particulate Matter,2020-01-24,17,15,13,9,11,9,9,9,10,10,11,11,12,14,14,14,15,16,13,11,10,7,6,7,
34021,Fine Particulate Matter,2020-01-25,10,10,7,7,9,11,11,10,8,7,6,7,6,6,7,9,12,22,20,16,15,12,14,14,
34021,Fine Particulate Matter,2020-01-26,14,11,11,11,8,8,11,16,12,9,9,10,9,8,7,7,7,7,5,2,1,1,1,1,
34021,Fine Particulate Matter,2020-01-27,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,6,6,6,5,3,3,2,2,2,
34021,Fine Particulate Matter,2020-01-28,2,3,3,3,4,2,2,2,2,2,3,3,3,3,2,3,5,6,4,4,5,3,2,3,
34021,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,2,2,4,4,3,4,4,5,5,5,6,9,9,6,7,8,10,11,
34021,Fine Particulate Matter,2020-01-30,7,5,4,6,8,7,6,6,7,6,6,6,8,7,6,5,5,4,5,6,7,5,4,6,
34021,Fine Particulate Matter,2020-01-31,6,7,9,10,10,11,12,12,12,11,8,6,6,7,6,6,8,10,12,13,17,41,35,26,
34021,Fine Particulate Matter,2020-02-01,19,21,23,23,22,24,22,21,26,31,34,33,29,26,18,14,16,19,18,12,9,11,12,14,
34021,Fine Particulate Matter,2020-02-02,19,22,24,25,24,17,12,11,13,17,20,14,8,5,6,7,9,11,14,16,18,23,18,12,
34021,Fine Particulate Matter,2020-02-03,9,7,9,8,5,4,3,2,3,2,2,2,3,3,3,3,4,6,7,7,7,4,4,3,
34021,Fine Particulate Matter,2020-02-04,3,2,2,2,3,2,2,2,3,3,4,3,3,3,4,3,5,5,5,5,4,3,3,2,
34021,Fine Particulate Matter,2020-02-05,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,5,6,5,5,5,4,5,5,
34021,Fine Particulate Matter,2020-02-06,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,
34021,Fine Particulate Matter,2020-02-07,2,2,2,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,
34021,Fine Particulate Matter,2020-02-08,4,6,8,8,5,4,4,3,2,2,3,4,3,3,3,3,5,6,8,8,9,12,12,12,
34021,Fine Particulate Matter,2020-02-09,10,7,5,5,5,5,6,9,11,11,10,10,10,12,14,17,21,22,22,13,8,5,5,5,
34021,Fine Particulate Matter,2020-02-10,4,5,6,6,7,7,7,7,10,17,18,10,7,6,4,5,6,7,7,7,7,7,9,10,
34021,Fine Particulate Matter,2020-02-11,9,9,9,11,13,13,10,8,6,6,7,8,12,12,11,11,16,17,17,13,9,9,9,8,
34021,Fine Particulate Matter,2020-02-12,8,7,7,7,6,7,8,9,11,12,13,13,13,11,11,10,11,12,14,15,15,15,16,16,
34021,Fine Particulate Matter,2020-02-13,22,18,16,21,14,14,16,17,17,16,5,2,2,2,2,2,2,2,2,2,2,2,3,3,
34021,Fine Particulate Matter,2020-02-14,3,4,3,2,2,2,2,2,2,2,2,3,6,7,8,13,12,10,12,13,11,9,9,9,
34021,Fine Particulate Matter,2020-02-15,9,8,7,7,6,6,5,6,6,6,6,7,7,8,8,9,12,12,11,11,9,8,9,10,
34021,Fine Particulate Matter,2020-02-16,11,15,17,17,17,16,15,13,11,11,11,10,9,8,8,8,10,11,12,12,12,12,6,4,
34021,Fine Particulate Matter,2020-02-17,4,4,4,4,3,3,2,2,2,2,2,2,3,3,4,5,4,4,4,4,3,3,3,3,
34021,Fine Particulate Matter,2020-02-18,5,6,7,6,5,4,5,10,9,6,6,8,8,11,10,6,4,4,3,3,2,2,2,3,
34021,Fine Particulate Matter,2020-02-19,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,1,1,2,2,2,3,
34021,Fine Particulate Matter,2020-02-20,5,6,6,4,4,4,4,2,3,4,4,4,4,4,5,5,5,6,7,7,5,5,5,6,
34021,Fine Particulate Matter,2020-02-21,6,6,6,7,6,6,7,8,12,11,11,10,9,9,9,8,8,11,14,13,13,11,8,7,
34021,Fine Particulate Matter,2020-02-22,8,9,9,9,11,11,10,11,11,11,11,12,13,13,13,13,15,16,16,16,15,18,17,16,
34021,Fine Particulate Matter,2020-02-23,15,14,13,13,14,12,12,11,12,15,15,14,13,14,14,15,13,11,12,13,12,10,9,9,
34021,Fine Particulate Matter,2020-02-24,9,10,11,12,13,14,17,18,22,22,19,17,14,12,11,11,9,10,10,8,8,7,6,5,
34021,Fine Particulate Matter,2020-02-25,3,3,3,4,4,5,5,5,5,4,3,4,4,4,4,4,3,3,4,5,5,4,4,4,
34021,Fine Particulate Matter,2020-02-26,4,4,3,3,3,3,3,3,4,5,5,9999,3,4,4,4,4,4,4,5,6,5,4,3,
34021,Fine Particulate Matter,2020-02-27,3,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,
34021,Fine Particulate Matter,2020-02-28,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,5,4,5,3,3,
34021,Fine Particulate Matter,2020-02-29,4,4,4,5,4,5,5,5,4,4,3,4,4,3,3,3,3,4,5,11,7,5,4,5,
34021,Fine Particulate Matter,2020-03-01,5,6,10,10,5,4,5,5,6,7,8,6,5,8,10,9,12,12,9,7,7,7,7,7,
34021,Fine Particulate Matter,2020-03-02,6,5,5,5,6,5,6,7,10,12,9999,7,6,5,5,6,9,14,22,27,26,14,10,9,
34021,Fine Particulate Matter,2020-03-03,9,9,9,8,9,10,9,8,13,24,27,23,17,16,18,16,12,16,20,24,31,31,28,19,
34021,Fine Particulate Matter,2020-03-04,7,6,8,8,7,7,7,9,10,9,6,6,5,4,4,4,3,2,2,2,1,1,1,1,
34021,Fine Particulate Matter,2020-03-05,1,1,1,1,1,1,2,2,1,2,3,3,4,5,6,6,9,10,11,12,11,8,7,6,
34021,Fine Particulate Matter,2020-03-06,6,7,10,10,6,5,5,6,5,4,4,4,5,3,2,1,2,1,1,1,1,1,1,1,
34021,Fine Particulate Matter,2020-03-07,1,1,1,1,1,1,1,1,1,2,3,1,2,3,4,4,5,6,8,8,11,14,10,8,
34021,Fine Particulate Matter,2020-03-08,8,11,-999,-999,11,12,12,11,10,10,9,9,10,10,12,12,7,5,5,5,5,5,4,4,
34021,Fine Particulate Matter,2020-03-09,4,4,5,5,6,7,8,8,8,8,8,10,11,12,11,11,13,14,15,15,12,10,7,9,
34021,Fine Particulate Matter,2020-03-10,10,11,15,12,6,6,6,5,5,5,3,3,4,5,7,10,8,7,7,6,5,5,5,6,
34021,Fine Particulate Matter,2020-03-11,6,6,6,7,8,8,9,9,11,8,5,3,3,3,4,4,4,3,3,3,3,3,3,3,
34021,Fine Particulate Matter,2020-03-12,4,4,4,4,4,5,5,6,6,6,6,7,9,11,12,11,11,13,12,11,12,10,9,6,
34021,Fine Particulate Matter,2020-03-13,7,8,10,9,8,11,5,3,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,
34021,Fine Particulate Matter,2020-03-14,2,2,3,3,2,2,2,2,2,2,9999,2,3,4,4,3,2,3,3,3,2,2,3,3,
34021,Fine Particulate Matter,2020-03-15,3,3,3,3,3,2,2,2,1,1,1,1,1,2,3,3,4,5,5,4,4,5,4,4,
34021,Fine Particulate Matter,2020-03-16,5,5,5,5,5,5,4,2,1,1,1,1,2,2,4,5,6,8,10,10,9,10,12,15,
34021,Fine Particulate Matter,2020-03-17,20,22,21,19,19,21,21,19,13,11,11,7,4,3,3,2,2,2,2,2,3,3,2,3,
34021,Fine Particulate Matter,2020-03-18,4,4,5,6,6,7,8,7,4,3,3,5,4,3,2,3,4,4,6,8,7,6,5,5,
34021,Fine Particulate Matter,2020-03-19,6,7,8,7,7,7,7,8,16,24,26,27,24,22,16,13,15,15,14,10,6,3,4,3,
34021,Fine Particulate Matter,2020-03-20,2,4,6,5,3,2,1,1,2,3,4,3,3,2,2,2,3,5,5,5,5,3,4,3,
34021,Fine Particulate Matter,2020-03-21,3,2,2,2,2,1,2,2,2,2,3,3,2,3,3,3,3,4,5,8,6,5,4,4,
34021,Fine Particulate Matter,2020-03-22,4,4,4,4,4,3,3,3,4,4,4,4,4,5,4,4,4,5,4,5,7,6,5,4,
34021,Fine Particulate Matter,2020-03-23,5,6,8,13,15,14,4,4,5,5,4,3,4,2,1,1,3,4,6,6,8,10,9,8,
34021,Fine Particulate Matter,2020-03-24,6,4,4,5,6,7,9,9,10,11,11,9,11,13,15,15,12,9,9,12,5,6,6,4,
34021,Fine Particulate Matter,2020-03-25,4,10,10,8,8,6,5,4,4,4,5,5,6,7,10,13,12,11,10,11,12,13,14,14,
34021,Fine Particulate Matter,2020-03-26,16,18,16,13,13,17,19,17,8,6,9,9,15,20,22,20,22,21,14,4,2,1,1,1,
34021,Fine Particulate Matter,2020-03-27,1,1,1,1,1,2,2,3,4,5,4,4,4,9,14,14,16,15,13,11,12,12,10,9,
34021,Fine Particulate Matter,2020-03-28,9,9,11,8,5,3,2,2,3,4,4,5,3,3,3,3,4,8,7,5,3,2,2,2,
34021,Fine Particulate Matter,2020-03-29,2,2,2,2,3,2,2,1,1,1,1,1,2,3,4,4,5,3,3,2,2,3,3,4,
34021,Fine Particulate Matter,2020-03-30,4,4,4,5,2,3,3,2,2,2,2,2,2,2,2,2,3,3,5,6,6,4,3,2,
34021,Fine Particulate Matter,2020-03-31,2,2,2,2,2,2,2,1,1,1,1,1,4,4,4,3,2,2,2,3,3,3,2,3,
34021,Fine Particulate Matter,2020-04-01,3,3,3,3,3,4,4,3,3,3,3,5,6,7,7,6,5,4,5,6,5,4,5,5,
34021,Fine Particulate Matter,2020-04-02,6,6,6,4,5,6,6,5,3,3,3,4,5,5,5,7,8,5,6,5,6,5,5,3,
34021,Fine Particulate Matter,2020-04-03,2,2,3,3,3,2,3,2,1,2,2,2,3,3,5,6,5,5,5,5,2,2,2,2,
