Toronto West, (35125) Hourly, Carbon monoxide (CO) Concentrations
Station,Toronto West (35125)
Address,125 Resources Rd.
Latitude,43.709444
Longitude,-79.5435
Elevation, 141 metres
Air intake height,8 metres
Pollutant,Carbon Monoxide (carbon monoxide CO)
Unit, parts per million (ppm)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Carbon Monoxide,2020-01-01,0.19,0.18,0.18,0.16,0.18,0.16,0.17,0.16,0.17,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.18,0.21,0.24,0.25,0.24,0.22,0.28,0.27,
35125,Carbon Monoxide,2020-01-02,0.22,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.17,0.2,0.18,0.18,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.19,0.22,0.23,
35125,Carbon Monoxide,2020-01-03,0.22,0.21,0.22,0.22,0.26,0.23,0.31,0.41,0.42,0.31,0.26,0.27,0.27,0.27,0.23,0.26,0.27,0.3,0.31,0.31,0.31,0.29,0.28,0.26,
35125,Carbon Monoxide,2020-01-04,0.23,0.21,0.22,0.19,0.2,0.2,0.2,0.22,0.24,0.26,0.28,0.21,0.26,0.26,0.22,0.19,0.19,0.22,0.18,0.21,0.25,0.2,0.21,0.2,
35125,Carbon Monoxide,2020-01-05,0.19,0.17,0.18,0.17,0.17,0.16,0.16,0.18,0.2,0.19,0.19,0.2,0.21,0.2,0.18,0.21,0.19,0.19,0.17,0.18,0.22,0.2,0.19,0.18,
35125,Carbon Monoxide,2020-01-06,0.18,0.19,0.17,9999,0.16,0.18,0.21,0.21,0.23,0.2,0.2,0.19,0.17,0.16,0.19,0.2,0.21,0.21,0.18,0.2,0.22,0.22,0.25,0.26,
35125,Carbon Monoxide,2020-01-07,0.21,0.21,0.21,0.19,0.24,0.35,0.35,0.47,0.4,0.45,0.32,0.26,0.22,0.22,0.2,0.2,0.2,0.23,0.24,0.23,0.23,0.21,0.23,0.22,
35125,Carbon Monoxide,2020-01-08,0.2,0.19,0.19,0.14,0.17,0.19,0.19,0.18,0.2,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.18,0.19,0.2,0.19,0.18,0.16,0.14,
35125,Carbon Monoxide,2020-01-09,0.15,0.16,0.18,0.18,0.19,0.24,0.33,0.34,0.35,0.29,0.23,0.13,0.13,0.14,0.16,0.15,0.17,0.17,0.17,0.17,0.18,0.2,0.2,0.18,
35125,Carbon Monoxide,2020-01-10,0.18,0.2,0.21,0.21,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.23,0.25,0.3,0.4,0.46,0.5,0.5,0.42,0.38,0.4,0.35,
