Toronto West, (35125) Hourly, Nitric oxide (NO) Concentrations
Station,Toronto West (35125)
Address,125 Resources Rd.
Latitude,43.709444
Longitude,-79.5435
Elevation, 141 metres
Air intake height,8 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Nitrogen Oxide,2020-01-01,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.3,0.6,1.2,1.2,1,0.7,0.7,0.9,0.7,0.3,0.1,0.1,0,0,0,0.1,0.2,
35125,Nitrogen Oxide,2020-01-02,0.1,0.1,0,0,0,0,0.3,0.2,0.6,1.6,1.4,1.8,1.3,0.9,0.8,0.8,0.5,0.2,0.2,0.3,0.3,0.2,0.4,0.2,
35125,Nitrogen Oxide,2020-01-03,0.1,0.2,0.8,2.7,3.2,0.4,6.3,24.1,34,15,7.9,9.3,9.6,9.3,6.6,8.6,9.3,9.6,9,6.1,4.8,5.1,4.7,3.2,
35125,Nitrogen Oxide,2020-01-04,1.2,1.7,1.5,1.2,1.9,0.9,2.4,4.8,5.9,5.1,8.8,4.2,4.9,4.5,3.1,2.1,2.3,2.4,2,1.8,2.5,1.5,1.4,1.2,
35125,Nitrogen Oxide,2020-01-05,0.8,0.6,0.8,0.6,0.4,0.5,0.8,0.9,2.3,2.2,2.3,1.9,1.9,2,1.4,0.6,0.2,0.1,0,0,0,0,0,0,
35125,Nitrogen Oxide,2020-01-06,0,0.1,0.1,9999,2.1,2.4,6.8,8.1,11.4,8.4,7.6,7,4.9,4.9,3.8,2.9,1.7,1.8,2.4,2.9,3.9,3.6,4.1,3.4,
35125,Nitrogen Oxide,2020-01-07,0.2,0.1,0.3,0.3,7.1,40.6,38.6,63.4,40.3,43.6,17.5,10.9,7.2,4.7,2.4,1.8,1.1,0.5,2,0.9,2,2.2,1.4,1.1,
35125,Nitrogen Oxide,2020-01-08,1.7,1,0.4,1.3,3.4,6.6,7.1,7.6,9.6,14.2,9.9,11.8,11.8,8,9.2,7.4,7.6,6.1,6,4.6,4.2,3,3,2,
35125,Nitrogen Oxide,2020-01-09,3.5,3,5.7,7.6,13.5,24.7,28,24.2,17.5,11.5,5.2,0.6,0.5,9999,9999,1.8,0.8,0.5,0.4,0.3,0.2,0.6,0.5,0.3,
35125,Nitrogen Oxide,2020-01-10,0.1,0.3,0.1,0.2,0.2,0.2,0.5,0.5,0.8,0.5,0.8,0.7,0.7,1.3,0.8,4.6,16.8,23.9,30,27.8,13.5,6.7,9.3,2.7,
35125,Nitrogen Oxide,2020-01-11,0.2,0.3,1.4,0.9,0.2,1.3,0.2,0.2,1.3,4.8,1.1,1.7,4.5,4.6,4.3,3.9,4.1,3.1,1.7,1.2,1.6,1.4,3.2,2.3,
35125,Nitrogen Oxide,2020-01-12,4.4,1.8,1.4,0.9,1,0.9,0.8,1.1,1.5,2.1,2,2.6,3.4,3.6,3,2.7,2.5,2.2,1.7,1.7,2.5,3.7,1.6,1.4,
35125,Nitrogen Oxide,2020-01-13,2.7,2.2,1.6,9999,4.7,5.2,2.9,1.9,2.8,4.7,4.6,5.2,6.1,4.6,8.9,12.8,24.4,17.8,28.1,32.1,29.4,41.6,13.3,10.1,
35125,Nitrogen Oxide,2020-01-14,6.9,0.6,1.2,1,1.3,0.6,0.5,0.7,1.1,1.6,1.2,1.2,1.6,7.4,5.4,5,0.9,1.1,1.8,6.4,4.1,3.8,4.2,4.2,
35125,Nitrogen Oxide,2020-01-15,2.1,2,1.7,1.7,2.3,5.4,16,17.7,22.2,12,7,5.7,3.1,3.8,2.6,1.7,0.8,0.7,1.2,2.3,0.5,0.5,0.8,4.5,
35125,Nitrogen Oxide,2020-01-16,9.3,5.9,5.2,6,8,11.1,11.2,8.1,9.3,8.7,8.9,8.4,9.4,8.2,8.6,6.9,5.1,9999,5.3,4.4,5.1,4.5,3.9,4.1,
35125,Nitrogen Oxide,2020-01-17,2.7,3.1,3.3,3.8,4.3,8.3,12.9,11.1,15.3,17,16,15.2,10.4,7.1,12.9,8.2,17,6.8,11.8,2.1,0.1,8.5,7.9,1.5,
35125,Nitrogen Oxide,2020-01-18,1.7,1.6,3,2.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,1.1,1.2,1.1,1,1.1,0.5,0.2,0.3,0.1,1.8,1.2,1.1,1.4,
35125,Nitrogen Oxide,2020-01-19,2.2,0.9,0.8,7.5,9.5,2.9,1.5,0.9,1.6,2,2.5,3.3,3.1,3.5,3.1,2.7,2.7,2.9,3.6,3.4,3,2.5,2.7,2.6,
35125,Nitrogen Oxide,2020-01-20,2.4,2.3,2.6,9999,7,14,23.4,30.7,23.7,18.5,15.2,14.5,16.1,20.7,9999,9999,9999,9.5,4.8,6,7.9,9.8,14.1,22.2,
35125,Nitrogen Oxide,2020-01-21,27.5,19.3,16.4,48.9,67.3,95.3,107.3,108.3,119.9,115.6,24.9,8.7,12.5,6,4.4,4.1,2.7,0.8,0.8,0.7,0.8,1.4,1.1,0.7,
35125,Nitrogen Oxide,2020-01-22,0.5,0.3,0.3,0.7,0.4,3.5,5.1,3.9,4.4,4.1,7.2,2.2,2.1,2.3,2.7,1.4,1,0.6,1.2,0.4,0.7,0.5,1.4,0.9,
35125,Nitrogen Oxide,2020-01-23,0.5,0.5,0.3,0.4,54.9,38.1,6.5,28.5,41.8,126,38.9,21.8,37,32.4,24,19.5,11.8,1.8,10.1,3,3.5,2.7,6.9,23.2,
35125,Nitrogen Oxide,2020-01-24,27.4,22.9,6.8,0.9,4.1,1.8,3.3,3.6,5.3,13.8,8.8,7.3,4.6,3.5,3,3.5,2.5,1.3,1.4,0.8,0.7,0.5,1,0.5,
35125,Nitrogen Oxide,2020-01-25,0.2,0.4,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.8,0.9,1.3,0.9,1.4,1.4,1,0.5,1,1,1.1,0.7,0.7,0.6,0.5,
35125,Nitrogen Oxide,2020-01-26,0.4,0.7,0.4,0.3,1.4,0.8,2.1,3.8,5.4,7.4,5.6,5.5,3.5,1.9,1.4,2,0.6,2,1,1,1.6,1.6,1.8,2.4,
35125,Nitrogen Oxide,2020-01-27,1.6,2.7,2.4,9999,3.9,11.5,10.2,11,10.4,13.8,15.5,13.6,15,9.2,11.4,12.5,9.8,8.3,6.8,7.1,6.2,4.4,4.2,4.3,
35125,Nitrogen Oxide,2020-01-28,2.7,2.1,2.9,5.4,3.3,5.1,7.1,7,8,8,11.2,13.2,9.7,8.6,8.7,9,8.4,8.2,6.8,5.9,5.2,4.1,3.1,2.6,
35125,Nitrogen Oxide,2020-01-29,1.8,1.8,1.7,2.5,2.9,5,7.3,8.7,10.5,9.9,12.1,11,10.3,8.9,7.3,7.8,11.1,16.4,17.8,11.2,9.1,25.8,16.3,12.7,
35125,Nitrogen Oxide,2020-01-30,11.3,25,34.1,32.8,25.5,23.5,14.8,20.5,8.5,5.6,5,5.3,7.9,12.3,4.2,2.9,3,3.4,0.8,1.1,6,1.8,0.2,0.1,
35125,Nitrogen Oxide,2020-01-31,0.1,0.2,0.1,0.1,0.2,0.8,2,4.3,24,23.2,8.3,0.7,0.8,0.5,0.5,0.5,0.3,0.3,0.2,0.1,3.1,3.4,21.6,26.7,
35125,Nitrogen Oxide,2020-02-01,45.8,35.1,42.7,46.5,53.4,39.7,43.2,14,20.4,13.9,13.3,6.3,3.2,3.5,2.4,1.7,0.8,0.4,0.3,0.2,0.2,0.2,0.2,0.2,
35125,Nitrogen Oxide,2020-02-02,0.2,0.2,1.1,2.3,0.7,0.8,0.6,4.4,0.6,2,3.5,4.3,3.8,1.7,1.5,1,0.7,0.2,0.6,1.2,7.6,12.7,9.8,18.7,
35125,Nitrogen Oxide,2020-02-03,7.9,1.5,2,9999,1.5,3.7,7,7,9.3,8.6,11.1,8.6,8.8,6.3,7.5,8.9,7.7,15.8,27.1,25.4,49.1,19.1,3.8,8.8,
35125,Nitrogen Oxide,2020-02-04,7,5,10.6,9.7,6.4,6.1,10.5,8.3,9.1,13.5,12,12.6,11.3,10.4,8.9,10.5,11,9.1,5.3,9.2,5.5,3.9,3.8,2.9,
35125,Nitrogen Oxide,2020-02-05,2.2,2.2,2.3,1.9,2.4,5.6,7.6,9.5,9.6,11.9,13.5,9.5,8.3,9.1,9.3,5.2,2.7,0.6,0.3,1,1,4.5,3,4.6,
35125,Nitrogen Oxide,2020-02-06,4.4,2.1,2.2,1.8,2,3.2,5.2,6,9.6,8.2,11.8,12.5,11.2,7.6,7.3,7.1,5.2,4,3.8,3.7,4.1,4.2,4.1,2.7,
35125,Nitrogen Oxide,2020-02-07,2.8,3.4,2.9,3,13.2,5.1,6.2,7.4,8.6,9.4,10.2,12.4,10.2,9.2,8.9,7.5,6.9,4.8,7.3,3.9,3.6,3.4,3.4,2.7,
35125,Nitrogen Oxide,2020-02-08,3.9,4.3,6.2,3.7,3.6,5.6,7.3,8.2,10.9,11,9.6,8,7.6,4.6,5.6,4.9,2.9,0.7,0.2,0.2,0.3,19.4,25.7,33.2,
35125,Nitrogen Oxide,2020-02-09,24.6,28.8,21.9,18.4,12.6,5.5,3,10.4,6.3,12.7,12.5,0.9,1.4,1.8,1.8,3,2.6,1,0.3,0.2,0.2,0.2,0.2,0.2,
35125,Nitrogen Oxide,2020-02-10,0.1,0.1,0.1,9999,0.2,0.8,24.5,41.8,50,20,22.1,16.1,14,-999,-999,8.7,9.9,8.1,6.1,4.6,4.6,3.5,1.1,0.2,
35125,Nitrogen Oxide,2020-02-11,0.2,0.3,2.9,13.1,10.2,20.8,27.3,19.2,9.2,6.7,5.4,5.2,6.2,6.5,6.7,6.4,2.8,2.5,3.7,3.9,3.4,2.6,2.3,1.1,
35125,Nitrogen Oxide,2020-02-12,0.8,0.8,0.3,0.4,0.9,1.1,0.7,2.5,4.4,5.3,6.4,5.6,2.5,2,1.2,1,1,0.6,0.7,0.4,0.3,0.5,0.4,1.2,
35125,Nitrogen Oxide,2020-02-13,2.2,0.6,1,6.1,4.6,8.8,9.6,19.1,23.3,44.1,22.3,13.2,12.1,14.7,11.6,11.1,8.1,9.4,8,6.7,5.4,5.5,4.7,3.9,
35125,Nitrogen Oxide,2020-02-14,3.2,3.4,4.4,4.6,7.7,12.2,21.5,21.8,25,33.6,21.3,14,25.8,15.9,18.3,11.5,4.4,1.9,1.1,3,0.6,0.6,1,0.6,
35125,Nitrogen Oxide,2020-02-15,0.9,0.2,0.2,0.1,2,0.2,0.2,0.5,1.4,1.7,1.6,1.9,1.8,1.8,1.6,0.8,0.5,0.4,0.3,0.2,0.1,0.1,0.2,0.2,
35125,Nitrogen Oxide,2020-02-16,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.7,2.1,2,2.7,2.9,2.6,2.1,1.3,1.3,1,0.7,0.5,1.5,2.2,1.3,2,2.2,
35125,Nitrogen Oxide,2020-02-17,1.8,1.5,1.1,9999,2.2,3.2,6.7,8.6,5.9,2.6,2.2,2.4,3.2,3.3,4.2,1.5,1.1,0.4,0.2,0.3,0.2,0.3,0.3,0.1,
35125,Nitrogen Oxide,2020-02-18,0.3,0.2,0.2,0.1,0.3,0.3,0.2,0.7,0.9,1.2,2.3,4.1,6.7,5.6,4.7,3.6,2.6,3.9,3,2.9,3.8,2,2.3,2,
35125,Nitrogen Oxide,2020-02-19,1.9,1.5,1.7,1.3,2.2,6.3,9.1,8.8,8.9,10.6,11.4,13,12.3,10.1,8.8,7.4,5.3,3.8,4.8,3.7,2.1,2.6,1.8,2.2,
35125,Nitrogen Oxide,2020-02-20,1.1,2.1,2.2,2.7,3.4,7.9,12.8,14.1,16.5,16.8,15,8.4,9.2,10.1,11.2,11.4,8.5,7.9,15.2,7.2,4.6,4.5,5,4.4,
35125,Nitrogen Oxide,2020-02-21,1.5,1.7,0.3,0.2,0.2,2.5,1.1,8.5,16.9,8.9,5.3,4.9,4.6,4,3.7,3.2,2.4,0.9,0.5,0.4,0.3,0.2,0.3,0.3,
35125,Nitrogen Oxide,2020-02-22,0.8,1,0.5,0.4,0.7,0.4,0.4,1.9,3.9,5.1,5.6,2.9,2.8,2,1.5,1.4,1.1,0.7,0.2,0.1,0.1,0.2,0.2,2.8,
35125,Nitrogen Oxide,2020-02-23,1,1.6,0.1,0.1,0.9,0.1,0.1,0.6,1.3,2.2,1.8,1.5,1.1,1.8,1.2,1.6,0.5,0.2,0,0,0,0,0.1,0.1,
35125,Nitrogen Oxide,2020-02-24,0,0.1,0,9999,0.5,1.4,8.4,11.9,27.1,18.7,11.3,6.7,8.9,6.8,4,4.9,5.6,5.8,9.5,7.8,8.9,5.6,5.3,3.5,
35125,Nitrogen Oxide,2020-02-25,2.5,2.6,2.4,2.6,5.3,12.5,11,19.5,17.3,10.5,13.2,11.1,7,5.1,4.8,6.8,6.7,7,9.3,7,5.2,5.2,6,2,
35125,Nitrogen Oxide,2020-02-26,1.3,0.9,0.9,1.3,2.9,2.2,4.7,3.5,5.8,8.4,11.5,10,9.4,8.1,5.4,6.1,5.6,7.6,6.9,6.1,5.8,3.8,3.8,3.4,
35125,Nitrogen Oxide,2020-02-27,1.7,1.9,18.5,3.8,2.2,3.2,3.8,6.4,6.4,7.1,7.6,7.4,7.2,6.3,5.5,4.1,3.2,1.7,1.3,1.1,1,1.1,1.1,0.7,
35125,Nitrogen Oxide,2020-02-28,0.7,0.8,0.6,0.7,0.6,0.9,2.2,2.7,4.4,4.7,5.1,4.9,4.8,4.2,3.6,3.1,2.8,1.5,1.9,4.6,11.5,10.1,3.6,3.4,
35125,Nitrogen Oxide,2020-02-29,4.1,3.7,2.9,3.3,2.7,5.9,10.1,11.2,9.7,7.8,7.8,8.4,5.4,4.6,3.8,3.5,2.7,2.1,1.5,2.5,3.6,2.9,3.3,5.6,
35125,Nitrogen Oxide,2020-03-01,3.6,6.5,12.4,22.9,12.5,34.9,23.7,32.7,48.6,46,26.1,3.8,2.2,2.5,1.4,0.9,0.5,0.2,0,0,0,0,0,0.1,
35125,Nitrogen Oxide,2020-03-02,0.3,0.1,0.1,9999,0.3,0.2,0.4,4.2,1.6,1.2,1,1.3,1.2,3.1,5.6,4.9,3.8,2.7,8.2,25.4,13.2,18.4,14.7,13.6,
35125,Nitrogen Oxide,2020-03-03,10,30.5,29.4,37.1,39.5,20.7,0.5,2.1,3.7,5.5,4.7,5,6.3,12.7,29,27.4,27.5,15,11.9,18.9,9.5,15.2,4.6,5.3,
35125,Nitrogen Oxide,2020-03-04,1.2,2.2,2,1.9,1.6,2.7,8.6,6.1,7.8,6.6,8.1,8.4,5.1,4.4,4.1,5.9,5.1,5.2,6.2,5.8,4.2,3.7,2.2,2.1,
35125,Nitrogen Oxide,2020-03-05,1.4,1.7,1.4,1.5,2.3,8.2,14.6,12.1,17.3,5.5,4.1,3.6,3.1,3.3,2.7,1.6,0.9,0.5,0.3,0.4,2.9,0.5,0.1,0.1,
35125,Nitrogen Oxide,2020-03-06,0.2,1.2,1.8,2.6,3,6.1,13.2,13.7,11.2,7.8,13.5,14.2,16.7,12.9,10,8.4,7.2,6.8,5.2,5.2,3.2,2.4,2.5,2.8,
35125,Nitrogen Oxide,2020-03-07,3,2.8,2.6,3.5,2.7,4,6.8,6.5,6.5,5.2,5.5,2.6,2.5,2.4,1.6,1.3,1.2,0.5,0.2,0,0,0,0.2,0.1,
35125,Nitrogen Oxide,2020-03-08,0.1,0,-999,-999,0,0.2,0.2,1.8,3.9,4,3.1,2,1.4,0.6,0.5,0.5,0.3,0.2,0,0,0.1,0.1,0,0,
35125,Nitrogen Oxide,2020-03-09,0,0,0,9999,0,0.2,1.2,3.7,6.1,5,3.7,3,2.5,1.6,0.5,1,0.5,0.3,0.4,0.1,0.2,0.1,0.1,0.1,
35125,Nitrogen Oxide,2020-03-10,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.5,1.2,6.6,7.7,7.4,8,6.7,6.9,5.6,5.8,5.6,6.3,7.7,7.7,8,6,
35125,Nitrogen Oxide,2020-03-11,2.9,1,0.6,42,115.2,78.5,83.5,97.7,98.7,6.3,2.4,2,2.2,1.3,1.5,9999,0.8,0.7,1.4,1.6,0.4,1,0.9,0.2,
35125,Nitrogen Oxide,2020-03-12,0.1,0.2,0.1,0.4,28.3,10.9,0.6,2.7,7.6,4.9,3.1,3.3,3.3,3.2,5.7,2,3.3,2,0.4,0.3,0.1,0.9,0.5,0.3,
35125,Nitrogen Oxide,2020-03-13,1.5,0.1,0.4,0.5,0.2,8.6,6.7,6.1,6.7,5.1,5.1,4.8,3.1,3,3.1,3.6,2.5,2.1,1.8,1.3,1.4,1.7,1.1,1.2,
35125,Nitrogen Oxide,2020-03-14,1.5,1.1,1.1,0.9,1.1,1.8,2.5,2.6,3.5,3.3,4.2,3.7,3.4,2.7,2.1,1.8,2.2,2.4,2.4,2.5,2.1,1.9,1.6,1.6,
35125,Nitrogen Oxide,2020-03-15,1.6,2,1,0.9,1,1.8,1.9,2.8,2.3,2.2,2.2,1.7,1.5,1.3,1.3,1.6,1.8,1.8,1.4,1.2,3.7,3.1,2.4,4.6,
35125,Nitrogen Oxide,2020-03-16,6.8,7,8.9,9999,3.8,0.2,0.4,0.8,1.3,1.1,1.4,1.4,1.2,1.4,1.8,1.5,1.1,0.5,1.1,0.4,0.1,0.1,0,0.1,
35125,Nitrogen Oxide,2020-03-17,0,0.7,0,0.1,0.1,0.9,2.3,3.9,4.6,6.8,8.4,11.5,8.8,6,5.4,5.2,4.7,3.2,3,6.6,5,6.9,11.8,6.1,
35125,Nitrogen Oxide,2020-03-18,6.1,9.1,17.4,24.8,39.5,35.5,42.5,89.5,17.8,3.6,1.4,1.3,1.4,1.6,1.7,1,1.5,1.6,0.9,0.8,1.8,2.5,2.1,1.8,
35125,Nitrogen Oxide,2020-03-19,2.5,1.3,0.8,1.6,1.2,5.9,17.8,15.9,8.5,3.6,4.3,3.3,2.9,3.4,1.9,1.8,0.9,0.7,0.1,0.3,0.3,0.3,0.1,0.1,
35125,Nitrogen Oxide,2020-03-20,0.3,0.1,0.1,2.8,0.7,0.6,0.4,0.6,0.9,1.2,3.1,5.6,5.4,4.8,5.6,4.6,4.4,3.3,2.8,3.1,2.5,1.9,1.6,1.1,
35125,Nitrogen Oxide,2020-03-21,1.1,1.4,1.5,1.3,1.9,2.3,4.1,3.7,4,4.2,3.8,3.1,3.2,2.7,2.3,1.5,1.3,1.1,2.2,2.2,1.6,1.8,2.1,1.3,
35125,Nitrogen Oxide,2020-03-22,1.6,1.3,2.2,1.8,2.1,2.1,3.7,4.4,2.7,0.8,0.4,0.3,0.4,0.7,0.7,0.8,1.7,1.4,1,0.4,0.5,0.2,0.2,0.1,
35125,Nitrogen Oxide,2020-03-23,0.1,0,0,9999,0.9,0.1,0.3,1.7,1.8,2,2,3,1.9,0.8,1.2,1.3,7.3,10.7,4.9,7.6,7.7,3.6,1.7,1.3,
35125,Nitrogen Oxide,2020-03-24,1,1.4,1.6,2.3,8.5,15.6,15.5,10.8,9.8,9.1,3.7,3.4,3.2,2.6,1.9,1.8,1.1,0.5,0.1,0.5,0,0,0.3,0.2,
35125,Nitrogen Oxide,2020-03-25,0.2,1.8,0.5,0.3,1.1,0.2,0.4,1,1.4,1.4,2,2.6,2.2,1.1,1.1,1.7,1.1,0.8,0.3,0,1.1,12.8,9.4,12.2,
35125,Nitrogen Oxide,2020-03-26,22.3,30.6,12.5,0.1,1,2.8,7.3,33,10.8,3.7,5.1,4,2.6,3.7,5.6,6.1,5.3,4.6,4.6,3.8,2.9,2.3,1.8,1.4,
35125,Nitrogen Oxide,2020-03-27,1.8,3.7,4.3,3.7,3.5,5.7,10.6,11.3,10.1,8.8,4.8,4,5.7,5.2,4.9,4.8,3.1,1.2,0.2,0.7,0.4,1.5,0.3,9.5,
35125,Nitrogen Oxide,2020-03-28,8.2,1.6,1.7,2.7,1.9,3.9,2.3,2.9,1.2,1.1,2,2.6,2.6,4,1.9,1.7,1.5,1.3,1.6,1.3,1,1.6,1.4,0.7,
35125,Nitrogen Oxide,2020-03-29,0.5,0.9,0.1,0.5,0.4,0.8,0.2,0.1,0.3,0.6,0.8,3.7,3.8,6,2.5,0.8,0.4,0.4,0.2,0.1,0,0,0,0,
35125,Nitrogen Oxide,2020-03-30,0.1,0,0.1,9999,0.5,0.6,2,3.4,3.7,5.5,5,3.8,-999,-999,-999,-999,3.9,4.1,3.3,2.6,2.9,3.3,3,2.5,
35125,Nitrogen Oxide,2020-03-31,1.7,2.5,2.9,3.2,5.6,9.7,12.6,17.1,8.8,4.3,1.5,1.1,0.9,0.8,2,2.5,2.7,2.5,1.1,0.4,1.8,0.6,1.2,1.6,
