Toronto West, (35125) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Toronto West (35125)
Address,125 Resources Rd.
Latitude,43.709444
Longitude,-79.5435
Elevation, 141 metres
Air intake height,8 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Fine Particulate Matter,2020-01-01,1,1,1,1,0,0,0,1,1,1,2,2,3,4,4,4,7,11,15,16,15,14,15,14,
35125,Fine Particulate Matter,2020-01-02,8,7,7,6,5,4,3,2,3,4,4,4,3,3,3,4,3,3,4,5,5,5,5,5,
35125,Fine Particulate Matter,2020-01-03,5,7,7,8,9,9,10,13,19,25,24,21,14,10,7,8,8,8,7,5,5,5,5,5,
35125,Fine Particulate Matter,2020-01-04,4,3,3,2,2,4,5,7,7,6,6,4,4,3,1,1,1,1,1,1,2,0,0,0,
35125,Fine Particulate Matter,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,7,8,6,7,
35125,Fine Particulate Matter,2020-01-06,9,13,9,8,6,4,3,2,3,3,3,3,3,3,3,4,4,4,3,2,2,4,4,4,
35125,Fine Particulate Matter,2020-01-07,5,5,5,4,5,8,8,10,10,14,18,15,14,12,9,9,7,7,7,7,7,7,6,7,
35125,Fine Particulate Matter,2020-01-08,9,8,7,3,5,3,2,2,3,3,2,4,3,2,2,2,2,2,3,3,3,2,2,1,
35125,Fine Particulate Matter,2020-01-09,2,2,3,4,4,4,5,6,6,7,5,3,3,4,4,4,6,6,6,6,4,4,3,3,
35125,Fine Particulate Matter,2020-01-10,4,5,6,5,4,3,3,3,6,7,8,8,7,8,6,9,15,20,24,27,30,24,15,6,
35125,Fine Particulate Matter,2020-01-11,2,5,6,4,3,5,6,6,5,7,1,1,0,0,1,1,2,2,2,2,2,2,2,2,
35125,Fine Particulate Matter,2020-01-12,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,5,5,5,6,6,
35125,Fine Particulate Matter,2020-01-13,5,5,5,4,7,10,6,5,6,6,7,8,8,10,12,18,19,15,13,12,10,20,12,13,
35125,Fine Particulate Matter,2020-01-14,12,12,12,11,12,7,6,6,6,7,7,8,10,11,10,11,12,14,14,17,16,12,8,9,
35125,Fine Particulate Matter,2020-01-15,9,9,5,3,3,3,4,5,5,5,5,3,3,4,6,6,6,6,7,6,5,4,4,5,
35125,Fine Particulate Matter,2020-01-16,9,9,11,11,11,9,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,4,4,
35125,Fine Particulate Matter,2020-01-17,4,3,3,3,2,3,3,4,6,7,7,6,5,5,5,7,9,9,10,9,9,10,10,8,
35125,Fine Particulate Matter,2020-01-18,9,11,13,11,5,4,3,3,4,5,6,6,4,4,4,4,4,4,5,6,7,2,2,2,
35125,Fine Particulate Matter,2020-01-19,3,4,4,5,5,3,3,3,6,5,6,7,8,7,5,4,4,5,6,5,4,3,3,3,
35125,Fine Particulate Matter,2020-01-20,3,3,3,3,3,4,4,5,4,4,4,3,3,4,3,3,3,5,5,6,6,5,5,6,
35125,Fine Particulate Matter,2020-01-21,11,10,9,11,13,13,13,16,20,22,9,9,8,7,7,6,6,7,8,7,9,9,10,12,
35125,Fine Particulate Matter,2020-01-22,15,17,18,19,18,18,18,19,20,19,18,14,11,11,11,11,11,12,12,12,11,10,11,12,
35125,Fine Particulate Matter,2020-01-23,12,12,12,11,13,12,12,14,16,22,20,17,19,19,19,19,17,16,20,16,14,15,14,14,
35125,Fine Particulate Matter,2020-01-24,16,17,14,11,10,9,9,9,10,12,11,11,11,11,11,12,13,14,12,11,9,7,7,7,
35125,Fine Particulate Matter,2020-01-25,8,8,6,7,8,9,7,7,4,4,4,4,5,5,7,8,13,19,11,11,9,8,10,11,
35125,Fine Particulate Matter,2020-01-26,10,7,8,6,5,6,9,11,8,6,9,8,6,5,5,5,5,4,2,2,1,1,1,1,
35125,Fine Particulate Matter,2020-01-27,1,2,2,2,2,2,2,2,4,5,7,6,5,5,7,7,7,7,7,5,4,3,3,2,
35125,Fine Particulate Matter,2020-01-28,2,3,3,3,2,2,2,3,3,3,3,4,3,2,2,2,3,5,5,4,2,2,2,2,
35125,Fine Particulate Matter,2020-01-29,2,2,2,2,1,1,2,3,4,5,5,4,3,3,4,4,9,12,16,9,8,11,8,8,
35125,Fine Particulate Matter,2020-01-30,7,8,8,8,7,12,10,9,7,7,6,6,8,8,4,3,4,4,4,5,6,5,4,4,
35125,Fine Particulate Matter,2020-01-31,8,10,11,13,13,13,14,12,13,14,8,5,5,5,5,6,7,8,9,9,10,13,14,17,
35125,Fine Particulate Matter,2020-02-01,19,21,21,22,24,22,20,19,21,24,27,25,23,21,14,11,12,14,10,7,8,8,10,12,
35125,Fine Particulate Matter,2020-02-02,15,17,18,19,16,13,9,9,10,12,14,11,6,4,5,6,7,8,15,14,17,14,10,10,
35125,Fine Particulate Matter,2020-02-03,9,6,7,7,4,2,2,2,2,2,2,2,2,2,2,2,2,4,6,7,9,6,4,3,
35125,Fine Particulate Matter,2020-02-04,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,2,2,
35125,Fine Particulate Matter,2020-02-05,2,3,4,4,3,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,
35125,Fine Particulate Matter,2020-02-06,6,5,3,3,3,4,4,4,6,7,9,8,6,5,5,4,6,6,6,5,6,5,5,4,
35125,Fine Particulate Matter,2020-02-07,4,5,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,
35125,Fine Particulate Matter,2020-02-08,6,5,7,6,5,6,7,7,9,9,9,6,5,3,4,4,4,4,6,7,8,13,13,13,
35125,Fine Particulate Matter,2020-02-09,11,11,10,9,7,6,5,8,11,12,12,7,8,10,11,15,16,16,17,11,6,3,3,3,
35125,Fine Particulate Matter,2020-02-10,3,4,4,5,6,4,6,10,13,17,15,10,6,-999,-999,3,6,6,7,8,8,8,8,9,
35125,Fine Particulate Matter,2020-02-11,12,12,11,13,15,18,13,9,6,6,6,8,10,11,10,10,12,12,12,9,7,7,7,6,
35125,Fine Particulate Matter,2020-02-12,7,7,6,5,6,6,7,9,15,15,16,15,12,11,9,8,9,9,11,12,12,12,12,13,
35125,Fine Particulate Matter,2020-02-13,16,14,13,15,15,14,14,14,16,19,13,3,2,3,2,2,2,3,4,5,4,4,4,4,
35125,Fine Particulate Matter,2020-02-14,4,4,4,4,4,4,6,6,8,10,7,6,7,6,10,11,7,7,9,9,6,6,6,6,
35125,Fine Particulate Matter,2020-02-15,6,5,6,5,6,5,5,5,6,5,5,5,5,6,6,6,7,8,8,8,6,6,6,7,
35125,Fine Particulate Matter,2020-02-16,9,13,15,15,16,15,14,12,11,10,9,9,8,7,6,6,5,6,8,9,9,9,10,6,
35125,Fine Particulate Matter,2020-02-17,5,4,3,3,3,3,3,4,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,
35125,Fine Particulate Matter,2020-02-18,3,3,4,4,4,4,5,9,11,11,11,14,12,8,6,4,3,3,2,2,2,1,1,2,
35125,Fine Particulate Matter,2020-02-19,2,2,2,2,2,3,4,5,7,5,4,4,4,3,3,3,3,4,4,4,4,4,4,4,
35125,Fine Particulate Matter,2020-02-20,6,6,5,5,4,5,6,5,6,7,6,4,4,4,4,4,4,5,7,5,4,5,6,7,
35125,Fine Particulate Matter,2020-02-21,6,6,7,6,6,6,6,8,11,12,10,9,8,7,6,6,6,9,9,9,10,8,6,5,
35125,Fine Particulate Matter,2020-02-22,5,5,6,6,7,7,7,7,8,9,10,10,10,9,9,9,10,10,10,11,12,11,12,12,
35125,Fine Particulate Matter,2020-02-23,10,9,9,9,8,8,8,8,10,11,10,10,8,9,9,8,7,8,8,9,9,8,7,7,
35125,Fine Particulate Matter,2020-02-24,8,10,11,12,13,15,15,17,23,24,22,18,15,14,11,9,7,8,9,8,9,10,6,6,
35125,Fine Particulate Matter,2020-02-25,3,3,3,4,6,6,7,8,11,11,12,9,7,7,6,6,6,6,7,6,7,6,6,6,
35125,Fine Particulate Matter,2020-02-26,4,3,3,3,3,4,4,5,8,10,10,9,7,7,6,6,8,10,10,8,7,6,5,4,
35125,Fine Particulate Matter,2020-02-27,4,4,5,3,3,4,4,4,4,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,
35125,Fine Particulate Matter,2020-02-28,3,4,4,4,3,3,3,4,6,7,7,6,6,6,5,5,5,6,7,7,7,6,4,4,
35125,Fine Particulate Matter,2020-02-29,6,6,6,6,6,6,6,7,6,6,6,5,3,3,4,3,3,3,3,3,5,6,7,8,
35125,Fine Particulate Matter,2020-03-01,8,11,13,9,8,9,8,10,18,20,13,5,5,7,6,7,9,9,7,6,7,8,7,6,
35125,Fine Particulate Matter,2020-03-02,6,5,5,5,5,5,5,8,9,11,12,10,7,7,8,7,11,15,21,27,22,22,18,19,
35125,Fine Particulate Matter,2020-03-03,18,18,18,16,11,10,8,8,13,23,24,22,16,13,17,17,19,16,16,21,23,29,19,15,
35125,Fine Particulate Matter,2020-03-04,6,6,7,7,7,8,8,7,8,6,5,5,5,4,3,3,3,3,3,3,3,2,2,2,
35125,Fine Particulate Matter,2020-03-05,2,2,2,2,3,3,3,4,5,3,3,3,3,3,3,3,5,6,7,8,11,8,7,6,
35125,Fine Particulate Matter,2020-03-06,5,6,7,7,6,5,6,7,10,8,9,9,9,7,4,3,4,4,3,3,3,3,2,3,
35125,Fine Particulate Matter,2020-03-07,3,3,3,4,3,3,4,4,4,3,3,2,2,2,2,2,2,3,6,6,7,7,7,7,
35125,Fine Particulate Matter,2020-03-08,7,8,-999,-999,8,8,8,7,6,6,5,4,5,5,5,5,3,3,3,2,3,3,3,3,
35125,Fine Particulate Matter,2020-03-09,3,4,4,4,5,6,8,8,10,10,9,9,9,9,9,9,11,13,13,12,11,9,10,13,
35125,Fine Particulate Matter,2020-03-10,16,14,19,16,7,11,9,6,5,3,2,1,1,2,3,6,6,4,5,5,5,5,6,6,
35125,Fine Particulate Matter,2020-03-11,7,7,7,8,10,10,11,13,16,9,7,4,4,3,4,4,5,5,4,4,4,4,4,4,
35125,Fine Particulate Matter,2020-03-12,5,5,5,5,7,6,6,7,9,8,7,8,8,9,9,9,8,8,8,8,8,7,7,8,
35125,Fine Particulate Matter,2020-03-13,10,12,13,14,14,14,5,3,2,2,3,4,3,3,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,
35125,Fine Particulate Matter,2020-03-14,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,
35125,Fine Particulate Matter,2020-03-15,5,6,6,6,5,5,5,4,6,5,4,4,3,2,2,3,2,3,4,5,7,6,6,6,
35125,Fine Particulate Matter,2020-03-16,5,4,5,7,6,3,3,3,2,2,2,2,2,2,3,3,3,5,6,6,7,9,12,11,
35125,Fine Particulate Matter,2020-03-17,14,17,16,15,15,16,18,18,15,12,14,10,5,4,4,3,2,2,2,3,4,5,5,4,
35125,Fine Particulate Matter,2020-03-18,5,6,8,7,8,8,10,13,7,6,4,4,4,4,3,4,6,7,7,6,7,7,6,5,
35125,Fine Particulate Matter,2020-03-19,7,8,7,8,8,9,11,12,19,20,20,22,20,16,14,11,11,13,11,10,7,4,4,5,
35125,Fine Particulate Matter,2020-03-20,5,7,13,16,13,9999,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
35125,Fine Particulate Matter,2020-03-21,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,4,5,6,5,5,5,
35125,Fine Particulate Matter,2020-03-22,5,5,5,6,5,4,4,4,4,4,3,4,4,3,3,3,4,5,6,7,7,6,5,5,
35125,Fine Particulate Matter,2020-03-23,6,7,8,11,11,11,7,7,9,11,9,7,6,5,6,5,4,5,6,6,6,6,5,4,
