Burlington, (44008) Hourly, Nitric oxide (NO) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./Lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Nitrogen Oxide,2020-01-01,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.6,0.8,1,0.8,1.2,1.4,1,0.8,0.6,0.6,0.7,0.7,0.9,0.7,0.6,
44008,Nitrogen Oxide,2020-01-02,0.6,0.7,0.7,0.7,1,1.7,2.3,2.3,2.5,3.6,3.2,2.9,2.4,2.5,3.1,1.9,1.6,1.4,1.2,1.1,1,0.9,0.8,0.9,
44008,Nitrogen Oxide,2020-01-03,1,0.6,0.7,1,2.3,5.3,5.7,9.8,18.9,13.5,10.2,9.5,5.5,4.2,2.8,1.3,1,1.9,0.6,0.5,0.6,1,1.2,2.2,
44008,Nitrogen Oxide,2020-01-04,1,0.9,1.3,1.2,1.3,1,1.2,0.9,0.9,1.6,1.4,2,2.3,1.2,1,0.9,0.7,0.7,0.7,0.8,0.9,0.7,0.8,0.7,
44008,Nitrogen Oxide,2020-01-05,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.7,1.1,1.4,1.7,1.3,1.3,1.5,1.3,1,0.8,0.8,1,1.7,1.5,2.2,1.4,1.4,
44008,Nitrogen Oxide,2020-01-06,0.9,0.8,0.8,1.2,1.2,2.2,2.4,2.6,3.3,2.9,3.1,3.2,2.8,2.6,3.1,2.3,2,1.8,1.6,1.1,0.6,0.9,2.3,1.7,
44008,Nitrogen Oxide,2020-01-07,2.8,1.3,1.1,1.3,1.6,2.1,5.5,8.8,20.4,19.5,14.3,12.1,9.1,4.7,5.3,3.2,3.2,2.4,2.2,1.9,1.8,2,1.6,1.5,
44008,Nitrogen Oxide,2020-01-08,0.8,1,0.8,0.9,1.1,2,2.7,2.1,5.1,4.5,4.7,3.9,4.5,3.2,2.8,3.3,1.8,1.8,2.7,1.5,0.7,0.7,0.8,1.8,
44008,Nitrogen Oxide,2020-01-09,2.4,2,6.1,7.8,4.3,5.7,9.8,9.1,23.7,2.5,1.6,2.9,2.3,5,2,2.1,1.4,1.2,1,0.8,0.8,0.8,0.7,1,
44008,Nitrogen Oxide,2020-01-10,1.9,0.9,0.7,0.8,1,1.8,2.2,3.3,5,4.3,4.1,3.7,4.5,4.4,3.4,3,1.9,2.4,2.9,2,2.2,2,2.7,0.8,
44008,Nitrogen Oxide,2020-01-11,0.8,0.7,0.6,0.7,0.6,0.6,0.6,0.8,0.9,0.9,2,2,2.4,1.3,1.6,1.2,1.8,1.6,1.1,1.1,0.8,0.6,0.7,0.5,
44008,Nitrogen Oxide,2020-01-12,0.5,0.5,0.5,0.6,0.7,0.9,0.7,0.7,1.8,0.9,1.1,1.5,1.5,1.5,1.4,1,0.8,0.6,0.6,0.9,0.9,1.1,1,1.6,
44008,Nitrogen Oxide,2020-01-13,2.2,0.7,0.6,0.6,1.4,1.7,1.4,8.3,8.9,11.1,15.5,12.6,17.5,19,20.5,19.3,17.4,18.8,7.5,3.5,2.3,1.4,2.6,10.9,
44008,Nitrogen Oxide,2020-01-14,21.6,23.4,11.7,0.6,0.8,0.5,1.1,4.4,4.4,1.7,1.8,1.8,1.8,2.1,2,2.4,1.9,1.2,2.7,5.4,2.2,1.3,1.4,1.1,
44008,Nitrogen Oxide,2020-01-15,1,0.9,1,1.2,1.6,2.1,2.4,4.1,7.5,6.3,5.7,5,3.9,3.9,3.8,2.3,2.4,1.1,0.8,0.7,0.9,1.2,0.8,0.9,
