Burlington, (44008) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./Lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Fine Particulate Matter,2020-01-01,4,3,2,2,2,3,3,3,2,2,3,4,5,4,5,6,7,8,8,8,9,7,7,7,
44008,Fine Particulate Matter,2020-01-02,6,5,5,5,5,4,4,4,4,3,4,5,4,5,5,5,5,6,5,5,5,5,5,6,
44008,Fine Particulate Matter,2020-01-03,6,6,6,6,7,8,9,9,10,11,11,11,12,10,12,10,9,9,8,9,9,9,8,8,
44008,Fine Particulate Matter,2020-01-04,7,8,7,6,6,6,7,6,6,6,6,6,6,4,4,3,3,3,4,5,5,5,4,4,
44008,Fine Particulate Matter,2020-01-05,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,6,6,7,6,6,
44008,Fine Particulate Matter,2020-01-06,6,5,7,8,6,5,4,4,4,4,3,2,2,3,3,3,3,4,4,4,4,4,5,4,
44008,Fine Particulate Matter,2020-01-07,5,4,4,5,5,6,6,7,8,7,8,10,10,8,9,7,6,7,8,10,9,10,10,9,
44008,Fine Particulate Matter,2020-01-08,9,10,9,8,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
44008,Fine Particulate Matter,2020-01-09,3,4,4,5,4,4,4,4,5,3,4,6,5,5,5,5,5,5,5,5,5,5,5,6,
44008,Fine Particulate Matter,2020-01-10,7,5,6,7,7,8,8,8,8,8,7,6,5,5,5,6,6,6,8,12,13,12,17,8,
44008,Fine Particulate Matter,2020-01-11,5,4,3,4,4,2,2,4,5,5,2,4,7,7,9,7,6,4,5,6,5,5,4,3,
44008,Fine Particulate Matter,2020-01-12,2,2,2,3,3,2,2,2,3,2,3,4,3,3,3,3,4,4,4,4,4,4,5,6,
44008,Fine Particulate Matter,2020-01-13,6,4,4,4,4,4,5,7,9,9,8,8,11,13,14,15,16,15,8,8,9,8,8,8,
44008,Fine Particulate Matter,2020-01-14,8,9,12,13,12,9,10,11,10,10,10,10,11,10,10,10,11,11,14,16,15,8,9,9,
44008,Fine Particulate Matter,2020-01-15,9,9,9,7,7,7,7,6,6,6,6,6,7,8,8,8,9,9,9,8,6,6,6,5,
44008,Fine Particulate Matter,2020-01-16,6,7,9,14,14,11,9,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,
44008,Fine Particulate Matter,2020-01-17,3,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5,4,4,4,3,3,3,4,
44008,Fine Particulate Matter,2020-01-18,4,4,4,4,4,3,4,4,4,3,3,2,2,3,3,3,4,4,10,6,5,4,4,4,
44008,Fine Particulate Matter,2020-01-19,4,4,4,5,5,6,6,7,6,7,4,3,3,4,3,3,3,3,3,3,3,3,3,3,
44008,Fine Particulate Matter,2020-01-20,3,2,2,3,3,4,4,5,5,4,3,3,3,4,4,4,4,5,6,5,5,5,5,5,
44008,Fine Particulate Matter,2020-01-21,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,6,
44008,Fine Particulate Matter,2020-01-22,6,7,7,8,9,11,12,12,12,11,11,12,13,12,12,11,12,12,12,12,12,12,12,12,
44008,Fine Particulate Matter,2020-01-23,12,12,12,12,12,13,15,15,17,17,18,18,18,17,16,17,18,19,20,19,18,15,16,16,
44008,Fine Particulate Matter,2020-01-24,18,20,21,22,21,19,12,11,12,11,10,10,10,10,10,11,12,12,11,10,11,13,9,7,
44008,Fine Particulate Matter,2020-01-25,7,6,7,8,8,8,8,6,6,5,5,5,5,6,7,6,6,6,8,10,11,11,8,7,
44008,Fine Particulate Matter,2020-01-26,5,4,5,6,7,10,12,11,10,8,7,7,7,7,8,8,7,6,5,5,4,3,3,3,
44008,Fine Particulate Matter,2020-01-27,2,2,2,2,3,3,3,3,3,2,2,3,3,4,4,4,3,3,4,4,4,4,4,4,
44008,Fine Particulate Matter,2020-01-28,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,3,3,4,3,3,3,3,
44008,Fine Particulate Matter,2020-01-29,3,2,2,2,3,3,3,3,3,2,9999,2,3,3,3,3,4,4,4,4,5,6,6,6,
44008,Fine Particulate Matter,2020-01-30,5,5,5,6,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,4,4,5,5,
44008,Fine Particulate Matter,2020-01-31,4,4,7,7,8,8,10,10,11,11,12,13,10,9,8,7,7,7,6,8,9,11,13,13,
44008,Fine Particulate Matter,2020-02-01,14,16,18,18,19,21,22,22,22,21,21,20,15,14,14,11,8,9,10,13,14,14,14,13,
44008,Fine Particulate Matter,2020-02-02,13,12,14,16,16,15,13,14,15,15,11,7,8,11,9,9,10,10,11,13,14,14,14,13,
44008,Fine Particulate Matter,2020-02-03,11,11,7,6,6,4,4,4,5,4,4,4,4,9999,9999,1,2,2,3,3,3,4,1,1,
44008,Fine Particulate Matter,2020-02-04,1,1,2,5,6,4,2,2,1,1,1,1,1,2,2,2,2,3,2,2,2,1,1,1,
44008,Fine Particulate Matter,2020-02-05,1,0,0,0,0,0,1,2,1,1,2,3,3,3,2,2,2,1,2,1,1,1,1,2,
44008,Fine Particulate Matter,2020-02-06,4,4,11,10,5,4,5,5,5,4,5,4,4,4,4,4,3,4,4,5,5,5,4,4,
44008,Fine Particulate Matter,2020-02-07,3,3,4,3,2,2,2,2,3,3,3,2,2,2,2,3,4,4,5,5,7,8,6,6,
44008,Fine Particulate Matter,2020-02-08,7,7,8,7,7,5,3,3,3,3,5,6,6,7,3,3,2,2,3,6,5,7,8,7,
44008,Fine Particulate Matter,2020-02-09,11,16,11,10,11,11,12,12,12,13,10,10,15,20,23,24,24,23,18,15,10,10,8,6,
44008,Fine Particulate Matter,2020-02-10,3,2,2,2,3,4,7,9,11,14,13,10,8,6,6,6,5,5,5,5,5,5,5,4,
44008,Fine Particulate Matter,2020-02-11,6,7,7,11,13,15,9,6,4,4,6,9,10,11,13,15,12,12,13,14,11,9,7,6,
44008,Fine Particulate Matter,2020-02-12,6,6,5,5,6,7,10,11,11,12,11,9,8,8,7,8,10,10,11,10,11,12,12,13,
44008,Fine Particulate Matter,2020-02-13,16,20,10,9,14,16,18,20,19,18,18,17,17,17,4,3,1,1,1,1,1,1,1,1,
44008,Fine Particulate Matter,2020-02-14,2,2,2,2,1,1,2,3,2,2,2,3,4,6,4,6,6,5,4,4,6,6,7,6,
44008,Fine Particulate Matter,2020-02-15,6,5,5,5,4,3,4,5,7,7,7,8,7,7,8,9,10,9,9,8,6,6,7,8,
44008,Fine Particulate Matter,2020-02-16,7,7,14,21,21,17,17,16,16,13,11,11,10,11,11,11,10,11,13,17,19,21,25,25,
44008,Fine Particulate Matter,2020-02-17,22,21,9,6,6,5,4,4,4,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,
44008,Fine Particulate Matter,2020-02-18,3,5,7,9,11,11,10,12,12,11,9,13,15,10,8,4,3,2,2,2,2,1,1,2,
44008,Fine Particulate Matter,2020-02-19,2,2,3,3,4,7,5,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,3,
44008,Fine Particulate Matter,2020-02-20,3,4,3,4,5,3,4,4,3,1,1,1,2,2,1,1,1,1,1,2,2,3,2,4,
44008,Fine Particulate Matter,2020-02-21,3,3,3,4,4,5,6,7,6,7,6,6,6,5,5,7,8,7,10,12,10,7,6,6,
44008,Fine Particulate Matter,2020-02-22,6,6,6,6,6,6,6,7,7,7,9,11,11,11,10,10,10,11,11,12,12,12,11,10,
44008,Fine Particulate Matter,2020-02-23,9,9,7,7,7,8,9,11,11,10,8,7,7,8,8,8,7,6,8,9,9,8,7,6,
44008,Fine Particulate Matter,2020-02-24,6,8,10,12,12,13,13,13,13,14,16,18,16,16,16,17,15,17,21,25,16,10,9,7,
44008,Fine Particulate Matter,2020-02-25,4,5,5,3,2,6,9,9,14,10,4,6,8,8,7,6,6,6,7,9,8,9,9,8,
44008,Fine Particulate Matter,2020-02-26,8,5,4,4,4,4,4,8,9,8,6,6,6,7,7,6,7,8,10,13,8,5,4,4,
44008,Fine Particulate Matter,2020-02-27,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,
44008,Fine Particulate Matter,2020-02-28,1,1,1,1,1,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,3,
44008,Fine Particulate Matter,2020-02-29,3,2,3,3,3,4,4,4,4,3,3,3,4,5,5,4,3,4,4,4,5,6,9,10,
44008,Fine Particulate Matter,2020-03-01,8,8,8,9,11,10,10,10,11,11,9,9,8,9,12,10,7,7,11,11,11,12,12,17,
44008,Fine Particulate Matter,2020-03-02,10,5,4,7,9,10,11,10,12,15,14,9,10,12,9,6,8,12,19,21,28,37,31,30,
