Oakville, (44017) Hourly, Nitric oxide (NO) Concentrations
Station,Oakville (44017)
Address,Eighth Line/Glenashton Dr., Halton Res.
Latitude,43.486917
Longitude,-79.702278
Elevation, 165 metres
Air intake height,12 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44017,Nitrogen Oxide,2020-01-01,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.3,
44017,Nitrogen Oxide,2020-01-02,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.6,0.6,1.1,0.9,1.2,1,0.8,0.8,0.8,0.5,0.3,0.3,0.3,0.3,0.2,0.3,2.1,
44017,Nitrogen Oxide,2020-01-03,0.8,0.2,0.2,0.3,0.2,0.5,1.4,1,0.9,1.4,1.6,1.6,1.1,0.9,0.6,0.4,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,
44017,Nitrogen Oxide,2020-01-04,0.8,0.3,0.1,0.4,0.3,0.1,0.2,0.3,1,1.8,2.1,1.4,0.9,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,
44017,Nitrogen Oxide,2020-01-05,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,1.5,0.6,0.9,0.9,1,
44017,Nitrogen Oxide,2020-01-06,0.9,0.3,0.3,0.2,0.2,0.1,0.2,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,
44017,Nitrogen Oxide,2020-01-07,0.2,0.2,1.7,1.8,0.2,0.7,5.2,19.5,28.3,12.8,11.7,33.4,6.3,2.1,1.5,1.1,0.6,1.3,0.7,0.4,0.3,0.3,0.2,0.2,
44017,Nitrogen Oxide,2020-01-08,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.6,0.7,0.8,0.7,0.5,0.7,0.5,0.5,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,
44017,Nitrogen Oxide,2020-01-09,0.1,2.2,0.2,3.6,0.8,3.3,11.3,23.3,25.6,10,1.7,2.1,2.8,2.1,1.2,0.9,0.6,0.4,0.4,0.5,0.6,0.6,0.8,1.8,
44017,Nitrogen Oxide,2020-01-10,1.6,0.8,0.3,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.6,0.5,0.7,0.7,0.6,0.5,0.7,1.8,1.5,2.6,2.2,2.4,8.3,1.3,
44017,Nitrogen Oxide,2020-01-11,0.3,0.5,0.2,0.2,0.3,1.6,1.1,0.8,0.6,0.3,1,0.4,0.4,0.4,0.5,0.4,0.3,0.2,0.2,1,1.1,0.9,0.2,0.2,
44017,Nitrogen Oxide,2020-01-12,0.2,0.6,1.2,1.2,0.9,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.5,2.6,0.2,
44017,Nitrogen Oxide,2020-01-13,0.1,0.4,0.4,0.8,2,0.9,1.9,1.6,6.2,14.3,17,17.7,20.7,24.5,15.5,12.5,15.1,9.3,1.1,0.8,0.7,0.6,0.7,2.4,
44017,Nitrogen Oxide,2020-01-14,12.1,12.4,1.3,0.3,6.2,4.6,0.4,0.6,0.7,0.7,1.1,1.6,5,1.3,1.1,1,0.9,0.6,4.6,5.6,0.4,0.3,0.2,0.1,
44017,Nitrogen Oxide,2020-01-15,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.4,3,2.4,0.6,0.5,1.7,1.3,1.2,2.5,1.3,0.6,0.6,1.1,0.6,0.3,0.5,0.9,
44017,Nitrogen Oxide,2020-01-16,0.7,2.9,0.5,0.6,0.4,0.4,0.3,0.2,0.5,0.6,0.4,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.6,0.1,
44017,Nitrogen Oxide,2020-01-17,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,2.4,4.7,7.1,6.6,6.3,7,7.3,6.5,4.5,2.6,2.5,1,0.4,0.2,0.2,0.2,
44017,Nitrogen Oxide,2020-01-18,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.7,0.4,0.6,0.9,0.8,0.9,0.7,0.7,0.5,0.5,1.6,0.4,0.3,0.3,0.2,0.3,
44017,Nitrogen Oxide,2020-01-19,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.5,0.5,0.4,0.5,0.6,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,
44017,Nitrogen Oxide,2020-01-20,0.1,0.1,0.2,0.2,0.2,0.3,0.3,5.2,6.3,6.2,6.7,5.7,2.8,1.4,0.7,0.6,0.4,0.2,0.1,0.1,0.3,0.2,0.1,0.1,
44017,Nitrogen Oxide,2020-01-21,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.3,0.5,4.7,1,0.9,0.8,0.8,0.6,0.7,0.5,0.2,0.1,0.1,0.1,0.2,0.1,0.1,
44017,Nitrogen Oxide,2020-01-22,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.6,1.2,1.4,2.1,1.9,1.2,1.2,0.9,0.8,0.7,0.6,0.4,0.5,0.2,0.1,0.2,
44017,Nitrogen Oxide,2020-01-23,0.3,0.8,0.6,0.3,0.7,2.1,9.4,20.1,24.3,18.3,33.4,52.7,26.6,16.7,12.6,9.3,5.1,5.8,2.5,1.4,1.1,1.6,2.2,1.5,
44017,Nitrogen Oxide,2020-01-24,2.6,6.6,8.3,1.3,1.2,0.3,0.7,0.6,1.1,2.2,2.4,2.2,1.7,1.5,1.4,1.1,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.2,
44017,Nitrogen Oxide,2020-01-25,0.1,0.2,0.2,0.3,0.5,0.3,0.3,0.7,1.4,1.9,1.7,2.4,0.9,0.8,3.3,2.2,0.5,0.3,0.3,0.3,0.2,0.2,0.5,0.4,
44017,Nitrogen Oxide,2020-01-26,0.6,0.3,0.4,0.6,0.5,0.4,0.5,0.7,1.5,1.5,1.6,1.1,0.8,0.5,0.7,0.7,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.2,
44017,Nitrogen Oxide,2020-01-27,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.8,2.2,1.2,0.5,0.5,0.4,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,
44017,Nitrogen Oxide,2020-01-28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
44017,Nitrogen Oxide,2020-01-29,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,1.2,1.9,-999,-999,1.4,1.6,4.3,4.5,2.7,2.1,0.7,1.1,2,2.9,1.1,0.6,
44017,Nitrogen Oxide,2020-01-30,0.9,1.5,6.2,4.1,6.5,8.6,10.8,12.7,6.2,1,1.2,1,0.9,0.7,0.6,0.6,0.5,0.5,0.3,0.7,1,0.5,0.2,0.2,
44017,Nitrogen Oxide,2020-01-31,0.1,0.4,1.2,1,0.3,0.3,0.2,1.5,9.6,7.7,2,2.1,1.3,1,1.1,0.8,0.5,0.5,0.9,0.1,0.2,0.5,0.8,0.5,
44017,Nitrogen Oxide,2020-02-01,0.6,2.8,1,0.4,1,2.4,1.1,2.7,8.8,6,1.8,2,2.7,2,1.5,1.1,2.1,1.8,0.8,0.9,1.1,1,0.4,0.6,
44017,Nitrogen Oxide,2020-02-02,1.7,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.8,3.2,3.8,3.1,4.5,2.9,3,4.5,1.9,1,0.8,0.4,0.4,0.4,0.3,0.4,
