Oakville, (44017) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Oakville (44017)
Address,Eighth Line/Glenashton Dr., Halton Res.
Latitude,43.486917
Longitude,-79.702278
Elevation, 165 metres
Air intake height,12 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44017,Nitrogen Oxides,2020-01-01,3,2.4,2.2,2.3,2.1,2.3,2.5,3.1,2.5,2.2,2.3,2.2,2.1,2.2,2.5,2.6,3.5,5.4,6.8,8.6,11.3,7.5,6.5,6.8,
44017,Nitrogen Oxides,2020-01-02,6,5.1,6.2,8.1,5.4,5.1,6.6,7.9,7.2,6.3,7,7.1,7,6.6,5.9,7.2,6.2,6.7,7.7,8.1,9.6,9.3,10.9,17.6,
44017,Nitrogen Oxides,2020-01-03,16.6,7.6,5.1,6.1,8.6,8.8,12.3,15.8,13.3,13.9,13.1,9.7,8.8,7.2,6.9,6,5.1,5.8,7.9,8.7,9.3,16.1,13.7,12.6,
44017,Nitrogen Oxides,2020-01-04,13.5,14.3,10.5,9,10.9,13.4,13.3,17.1,15.7,13.1,11.7,8.6,6.8,4,3.4,2.8,3.2,3.2,3.3,2.9,2.8,2.6,2.4,1.7,
44017,Nitrogen Oxides,2020-01-05,1.6,1.7,1.9,2.2,1.7,1.8,1.7,2.1,3.5,2.8,3,3.3,4,3.2,3.4,3,4.5,4.3,4.3,10.2,7.9,8.3,6.6,8.1,
44017,Nitrogen Oxides,2020-01-06,10.6,8.4,5.6,3.7,2.9,2.9,3.1,4.4,5.2,4.4,3.7,3.9,3.6,3.3,3.2,3.6,4.9,5.3,3.3,2.5,5.1,4.6,6.6,8.7,
44017,Nitrogen Oxides,2020-01-07,10.3,9.8,12.8,16.1,6.8,7.1,28,52.5,62.4,37.2,30.5,55.8,18,10,9.4,8,8.6,14.5,12,11.4,9.5,8.9,7,6.3,
44017,Nitrogen Oxides,2020-01-08,6.2,5.4,5.1,3.6,4.3,3.3,3.8,5.1,5.8,3.9,3.6,3.1,2.3,2.5,2.6,3.1,2.5,3,3.1,2.4,1.8,1.6,1.9,2.8,
44017,Nitrogen Oxides,2020-01-09,3,6,12.6,33.1,25.9,36.6,49.6,64.3,61.9,27.9,7.6,8.4,10.8,8.2,6.1,6.9,7.7,8.3,6.8,7.3,8,9.3,15.6,20.4,
44017,Nitrogen Oxides,2020-01-10,17.8,19,6.6,4.8,4.2,4.7,5.5,6.9,9.8,8.4,6.5,6.4,7.3,7,6.5,6.7,8.8,15.8,17.7,21.5,24,25.7,33.7,14.2,
44017,Nitrogen Oxides,2020-01-11,8,6.4,5.9,6,6.9,13.5,12.4,8.9,6.7,5.5,8.8,5.8,5.1,5.6,6.5,7.8,7.3,6.6,7.2,9.1,9,10.9,4.9,2.5,
44017,Nitrogen Oxides,2020-01-12,1.7,5.6,7.7,6.9,6.3,3.6,1.7,1.8,1.8,1.6,1.9,2,2.1,2.1,2.6,2.7,3.1,2.5,2.2,3.6,6.1,9.1,16.9,12.3,
44017,Nitrogen Oxides,2020-01-13,7.3,14.1,13.4,11.9,10.5,18.1,25.5,28,32.7,41.7,42.9,42.3,47.7,54.3,42,38.3,42.1,32.6,14.5,12.7,10.7,11,13,22.8,
44017,Nitrogen Oxides,2020-01-14,40.2,40.7,13.8,8.2,21,19.8,6.9,6.6,7,6.2,6.3,7.9,15.2,8.6,7.7,9.8,15,17.1,26.9,26.9,8.8,6.8,6,4.8,
44017,Nitrogen Oxides,2020-01-15,4.5,3.5,3.3,3.5,3.4,4,7,10.5,21.5,16.8,6,4.4,7.4,8.2,7.3,13.9,12.5,14.2,15.7,13.2,12.3,7.4,10.1,6.8,
44017,Nitrogen Oxides,2020-01-16,8.3,28.5,17.8,15.7,12.3,8.8,7.6,4.4,5.3,4.8,4,3.7,3.1,2.8,2.4,2.3,2.3,2.7,2.8,2.5,2.5,4,6.1,5.7,
44017,Nitrogen Oxides,2020-01-17,5.2,5.1,4.5,5.3,5.4,6.8,8.5,11.9,19.2,18.7,21.6,20.2,19.6,21.6,23.9,26.3,26.6,21.6,18.5,12.2,10.7,8.8,6.7,5.4,
44017,Nitrogen Oxides,2020-01-18,4.5,3.8,4.9,3.9,4.2,4.5,5.5,7.4,9.9,5.3,5.5,5.9,5.9,6.2,5.9,6.5,6.6,9,16.4,14.9,5.7,5.2,3.8,3.9,
44017,Nitrogen Oxides,2020-01-19,3.9,3.6,3.4,3.6,3.5,3.6,3.9,4.3,4.4,3.3,3.1,2.6,2.9,3.4,2.4,1.8,2,4.9,5.6,6.3,7.8,6.6,7.2,6.6,
44017,Nitrogen Oxides,2020-01-20,8.8,9.3,8.5,8.5,9.6,10.7,12.9,36.5,28.9,19.5,18.4,15.9,9.6,6,3.9,4.2,5.1,8.3,8.5,9.2,10.4,10.7,8.9,8.6,
44017,Nitrogen Oxides,2020-01-21,10.6,9,11.9,8.9,8,9.8,14.1,13.1,10.1,16.4,7.6,6.6,6.3,6,4.8,5.3,5.5,5.2,5.7,5.6,5.7,6.8,8.8,9.5,
44017,Nitrogen Oxides,2020-01-22,7.2,5.9,5.8,6.3,6.6,7.1,8.3,8.3,7.9,7.7,8,9.7,8.9,7.7,8,7.8,10.1,11.4,12,11.2,11.2,12,10.1,13.6,
44017,Nitrogen Oxides,2020-01-23,15.6,13.5,15.8,13.1,16.4,29.1,44.5,56.4,56.9,46,64.7,88.1,55.3,41.7,36.4,33,31.1,40.3,31.1,23.5,22.4,24.5,24.8,22.6,
44017,Nitrogen Oxides,2020-01-24,30.6,43.2,44.2,27.6,19.7,12.3,14.8,12.8,12.6,13.3,11.9,9.8,9.1,9.2,9.3,9.2,9.8,10.2,9.3,7.6,6.7,6,6.2,5.6,
44017,Nitrogen Oxides,2020-01-25,5.4,8.2,12,10.3,17.2,12,12.2,19,22.1,21,18.7,21.6,10.6,8.9,13.1,12.9,6.3,6,6.7,5.9,5.2,6.7,10.9,8.2,
44017,Nitrogen Oxides,2020-01-26,8.2,6.2,6.6,7.2,7.4,6.6,7.7,8.9,9.6,9.2,8.5,6.2,5.1,4.7,5.9,6,5.9,5.9,6.1,5.4,5.5,4.6,3.7,3.2,
44017,Nitrogen Oxides,2020-01-27,2.3,2.4,2.8,2.6,3.1,4.4,6.6,5.9,7.6,11.1,6.9,3,2.9,3,3,3.5,3.7,3.6,4.2,3,3.6,3,3.1,3.3,
44017,Nitrogen Oxides,2020-01-28,3.4,3.4,2.5,1.6,2.5,2.7,3.8,5.9,4,4.2,4.1,3.5,3.2,2.8,2.7,2.6,2.5,2.4,2.9,2.6,2,2.1,2.7,2.1,
44017,Nitrogen Oxides,2020-01-29,1.7,2.5,3.3,6.2,8,7.9,9.1,6.4,12,10.2,-999,-999,6.4,6.9,14.7,18.1,18.5,24.1,22.9,32.5,39.5,40.8,29.6,25.8,
44017,Nitrogen Oxides,2020-01-30,32.1,35.8,45.3,41.6,44.3,46.6,48.4,47.3,22.1,7.4,7.4,5.9,5.6,4.2,4.2,4.8,5,7.6,7.5,10.4,12.2,6.2,4.4,5.3,
44017,Nitrogen Oxides,2020-01-31,6.8,9.6,13.8,16.9,18.4,16.1,21.8,26.7,38.6,30.6,9.8,9.3,7.1,6.6,5.8,5.3,5.1,5.4,7,8.8,17,22.5,25.5,19.3,
