Oakville, (44017) Hourly, Ground-level ozone (O3) Concentrations
Station,Oakville (44017)
Address,Eighth Line/Glenashton Dr., Halton Res.
Latitude,43.486917
Longitude,-79.702278
Elevation, 165 metres
Air intake height,12 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44017,Ozone,2020-01-01,26,27,28,29,29,29,29,28,29,28,28,31,35,34,33,33,33,31,29,27,23,26,26,26,
44017,Ozone,2020-01-02,27,28,26,24,28,29,28,28,27,26,26,26,26,27,27,26,29,28,27,26,24,24,21,16,
44017,Ozone,2020-01-03,15,22,24,22,19,18,15,11,11,12,13,17,18,20,22,23,26,27,23,23,23,16,19,20,
44017,Ozone,2020-01-04,20,18,23,26,23,19,19,14,17,17,19,22,23,26,26,27,29,28,26,25,24,25,26,27,
44017,Ozone,2020-01-05,28,28,27,28,31,31,31,32,29,28,27,30,30,30,30,31,31,33,33,28,27,26,27,25,
44017,Ozone,2020-01-06,21,22,23,22,24,25,25,25,27,27,26,26,25,24,27,30,31,31,36,37,34,34,32,29,
44017,Ozone,2020-01-07,27,26,23,19,26,25,10,3,2,6,11,13,16,22,23,25,26,21,22,20,21,22,26,27,
44017,Ozone,2020-01-08,27,26,27,34,34,35,34,32,29,28,27,24,22,22,27,29,30,32,31,32,33,34,34,33,
44017,Ozone,2020-01-09,33,31,23,7,12,5,1,1,3,19,28,27,26,26,28,28,28,28,29,28,27,25,19,14,
44017,Ozone,2020-01-10,16,15,27,30,30,29,27,25,20,21,23,24,24,25,26,26,22,16,12,9,5,3,1,13,
44017,Ozone,2020-01-11,19,23,22,22,21,18,20,25,28,28,23,24,24,17,15,15,16,18,18,21,22,20,23,23,
44017,Ozone,2020-01-12,26,23,19,20,21,24,28,30,31,31,31,29,30,30,31,31,31,33,33,32,30,27,22,23,
44017,Ozone,2020-01-13,26,19,20,22,25,15,9,5,6,6,7,8,6,4,5,4,2,2,9,10,12,12,9,3,
44017,Ozone,2020-01-14,0,1,13,18,10,11,21,20,20,20,20,19,15,18,19,17,12,9,3,3,14,20,23,25,
44017,Ozone,2020-01-15,25,26,26,25,26,25,22,19,11,14,22,25,23,23,24,20,20,18,16,19,20,24,21,24,
44017,Ozone,2020-01-16,21,2,6,7,10,14,19,29,29,30,31,31,30,31,28,31,32,31,30,30,30,29,28,29,
44017,Ozone,2020-01-17,31,33,33,32,32,30,29,26,20,23,22,24,24,23,21,19,17,20,23,27,28,29,31,32,
44017,Ozone,2020-01-18,34,35,33,33,31,31,30,29,27,30,29,28,28,28,28,27,26,23,17,16,21,19,22,22,
44017,Ozone,2020-01-19,22,23,23,23,23,22,22,22,24,31,31,31,31,31,32,34,36,35,34,34,33,34,34,35,
44017,Ozone,2020-01-20,33,31,32,31,29,28,26,9,16,24,26,27,31,35,38,38,37,34,35,33,31,30,32,32,
44017,Ozone,2020-01-21,30,31,29,32,34,31,27,27,31,30,34,35,36,36,38,37,38,38,38,38,38,36,32,32,
44017,Ozone,2020-01-22,35,37,36,34,33,32,30,29,29,29,29,29,31,32,33,34,31,30,29,29,29,28,29,26,
44017,Ozone,2020-01-23,23,25,22,23,20,9,2,1,4,8,7,6,9,11,13,13,10,3,7,13,14,14,15,16,
44017,Ozone,2020-01-24,10,3,3,10,18,24,22,25,25,26,27,29,30,30,30,30,28,28,29,31,32,32,32,32,
44017,Ozone,2020-01-25,32,29,24,25,16,19,20,16,14,17,20,18,27,28,26,23,20,18,17,19,19,17,12,12,
44017,Ozone,2020-01-26,12,13,11,10,9,9,7,7,7,9,12,17,22,24,21,19,19,18,18,20,21,24,24,22,
44017,Ozone,2020-01-27,22,22,22,23,22,20,17,17,17,16,21,27,28,28,29,29,29,30,30,32,30,31,30,29,
44017,Ozone,2020-01-28,30,30,34,40,38,38,38,35,36,35,35,38,40,41,40,37,37,38,37,37,37,37,36,37,
44017,Ozone,2020-01-29,38,37,36,32,30,31,30,33,28,31,-999,-999,34,33,30,27,25,19,18,9,4,3,9,11,
44017,Ozone,2020-01-30,7,5,1,2,1,1,1,1,23,32,33,34,34,36,35,35,34,32,33,31,29,34,35,34,
44017,Ozone,2020-01-31,30,26,22,18,16,18,12,10,7,13,28,29,31,31,33,34,34,34,33,29,21,14,10,15,
44017,Ozone,2020-02-01,14,4,8,12,8,5,12,6,4,11,17,20,20,23,27,27,24,24,26,25,21,22,23,21,
44017,Ozone,2020-02-02,20,18,21,21,20,22,21,21,20,17,17,19,17,20,20,17,14,10,10,14,13,15,15,16,
44017,Ozone,2020-02-03,25,28,29,30,32,35,34,32,28,31,34,34,35,35,36,37,37,34,17,2,1,20,21,20,
44017,Ozone,2020-02-04,26,14,5,8,16,23,24,26,28,28,30,31,32,33,34,34,33,32,33,33,35,35,35,36,
44017,Ozone,2020-02-05,36,36,37,36,36,35,34,31,30,29,28,28,31,31,28,25,24,25,27,30,31,34,37,34,
44017,Ozone,2020-02-06,30,16,18,22,24,23,20,19,21,21,22,22,25,23,25,24,24,25,27,27,27,24,27,27,
44017,Ozone,2020-02-07,26,25,27,30,30,30,30,28,26,27,29,29,31,33,34,35,34,35,35,35,34,34,33,32,
44017,Ozone,2020-02-08,31,31,29,28,22,23,21,16,23,24,26,26,26,25,23,23,27,31,26,30,31,24,26,26,
44017,Ozone,2020-02-09,25,14,2,1,1,1,1,1,6,23,33,32,29,25,25,22,16,17,26,28,29,30,29,29,
44017,Ozone,2020-02-10,28,29,30,30,27,27,24,17,14,25,26,30,31,31,32,32,32,30,24,17,16,24,21,25,
44017,Ozone,2020-02-11,23,24,27,21,15,16,23,31,34,33,35,34,34,36,39,40,40,38,36,37,38,38,38,38,
44017,Ozone,2020-02-12,37,36,35,37,37,37,36,32,32,32,34,35,35,37,38,38,36,33,29,29,29,28,25,27,
44017,Ozone,2020-02-13,29,28,31,32,28,23,17,13,14,20,26,30,27,26,25,27,31,33,32,30,30,30,32,32,
44017,Ozone,2020-02-14,27,26,25,26,26,22,17,14,17,20,19,24,27,27,26,28,27,25,26,25,24,23,22,21,
44017,Ozone,2020-02-15,17,28,29,22,19,20,23,29,32,32,32,33,33,33,34,35,31,30,30,32,33,33,34,34,
44017,Ozone,2020-02-16,34,32,31,31,32,31,30,31,31,32,32,33,35,37,38,39,40,40,37,35,34,35,35,34,
44017,Ozone,2020-02-17,37,28,31,30,25,20,13,14,18,30,32,33,30,31,34,34,36,37,27,36,36,36,36,28,
44017,Ozone,2020-02-18,25,32,28,29,32,30,30,26,21,16,18,25,27,27,27,29,33,36,37,37,39,38,38,38,
44017,Ozone,2020-02-19,38,38,38,38,39,38,37,36,36,37,36,35,35,35,36,36,37,37,36,37,37,39,38,36,
44017,Ozone,2020-02-20,36,35,37,37,36,33,29,23,30,35,36,37,37,37,38,37,36,36,35,34,35,32,31,30,
44017,Ozone,2020-02-21,28,25,23,29,32,31,31,29,31,33,35,37,38,39,39,38,35,34,32,30,30,33,34,34,
44017,Ozone,2020-02-22,33,32,31,31,30,29,28,27,28,28,30,32,34,35,36,36,35,32,31,31,32,34,34,35,
44017,Ozone,2020-02-23,35,34,34,34,33,32,27,23,26,28,29,33,37,39,42,43,44,44,42,39,39,39,35,38,
44017,Ozone,2020-02-24,37,35,33,29,30,28,23,22,22,24,27,29,34,38,41,47,46,43,36,33,31,34,31,31,
44017,Ozone,2020-02-25,32,34,33,33,33,32,18,13,15,15,24,35,31,35,30,33,35,31,25,24,27,23,24,24,
44017,Ozone,2020-02-26,20,30,33,35,37,30,27,23,25,25,23,25,29,27,28,25,22,20,14,19,24,30,32,33,
44017,Ozone,2020-02-27,34,35,35,35,35,34,35,35,35,35,34,34,35,36,37,38,38,39,39,39,39,39,40,34,
44017,Ozone,2020-02-28,9999,39,38,38,39,39,39,38,38,39,38,38,39,39,39,40,40,40,40,39,37,35,35,35,
44017,Ozone,2020-02-29,34,35,31,29,27,24,20,20,23,29,31,33,34,35,37,39,39,38,38,38,38,36,32,30,
44017,Ozone,2020-03-01,27,26,26,28,29,31,27,26,29,32,33,36,33,38,36,33,33,36,36,38,37,28,22,23,
44017,Ozone,2020-03-02,26,21,22,24,25,22,30,31,35,36,31,36,36,36,35,35,34,31,26,25,23,14,16,8,
