Oakville, (44017) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Oakville (44017)
Address,Eighth Line/Glenashton Dr., Halton Res.
Latitude,43.486917
Longitude,-79.702278
Elevation, 165 metres
Air intake height,12 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44017,Fine Particulate Matter,2020-01-01,2,2,2,2,2,2,1,2,2,2,2,2,2,3,4,4,8,12,12,15,16,11,10,8,
44017,Fine Particulate Matter,2020-01-02,7,7,7,6,5,4,3,3,4,4,4,4,4,4,4,4,5,6,7,7,7,7,7,8,
44017,Fine Particulate Matter,2020-01-03,9,9,10,10,10,11,11,12,16,19,21,18,17,13,11,9,7,7,8,7,7,6,5,5,
44017,Fine Particulate Matter,2020-01-04,5,5,3,3,3,4,5,7,6,6,4,4,3,2,2,1,2,3,4,3,3,3,2,2,
44017,Fine Particulate Matter,2020-01-05,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2,3,5,5,6,5,
44017,Fine Particulate Matter,2020-01-06,6,7,6,6,4,3,2,2,3,4,3,3,3,3,3,3,4,3,2,2,2,2,2,3,
44017,Fine Particulate Matter,2020-01-07,4,4,4,4,4,4,5,6,10,9,10,12,11,9,9,9,7,7,7,8,11,12,9,9,
44017,Fine Particulate Matter,2020-01-08,9,9,10,4,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,3,2,2,2,
44017,Fine Particulate Matter,2020-01-09,3,3,4,4,4,4,5,7,4,3,2,2,3,3,2,3,4,5,5,4,4,4,5,5,
44017,Fine Particulate Matter,2020-01-10,7,7,4,4,4,3,3,3,7,7,5,5,5,4,3,5,7,11,15,15,17,18,13,5,
44017,Fine Particulate Matter,2020-01-11,3,2,2,2,2,4,3,2,2,2,1,1,1,1,1,1,1,1,1,2,8,9,6,5,
44017,Fine Particulate Matter,2020-01-12,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,5,6,6,7,7,9,10,10,
44017,Fine Particulate Matter,2020-01-13,5,6,4,4,4,8,10,12,10,10,10,11,13,15,14,14,15,14,11,9,7,5,6,11,
44017,Fine Particulate Matter,2020-01-14,19,18,11,10,10,9,6,6,7,8,9,9,13,11,11,11,14,15,18,17,16,9,7,7,
44017,Fine Particulate Matter,2020-01-15,7,4,5,5,4,4,4,4,5,4,3,3,4,4,6,7,7,8,8,8,6,5,5,5,
44017,Fine Particulate Matter,2020-01-16,6,8,11,14,16,14,7,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,
44017,Fine Particulate Matter,2020-01-17,3,3,2,2,2,3,3,4,3,2,3,2,2,3,3,4,5,6,6,6,6,5,5,5,
44017,Fine Particulate Matter,2020-01-18,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,3,3,6,7,2,2,2,2,
44017,Fine Particulate Matter,2020-01-19,4,5,6,6,6,6,6,8,7,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,
44017,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,3,4,6,6,6,4,3,2,2,2,3,5,6,6,6,5,5,5,
44017,Fine Particulate Matter,2020-01-21,6,6,5,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,4,5,6,7,7,
44017,Fine Particulate Matter,2020-01-22,7,7,9,11,12,13,13,12,14,13,12,11,11,10,10,10,10,11,11,11,10,10,10,10,
44017,Fine Particulate Matter,2020-01-23,10,11,12,12,12,13,14,16,18,19,19,22,21,18,17,16,17,20,19,17,15,13,13,14,
44017,Fine Particulate Matter,2020-01-24,17,19,19,20,13,11,10,9,10,9,9,9,9,10,11,11,12,13,12,10,10,8,7,7,
44017,Fine Particulate Matter,2020-01-25,9,9,7,7,8,9,8,9,6,6,6,6,6,6,6,9,7,9,10,9,9,9,10,10,
44017,Fine Particulate Matter,2020-01-26,7,5,5,5,5,8,10,11,9,8,8,7,7,6,6,6,5,4,4,3,2,2,2,2,
44017,Fine Particulate Matter,2020-01-27,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,
44017,Fine Particulate Matter,2020-01-28,5,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,
44017,Fine Particulate Matter,2020-01-29,2,2,3,3,3,3,3,3,3,3,-999,-999,3,3,4,4,4,5,7,8,8,8,7,6,
44017,Fine Particulate Matter,2020-01-30,8,8,9,9,9,10,9,10,8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
44017,Fine Particulate Matter,2020-01-31,7,9,10,11,10,11,11,11,12,12,8,8,7,6,6,6,7,8,8,9,12,13,15,15,
44017,Fine Particulate Matter,2020-02-01,17,19,22,22,20,17,18,19,21,23,23,20,15,11,11,14,12,11,10,11,11,13,14,13,
44017,Fine Particulate Matter,2020-02-02,14,15,16,16,14,11,10,11,14,15,14,8,6,7,8,8,11,11,11,11,12,15,15,13,
44017,Fine Particulate Matter,2020-02-03,9,10,8,6,4,2,2,2,2,3,2,2,2,2,3,3,3,4,5,6,7,5,5,4,
44017,Fine Particulate Matter,2020-02-04,3,4,5,5,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,
44017,Fine Particulate Matter,2020-02-05,2,1,1,1,1,1,1,2,2,2,3,3,3,2,3,3,3,3,3,3,4,3,2,3,
44017,Fine Particulate Matter,2020-02-06,3,4,5,4,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,
44017,Fine Particulate Matter,2020-02-07,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,
44017,Fine Particulate Matter,2020-02-08,3,3,4,4,4,3,4,4,4,4,5,5,5,5,6,5,3,3,8,5,5,7,5,5,
44017,Fine Particulate Matter,2020-02-09,5,8,11,14,13,11,10,9,8,7,6,7,8,11,13,16,18,26,20,13,10,6,7,6,
44017,Fine Particulate Matter,2020-02-10,5,4,3,3,3,4,5,6,8,11,9,7,4,3,3,3,4,4,5,9,9,8,9,9,
44017,Fine Particulate Matter,2020-02-11,11,11,9,15,17,17,11,7,6,6,7,8,9,9,9,9,10,12,14,10,9,8,8,7,
44017,Fine Particulate Matter,2020-02-12,6,5,5,5,5,6,7,9,11,13,12,11,11,9,8,8,9,11,13,13,13,13,13,13,
44017,Fine Particulate Matter,2020-02-13,14,15,11,10,13,15,17,18,16,15,13,11,7,3,3,3,2,2,2,2,3,3,3,3,
44017,Fine Particulate Matter,2020-02-14,4,4,4,3,3,3,4,5,5,5,5,4,3,3,4,4,5,6,5,6,7,7,6,6,
44017,Fine Particulate Matter,2020-02-15,6,5,4,5,5,5,4,4,3,4,4,4,4,4,4,5,7,7,7,6,6,6,6,7,
44017,Fine Particulate Matter,2020-02-16,9,12,16,17,15,15,15,14,12,11,10,9,8,8,8,8,8,9,10,10,12,12,11,12,
44017,Fine Particulate Matter,2020-02-17,13,11,5,5,7,5,6,7,6,3,3,3,4,4,4,4,4,5,11,4,5,5,5,7,
44017,Fine Particulate Matter,2020-02-18,12,6,6,7,5,5,6,9,10,12,10,9,8,7,6,4,4,4,4,4,3,3,3,3,
44017,Fine Particulate Matter,2020-02-19,3,3,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,
44017,Fine Particulate Matter,2020-02-20,4,4,4,4,4,4,5,6,4,3,2,2,2,2,2,2,2,2,3,3,3,4,4,3,
44017,Fine Particulate Matter,2020-02-21,5,5,5,4,4,4,5,5,6,7,6,5,5,4,4,4,8,9,10,10,9,7,6,6,
44017,Fine Particulate Matter,2020-02-22,7,8,8,8,8,8,7,7,8,9,9,9,9,9,10,9,9,10,11,11,11,11,10,10,
44017,Fine Particulate Matter,2020-02-23,9,9,9,9,9,9,9,10,11,11,10,9,8,8,8,7,8,8,9,9,8,7,7,7,
44017,Fine Particulate Matter,2020-02-24,7,8,9,9,10,11,12,13,15,17,18,18,16,15,15,14,15,16,14,12,9,8,7,6,
44017,Fine Particulate Matter,2020-02-25,6,5,4,4,5,6,8,8,9,10,10,7,10,7,7,7,5,5,6,6,5,5,5,5,
44017,Fine Particulate Matter,2020-02-26,6,6,4,4,4,5,5,6,6,7,8,8,6,6,6,6,6,6,7,6,5,4,4,3,
44017,Fine Particulate Matter,2020-02-27,3,3,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,4,4,4,4,3,3,3,
44017,Fine Particulate Matter,2020-02-28,3,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,
44017,Fine Particulate Matter,2020-02-29,3,3,3,4,4,4,4,4,4,3,2,2,2,3,3,2,2,3,3,3,3,4,5,5,
44017,Fine Particulate Matter,2020-03-01,5,5,6,6,6,6,5,5,5,5,5,4,5,5,6,8,7,7,8,8,9,11,10,9,
44017,Fine Particulate Matter,2020-03-02,7,7,6,5,5,5,6,7,8,9,8,5,5,6,5,6,9,9,12,21,25,25,24,24,
44017,Fine Particulate Matter,2020-03-03,25,23,24,19,16,16,16,16,21,18,12,10,7,5,10,11,12,11,13,16,18,18,13,7,
44017,Fine Particulate Matter,2020-03-04,6,7,7,7,7,6,7,7,7,5,7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
44017,Fine Particulate Matter,2020-03-05,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6,6,5,6,5,6,6,8,8,8,8,7,8,
44017,Fine Particulate Matter,2020-03-06,10,7,7,7,8,6,7,7,7,6,6,6,7,5,4,3,4,4,4,4,4,3,3,3,
44017,Fine Particulate Matter,2020-03-07,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,5,6,9,9,8,8,8,
44017,Fine Particulate Matter,2020-03-08,9,10,-999,-999,9,10,9,8,8,7,7,6,7,7,7,5,4,4,4,5,5,4,4,4,
44017,Fine Particulate Matter,2020-03-09,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,8,10,11,11,11,11,9,8,9,
44017,Fine Particulate Matter,2020-03-10,10,11,10,6,6,6,5,5,5,4,4,3,4,5,6,10,12,8,7,8,9,8,7,7,
44017,Fine Particulate Matter,2020-03-11,6,6,6,6,5,5,5,6,9,9,7,6,6,5,5,5,5,5,4,4,4,4,4,4,
44017,Fine Particulate Matter,2020-03-12,6,6,6,6,7,6,6,6,6,7,7,8,11,11,8,6,6,6,6,7,8,8,8,8,
44017,Fine Particulate Matter,2020-03-13,9,9,9,9,8,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,
44017,Fine Particulate Matter,2020-03-14,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,
44017,Fine Particulate Matter,2020-03-15,5,5,5,5,5,4,4,3,3,3,2,2,2,2,3,2,2,2,3,5,4,5,4,4,
44017,Fine Particulate Matter,2020-03-16,4,5,5,4,3,3,3,3,2,3,3,3,3,3,3,3,5,6,7,7,8,8,8,12,
44017,Fine Particulate Matter,2020-03-17,13,11,10,11,11,11,13,15,14,12,10,9,6,4,4,3,3,3,3,5,4,4,5,5,
44017,Fine Particulate Matter,2020-03-18,5,4,4,4,4,5,6,6,3,2,4,6,3,3,3,3,4,4,5,4,4,5,5,5,
44017,Fine Particulate Matter,2020-03-19,5,6,6,6,6,7,7,8,14,26,21,21,15,16,18,19,17,18,17,12,11,7,5,4,
44017,Fine Particulate Matter,2020-03-20,4,6,6,2,1,1,2,2,2,2,2,3,5,4,4,4,5,5,6,5,5,5,4,4,
44017,Fine Particulate Matter,2020-03-21,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,4,5,6,9,6,6,5,5,
44017,Fine Particulate Matter,2020-03-22,3,3,3,3,4,4,4,3,2,2,2,2,2,3,2,2,3,4,4,5,5,5,6,5,
44017,Fine Particulate Matter,2020-03-23,4,5,6,6,5,9,6,7,8,8,7,6,7,7,5,4,4,10,9,9,8,9,9,8,
44017,Fine Particulate Matter,2020-03-24,9,8,5,5,5,5,5,6,6,7,9,9,9,10,9,9,10,10,9,9,6,6,4,3,
44017,Fine Particulate Matter,2020-03-25,4,5,5,5,5,5,6,6,6,6,5,5,5,6,5,6,4,4,5,7,8,9,10,11,
44017,Fine Particulate Matter,2020-03-26,14,15,14,14,12,11,10,11,10,6,5,7,9,11,14,15,14,10,12,14,9,6,3,3,
44017,Fine Particulate Matter,2020-03-27,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,8,8,7,8,8,7,7,6,
44017,Fine Particulate Matter,2020-03-28,7,6,5,5,5,4,4,4,5,6,6,6,5,5,4,4,5,6,6,5,4,4,4,3,
44017,Fine Particulate Matter,2020-03-29,3,3,4,4,3,2,2,2,2,2,2,3,4,4,3,3,4,3,3,4,4,4,3,3,
44017,Fine Particulate Matter,2020-03-30,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,5,4,
44017,Fine Particulate Matter,2020-03-31,3,3,3,2,2,2,3,3,3,4,3,4,5,4,4,5,4,7,7,4,4,4,3,3,
44017,Fine Particulate Matter,2020-04-01,2,2,2,3,3,3,3,3,4,5,4,4,3,4,4,4,3,4,5,6,7,4,4,4,
44017,Fine Particulate Matter,2020-04-02,3,3,4,4,4,4,4,4,2,2,5,6,6,6,6,6,5,5,5,6,4,2,3,3,
44017,Fine Particulate Matter,2020-04-03,4,5,4,5,5,5,4,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,
44017,Fine Particulate Matter,2020-04-04,4,4,3,3,3,3,3,2,2,2,3,4,5,4,4,5,4,5,6,6,6,6,6,5,
44017,Fine Particulate Matter,2020-04-05,8,9,8,10,7,5,4,4,4,4,3,3,3,3,3,4,4,4,5,7,4,4,4,4,
44017,Fine Particulate Matter,2020-04-06,4,4,4,4,4,4,4,3,3,2,2,3,3,3,3,3,4,5,5,6,6,5,5,5,
44017,Fine Particulate Matter,2020-04-07,5,5,6,6,6,7,7,8,7,5,4,4,5,5,6,7,8,8,8,8,8,6,7,8,
44017,Fine Particulate Matter,2020-04-08,7,8,8,8,7,7,10,12,11,8,9,7,7,8,7,6,5,5,6,6,6,7,8,8,
44017,Fine Particulate Matter,2020-04-09,9,7,7,13,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,3,3,2,2,2,
44017,Fine Particulate Matter,2020-04-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
44017,Fine Particulate Matter,2020-04-11,4,4,5,4,4,4,4,3,2,2,2,2,2,2,2,3,3,4,5,7,8,8,9,12,
44017,Fine Particulate Matter,2020-04-12,10,9,8,8,8,9,10,10,9,9,8,9,8,8,7,8,7,8,8,8,8,7,7,7,
44017,Fine Particulate Matter,2020-04-13,7,7,6,5,4,4,4,4,4,3,2,3,5,5,6,6,6,6,6,6,6,5,5,5,
44017,Fine Particulate Matter,2020-04-14,5,5,5,5,4,4,4,4,3,3,3,2,3,3,3,4,5,6,6,5,4,4,4,4,
44017,Fine Particulate Matter,2020-04-15,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,4,4,4,
44017,Fine Particulate Matter,2020-04-16,4,5,5,5,5,4,4,4,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,5,
44017,Fine Particulate Matter,2020-04-17,5,5,5,6,6,6,5,5,4,3,3,3,3,4,5,6,6,6,6,5,5,7,9,10,
44017,Fine Particulate Matter,2020-04-18,8,9,9,8,8,8,8,7,7,7,7,7,6,7,9,9,9,10,10,13,11,9,10,9,
44017,Fine Particulate Matter,2020-04-19,8,8,9,9,9,9,10,10,10,11,12,11,11,11,10,7,3,3,3,3,3,4,4,4,
44017,Fine Particulate Matter,2020-04-20,4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,5,6,6,7,8,6,6,6,
