Milton, (44029) Hourly, Nitric oxide (NO) Concentrations
Station,Milton (44029)
Address,1120 Main St. E.
Latitude,43.52965
Longitude,-79.862449
Elevation, 206 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44029,Nitrogen Oxide,2020-01-01,0.3,0.3,0.4,0.3,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.4,0.2,0.1,0.1,0.2,0.3,0.2,0.1,
44029,Nitrogen Oxide,2020-01-02,0.6,0.2,0.2,0.5,0.1,0.5,0.6,0.8,1.2,1,0.6,0.8,0.7,0.8,0.9,0.7,0.4,0.4,0.4,0.3,0.4,0.2,0.2,0.2,
44029,Nitrogen Oxide,2020-01-03,0.2,0.2,0.2,0.2,0.4,0.5,0.7,1.3,2.3,1.8,1.6,1.5,1.3,0.9,0.9,0.6,0.5,0.4,0.5,0.5,0.7,1,0.7,0.6,
44029,Nitrogen Oxide,2020-01-04,0.6,0.5,0.5,0.6,0.6,0.5,0.4,0.5,0.8,1.5,1.8,1.6,0.9,0.6,0.7,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.2,0.1,
44029,Nitrogen Oxide,2020-01-05,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.4,0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.5,
44029,Nitrogen Oxide,2020-01-06,0.2,2,0.2,9999,0.5,0.5,0.5,0.7,0.9,1.4,1.4,1.2,1.3,1.4,1.4,1.1,0.6,0.4,0.3,0.2,0.2,0.3,0.1,0.4,
44029,Nitrogen Oxide,2020-01-07,0.3,0.2,0.3,0.6,0.5,0.8,6.5,8.1,6.2,2.8,5.4,5.1,2.7,2.5,1.7,1.5,0.7,0.8,1.5,0.5,0.6,1.8,0.6,0.7,
44029,Nitrogen Oxide,2020-01-08,0.8,0.5,0.3,0.2,0.3,0.3,0.9,2.1,2.3,2.3,1.8,2.3,2.2,2.5,2.4,1.3,0.8,0.5,0.5,0.4,0.4,0.3,0.3,0.5,
44029,Nitrogen Oxide,2020-01-09,0.4,0.9,1.7,8.9,26.4,22.9,47.2,46.6,62.3,43.1,13.5,1.4,2,2.9,1.6,1.1,1.3,1.2,0.8,0.9,0.8,0.3,0.9,1.2,
44029,Nitrogen Oxide,2020-01-10,1.3,0.5,0.1,0.2,0.2,0.2,0.2,0.7,2.8,0.6,0.5,0.6,0.7,0.6,0.5,0.6,0.4,0.9,2.2,0.8,0.6,3.9,2.2,1.5,
44029,Nitrogen Oxide,2020-01-11,1.1,0.5,0.7,2.8,0.5,0.3,0.2,0.2,0.3,0.4,0.5,0.7,1,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.8,1.2,
44029,Nitrogen Oxide,2020-01-12,0.7,0.7,0.7,0.7,0.6,0.3,0.3,0.5,0.4,0.5,0.7,0.9,0.9,0.7,0.8,0.7,0.3,0.2,0.2,0.4,0.5,0.9,0.6,0.6,
44029,Nitrogen Oxide,2020-01-13,0.5,0.5,0.6,9999,0.8,1.3,3.5,7.1,10.1,13.8,13.6,27.6,24.8,20,13.5,9.8,10.6,10,1.4,1.3,1.2,0.7,1.2,3,
44029,Nitrogen Oxide,2020-01-14,6.6,4.3,7.6,8.2,0.9,1,1.8,2.7,1.3,2.8,1.8,1.7,1.6,1.6,1.5,1.1,1.2,1.4,3.1,1.9,0.8,0.6,0.5,0.4,
44029,Nitrogen Oxide,2020-01-15,0.3,0.3,0.3,0.3,0.4,0.3,0.7,2.9,4.7,1.7,0.8,0.9,0.9,0.6,0.5,0.5,0.9,1.1,2.3,1.1,1.1,1.1,0.7,0.8,
44029,Nitrogen Oxide,2020-01-16,1.1,2,1.4,1.4,0.7,0.8,0.7,1,1.8,0.9,1.2,1.5,1.2,1.4,1.1,1.1,0.7,0.7,0.6,0.6,0.4,0.4,0.2,0.6,
