Milton, (44029) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Milton (44029)
Address,1120 Main St. E.
Latitude,43.52965
Longitude,-79.862449
Elevation, 206 metres
Air intake height,4 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44029,Nitrogen Dioxide,2020-01-01,3.3,4.3,4.1,2.9,3.2,3.9,3.8,4.6,4.9,3.5,3.6,3.1,3,2.5,2.7,3.2,4.3,6.1,7,5.9,4.4,5,4.1,5.5,
44029,Nitrogen Dioxide,2020-01-02,7.9,5.7,4.7,5.8,4.5,9.2,8.6,9.5,9.4,5.4,5.4,4.8,4.7,5.2,4.9,5.2,5.6,6.5,6.7,6.2,6.5,5.8,6.1,5.8,
44029,Nitrogen Dioxide,2020-01-03,5.6,4.6,4.7,6.7,9.6,9.1,9.5,15.8,19.5,13.2,9.5,8.5,8.6,7.2,8.1,6.7,7.2,12.3,13.8,11.5,14.5,16,10.9,8.1,
44029,Nitrogen Dioxide,2020-01-04,8.6,7.8,8.5,8.2,9,12.6,12.2,9.5,8.7,9.6,8.1,7.6,5.1,4.4,3.6,2.8,4.4,4.9,5.2,4.1,5.6,2.6,2.6,1.6,
44029,Nitrogen Dioxide,2020-01-05,1.6,2,2.4,2.2,1.7,2.2,2.2,2.3,5,4.2,3.6,3.7,3.5,3.4,3.9,4.1,3.3,3,3.4,5.9,4.6,4.6,4.3,5.1,
44029,Nitrogen Dioxide,2020-01-06,4.9,6,4.5,9999,4.5,4.7,5.2,6.9,6.6,5.9,4.9,3.6,3.8,3.7,4.3,5.3,6.7,6.3,4.3,4.3,9.1,9.7,9.7,9.2,
44029,Nitrogen Dioxide,2020-01-07,9.3,10.2,9.8,11.7,14.8,15.6,24.8,24.6,22.9,12.6,12.2,9.6,6.6,7.2,5.8,6.8,7.9,11.6,12.9,9.6,9.6,10.6,11.3,10.1,
44029,Nitrogen Dioxide,2020-01-08,12.5,8.5,6,3.6,6.3,4.2,7.1,9.8,9,7.5,5,4.7,3.9,4.6,4.8,4.7,3.7,4.4,5.4,3.7,3.1,3.8,4.1,4.6,
44029,Nitrogen Dioxide,2020-01-09,6.8,9.8,22.3,36.2,35.8,35,39.1,40.4,39.8,32.2,17.1,3.9,5.7,6.8,5.7,5.7,10.1,12.2,10.1,9.2,10.2,11.7,22.4,27,
44029,Nitrogen Dioxide,2020-01-10,21.3,5.7,4.3,3.8,3.6,3.3,3.4,5.5,8.2,5.9,6.2,6.5,6,6.4,6.5,9.1,11.7,14.9,15.6,13.2,14.7,20.3,17.8,20.3,
44029,Nitrogen Dioxide,2020-01-11,18.6,11.6,13.6,15.9,11.3,7.1,3.8,4.7,3.5,5.4,6.2,7.9,9,3.4,3.8,4.7,4.1,4.3,4.9,5.5,7.2,8.7,11.5,8.3,
44029,Nitrogen Dioxide,2020-01-12,5.5,8.2,7.4,5.6,4.6,2.4,2.2,2.2,2.2,2.3,2.5,2.4,2.4,2.2,2.7,3.1,3.2,2.4,2.6,3.4,4.3,7.2,9.4,13.5,
44029,Nitrogen Dioxide,2020-01-13,12.9,5,5.8,9999,11.3,15.9,26.5,30.7,28.2,26.2,24.1,29,28.4,27.7,24.3,21.8,22.9,22.6,13.2,13.7,14,11.7,14.9,18.8,
44029,Nitrogen Dioxide,2020-01-14,21.4,25.7,27.3,20.1,10.3,9.1,10.7,10.3,6.9,12.9,7.6,7.6,7.4,6.8,7.1,8.2,11.6,18.9,18.6,13.4,10,7,7,7.7,
44029,Nitrogen Dioxide,2020-01-15,5.3,5.4,5.6,5.2,7,6.7,10.4,15.3,21.4,10.7,5.6,4.7,4.5,3.7,4.1,5.2,8.9,11.9,16.7,15.1,13,11,7.6,9.6,
44029,Nitrogen Dioxide,2020-01-16,18.3,22,18.9,15.9,9.4,9.6,7.8,8.4,8.3,5.6,5.4,5.3,3.9,4.7,3.7,3.8,3.1,3.6,3.6,3.6,2.8,3.3,2.9,4.7,
44029,Nitrogen Dioxide,2020-01-17,4,3.7,3.9,4.2,4.5,6.6,11.7,12.4,10.8,7,6,5.7,7.4,8.7,8.3,11.6,22.2,25.2,20.4,12.2,12.7,13.2,17.4,10.2,
44029,Nitrogen Dioxide,2020-01-18,7.8,5,5.1,7.7,12.2,6.9,7.8,5,4.4,7.3,11.4,6.5,8.8,10.8,7,7,7.3,11.2,16.7,15.8,6.9,6.7,5.1,4,
44029,Nitrogen Dioxide,2020-01-19,4.6,4.8,5.7,4,3.8,4,4.2,4.6,4.3,3,2.8,3.1,3.2,2.9,2.8,2.5,2.8,5.1,8,7.3,11.5,12,12.9,6.6,
44029,Nitrogen Dioxide,2020-01-20,8.7,13.4,13.6,9999,27.2,24.9,38,46.7,35.1,24.3,16.3,7.6,4.7,3.9,5.1,5,7.6,10.5,13.6,13.2,21.5,14.5,12.8,28,
44029,Nitrogen Dioxide,2020-01-21,24.9,21.5,12.2,14.2,11.8,12,19.2,16.4,13.4,11.1,12.9,9.5,7.6,9,8.2,6.5,7.5,7.8,6.7,6.3,5.9,8.1,9.8,9.3,
