Milton, (44029) Hourly, Ground-level ozone (O3) Concentrations
Station,Milton (44029)
Address,1120 Main St. E.
Latitude,43.52965
Longitude,-79.862449
Elevation, 206 metres
Air intake height,4 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44029,Ozone,2020-01-01,29,27,28,30,30,29,30,28,28,30,31,34,39,40,38,38,36,32,30,30,30,29,29,26,
44029,Ozone,2020-01-02,24,27,28,27,28,25,26,27,28,32,32,33,33,32,32,31,31,29,29,29,28,27,26,25,
44029,Ozone,2020-01-03,25,25,24,21,17,17,16,10,7,14,19,20,21,23,22,25,26,21,18,23,19,16,21,24,
44029,Ozone,2020-01-04,23,24,24,25,25,22,22,22,23,21,23,23,28,29,29,31,30,27,25,24,22,26,26,28,
44029,Ozone,2020-01-05,30,29,29,31,34,32,30,32,28,28,30,33,32,33,32,32,33,33,32,30,30,29,29,27,
44029,Ozone,2020-01-06,26,25,24,9999,24,24,24,23,27,30,32,34,33,33,34,35,33,33,37,36,31,31,30,31,
44029,Ozone,2020-01-07,30,28,27,23,19,18,10,8,8,17,17,21,26,27,29,30,28,23,21,22,22,24,24,25,
44029,Ozone,2020-01-08,22,24,26,35,33,34,31,28,27,28,29,27,27,27,30,30,32,9999,9999,31,33,33,32,32,
44029,Ozone,2020-01-09,29,26,15,2,2,3,0,1,2,6,20,32,30,29,30,30,26,24,25,25,24,22,12,7,
44029,Ozone,2020-01-10,11,27,29,31,31,31,31,28,24,24,24,24,26,26,26,22,19,15,13,14,12,6,6,4,
44029,Ozone,2020-01-11,7,13,12,10,16,25,31,31,33,29,28,27,22,20,20,19,20,22,24,25,24,22,18,19,
44029,Ozone,2020-01-12,22,20,20,20,23,28,30,32,32,32,32,33,33,33,33,32,33,34,34,33,32,29,27,22,
44029,Ozone,2020-01-13,21,28,26,9999,21,16,7,3,4,6,8,6,6,5,6,5,3,2,10,10,10,13,10,5,
44029,Ozone,2020-01-14,3,2,1,6,15,17,16,17,19,14,19,19,19,19,18,17,14,6,5,9,15,21,23,23,
44029,Ozone,2020-01-15,25,25,25,25,23,23,19,15,9,18,23,25,25,27,27,26,23,19,14,15,17,20,23,20,
44029,Ozone,2020-01-16,11,3,5,7,13,14,21,25,26,30,32,31,31,29,29,32,33,30,29,29,30,30,31,29,
44029,Ozone,2020-01-17,32,34,34,33,33,30,25,24,26,29,30,31,33,32,30,26,16,13,17,25,24,23,19,26,
44029,Ozone,2020-01-18,29,33,33,30,24,28,27,31,32,28,23,28,26,24,28,28,26,22,16,16,20,20,22,22,
44029,Ozone,2020-01-19,22,22,22,23,23,22,22,22,28,34,35,35,35,36,36,37,38,36,33,34,30,30,30,35,
44029,Ozone,2020-01-20,33,28,28,9999,14,16,5,1,10,19,26,34,38,41,40,39,37,34,31,31,23,29,30,16,
