Milton, (44029) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Milton (44029)
Address,1120 Main St. E.
Latitude,43.52965
Longitude,-79.862449
Elevation, 206 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44029,Fine Particulate Matter,2020-01-01,3,4,3,2,2,1,1,2,3,2,2,2,3,3,4,4,11,17,17,17,14,13,11,11,
44029,Fine Particulate Matter,2020-01-02,11,10,8,7,5,4,3,3,3,3,3,3,4,4,4,5,6,7,7,8,8,8,9,9,
44029,Fine Particulate Matter,2020-01-03,10,11,11,11,12,12,13,14,17,22,19,17,14,11,10,7,7,8,9,7,7,6,5,4,
44029,Fine Particulate Matter,2020-01-04,4,3,3,3,3,3,4,3,3,4,4,4,2,1,1,1,1,1,3,1,7,1,1,1,
44029,Fine Particulate Matter,2020-01-05,0,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,7,9,8,7,
44029,Fine Particulate Matter,2020-01-06,7,7,7,6,4,3,2,2,3,3,3,3,3,3,5,5,5,4,3,2,3,3,3,3,
44029,Fine Particulate Matter,2020-01-07,3,3,3,3,4,4,5,6,8,10,12,13,11,10,9,8,8,9,9,10,9,9,7,9,
44029,Fine Particulate Matter,2020-01-08,10,11,11,3,4,1,2,3,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,
44029,Fine Particulate Matter,2020-01-09,3,3,4,4,6,5,7,7,8,8,4,3,4,5,5,4,5,6,5,5,4,5,6,7,
44029,Fine Particulate Matter,2020-01-10,5,3,3,3,4,3,3,3,6,9,10,9,7,6,6,9,15,20,25,28,26,25,16,7,
44029,Fine Particulate Matter,2020-01-11,5,3,2,2,4,2,2,3,4,5,4,3,4,3,2,2,2,2,2,1,2,2,2,1,
44029,Fine Particulate Matter,2020-01-12,1,1,0,1,0,1,1,1,1,2,2,2,5,4,5,6,7,9,7,10,7,7,9,12,
44029,Fine Particulate Matter,2020-01-13,11,6,7,4,7,10,11,10,11,13,16,20,20,22,20,16,17,16,6,4,5,6,6,19,
44029,Fine Particulate Matter,2020-01-14,25,23,20,16,12,11,8,7,8,10,10,10,10,11,12,13,13,13,15,16,13,7,7,8,
44029,Fine Particulate Matter,2020-01-15,6,4,5,5,5,4,4,4,4,4,3,4,5,5,6,7,9,11,15,14,11,8,6,6,
44029,Fine Particulate Matter,2020-01-16,9,11,16,18,18,13,4,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,3,3,
44029,Fine Particulate Matter,2020-01-17,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,7,8,7,6,6,6,6,6,
44029,Fine Particulate Matter,2020-01-18,6,5,6,6,6,6,5,4,4,5,5,5,4,4,3,3,3,3,6,6,2,1,1,1,
44029,Fine Particulate Matter,2020-01-19,2,4,4,5,5,4,5,8,5,2,3,2,2,2,2,2,2,3,4,3,4,4,4,3,
44029,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,4,9,8,5,4,3,2,2,2,3,5,8,10,8,9,6,6,8,
44029,Fine Particulate Matter,2020-01-21,7,6,6,14,5,3,6,4,4,4,4,3,4,4,4,4,4,4,5,6,6,8,9,10,
44029,Fine Particulate Matter,2020-01-22,11,13,15,18,18,17,17,16,17,16,13,11,10,9,10,11,12,14,14,13,12,11,12,13,
44029,Fine Particulate Matter,2020-01-23,12,13,13,13,13,14,16,19,20,18,19,17,16,15,21,25,25,25,24,21,21,22,22,22,
44029,Fine Particulate Matter,2020-01-24,26,27,23,23,23,23,21,17,16,15,13,12,10,10,10,12,13,14,14,13,12,8,7,6,
44029,Fine Particulate Matter,2020-01-25,8,8,6,6,7,8,8,6,5,5,5,5,6,9,9,12,8,9,9,9,11,13,12,7,
44029,Fine Particulate Matter,2020-01-26,9,9,5,6,9,16,15,12,8,7,7,7,8,6,6,5,4,3,2,1,1,2,1,1,
44029,Fine Particulate Matter,2020-01-27,2,2,3,4,3,5,1,1,2,2,3,3,4,4,5,3,3,3,4,4,4,4,4,3,
44029,Fine Particulate Matter,2020-01-28,4,9,2,1,1,1,1,1,5,3,2,3,2,5,3,2,2,2,2,1,1,2,1,1,
44029,Fine Particulate Matter,2020-01-29,1,2,2,3,3,3,2,3,4,4,4,4,4,5,8,8,9,12,9,9,8,7,6,5,
44029,Fine Particulate Matter,2020-01-30,6,5,4,4,4,5,6,9,13,18,10,3,3,7,5,3,3,4,6,7,8,10,8,3,
44029,Fine Particulate Matter,2020-01-31,3,4,7,7,8,9,11,14,17,17,12,12,10,9,7,6,6,7,9,10,13,14,16,16,
44029,Fine Particulate Matter,2020-02-01,17,17,16,15,17,17,20,21,27,28,27,20,18,26,29,15,14,14,11,10,11,12,13,13,
44029,Fine Particulate Matter,2020-02-02,14,15,16,15,11,9,9,10,13,15,13,5,3,5,7,9,9,7,9,11,13,15,13,9,
