Oshawa, (45027) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Oshawa (45027)
Address,Brittania Ave. W., EP Taylor Stables
Latitude,43.952248
Longitude,-78.91252
Elevation, 161 metres
Air intake height,3 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
45027,Nitrogen Dioxide,2020-01-01,1.6,1.3,2.5,1.4,1.9,3,3,2.5,2.3,1.1,1.1,0.9,1.1,1.1,0.9,1.2,1.7,1.7,2,2.6,6.8,10.2,9.6,9.1,
45027,Nitrogen Dioxide,2020-01-02,9.5,10,16.4,17.7,17.3,15.2,9.4,7.7,6.7,5.2,4.6,6.1,6.3,4.8,4.8,4.8,5.1,6.5,6.6,10.1,11.1,9.9,8.7,7.8,
45027,Nitrogen Dioxide,2020-01-03,9,12.4,15.3,14.2,11.9,9.1,12.7,11.1,9.6,6.6,10.8,13.9,8.4,4.9,4.8,4.5,4.6,6.5,2.8,2.7,3.2,3,2.7,2.2,
45027,Nitrogen Dioxide,2020-01-04,2,1.8,3.4,2.2,2,1.3,1.2,1.3,1.2,2.1,1.4,1.7,1.5,1.5,1.4,1,1.2,1.5,1.2,1.5,1.7,1.5,1.4,0.9,
45027,Nitrogen Dioxide,2020-01-05,0.6,0.4,2,0.8,0.6,0.6,0.4,0.4,0.5,0.4,0.6,0.5,0.7,1,1,0.8,0.8,0.8,3.9,6.8,5.9,3.3,2,2.4,
45027,Nitrogen Dioxide,2020-01-06,2.7,3.4,5.5,4.5,5.6,7.6,5.9,5.4,2.7,2,1.8,1.5,1.2,1.4,1.6,1.9,2.5,2.3,1.5,1.2,1.2,1.3,1.3,1.5,
45027,Nitrogen Dioxide,2020-01-07,2,4.2,8.7,7.9,9.9,14.6,23,27.1,25.4,18.9,14.2,16.4,15.7,14,10.3,9.3,10.2,12,13.3,9.1,7.6,10.8,12.7,6.8,
45027,Nitrogen Dioxide,2020-01-08,5.5,6.4,8.2,5.7,3.1,2.1,1.8,1.9,1.9,1.7,1,0.7,0.6,0.6,0.5,0.6,1,1.2,1.4,1.1,0.9,1.3,2.2,1.6,
45027,Nitrogen Dioxide,2020-01-09,2.3,3.1,4.1,4.3,3.3,3.8,5.2,7.2,10,10.9,3.5,2.4,3,2.7,4,4.2,3.4,3.6,4,3.7,4.3,9.7,10.2,5,
45027,Nitrogen Dioxide,2020-01-10,5.1,6.1,7.3,7.3,7.1,5.9,5.3,5.3,6.3,6.1,6.3,7.7,9.3,10.3,12.6,15.5,17.9,19.4,17.6,18.5,13.9,15.9,15,10.3,
