Oshawa, (45027) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Oshawa (45027)
Address,Brittania Ave. W., EP Taylor Stables
Latitude,43.952248
Longitude,-78.91252
Elevation, 161 metres
Air intake height,3 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
45027,Fine Particulate Matter,2020-01-01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,6,7,7,10,10,12,
45027,Fine Particulate Matter,2020-01-02,13,13,13,14,13,12,8,6,5,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,
45027,Fine Particulate Matter,2020-01-03,8,8,9,9,10,11,11,11,12,14,14,16,17,14,13,10,8,9,8,6,6,5,5,5,
45027,Fine Particulate Matter,2020-01-04,5,4,4,5,5,4,4,5,5,5,5,5,4,4,4,3,3,5,5,5,5,4,4,3,
45027,Fine Particulate Matter,2020-01-05,3,4,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,3,4,4,5,4,3,3,
45027,Fine Particulate Matter,2020-01-06,3,4,5,7,8,8,6,4,3,3,3,3,3,3,2,3,4,4,3,3,3,3,2,2,
45027,Fine Particulate Matter,2020-01-07,3,4,5,5,6,6,6,6,7,6,6,6,7,8,9,11,12,14,13,10,9,12,12,11,
45027,Fine Particulate Matter,2020-01-08,11,13,14,11,5,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,4,3,
45027,Fine Particulate Matter,2020-01-09,3,6,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,
45027,Fine Particulate Matter,2020-01-10,3,3,3,3,4,4,5,5,6,9,10,10,9,9,9,10,11,11,12,13,14,12,10,7,
45027,Fine Particulate Matter,2020-01-11,6,6,6,5,4,3,3,4,5,5,3,3,3,5,5,4,4,5,5,4,4,3,3,3,
45027,Fine Particulate Matter,2020-01-12,3,4,4,3,3,3,3,4,4,2,2,3,2,3,3,3,2,2,3,3,2,2,2,2,
45027,Fine Particulate Matter,2020-01-13,2,2,3,3,3,3,3,3,3,4,4,5,5,5,6,7,9,8,9,9,10,8,10,10,
45027,Fine Particulate Matter,2020-01-14,8,9,10,11,8,7,8,7,7,8,8,7,7,8,9,10,10,10,13,15,16,18,19,20,
45027,Fine Particulate Matter,2020-01-15,18,10,8,9,8,6,5,5,5,5,5,5,4,4,5,5,5,8,9,10,9,9,9,7,
45027,Fine Particulate Matter,2020-01-16,8,14,15,14,12,8,4,3,3,4,4,3,3,3,3,3,4,6,6,6,5,5,4,4,
45027,Fine Particulate Matter,2020-01-17,4,4,4,4,4,4,4,4,3,4,3,3,2,3,3,3,3,4,5,5,5,5,5,4,
45027,Fine Particulate Matter,2020-01-18,6,5,5,5,4,4,3,3,3,2,2,2,3,2,2,2,2,4,6,5,4,4,4,3,
45027,Fine Particulate Matter,2020-01-19,3,3,3,3,3,3,3,3,4,6,7,6,6,5,4,4,4,4,5,4,4,3,3,3,
45027,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,2,4,5,5,5,4,4,4,
45027,Fine Particulate Matter,2020-01-21,4,3,3,2,2,2,2,2,2,2,2,5,5,3,3,4,5,5,6,6,7,7,8,9,
45027,Fine Particulate Matter,2020-01-22,11,13,13,14,17,18,18,20,21,18,13,12,11,13,15,16,17,19,19,18,18,18,18,18,
45027,Fine Particulate Matter,2020-01-23,18,19,19,19,18,18,17,18,19,20,20,16,15,15,17,18,19,21,20,16,14,9999,7,6,
45027,Fine Particulate Matter,2020-01-24,6,6,6,7,7,8,7,7,6,7,7,8,8,9,10,13,13,13,11,9,9,9,8,8,
45027,Fine Particulate Matter,2020-01-25,8,9,10,10,10,9,8,7,7,7,6,6,5,5,5,6,6,6,7,7,7,7,8,12,
45027,Fine Particulate Matter,2020-01-26,10,13,12,10,8,7,8,8,9,11,10,8,6,7,6,6,7,9,10,9,8,6,4,3,
45027,Fine Particulate Matter,2020-01-27,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,3,3,
45027,Fine Particulate Matter,2020-01-28,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,
