Mississauga, (46108) Hourly, Nitric oxide (NO) Concentrations
Station,Mississauga (46108)
Address,3359 Mississauga Rd. N., U Of T Campus
Latitude,43.546174
Longitude,-79.658797
Elevation, 105 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Oxide,2020-01-01,1.1,0.3,0.5,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
46108,Nitrogen Oxide,2020-01-02,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,1.3,1,1.4,0.9,0.8,1.2,0.8,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
46108,Nitrogen Oxide,2020-01-03,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,3.1,5.8,1.6,1.6,1.1,1.1,0.7,0.5,0.4,0.3,0.4,0.3,0.4,0.4,0.3,0.3,
46108,Nitrogen Oxide,2020-01-04,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,1.6,2.8,2.1,1.6,1.1,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,
46108,Nitrogen Oxide,2020-01-05,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.5,0.8,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
46108,Nitrogen Oxide,2020-01-06,0.3,0.3,0.3,0.3,0.4,0.6,0.3,0.4,0.7,0.8,0.8,0.8,1.5,1.1,0.9,0.6,0.7,0.4,0.5,0.5,0.3,0.3,0.3,0.3,
46108,Nitrogen Oxide,2020-01-07,0.3,0.3,0.3,0.3,0.3,0.3,2.2,1.2,11.2,16,9.6,9.9,4.5,2.7,1.6,1.4,0.8,0.7,0.4,0.4,0.4,0.4,0.3,0.3,
46108,Nitrogen Oxide,2020-01-08,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,1.2,1.4,1.4,1.3,1.4,1.4,1.3,1.1,0.9,0.7,0.7,0.7,0.5,0.5,0.4,0.4,
46108,Nitrogen Oxide,2020-01-09,0.4,0.3,0.3,0.3,0.4,1.3,17.7,28.7,9.8,3.4,0.7,1.1,1.6,1.3,0.8,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,
46108,Nitrogen Oxide,2020-01-10,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.7,0.9,1,0.8,0.7,1.2,0.8,0.6,0.4,0.6,1.1,1.9,0.9,3.8,6.9,1.8,
46108,Nitrogen Oxide,2020-01-11,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.3,1.1,0.7,0.7,0.9,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,
