Mississauga, (46108) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Mississauga (46108)
Address,3359 Mississauga Rd. N., U Of T Campus
Latitude,43.546174
Longitude,-79.658797
Elevation, 105 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Dioxide,2020-01-01,3.1,2.5,2.7,2.4,2.1,2,2.6,2.7,3.1,2.3,2.2,2.3,2.1,1.9,2,2.5,3.3,6.6,8.5,7.3,10.8,9,6.9,6.4,
46108,Nitrogen Dioxide,2020-01-02,7.6,6.9,7.3,4.8,5.1,7.3,8.7,9.6,7.8,6.1,7.2,7.5,5.2,5.5,5.7,5.5,9,9,9.3,7.9,7.6,10.3,9.3,8.7,
46108,Nitrogen Dioxide,2020-01-03,11.6,6.9,4.5,4.8,8,12.8,10.1,12.8,17.3,16.4,9.1,7.4,6.7,6.1,4.9,5.3,5.1,7.5,7.6,6.6,17.8,18.3,14.9,11.5,
46108,Nitrogen Dioxide,2020-01-04,15.4,10.9,8.3,7.6,5.9,8.9,11.5,19.5,18.7,17.9,12.2,8.3,6.3,3.4,2.8,2.8,3.5,3.2,3.4,3.3,3.4,3.4,2.4,2.2,
46108,Nitrogen Dioxide,2020-01-05,2.9,1.8,2.2,2.8,2.2,2.2,2.5,3,4.6,3.2,2.3,3,4.2,3.8,2.7,3.2,3.7,3.7,3.9,5.7,8.4,7.6,5.5,6,
46108,Nitrogen Dioxide,2020-01-06,7.2,11,5.6,4.4,4.1,3.8,3.9,5.2,6,3.4,2.9,3.1,2.9,2.8,2.5,3,4.7,5.7,4.1,4,5.5,6.5,7,8.2,
46108,Nitrogen Dioxide,2020-01-07,6.5,9.5,11.1,9.9,7.5,8.8,16.8,18.2,20.7,25.2,20,16.5,11,8.5,7.1,7.5,10,17.3,13.2,12.2,9.5,8.1,8.2,7.8,
46108,Nitrogen Dioxide,2020-01-08,7,6.8,5.6,3.9,4.4,4,6.1,5.5,6.5,4.3,3.3,2.6,2.3,2.4,2.8,3.5,3.4,4.3,4.5,3.2,2.7,3.5,3.7,4.2,
46108,Nitrogen Dioxide,2020-01-09,4.1,4.7,6.9,8.7,13.2,21.9,29.4,32.8,29.9,11.7,2.8,3.3,5.3,3.7,2.9,3.2,3.8,4.4,3.9,3.4,3.7,4.7,7.1,10.7,
46108,Nitrogen Dioxide,2020-01-10,11.9,12.4,8.1,4.8,3.8,4.5,4.8,6.2,7.5,7.3,6.8,6.2,6,7.1,6.8,7.9,8.3,12.9,15.5,17.7,19.4,18.9,17.1,13.4,
46108,Nitrogen Dioxide,2020-01-11,9.7,8.4,4.5,3.3,4.5,5,7.5,9,7,7.2,12.4,10.5,6.8,5.2,7.1,7.3,6.3,6.3,9.2,5.9,6.4,8.4,5.8,2.3,
46108,Nitrogen Dioxide,2020-01-12,2.3,5.9,6.4,4.5,4.6,3.8,2.1,2.3,2.3,1.6,1.5,1.3,1.3,1.3,1.3,1.5,2.2,2.6,3.5,4.2,5.5,9.1,10.6,10.9,
