Mississauga, (46108) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Mississauga (46108)
Address,3359 Mississauga Rd. N., U Of T Campus
Latitude,43.546174
Longitude,-79.658797
Elevation, 105 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Oxides,2020-01-01,4.1,2.8,3.2,2.7,2.3,2.3,2.8,3,3.5,2.7,2.7,2.7,2.4,2.4,2.4,2.9,3.6,6.8,8.7,7.6,11.1,9.3,7.2,6.7,
46108,Nitrogen Oxides,2020-01-02,7.9,7.2,7.5,5.1,5.4,7.5,9,10,8.5,7.4,8.2,8.9,6.1,6.3,6.9,6.3,9.5,9.3,9.6,8.2,8,10.6,9.6,9,
46108,Nitrogen Oxides,2020-01-03,11.9,7.2,4.8,5.1,8.3,13.1,10.4,13.4,20.4,22.3,10.7,9,7.8,7.2,5.6,5.8,5.6,7.8,8,7,18.2,18.7,15.2,11.8,
46108,Nitrogen Oxides,2020-01-04,15.7,11.2,8.6,7.9,6.2,9.2,11.9,19.8,20.2,20.7,14.3,9.9,7.4,4,3.3,3.3,3.8,3.5,3.7,3.6,3.8,3.7,2.8,2.5,
46108,Nitrogen Oxides,2020-01-05,3.2,2.2,2.5,3.1,2.5,2.5,2.8,3.3,5,3.7,3,3.5,4.9,4.4,3.1,3.7,4,4,4.2,6,8.7,7.9,5.8,6.3,
46108,Nitrogen Oxides,2020-01-06,7.5,11.3,5.9,4.7,4.5,4.4,4.3,5.6,6.7,4.2,3.7,3.9,4.4,3.9,3.4,3.6,5.3,6.1,4.6,4.5,5.8,6.8,7.3,8.5,
46108,Nitrogen Oxides,2020-01-07,6.8,9.8,11.3,10.2,7.8,9.1,18.9,19.4,31.9,41.1,29.6,26.4,15.5,11.2,8.7,8.9,10.7,18.1,13.6,12.7,9.9,8.4,8.5,8.1,
46108,Nitrogen Oxides,2020-01-08,7.2,7.1,5.9,4.2,4.7,4.3,6.5,5.9,7.7,5.7,4.8,3.9,3.7,3.7,4.1,4.6,4.3,5.1,5.2,3.9,3.2,4,4.1,4.6,
46108,Nitrogen Oxides,2020-01-09,4.4,5,7.2,9,13.6,23.2,47.1,61.5,39.6,15.1,3.5,4.3,7,5,3.7,3.8,4.2,4.7,4.2,3.7,4,5,7.5,11,
46108,Nitrogen Oxides,2020-01-10,12.2,12.8,8.5,5.1,4.1,4.8,5.2,6.6,8.2,8.2,7.8,7,6.7,8.3,7.6,8.5,8.8,13.5,16.6,19.7,20.4,22.7,24,15.2,
46108,Nitrogen Oxides,2020-01-11,10.1,8.8,4.9,3.6,4.8,5.3,7.9,9.3,7.5,7.7,13.6,11.6,7.5,5.8,8,7.9,6.8,6.7,9.5,6.2,6.7,8.7,6.1,2.6,
46108,Nitrogen Oxides,2020-01-12,2.6,6.2,6.7,4.8,4.9,4.2,2.5,2.8,2.8,2.1,2.2,1.9,2,2,1.8,2,2.6,2.9,3.8,4.5,5.8,9.4,11,11.2,
46108,Nitrogen Oxides,2020-01-13,3.9,2.9,1.9,1.8,6.4,21.1,21.7,30.5,41.2,46.5,37.7,44.6,53.9,46.7,45.7,35,33.6,34.9,17.9,14.9,15.5,14.7,21.3,31.3,
46108,Nitrogen Oxides,2020-01-14,28.1,33.5,17.7,6.6,7.8,6.9,4.4,4.2,4.8,4.4,4.5,4.8,5.4,5.6,6,8.3,11.2,10.9,11.1,16.4,12.5,8.2,6.4,6,
46108,Nitrogen Oxides,2020-01-15,5.2,4,3.6,3.4,3.9,4.6,7.3,15.1,19,12.7,7,4.6,4.4,9,6.7,10.8,11.3,8.7,8.5,7.1,6.9,5.1,4.9,4.6,
46108,Nitrogen Oxides,2020-01-16,11.9,30.8,16,14.7,12.8,10.7,9.5,8.1,7.3,5.9,5.1,5.2,6,7.7,3.7,3.6,5,6.3,4.6,4.1,4.4,4.9,5.6,5.5,
46108,Nitrogen Oxides,2020-01-17,5.2,4.1,5.3,5.6,7.3,8.3,11.3,15.3,18.6,23.3,28.7,28.2,23.1,21.8,22.4,24.3,37.5,24.4,15.8,11.6,14.6,14.3,6.8,4.7,
46108,Nitrogen Oxides,2020-01-18,3.5,2.2,2.3,2.2,2.3,2.7,2.5,2.8,3,3.4,3.8,3.8,3.7,4,4.2,4.4,4.8,5.9,8.4,13.6,8.3,5.5,4.5,5.9,
46108,Nitrogen Oxides,2020-01-19,3.7,3.8,3.8,3.9,3.4,3.8,5.2,4.7,4.8,4,3.9,3.3,4.7,5.6,4.1,5.8,9.8,11.5,9.2,14.1,11.7,13,9,8.8,
46108,Nitrogen Oxides,2020-01-20,10.4,11.4,12.3,15.1,11.4,14.7,16.2,30.8,34.2,38.4,23.9,20,11.5,9.3,4.6,4.7,4.8,9.7,11.3,12.1,13.6,14.1,15.6,16.8,
46108,Nitrogen Oxides,2020-01-21,12.7,12.8,19.6,35.9,35.6,23.6,8.9,15.5,11.5,9.5,8.7,7.2,6.4,5.8,5.6,6.4,6.5,7.3,7.3,6,6.1,7,8.5,8.9,
46108,Nitrogen Oxides,2020-01-22,7.6,6.2,7.3,7.1,7.3,8,10.1,10.6,10.7,8.8,6.6,7.6,9.3,7.6,7.1,8.5,11.1,14.2,13.8,13.6,13.1,12.6,12.9,13,
46108,Nitrogen Oxides,2020-01-23,18.9,18.1,19.6,27.1,29.5,20.5,23.5,31.5,44.6,40.5,54.5,66.8,59.6,47.1,39.6,32.9,22,23.5,25.3,20.6,22.5,24.2,25.5,30.1,
46108,Nitrogen Oxides,2020-01-24,42.6,56.8,56.4,66.5,39.4,23,10.5,10.9,12.2,11.5,10,9.1,7,7.8,7.5,8.5,8.8,9.4,8.5,7,5.8,4.8,4.5,4.5,
46108,Nitrogen Oxides,2020-01-25,4.9,4.3,4.1,4.5,6.2,8.4,9.4,8.3,7.3,7.5,6.9,6.1,6.2,6.1,6.4,7.1,9.2,6.6,8,7.8,5.7,6.4,9.5,12.9,
46108,Nitrogen Oxides,2020-01-26,9.9,7.8,6.5,7.1,7.1,6.8,8.1,8.8,10.1,9.9,9.6,7.3,5.7,5.2,5.7,6.2,5.9,6.1,6.8,7,5.3,4.7,4.2,3.4,
46108,Nitrogen Oxides,2020-01-27,2.5,2.8,2.8,2.9,3.9,4.8,7.2,11,13.4,10.7,8.6,5.5,5.9,5.4,4.5,4.8,6,6.1,7.1,6,5.2,4.4,4.5,4.4,
46108,Nitrogen Oxides,2020-01-28,3.8,3.8,3.4,3.5,3.1,4.4,5.4,5.8,6.7,5.3,4.9,4.5,4.9,3.6,4,3.7,4.2,5,5,5.1,4.3,4.9,4.6,3.5,
46108,Nitrogen Oxides,2020-01-29,3.3,3.5,5.3,5.5,6.7,7.2,7.4,9.8,9.8,10.7,10.6,11.4,10.8,12.3,13.8,19.5,20.4,18.7,25.4,34.1,41.5,47,39.2,31.9,
46108,Nitrogen Oxides,2020-01-30,40.6,32.9,39.2,52.6,55,47.7,43.1,38.9,37.1,12.3,3.9,9.7,8.1,3.1,3,4,5.1,6.4,6.1,9,14.9,6.1,3.5,3.9,
46108,Nitrogen Oxides,2020-01-31,5.3,7.6,9.4,10.1,9.8,9.1,12.4,20.7,29.7,31.7,17.4,6.2,5,4.3,3.5,3.6,3.1,3.6,3.9,5.1,7.1,14.5,26.5,31,
46108,Nitrogen Oxides,2020-02-01,38.9,48.5,53.8,59.6,56.2,53,48.4,48.1,38.2,23.3,9.8,10.4,12.3,10.5,10.2,10.8,11,11.6,11.9,11.8,14.2,12.8,10.7,11.2,
46108,Nitrogen Oxides,2020-02-02,12.2,11,8.2,7.6,8.2,8.6,10.7,13.2,8.6,13.2,14.3,13.4,15.8,10.3,7.9,8.4,9.2,9.1,12.4,16.9,13.8,8.8,11.4,15.1,
46108,Nitrogen Oxides,2020-02-03,8.7,4.5,4.4,5.6,4.8,4.4,5.9,8.1,15.2,8.6,5.3,4.5,4.7,4.3,5.5,4.9,7.1,8.2,26.7,27.6,28.4,45.4,46.4,33.9,
46108,Nitrogen Oxides,2020-02-04,29.8,24.4,35.5,25.7,18.1,14.5,16.1,15.4,10.9,12.5,11.4,8.6,8.8,6.7,7.4,8.8,8,12.2,7.9,5.3,3.6,3,2.7,1.9,
46108,Nitrogen Oxides,2020-02-05,2.2,1.9,2.4,2.1,2.6,4.3,5.8,7.4,10.2,13.6,11.8,10.7,11.4,13.1,16.5,15.9,14.4,11.6,8.7,7,6.7,4.4,2.8,2.1,
46108,Nitrogen Oxides,2020-02-06,3.6,20.2,15.4,13.3,8.6,10,13.1,14.9,18.1,18.9,18.1,22.5,19,14.7,10.5,10.9,12.3,10.4,9.4,7.6,10.8,17.3,16.7,13.8,
46108,Nitrogen Oxides,2020-02-07,16,15.5,11.3,10.1,9.7,10.6,11.7,11.8,11.7,13.3,12.9,9.9,9.2,6,5.3,6.1,6.3,6.1,5.2,5.2,5.5,6.2,5.9,5.5,
46108,Nitrogen Oxides,2020-02-08,6.5,4.7,6.7,10.7,19.5,10.4,18.5,18.1,20,19.2,18.2,20.6,19.5,11.8,11.3,10.5,12.4,9.5,9.1,10.4,15.4,25,26.2,59.2,
46108,Nitrogen Oxides,2020-02-09,68.3,69.5,88.2,78.9,73.5,72.7,69.2,63.5,60.5,51.5,20.2,11,6.9,10.4,13.4,15.7,24.2,27.3,14.2,6.7,5.7,5.2,5.5,5.3,
46108,Nitrogen Oxides,2020-02-10,5.8,9.7,8.3,5.4,5.3,7.4,18,27.2,28.8,11.9,7.6,5.6,5.7,6.1,7.6,9.7,8.3,9.2,16.9,18,16.8,15.9,11.8,10.4,
46108,Nitrogen Oxides,2020-02-11,11.2,12.6,9.3,9.3,10.7,17.7,11.3,9.1,6.5,6.4,6.2,5.7,6.4,6.3,5.8,7.1,7.5,7.7,7.4,6.2,5.2,4.9,4,3.5,
46108,Nitrogen Oxides,2020-02-12,4.4,4.7,4.7,3.9,3.6,5.1,5.1,9.2,10,7.3,6.2,5.4,6.1,7,6.4,8.8,8.8,11.6,10.7,12.8,12.5,14.5,13.6,8,
46108,Nitrogen Oxides,2020-02-13,7.6,7.9,7.6,10.1,15.6,17.6,17.5,26.1,29.6,23.5,18.1,14.4,19.7,17.2,13.9,16.1,16.7,9.8,6.1,5.9,5.1,4.1,4,7.1,
46108,Nitrogen Oxides,2020-02-14,7.9,6.5,8.9,9.4,11.8,15.5,22.3,33.6,44.3,45.4,41.8,34.3,34.7,26.7,16.7,13.1,12.8,15,14.7,14.3,16.4,17.8,18.7,13.6,
46108,Nitrogen Oxides,2020-02-15,18.2,13,8.8,10.5,14.8,15.8,12.1,10.9,8.5,6.6,6.5,5.8,5.2,6,6,6.7,8.4,10.5,11.1,8.8,5.3,4.8,4.3,3.9,
