Mississauga, (46108) Hourly, Ground-level ozone (O3) Concentrations
Station,Mississauga (46108)
Address,3359 Mississauga Rd. N., U Of T Campus
Latitude,43.546174
Longitude,-79.658797
Elevation, 105 metres
Air intake height,5 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Ozone,2020-01-01,28,27,27,28,29,29,28,28,27,29,29,31,36,38,37,36,35,30,26,27,21,22,23,23,
46108,Ozone,2020-01-02,23,25,24,26,26,25,24,24,27,28,27,27,30,30,29,29,26,25,24,25,25,22,22,21,
46108,Ozone,2020-01-03,17,21,23,22,17,12,14,9,4,5,16,19,20,21,24,25,27,24,25,27,15,14,17,20,
46108,Ozone,2020-01-04,16,22,26,26,28,21,15,9,10,12,19,22,24,29,28,28,28,28,26,24,23,24,26,26,
46108,Ozone,2020-01-05,25,27,27,26,28,29,30,30,28,28,28,29,29,30,31,30,31,32,31,28,24,24,26,25,
46108,Ozone,2020-01-06,23,18,22,21,22,23,23,23,24,29,31,31,32,31,32,34,33,31,35,34,32,31,31,29,
46108,Ozone,2020-01-07,30,25,21,20,22,14,6,3,2,4,10,13,19,23,26,25,23,16,19,19,19,24,23,25,
46108,Ozone,2020-01-08,26,24,24,33,33,33,30,30,28,28,28,27,26,26,28,28,30,30,29,30,32,31,31,30,
46108,Ozone,2020-01-09,30,30,25,19,12,5,0,0,4,21,31,30,28,30,30,30,30,28,29,29,29,27,24,17,
46108,Ozone,2020-01-10,17,14,23,28,29,28,27,25,22,21,22,23,24,23,24,23,21,14,7,2,2,1,0,4,
46108,Ozone,2020-01-11,9,13,19,19,19,16,13,20,25,24,14,17,21,16,14,14,16,17,16,22,22,19,20,22,
46108,Ozone,2020-01-12,23,19,17,19,20,23,28,29,30,31,31,31,32,32,33,32,32,32,31,31,29,26,23,22,
46108,Ozone,2020-01-13,27,27,29,30,25,10,9,3,2,3,6,5,4,3,3,4,2,0,5,8,7,9,5,0,
46108,Ozone,2020-01-14,0,0,6,17,16,18,21,21,20,20,20,20,19,18,19,17,13,12,10,5,9,17,22,23,
46108,Ozone,2020-01-15,25,26,26,25,25,24,20,12,11,17,21,25,25,22,23,19,17,18,19,21,19,23,22,23,
46108,Ozone,2020-01-16,16,1,6,6,8,12,18,24,27,28,29,30,28,26,28,30,29,26,28,28,28,28,27,29,
46108,Ozone,2020-01-17,31,33,31,31,29,28,26,22,21,20,20,21,23,23,22,19,7,13,20,22,19,18,27,29,
46108,Ozone,2020-01-18,31,35,34,34,32,30,31,32,31,30,28,28,29,28,28,9999,9999,24,19,12,18,19,21,21,
46108,Ozone,2020-01-19,22,22,22,22,23,22,20,21,27,32,32,34,33,33,34,34,33,31,30,27,29,29,32,32,
46108,Ozone,2020-01-20,30,29,27,24,27,23,21,11,12,17,24,27,32,34,39,39,38,33,31,30,28,26,23,21,
46108,Ozone,2020-01-21,26,26,18,4,2,16,33,24,28,31,33,36,36,37,37,36,36,35,35,36,37,34,31,31,
46108,Ozone,2020-01-22,33,34,33,32,31,29,27,25,25,28,31,32,32,34,35,33,30,27,26,25,25,25,24,24,
46108,Ozone,2020-01-23,17,14,12,4,3,5,3,1,3,5,6,7,8,10,10,10,13,9,6,12,11,7,6,1,
46108,Ozone,2020-01-24,0,0,0,0,5,12,24,25,24,26,28,29,31,30,30,29,28,27,29,31,31,33,33,32,
46108,Ozone,2020-01-25,31,31,30,29,25,21,21,24,26,27,29,30,29,28,27,26,20,17,14,15,18,17,13,8,
46108,Ozone,2020-01-26,9,10,11,9,9,8,6,6,6,8,11,16,20,22,21,19,19,18,16,17,24,24,22,21,
46108,Ozone,2020-01-27,21,21,21,21,21,19,15,12,13,18,20,24,25,26,28,29,29,29,28,29,29,30,30,29,
46108,Ozone,2020-01-28,29,29,31,36,37,36,36,36,34,34,35,38,37,39,39,37,36,35,34,34,35,34,34,36,
46108,Ozone,2020-01-29,36,35,32,32,31,31,31,29,29,30,30,30,31,30,29,25,22,22,15,8,3,1,4,6,
46108,Ozone,2020-01-30,2,5,2,0,1,1,0,1,3,24,33,27,29,34,34,33,32,30,30,28,21,31,33,32,
46108,Ozone,2020-01-31,29,25,23,22,21,21,18,10,6,10,19,27,29,31,32,32,33,31,31,31,28,18,5,2,
46108,Ozone,2020-02-01,0,0,0,0,0,0,0,0,1,9,17,18,21,23,24,24,23,22,23,22,20,20,22,20,
46108,Ozone,2020-02-02,17,18,19,18,18,20,18,16,20,14,15,16,15,18,19,18,16,14,8,3,8,13,11,8,
46108,Ozone,2020-02-03,19,27,29,28,30,33,33,31,25,32,36,35,36,36,36,36,34,32,10,7,3,2,1,2,
46108,Ozone,2020-02-04,6,11,4,10,15,20,19,21,25,24,26,29,29,30,31,30,30,25,29,30,33,33,33,34,
46108,Ozone,2020-02-05,34,35,35,35,34,33,30,29,28,26,28,30,31,30,28,26,24,24,25,27,28,31,34,34,
46108,Ozone,2020-02-06,30,15,19,22,25,24,20,19,20,21,22,21,23,24,27,26,25,26,27,29,27,21,23,25,
46108,Ozone,2020-02-07,22,22,25,27,27,27,27,26,25,24,25,28,30,32,33,33,33,32,33,33,33,31,31,31,
46108,Ozone,2020-02-08,30,32,30,25,18,26,18,18,20,23,24,25,26,30,31,29,27,28,27,23,18,9,7,0,
46108,Ozone,2020-02-09,0,0,0,0,0,0,0,0,3,8,23,29,32,29,26,23,14,9,20,28,27,29,28,27,
46108,Ozone,2020-02-10,27,25,27,30,29,25,14,8,7,20,27,31,32,32,30,28,29,28,18,18,17,17,22,22,
46108,Ozone,2020-02-11,21,16,20,24,18,14,24,29,33,34,34,35,35,36,37,38,37,36,35,35,37,36,37,37,
46108,Ozone,2020-02-12,36,34,34,35,36,35,34,30,29,32,33,36,36,36,37,35,34,29,28,26,25,22,21,26,
46108,Ozone,2020-02-13,27,29,30,27,22,18,16,9,9,17,23,25,22,24,25,22,22,26,29,27,27,30,30,25,
46108,Ozone,2020-02-14,24,25,23,23,21,18,12,7,11,15,17,20,19,20,24,26,25,22,22,22,21,20,18,22,
46108,Ozone,2020-02-15,17,23,26,24,17,14,24,25,29,31,31,33,34,33,34,33,31,28,27,29,33,34,33,33,
46108,Ozone,2020-02-16,33,31,30,31,31,30,29,30,29,31,33,34,35,37,39,39,39,39,36,33,31,31,30,29,
46108,Ozone,2020-02-17,31,30,30,30,29,24,15,9,20,30,32,33,32,33,34,33,35,37,36,36,36,35,36,36,
46108,Ozone,2020-02-18,36,35,33,32,32,31,31,28,26,19,14,23,27,27,26,30,33,35,36,36,37,36,37,37,
46108,Ozone,2020-02-19,37,37,37,37,37,36,35,35,34,35,35,35,34,35,35,35,36,36,35,35,35,36,35,33,
46108,Ozone,2020-02-20,31,35,36,36,34,32,27,22,27,33,34,34,34,35,36,35,34,34,32,33,33,32,29,27,
46108,Ozone,2020-02-21,27,23,28,30,32,30,27,21,25,30,34,36,37,37,38,38,34,33,31,29,28,31,32,32,
46108,Ozone,2020-02-22,32,31,30,29,28,27,26,25,26,28,29,31,34,35,36,36,34,32,30,29,29,31,32,33,
46108,Ozone,2020-02-23,33,32,32,31,29,26,25,21,21,26,29,31,34,38,41,43,43,42,34,33,39,37,36,36,
46108,Ozone,2020-02-24,36,34,33,30,29,27,24,21,19,20,24,36,33,37,44,46,47,45,33,30,32,29,25,26,
46108,Ozone,2020-02-25,27,29,31,33,35,31,14,7,15,15,20,21,28,29,32,34,36,34,27,26,25,24,23,20,
46108,Ozone,2020-02-26,22,31,35,34,34,31,29,22,27,27,25,26,28,29,30,26,22,20,13,18,25,26,29,29,
46108,Ozone,2020-02-27,31,32,32,33,33,33,32,33,35,36,37,37,38,38,38,39,38,38,38,38,38,38,39,39,
46108,Ozone,2020-02-28,39,38,37,37,38,37,37,36,37,38,39,39,39,39,39,39,38,38,38,37,33,32,31,33,
46108,Ozone,2020-02-29,33,27,27,28,27,24,17,18,20,23,29,33,34,35,37,38,38,37,37,36,36,35,29,25,
46108,Ozone,2020-03-01,19,8,5,13,20,22,18,18,28,31,33,36,34,37,38,34,33,36,36,36,36,32,25,12,
46108,Ozone,2020-03-02,10,7,5,2,0,0,4,11,22,29,27,30,38,36,34,33,33,31,26,22,19,15,19,11,
46108,Ozone,2020-03-03,7,4,1,0,1,11,16,17,23,26,19,18,18,19,5,3,2,12,22,22,19,20,24,32,
46108,Ozone,2020-03-04,27,27,30,30,29,28,27,22,25,28,32,34,36,37,39,39,37,37,34,29,31,33,35,36,
46108,Ozone,2020-03-05,36,36,36,36,36,28,17,17,31,35,36,33,33,33,36,37,36,33,34,28,14,34,37,37,
46108,Ozone,2020-03-06,36,36,34,34,32,26,21,10,19,20,19,20,21,24,26,27,27,26,29,29,30,33,34,34,
46108,Ozone,2020-03-07,33,34,35,33,31,31,29,27,31,33,36,38,39,40,40,42,42,42,39,31,22,31,31,33,
