Mississauga, (46108) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Mississauga (46108)
Address,3359 Mississauga Rd. N., U Of T Campus
Latitude,43.546174
Longitude,-79.658797
Elevation, 105 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Fine Particulate Matter,2020-01-01,2,2,3,1,1,1,1,1,2,2,2,2,3,3,4,5,13,19,21,19,20,18,15,13,
46108,Fine Particulate Matter,2020-01-02,9,7,7,7,5,4,3,3,4,4,4,4,4,4,4,4,6,7,8,8,8,8,8,8,
46108,Fine Particulate Matter,2020-01-03,11,11,12,13,12,12,13,13,12,15,20,18,15,13,10,7,6,6,5,5,5,4,4,4,
46108,Fine Particulate Matter,2020-01-04,5,4,3,3,2,3,5,7,7,6,5,4,3,1,1,1,1,1,1,1,1,1,0,0,
46108,Fine Particulate Matter,2020-01-05,0,0,0,0,0,1,0,0,0,0,1,1,1,2,2,2,3,3,4,5,10,10,10,8,
46108,Fine Particulate Matter,2020-01-06,10,11,9,9,6,4,2,2,2,2,2,2,2,2,3,4,5,4,3,1,2,2,2,2,
46108,Fine Particulate Matter,2020-01-07,3,4,4,4,4,4,4,4,5,10,12,15,15,12,11,10,9,10,9,9,10,8,8,8,
46108,Fine Particulate Matter,2020-01-08,10,11,11,4,2,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
46108,Fine Particulate Matter,2020-01-09,1,1,1,1,1,1,2,3,3,3,2,3,5,4,4,4,4,4,4,3,3,3,3,5,
46108,Fine Particulate Matter,2020-01-10,9,10,7,6,8,8,7,7,10,11,11,9,8,7,6,8,10,13,17,20,30,24,15,8,
46108,Fine Particulate Matter,2020-01-11,4,3,2,2,2,2,3,2,2,7,7,6,5,4,3,2,1,1,1,1,1,2,1,1,
46108,Fine Particulate Matter,2020-01-12,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,4,5,6,7,8,
46108,Fine Particulate Matter,2020-01-13,5,5,4,4,4,10,13,14,11,10,9,11,15,17,18,19,18,17,13,7,6,5,14,21,
46108,Fine Particulate Matter,2020-01-14,18,17,13,8,10,7,5,5,5,8,8,8,10,11,11,10,12,13,14,16,17,9,6,7,
46108,Fine Particulate Matter,2020-01-15,8,4,3,3,3,3,3,4,4,4,4,2,3,5,5,7,7,12,7,6,5,4,4,5,
46108,Fine Particulate Matter,2020-01-16,7,10,12,13,15,15,6,1,1,1,1,1,1,1,0,0,1,1,2,2,2,2,2,1,
46108,Fine Particulate Matter,2020-01-17,1,2,1,1,1,1,2,2,3,3,4,4,5,6,6,7,12,10,8,8,8,10,7,6,
46108,Fine Particulate Matter,2020-01-18,4,3,5,4,4,5,4,4,5,6,6,6,5,4,4,4,5,6,7,10,5,3,2,2,
46108,Fine Particulate Matter,2020-01-19,3,4,4,4,4,4,5,6,6,3,3,3,3,4,2,2,2,3,3,3,3,2,2,2,
46108,Fine Particulate Matter,2020-01-20,1,1,2,1,2,2,2,2,4,5,3,4,4,4,2,2,2,5,6,9,8,6,6,6,
46108,Fine Particulate Matter,2020-01-21,6,7,8,9,9,6,2,6,6,6,5,4,4,5,5,6,6,6,6,7,7,7,8,9,
46108,Fine Particulate Matter,2020-01-22,9,10,13,16,16,18,18,16,16,16,14,13,12,11,14,14,15,16,17,16,13,13,13,13,
46108,Fine Particulate Matter,2020-01-23,14,15,14,13,13,14,14,14,16,17,19,23,24,24,22,20,18,19,22,20,17,16,16,17,
46108,Fine Particulate Matter,2020-01-24,19,21,20,20,18,15,10,9,10,10,10,11,11,11,12,12,13,13,11,10,10,8,7,7,
46108,Fine Particulate Matter,2020-01-25,8,8,7,6,7,8,7,5,4,4,4,4,4,5,6,7,11,11,13,13,10,10,12,11,
46108,Fine Particulate Matter,2020-01-26,10,7,5,5,5,7,12,12,12,8,8,8,8,7,7,7,6,5,4,3,1,1,1,1,
46108,Fine Particulate Matter,2020-01-27,1,2,2,2,2,1,1,1,2,2,2,3,3,3,4,3,3,4,6,6,4,3,2,3,
46108,Fine Particulate Matter,2020-01-28,4,4,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46108,Fine Particulate Matter,2020-01-29,1,1,2,2,2,3,2,2,2,2,2,3,3,4,6,7,10,12,17,14,13,11,10,7,
46108,Fine Particulate Matter,2020-01-30,8,6,7,11,11,11,10,12,14,7,3,6,5,3,3,3,4,5,5,6,8,5,4,4,
46108,Fine Particulate Matter,2020-01-31,6,9,9,9,10,9,10,13,13,13,11,8,7,6,6,6,7,7,8,9,10,12,14,18,
46108,Fine Particulate Matter,2020-02-01,16,15,16,18,19,19,19,19,20,26,27,24,17,12,13,15,16,12,11,11,11,13,14,13,
46108,Fine Particulate Matter,2020-02-02,15,16,17,17,15,11,10,10,13,14,15,9,6,6,8,8,10,10,11,12,13,16,16,15,
46108,Fine Particulate Matter,2020-02-03,9,10,8,7,4,2,1,1,1,1,1,1,1,1,2,2,3,3,5,5,5,7,7,5,
46108,Fine Particulate Matter,2020-02-04,5,4,6,5,5,4,3,2,2,2,2,2,3,3,2,3,3,4,3,3,2,2,1,1,
46108,Fine Particulate Matter,2020-02-05,1,1,1,1,1,1,2,2,2,3,3,3,2,2,3,4,6,7,7,6,6,5,2,1,
46108,Fine Particulate Matter,2020-02-06,3,9,7,4,2,2,3,3,3,4,4,5,4,4,4,4,5,4,5,4,5,5,5,4,
46108,Fine Particulate Matter,2020-02-07,4,4,3,3,2,2,2,2,2,3,3,2,2,2,1,2,2,3,3,3,4,3,3,3,
46108,Fine Particulate Matter,2020-02-08,4,3,3,4,4,3,3,4,6,6,6,6,6,4,4,4,4,5,6,7,11,11,11,16,
46108,Fine Particulate Matter,2020-02-09,16,15,17,17,15,14,12,10,11,12,12,13,13,17,18,23,24,24,24,14,10,6,7,7,
46108,Fine Particulate Matter,2020-02-10,5,5,3,2,3,4,6,8,10,14,12,8,6,5,5,5,5,5,7,8,8,9,9,10,
46108,Fine Particulate Matter,2020-02-11,11,11,10,8,10,13,9,6,5,5,5,8,10,10,10,10,11,14,15,11,9,8,7,7,
46108,Fine Particulate Matter,2020-02-12,6,6,5,5,5,6,7,9,12,13,13,12,12,10,8,9,11,13,14,14,14,14,13,14,
46108,Fine Particulate Matter,2020-02-13,16,16,13,12,15,17,17,17,16,16,14,13,4,3,2,2,2,1,1,2,2,1,2,2,
46108,Fine Particulate Matter,2020-02-14,3,3,3,2,2,2,3,4,5,5,6,6,8,8,6,6,5,8,7,6,7,8,7,5,
46108,Fine Particulate Matter,2020-02-15,6,6,5,6,6,6,4,4,5,6,7,6,7,7,7,9,10,10,9,9,7,7,8,9,
46108,Fine Particulate Matter,2020-02-16,12,17,22,22,19,19,18,16,15,13,11,10,9,9,9,9,9,10,12,12,13,14,14,14,
46108,Fine Particulate Matter,2020-02-17,10,4,3,3,3,2,3,3,3,2,2,2,3,3,4,5,4,3,3,2,3,3,3,3,
46108,Fine Particulate Matter,2020-02-18,3,4,5,6,6,7,8,9,9,10,10,13,10,7,5,3,3,3,2,2,1,1,1,1,
46108,Fine Particulate Matter,2020-02-19,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,
46108,Fine Particulate Matter,2020-02-20,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,
46108,Fine Particulate Matter,2020-02-21,3,3,3,3,3,3,3,5,6,7,7,6,6,5,4,6,9,11,11,12,10,7,5,5,
46108,Fine Particulate Matter,2020-02-22,6,6,7,7,7,7,6,6,6,7,9,11,11,12,13,13,12,13,12,13,12,12,11,10,
46108,Fine Particulate Matter,2020-02-23,8,8,8,8,8,8,7,8,10,12,12,11,10,10,10,9,11,12,13,13,10,9,7,7,
46108,Fine Particulate Matter,2020-02-24,8,10,11,12,12,12,12,14,17,19,20,22,20,17,16,16,13,13,11,10,8,8,6,5,
46108,Fine Particulate Matter,2020-02-25,5,3,2,2,4,6,8,8,7,9,10,11,9,6,5,5,5,5,6,7,6,6,6,6,
46108,Fine Particulate Matter,2020-02-26,8,5,4,3,4,5,5,6,6,6,7,7,6,6,5,5,6,6,9,7,5,4,3,3,
46108,Fine Particulate Matter,2020-02-27,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,
46108,Fine Particulate Matter,2020-02-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,3,3,3,
46108,Fine Particulate Matter,2020-02-29,3,5,5,4,4,4,5,4,4,4,4,2,3,3,3,2,1,1,2,3,3,4,5,6,
46108,Fine Particulate Matter,2020-03-01,6,7,8,7,8,7,6,6,9,11,10,9,12,12,11,15,12,10,8,7,9,12,11,12,
46108,Fine Particulate Matter,2020-03-02,12,10,9,8,8,8,7,6,10,13,15,11,7,8,8,8,13,16,21,29,28,26,25,24,
46108,Fine Particulate Matter,2020-03-03,25,27,24,24,20,16,15,13,18,20,21,16,13,12,16,11,12,14,14,16,18,19,16,8,
46108,Fine Particulate Matter,2020-03-04,7,9,8,9,8,8,7,8,8,6,5,5,5,4,3,3,4,3,3,3,3,2,1,1,
46108,Fine Particulate Matter,2020-03-05,1,1,2,2,1,1,2,2,2,2,2,5,6,7,7,8,8,10,8,9,8,7,6,5,
46108,Fine Particulate Matter,2020-03-06,8,6,6,5,5,5,5,6,8,8,7,8,7,6,4,2,2,2,1,1,1,1,1,1,
46108,Fine Particulate Matter,2020-03-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,5,7,10,7,6,6,
46108,Fine Particulate Matter,2020-03-08,8,9,-999,-999,8,9,9,8,8,8,8,7,8,10,10,9,6,6,5,6,6,4,4,4,
46108,Fine Particulate Matter,2020-03-09,3,3,4,4,4,4,4,4,5,5,6,7,9,12,14,15,17,18,16,14,14,16,18,19,
46108,Fine Particulate Matter,2020-03-10,17,14,16,8,7,7,5,4,5,5,4,3,2,2,3,6,6,3,2,2,3,2,2,2,
46108,Fine Particulate Matter,2020-03-11,3,3,3,3,3,3,4,5,10,12,7,5,3,4,4,5,5,4,4,4,4,3,4,4,
46108,Fine Particulate Matter,2020-03-12,4,4,5,6,6,6,5,5,7,6,9999,9999,9999,11,11,10,10,9,8,8,11,10,11,11,
46108,Fine Particulate Matter,2020-03-13,13,14,15,16,17,10,6,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,
46108,Fine Particulate Matter,2020-03-14,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,3,3,3,
46108,Fine Particulate Matter,2020-03-15,4,4,4,3,2,2,2,2,1,1,1,1,1,0,1,1,2,1,2,2,3,3,2,2,
46108,Fine Particulate Matter,2020-03-16,4,4,4,5,1,1,1,1,0,0,0,1,1,2,2,3,4,6,10,8,7,8,10,12,
46108,Fine Particulate Matter,2020-03-17,15,14,12,11,12,12,14,18,18,12,10,9,6,4,2,3,2,1,1,2,2,2,3,3,
46108,Fine Particulate Matter,2020-03-18,4,4,4,4,4,4,5,6,5,2,3,4,3,2,3,4,5,6,7,4,4,6,7,6,
46108,Fine Particulate Matter,2020-03-19,7,7,6,6,8,9,10,11,13,24,19,17,16,18,11,10,10,10,11,10,8,6,4,3,
46108,Fine Particulate Matter,2020-03-20,5,9,11,13,9999,5,9,10,10,11,11,5,3,1,1,2,2,3,3,2,2,2,1,1,
46108,Fine Particulate Matter,2020-03-21,2,2,1,1,1,1,1,1,2,2,2,3,3,3,6,11,14,12,11,8,4,4,3,2,
46108,Fine Particulate Matter,2020-03-22,2,2,3,3,3,3,3,2,3,3,3,4,4,3,2,2,2,3,3,4,4,4,4,4,
46108,Fine Particulate Matter,2020-03-23,5,7,9,10,9,9,6,7,11,13,9,8,7,7,5,4,4,6,9,16,11,10,9,9,
46108,Fine Particulate Matter,2020-03-24,12,11,9,8,8,6,6,6,9,11,10,11,9,9,11,9,10,9,7,8,6,5,3,2,
