Barrie, (47045) Hourly, Nitric oxide (NO) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Nitrogen Oxide,2020-01-01,0.1,0.1,0.1,0.1,0,0.1,0.1,0.3,0.3,0.4,0.4,0.6,0.5,0.3,0.2,0.2,0.1,0,0.1,0.2,0.2,0.3,0.6,0.1,
47045,Nitrogen Oxide,2020-01-02,0.2,0.3,0.1,0.1,0.1,1,1.3,1.3,1.5,1.5,2,2.1,1.7,1.5,1.7,0.9,0.7,0.6,0.4,0.3,0.3,0.2,0.2,0.2,
47045,Nitrogen Oxide,2020-01-03,0.1,0.1,0.1,0.3,0.5,0.8,4.1,3.4,11.1,3.8,3,1.6,1.3,1,1.1,0.9,0.8,0.5,0.3,0.3,0.1,0.1,0,0.1,
47045,Nitrogen Oxide,2020-01-04,0.1,0,0,0,0,0,0,0.2,0.4,0.4,0.3,0.6,0.8,0.8,0.6,0.5,0.4,0.5,0.3,0.3,0.2,0.3,0.1,0.1,
47045,Nitrogen Oxide,2020-01-05,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.2,0.4,0.8,0.6,0.5,0.4,0.4,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.3,
47045,Nitrogen Oxide,2020-01-06,0.2,0.1,0.2,0.1,0.9,1,1.1,1.2,0.9,1,1.1,0.9,1.5,1.2,0.9,0.8,0.8,0.7,0.6,0.4,0.4,0.4,0.3,0.3,
47045,Nitrogen Oxide,2020-01-07,0.2,0.3,0.1,0.1,0.3,0.7,7.9,6.3,70.2,43.3,4.8,6.7,3.8,4.1,2.4,1.9,4.7,0.6,0.6,0.4,0.3,0.2,0.2,0.1,
47045,Nitrogen Oxide,2020-01-08,0.3,0.2,0.2,0.1,0.1,0.3,0.6,0.6,1.6,0.7,1.1,0.9,1,1.2,0.9,1,0.8,0.6,0.4,0.3,0.3,0.2,0.3,0.2,
47045,Nitrogen Oxide,2020-01-09,0.2,0.1,0.9,1.9,0.7,0.6,0.7,1.7,5.5,1.8,3.5,2.5,1.4,1.4,1.6,1.3,0.9,0.6,0.6,0.1,0.1,0.1,0.2,0.3,
47045,Nitrogen Oxide,2020-01-10,0.4,0.3,0.2,0.3,0.2,0.1,0.5,1.7,1.2,1.6,1.6,1.7,1.7,2,1.7,2.6,1.7,1.1,1.4,2.4,3.7,1.7,0.3,0.4,
47045,Nitrogen Oxide,2020-01-11,0.2,0.2,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.9,1.4,1,0.6,0.5,0.5,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
47045,Nitrogen Oxide,2020-01-12,0.2,0.1,0.1,0,0.1,1.3,1.7,0.4,0.3,0.7,0.7,0.9,0.8,4.9,0.8,1.6,0.9,0.3,0.1,0.1,0.2,0.1,0.2,0.2,
47045,Nitrogen Oxide,2020-01-13,0.1,0.4,0.2,0.5,0.2,0.2,0.4,1.1,4.7,3,2.2,0.9,1.1,1.7,1.3,2,1.5,0.5,0.4,0.1,0.1,0.1,0.1,0,
47045,Nitrogen Oxide,2020-01-14,0.1,0.4,0.1,0,0.1,0.1,0.5,1.5,1,0.6,0.6,0.7,0.6,0.3,0.3,0.3,0.2,0.1,0,0.1,0,0.9,1.7,0.5,
47045,Nitrogen Oxide,2020-01-15,0.3,0.5,0.3,0.3,0.3,0.3,1,4.7,5.8,4.4,2.6,3,2.3,2.4,2.7,2.1,1.8,0.3,0,0.2,1,2.1,0.5,0.2,
47045,Nitrogen Oxide,2020-01-16,0.3,0.2,0.4,0.3,0.1,0.4,1.2,0.7,1,1.4,3.7,1.1,2.3,1,1,1,7.2,0.4,0.5,0.2,0.2,0.2,0.1,0.2,
47045,Nitrogen Oxide,2020-01-17,0.2,0.1,0.2,0.2,0.2,0.5,2.7,1.2,2.6,4.7,9.4,4.7,4.6,2,1.3,0.9,0.6,0.5,0.2,1.1,1,0.4,0.5,0.3,
47045,Nitrogen Oxide,2020-01-18,0.3,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.3,
47045,Nitrogen Oxide,2020-01-19,0.3,0.4,0.3,0.2,0.4,0.4,0.2,0.2,0.3,0.8,0.7,0.8,0.9,0.9,0.6,0.6,0.5,0.3,0.5,0.2,0.2,0.1,0.1,0.2,
47045,Nitrogen Oxide,2020-01-20,0.1,0.1,0,0.1,0,0.4,1.7,23.5,52.1,25.6,21.5,4.1,3.5,1.6,1.7,1,0.8,0.4,0.3,0.3,0.3,0.2,0.2,1.8,
47045,Nitrogen Oxide,2020-01-21,1.5,0.3,2.6,0.1,0.5,2,4,3.9,2.8,3.8,4.1,1.8,1.5,1.3,1.2,1.1,0.7,0.3,0.2,0.3,0.6,0.2,0.9,0.7,
47045,Nitrogen Oxide,2020-01-22,0.7,0.2,0.2,0.4,0.4,1.5,29.4,25.8,9999,9999,9999,9999,9999,2.2,1.8,2.5,1.2,0.7,0.4,0.4,0.4,0.4,0.5,0.3,
47045,Nitrogen Oxide,2020-01-23,0.2,8.5,26.1,37.6,48.9,32.9,25.8,6.3,15.3,9.9,7.3,8.3,5.5,4.4,3.6,4.6,1.8,0.3,0.2,0.2,0.8,2.5,0.5,0.4,
47045,Nitrogen Oxide,2020-01-24,1.6,0.4,0.3,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
47045,Nitrogen Oxide,2020-01-25,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.5,0.8,0.6,0.6,1.4,1,0.4,0,0.1,0.1,0.3,0.8,0.3,0.4,
47045,Nitrogen Oxide,2020-01-26,0.3,0.3,0.2,0.4,0.6,0.4,0.4,0.8,2,3.7,2.9,2.4,2.4,1.6,1.6,1.2,0.8,0.6,0.4,0.4,0.1,0.3,0.6,0.6,
47045,Nitrogen Oxide,2020-01-27,0.4,0.2,0.3,0.2,0.7,0.4,1,0.8,1.7,2,1.3,1.1,1.4,1.3,1.1,0.8,0.6,0.6,0.4,0.3,0.2,0.2,0.3,0.2,
47045,Nitrogen Oxide,2020-01-28,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.4,0.8,0.8,0.7,0.9,0.8,0.8,0.7,0.7,0.7,0.3,0.3,0.2,0.2,0.2,0.1,0.1,
47045,Nitrogen Oxide,2020-01-29,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,1.8,1.4,1.2,1.2,1.4,1.1,1.2,0.8,0.9,0.4,0.1,0.3,10,0.8,1.9,3,
47045,Nitrogen Oxide,2020-01-30,8.4,34.3,25.5,17.7,4.7,0.2,1.3,1.5,2.2,2.8,2.9,1.2,1.1,0.7,0.5,0.3,0.2,0.1,0.1,1,6,19.1,29.6,30.9,
47045,Nitrogen Oxide,2020-01-31,32.9,0.6,0.3,0.2,0.3,1.1,1.1,0.5,5.6,4.6,6.7,6,4.8,3.7,2.8,1.9,1.1,0.6,0.4,0.2,0.5,0.9,4.4,4.6,
47045,Nitrogen Oxide,2020-02-01,0.5,2.1,5.9,6.6,2.7,3.7,0.7,2.4,3,3.9,4.4,2.9,3,3.4,4.1,5.5,3,0.7,0.7,0.7,0.9,1,0.6,0.3,
