Barrie, (47045) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Nitrogen Dioxide,2020-01-01,1.8,1.7,1.8,1.9,2,1.7,1.8,2,2.4,1.8,1.8,2,2.2,2,2.3,2.2,3,4.9,5.2,5,5,5.7,6.8,5.3,
47045,Nitrogen Dioxide,2020-01-02,5.3,5.5,4.1,4.2,4.5,6.7,8.4,9.8,13.4,10.3,9,7.2,6.6,7.4,8,8.4,9,8.9,6.7,6.3,6.5,6.2,7.2,6.3,
47045,Nitrogen Dioxide,2020-01-03,5.6,6.2,6.1,9,9.1,15.4,21.5,19.3,23.5,15,12,6.8,6.3,5.7,6.2,5.4,5.9,7.6,6.5,6,6.1,4.5,5.4,11.8,
47045,Nitrogen Dioxide,2020-01-04,10.9,4.8,4.2,3.9,3.3,4.5,4.7,8.2,7.2,4.7,4.7,4.6,4,4.2,3.9,3.7,4.1,5.6,5.4,4.4,3.2,3.8,2.8,2.3,
47045,Nitrogen Dioxide,2020-01-05,2.2,2,1.8,1.5,1.5,1.6,2.1,2.9,4.1,2.6,3,2.6,2.5,2.5,2.5,2.7,5.7,7.6,7.1,6.5,5.6,5,7.6,7.2,
47045,Nitrogen Dioxide,2020-01-06,7.4,7.5,6.3,6.6,8,8.4,5.9,4.5,4.1,3.9,4,4.3,5.4,4.5,4.4,5.2,4.8,3.3,3.4,2.9,3.9,3.3,2.7,2.6,
47045,Nitrogen Dioxide,2020-01-07,2.2,2.7,3.6,10.5,10,12.3,29.3,27.2,47.1,39.2,14.7,16.3,11.8,11.2,9.3,11.8,16.7,15.4,13.3,11.7,10.1,9.3,8.1,8.6,
47045,Nitrogen Dioxide,2020-01-08,5.1,5.4,10.1,3.4,2.9,3.5,3.6,4.4,3.9,2.7,2.8,2.4,2.4,2.5,2.6,2.8,3.1,2.7,2.3,2.3,3,2.7,4.2,4.2,
47045,Nitrogen Dioxide,2020-01-09,3.2,4.5,8.3,15,14.8,14.2,13,13.4,17.8,8.2,8.2,5.8,4.8,4.7,5.7,5.7,7.6,8.4,7.9,5.5,7.4,6.8,7,8.1,
47045,Nitrogen Dioxide,2020-01-10,10.1,9.4,9,8.8,6.3,4.7,7.6,9.8,9.4,10.6,10.2,9.5,8.3,9.4,10.8,14.1,15.8,15.3,16.2,18.6,18.2,16.3,10.8,7.8,
47045,Nitrogen Dioxide,2020-01-11,8,10.4,16.1,12.5,9.8,8.4,9.6,9,7.6,10.6,6.9,4.2,3.6,3.8,3.7,3.4,4.3,3.8,3.2,3.2,3.3,2.8,2.8,2.4,
47045,Nitrogen Dioxide,2020-01-12,2.7,2,1.8,1.9,1.7,2.6,3,2.2,1.9,2.6,2.5,2.6,2.3,5.4,3.1,4.4,3.7,3.9,4.8,5.2,7,8.1,8.5,9.2,
47045,Nitrogen Dioxide,2020-01-13,8.5,4,3.5,4.4,8.8,5.4,4.4,8.7,11.3,9.9,7.6,4.5,4.8,7.5,8.8,15.8,15.4,19.7,20.7,13.2,7.4,7.6,7.4,6.6,
47045,Nitrogen Dioxide,2020-01-14,5.8,7.3,4.1,2.6,2.9,3.8,10.8,8.6,7.4,5.7,5,4.8,4.5,3.3,3.3,3.9,4.9,6.3,6.4,6.9,6.1,12.4,14.9,9,
47045,Nitrogen Dioxide,2020-01-15,7.4,9.4,7.2,5.1,4,4.4,8.7,20.2,19.9,15.1,9.8,9.7,8.6,8.9,11.3,10.4,13,12.9,7.4,7.4,15.2,19,12.4,9.9,
47045,Nitrogen Dioxide,2020-01-16,9.5,9.2,9.2,5.9,3.5,4.9,5.2,5.2,5,5,5.5,3.3,3.6,2.7,2.5,2.8,7.2,3,3.1,2.2,2.3,2.2,1.9,2.3,
47045,Nitrogen Dioxide,2020-01-17,2,2,2,2.7,3.7,6.1,8.8,14,13.8,11.8,14.3,8,6.6,4.2,3.7,4.3,7.6,13.1,15.9,25.6,24,19.7,13.2,10.4,
47045,Nitrogen Dioxide,2020-01-18,8.3,4.7,6.9,6.1,3.5,2.7,2.8,3.1,2.6,2.7,2.5,1.9,1.8,1.8,2.2,2.3,2.6,2.9,2.7,3.6,3.4,2.9,3.8,16.2,
47045,Nitrogen Dioxide,2020-01-19,11.1,4.3,3.3,2.3,2.9,3,2.9,3.1,2.9,3.1,2.8,2.3,2.6,2.3,2.1,2.5,2.8,4,4.4,3.5,3.5,2.6,2.6,2,
47045,Nitrogen Dioxide,2020-01-20,2.1,2.9,3.2,3,4.5,9.4,24.3,38.4,43.3,30.3,23,8.3,7.4,4.3,4.8,4,5.8,6.6,6,6.4,8.8,8.8,13,28.9,
47045,Nitrogen Dioxide,2020-01-21,33.8,18,31.1,17.3,21.7,26.8,34.2,38.8,23.6,20.4,16.9,7.2,4.7,4.7,5,6.1,6.1,6.8,8.5,10.7,8.1,7.8,15.9,17.7,
47045,Nitrogen Dioxide,2020-01-22,18.7,6.9,7,9.4,13.8,20.8,40.3,38.7,9999,9999,9999,9999,9999,7.2,7.8,9.9,9.4,9.3,8.7,7.9,8.1,9.3,10,11.6,
47045,Nitrogen Dioxide,2020-01-23,11.2,34.6,41,41.7,43.4,40,37.3,25.2,26.7,20.9,16.8,15.2,13.6,12.3,13.5,18.7,19.4,21,21.2,21.8,19.4,28.9,27.7,24.3,
47045,Nitrogen Dioxide,2020-01-24,30,22.1,14.7,11.1,8.8,7.4,6.8,6.6,6.2,5.5,5.4,5,5,4.6,4.7,5.4,6,6.6,6.6,7.1,6.9,5.9,5.4,5.1,
47045,Nitrogen Dioxide,2020-01-25,5.1,4.8,5,5.1,5.7,7.1,7.5,7.6,7.1,6.3,7.2,6.6,6.6,7,12.1,12,10.9,8.9,8.1,10.5,14.4,17.6,8.6,7.5,
47045,Nitrogen Dioxide,2020-01-26,7.7,8.5,8.6,9.1,8.6,8,6.2,7.6,8.2,8.9,7.6,7.9,7,5.7,5.7,6.8,7.4,9.4,7.1,6,6.4,6.4,6.2,3.7,
47045,Nitrogen Dioxide,2020-01-27,2.4,1.9,2.3,2.1,3.3,3.5,4.7,5.4,6.2,5.6,4,3.5,3.7,3.9,3.3,3.2,3.6,4.5,3.8,3.9,3.6,3.1,3.1,3.1,
47045,Nitrogen Dioxide,2020-01-28,2.6,2.7,2.8,2.7,2.3,2.9,4.2,5.3,5.8,4.9,3.4,3.4,2.9,2.9,3.2,3.4,4,3.8,3.4,2.8,2.5,2.9,2.4,2.3,
47045,Nitrogen Dioxide,2020-01-29,2.2,4,2.9,3.8,3.8,5.1,5.7,8.9,8.1,5,3.3,3,3.6,3,3.7,3.4,5.1,7.4,11.4,20.6,32.5,19.3,22.8,29.4,
47045,Nitrogen Dioxide,2020-01-30,33.1,38.6,37.3,35.1,29.9,9.8,20,18.6,14.1,9.2,6,3.5,3.5,4.1,3.1,2.8,3,4.1,3.9,17.4,28.8,35.4,37,37.5,
47045,Nitrogen Dioxide,2020-01-31,37.4,24.7,22.5,16.8,19.7,24.6,24.4,19.4,23.3,19.5,20.3,17.4,15.3,14.4,12.6,10.4,12.6,13.8,12.1,13,19.6,22.5,30.3,29.4,
47045,Nitrogen Dioxide,2020-02-01,17.3,26.1,28.3,23.8,25.2,25.9,23.2,24.6,17.4,13.5,14,13.5,11.5,11,10.8,13.7,12.2,11,12,15.1,15.6,17.1,13.1,9.7,
47045,Nitrogen Dioxide,2020-02-02,10,9.2,10.6,14.5,14.9,14.7,16,14.9,12.1,9.8,7.7,7.7,6.8,7.4,9,10.3,11.4,13.4,14.8,13.9,15,13.3,13.1,11.3,
47045,Nitrogen Dioxide,2020-02-03,9.3,4.6,3.9,3.7,3.7,4.1,5.3,5.8,6,5.4,4.4,4,4.1,3.1,4.2,3.8,4.2,6.9,17.7,37,18.7,21,32.2,21.3,
47045,Nitrogen Dioxide,2020-02-04,14.9,9.5,9.6,7.4,5.9,6.6,6.6,8.5,9.3,6.6,3.9,3.2,3.4,2.8,3.5,3.4,4.8,4.6,3.5,3.4,3,2.2,1.5,1.8,
47045,Nitrogen Dioxide,2020-02-05,1.4,1.2,1.5,1.5,1.9,3.1,3.8,6,4.6,3.1,2.2,2.5,2.1,1.9,1.6,2.2,2.3,2.6,1.6,1.8,5,3.6,2.6,2.5,
47045,Nitrogen Dioxide,2020-02-06,2.3,2.5,2,3.4,4.6,5.5,6.2,6.3,8.3,5.9,3.9,4.1,3.2,1.6,2.9,3.6,3.9,5,4.3,4.4,3.5,3.2,2.9,2.6,
47045,Nitrogen Dioxide,2020-02-07,2.6,2.4,2.9,2.8,3.6,4.5,4.1,6.5,5.4,3.5,3.2,3.2,2.8,2.8,3,2.9,3.4,3.7,4.3,4.1,3.9,3.4,3.8,5.5,
47045,Nitrogen Dioxide,2020-02-08,8.2,7,5.3,6.6,8.8,4.6,8.5,6.3,6.8,2.1,2.3,3.1,3.5,2.8,2.2,2.2,2.1,2.5,3,5,10.3,10.5,12,11.4,
47045,Nitrogen Dioxide,2020-02-09,16.6,29.7,23,19.6,6.7,6.5,9.2,13.9,11.8,12.2,6.1,5.6,7.3,8.5,13,16.4,17.1,15.2,14,16.7,13.2,10,9.1,7.9,
47045,Nitrogen Dioxide,2020-02-10,8.4,8.8,9.3,11.6,13.1,16.2,16.5,10.5,12.2,10,6.7,5.6,5.4,5.1,4.9,5.1,5.2,8.4,21,35.7,37.8,37.1,29.4,14.5,
47045,Nitrogen Dioxide,2020-02-11,9.3,6.6,8.3,9.2,18.9,22.1,12.2,25.4,18.6,9,6.2,5,4.8,4.9,5.6,5.8,5.5,5.9,4.9,5,4.9,4.2,4.5,3.3,
47045,Nitrogen Dioxide,2020-02-12,3.4,3.4,4.2,3.6,3.5,4.6,8.1,9,7.6,6.7,5.6,6.7,6.1,7.3,8.5,8.6,10.6,14.1,10.7,9.5,9.7,9.3,8.9,7.9,
47045,Nitrogen Dioxide,2020-02-13,8.1,8.5,7.1,8.7,8.7,10.7,13.6,17,6.2,5.5,4.9,4.5,3.9,3.4,3.3,3.2,3.4,4,4,4.1,3.4,3,2.3,2.6,
47045,Nitrogen Dioxide,2020-02-14,2.7,3.3,4.2,5.5,8.8,22.9,34.7,31.3,20.3,17.2,11.6,5.9,6,6.4,5.9,9,8.8,7.4,6.4,6.8,6.6,6.3,8.2,7,
47045,Nitrogen Dioxide,2020-02-15,5.6,8,9.3,20.2,23.9,19.1,15.4,20.8,13.7,8.1,5.5,5.9,5,4.7,5.6,6.4,6.7,6.6,7.3,7.1,6.2,5.7,4.9,4.9,
47045,Nitrogen Dioxide,2020-02-16,4.8,4.5,4.3,4.4,4.3,4.5,3.9,4,4.6,4.3,3.9,3.7,3.6,3.5,3.4,3.3,3,3.7,3.5,3.9,4.2,3.3,2.9,3,
47045,Nitrogen Dioxide,2020-02-17,2.4,2.2,2.5,2.5,1.9,2.6,2.8,3.5,3.3,2.7,1.7,2,2,1.5,1.5,1.6,1.8,3.4,5,2.8,8.1,5.5,4.7,2.6,
47045,Nitrogen Dioxide,2020-02-18,2.4,2.2,2.1,1.8,1.6,1.9,2.5,3.3,8.7,11.3,13.2,14.4,8.1,7.3,-999,-999,3.8,3.7,3.1,2.9,2.7,2,2.1,1.9,
47045,Nitrogen Dioxide,2020-02-19,2.2,2,2.1,1.8,1.9,2.4,3,3.4,3.2,3.5,2.6,2.8,2.3,2.7,2.9,3.5,4.8,4.3,4,4.5,4.6,5.2,4.4,3.9,
47045,Nitrogen Dioxide,2020-02-20,2.4,2.3,2.3,4,4.6,5.8,9.9,14.1,7.6,4.2,3.2,2.4,2.9,2.7,2.3,2.8,3.2,6.2,10.9,14.3,8.5,14,11,12.2,
47045,Nitrogen Dioxide,2020-02-21,7.1,9.3,7,8.3,7.6,14,21.4,22.2,18.8,7.9,5.3,4.6,4.6,4.8,5,5.1,6.6,6.4,8.8,10.6,10.8,8.5,9.8,7.5,
47045,Nitrogen Dioxide,2020-02-22,6.4,6,4.9,4.8,5.5,6.5,7.5,9.2,6.6,5,4.9,5.1,4.5,4.7,5,5,5.1,6.2,9.9,27.3,34.4,39.4,38.2,24,
47045,Nitrogen Dioxide,2020-02-23,15.5,13.5,11.3,6.6,8,10.1,10.5,11.5,11.4,5.4,5,5.4,5.9,5.7,5.7,5.8,6.8,6.6,7.1,7.3,6.2,6.7,7.9,5.2,
47045,Nitrogen Dioxide,2020-02-24,5.1,5.6,6.6,10.1,17.2,34.5,32.3,30.3,21.8,16,6.6,5.6,5.9,5.4,5.5,5.2,5.6,9,10.8,7.5,19.5,11.6,17.8,25.2,
47045,Nitrogen Dioxide,2020-02-25,15.4,14.8,25.3,19.8,10.8,5.2,4.7,4,3.4,2.9,2.3,2.6,2.8,2.8,2.8,3.5,5.9,6.8,8.7,9.1,9.5,6.4,4.1,2.6,
47045,Nitrogen Dioxide,2020-02-26,2.3,2.8,2.9,2.8,2.8,3.1,3.4,3.9,3.3,3.3,4.1,3.8,3.9,2.8,2.7,3.9,6.1,7.1,5.5,4.6,4,3.9,3.1,3.2,
47045,Nitrogen Dioxide,2020-02-27,2.7,2.4,2.4,2.2,2.5,3,5,3.9,3.4,3,3.1,2.8,2.8,2.8,2.5,2.4,2.8,2.6,2.4,2.2,2.3,2.1,2,2.6,
47045,Nitrogen Dioxide,2020-02-28,2.8,3.2,3.5,3.7,4.6,3.9,7.4,7.3,12.2,7.6,6,4.1,3.5,3.3,3.1,4.1,4.5,4.6,3.4,3.4,3.6,3.5,3.5,9.3,
