Barrie, (47045) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Nitrogen Oxides,2020-01-01,1.9,1.8,1.9,2,2,1.8,1.9,2.3,2.7,2.2,2.2,2.6,2.7,2.3,2.5,2.4,3.1,4.9,5.3,5.2,5.2,6,7.4,5.4,
47045,Nitrogen Oxides,2020-01-02,5.5,5.8,4.2,4.3,4.6,7.7,9.7,11.2,14.9,11.8,11,9.3,8.3,8.9,9.7,9.3,9.7,9.5,7.1,6.6,6.8,6.4,7.4,6.5,
47045,Nitrogen Oxides,2020-01-03,5.7,6.3,6.2,9.3,9.6,16.2,25.6,22.7,34.6,18.8,15,8.4,7.6,6.7,7.3,6.3,6.7,8.1,6.8,6.3,6.2,4.6,5.4,11.9,
47045,Nitrogen Oxides,2020-01-04,11,4.8,4.2,3.9,3.3,4.5,4.7,8.4,7.6,5.1,5,5.2,4.8,5,4.5,4.2,4.5,6.1,5.7,4.7,3.4,4.1,2.9,2.4,
47045,Nitrogen Oxides,2020-01-05,2.3,2.1,1.9,1.6,1.6,1.6,2.3,3,4.3,3,3.8,3.2,3,2.9,2.9,2.9,6,8,7.5,6.8,5.8,5.2,7.8,7.5,
47045,Nitrogen Oxides,2020-01-06,7.6,7.6,6.5,6.7,8.9,9.4,7,5.7,5,4.9,5.1,5.2,6.9,5.7,5.3,6,5.6,4,4,3.3,4.3,3.7,3,2.9,
47045,Nitrogen Oxides,2020-01-07,2.4,3,3.7,10.6,10.3,13,37.2,33.5,117.3,82.5,19.5,23,15.6,15.3,11.7,13.7,21.4,16,13.9,12.1,10.4,9.5,8.3,8.7,
47045,Nitrogen Oxides,2020-01-08,5.4,5.6,10.3,3.5,3,3.8,4.2,5,5.5,3.4,3.9,3.3,3.4,3.7,3.5,3.8,3.9,3.3,2.7,2.6,3.3,2.9,4.5,4.4,
47045,Nitrogen Oxides,2020-01-09,3.4,4.6,9.2,16.9,15.5,14.8,13.7,15.1,23.3,10,11.7,8.3,6.2,6.1,7.3,6.9,8.5,9,8.5,5.6,7.5,6.9,7.2,8.4,
47045,Nitrogen Oxides,2020-01-10,10.5,9.8,9.2,9.1,6.5,4.8,8.1,11.5,10.6,12.2,11.8,11.2,10,11.4,12.5,16.7,17.5,16.4,17.6,21,22,18,11.1,8.2,
47045,Nitrogen Oxides,2020-01-11,8.2,10.6,16.7,12.7,10,8.8,9.8,9.2,7.8,11.6,8.3,5.2,4.2,4.3,4.2,3.6,4.9,3.9,3.3,3.3,3.4,2.9,2.9,2.5,
47045,Nitrogen Oxides,2020-01-12,2.9,2.1,1.9,1.9,1.8,3.9,4.7,2.6,2.2,3.3,3.2,3.5,3.1,10.3,3.9,6,4.6,4.2,4.9,5.3,7.2,8.2,8.7,9.4,
47045,Nitrogen Oxides,2020-01-13,8.6,4.4,3.7,4.9,9,5.6,4.8,9.8,16,12.9,9.8,5.4,5.9,9.2,10.1,17.8,16.9,20.2,21.1,13.3,7.5,7.7,7.5,6.6,
47045,Nitrogen Oxides,2020-01-14,5.9,7.7,4.2,2.6,3,3.9,11.3,10.1,8.4,6.3,5.6,5.5,5.1,3.6,3.6,4.2,5.1,6.4,6.4,7,6.1,13.3,16.6,9.5,
47045,Nitrogen Oxides,2020-01-15,7.7,9.9,7.5,5.4,4.3,4.7,9.7,24.9,25.7,19.5,12.4,12.7,10.9,11.3,14,12.5,14.8,13.2,7.4,7.6,16.2,21.1,12.9,10.1,
47045,Nitrogen Oxides,2020-01-16,9.8,9.4,9.6,6.2,3.6,5.3,6.4,5.9,6,6.4,9.2,4.4,5.9,3.7,3.5,3.8,14.4,3.4,3.6,2.4,2.5,2.4,2,2.5,
47045,Nitrogen Oxides,2020-01-17,2.2,2.1,2.2,2.9,3.9,6.6,11.5,15.2,16.4,16.5,23.7,12.7,11.2,6.2,5,5.2,8.2,13.7,16.1,26.7,25,20.1,13.7,10.7,
47045,Nitrogen Oxides,2020-01-18,8.6,4.8,7.1,6.4,3.6,2.8,2.9,3.4,2.7,2.9,2.7,2.1,1.9,1.9,2.3,2.4,2.7,3,2.8,3.6,3.5,2.9,3.8,16.5,
47045,Nitrogen Oxides,2020-01-19,11.4,4.7,3.6,2.5,3.3,3.4,3.1,3.3,3.2,3.9,3.5,3.1,3.5,3.2,2.7,3.1,3.3,4.3,4.9,3.7,3.7,2.7,2.7,2.2,
47045,Nitrogen Oxides,2020-01-20,2.2,3,3.2,3.1,4.5,9.8,26,61.9,95.4,55.9,44.5,12.4,10.9,5.9,6.5,5,6.6,7,6.3,6.7,9.1,9,13.2,30.7,
47045,Nitrogen Oxides,2020-01-21,35.4,18.3,33.7,17.4,22.2,28.8,38.2,42.6,26.4,24.2,21,9,6.2,6,6.2,7.2,6.8,7.1,8.7,11,8.7,8,16.8,18.4,
47045,Nitrogen Oxides,2020-01-22,19.4,7.1,7.2,9.8,14.2,22.3,69.7,64.5,9999,9999,9999,9999,9999,9.4,9.5,12.4,10.6,10,9.1,8.3,8.5,9.7,10.5,11.9,
47045,Nitrogen Oxides,2020-01-23,11.4,43.1,67.1,79.3,92.3,72.9,63.1,31.6,42,30.8,24,23.5,19.1,16.6,17.1,23.3,21.2,21.3,21.4,22,20.2,31.4,28.2,24.6,
47045,Nitrogen Oxides,2020-01-24,31.6,22.5,15,11.2,8.9,7.4,6.9,6.8,6.4,6.1,6.2,5.8,5.7,5.2,5.2,5.8,6.2,6.6,6.7,7.1,6.9,5.9,5.5,5.2,
47045,Nitrogen Oxides,2020-01-25,5.2,4.8,5,5.2,5.8,7.2,7.7,7.8,7.3,6.6,7.7,7.3,7.2,7.7,13.5,13,11.2,9,8.2,10.5,14.7,18.4,8.9,7.9,
47045,Nitrogen Oxides,2020-01-26,8,8.8,8.8,9.5,9.2,8.4,6.6,8.4,10.2,12.6,10.5,10.4,9.3,7.3,7.3,8,8.2,10,7.4,6.3,6.6,6.7,6.8,4.3,
47045,Nitrogen Oxides,2020-01-27,2.9,2.1,2.6,2.3,4,3.9,5.8,6.2,7.9,7.6,5.3,4.6,5.2,5.2,4.4,4,4.2,5.1,4.2,4.2,3.8,3.3,3.3,3.2,
47045,Nitrogen Oxides,2020-01-28,2.7,2.8,2.9,2.8,2.4,3.2,4.7,5.6,6.7,5.6,4.1,4.3,3.7,3.7,4,4.1,4.6,4.1,3.7,3,2.7,3.1,2.5,2.4,
47045,Nitrogen Oxides,2020-01-29,2.2,4.1,3,3.9,3.9,5.3,6.1,9.4,10,6.4,4.5,4.2,5,4.1,5,4.2,6,7.8,11.5,21,42.5,20.1,24.7,32.5,
47045,Nitrogen Oxides,2020-01-30,41.5,72.9,62.9,52.8,34.6,10,21.4,20.1,16.3,12,8.9,4.7,4.6,4.8,3.6,3.1,3.2,4.2,3.9,18.4,34.8,54.4,66.6,68.4,
47045,Nitrogen Oxides,2020-01-31,70.2,25.2,22.8,17,20,25.7,25.6,19.9,29,24.1,27,23.4,20.1,18.1,15.4,12.3,13.7,14.4,12.5,13.1,20.1,23.5,34.7,34,
47045,Nitrogen Oxides,2020-02-01,17.8,28.2,34.2,30.4,28,29.6,23.9,27,20.3,17.5,18.4,16.3,14.5,14.4,15,19.2,15.3,11.8,12.7,15.9,16.5,18,13.7,10,
47045,Nitrogen Oxides,2020-02-02,10.3,9.6,11,16.2,16.4,16,16.6,15.3,13,10.8,8.7,9.8,8.7,9.4,11.5,12,12.7,14.1,15.4,14.2,15.3,13.7,14,11.9,
47045,Nitrogen Oxides,2020-02-03,9.8,4.8,4.1,3.8,3.8,4.4,5.8,6.5,6.9,6.3,5.3,4.8,5.2,3.9,5.3,4.6,4.7,7.2,18.5,55.1,19.5,21.7,39.3,23.8,
47045,Nitrogen Oxides,2020-02-04,15.1,9.6,9.6,7.6,6.1,6.8,6.9,9.1,10.4,7.7,4.7,3.9,4.4,3.6,4.5,4.1,5.6,5.1,3.9,3.9,3.5,2.5,1.7,2,
47045,Nitrogen Oxides,2020-02-05,1.5,1.3,1.6,1.6,2.1,3.5,4.3,8.7,5.7,4.1,3,3.3,2.8,2.4,2,2.9,2.6,2.7,1.6,1.8,5,3.7,2.6,2.5,
47045,Nitrogen Oxides,2020-02-06,2.2,2.4,2,3.4,4.7,5.5,6.3,6.4,9.2,6.9,4.5,4.9,4,1.8,3.3,4.1,4.2,5.1,4.4,4.6,3.5,3.3,3,2.7,
47045,Nitrogen Oxides,2020-02-07,2.7,2.4,3,3,3.8,4.8,4.8,10.1,7.5,4.3,4.2,4.4,3.9,3.9,4.2,4,4.2,4.1,4.7,4.4,4.1,3.6,4.1,5.6,
47045,Nitrogen Oxides,2020-02-08,8.4,7.2,5.4,6.6,9,4.8,8.8,6.5,7.9,2.7,3.3,4.7,5.3,4.1,3,2.7,2.4,2.6,3.1,5.1,10.6,10.7,12.2,11.6,
47045,Nitrogen Oxides,2020-02-09,17.1,31.7,23.9,19.9,6.8,6.6,9.3,14.3,13.9,16.1,8.1,7.4,9.6,11.5,16.2,19.4,18.9,15.9,14.6,17.3,13.6,10.3,9.5,8.2,
47045,Nitrogen Oxides,2020-02-10,8.6,9.2,9.5,12,13.5,16.9,19.4,12.8,14.3,12.2,8.2,7,6.5,6.4,6.1,6,5.9,8.8,21.5,53,62.6,49.9,33.9,14.6,
47045,Nitrogen Oxides,2020-02-11,9.4,6.7,8.5,9.3,19.4,24.2,12.7,29.7,21.4,10.5,7.8,6.4,6.2,6,6.9,6.8,6.4,6.6,5.5,5.6,5.5,4.7,5,3.5,
47045,Nitrogen Oxides,2020-02-12,3.7,3.6,4.3,3.8,3.7,4.8,8.6,9.8,8.8,8.3,7.3,9.1,7.8,9.3,10.7,10.1,12.3,16,11.1,9.7,10.1,9.7,9.2,8.1,
47045,Nitrogen Oxides,2020-02-13,8.2,8.7,7.2,8.8,8.8,11.1,14.2,19.3,7.4,6.7,6.3,6.1,5.3,4.6,4.6,4.3,4.5,5,4.6,4.7,3.8,3.5,5.4,3,
47045,Nitrogen Oxides,2020-02-14,2.9,3.7,4.6,5.7,9.1,28.1,58.3,49.4,28.3,30,21.5,10.2,10.3,9.8,8.3,13.1,10.8,8.1,6.8,7.5,7.1,6.8,8.6,7.3,
47045,Nitrogen Oxides,2020-02-15,5.9,8.2,9.4,20.7,25,20,15.7,23.9,18.6,10.1,7.4,8.5,6.8,6,7.1,7.2,7.3,7.1,7.9,7.7,6.6,6,5.1,5.1,
47045,Nitrogen Oxides,2020-02-16,5,4.7,4.5,4.6,4.6,4.7,4.1,4.2,4.9,4.9,4.6,4.3,4.3,4.1,3.9,3.7,3.4,4,3.8,4.4,4.9,3.4,3,3.1,
47045,Nitrogen Oxides,2020-02-17,2.5,2.4,2.6,2.6,2,2.8,3.2,4.1,3.9,3.3,2,2.5,2.6,1.8,1.7,1.8,2,3.6,5.2,2.8,8.3,5.6,4.8,2.6,
47045,Nitrogen Oxides,2020-02-18,2.5,2.3,2.2,1.9,1.7,2,2.6,3.4,9.9,13.3,15.3,17.4,9.3,8.6,-999,-999,4.4,4.2,3.5,3.3,3,2.3,2.3,2.1,
47045,Nitrogen Oxides,2020-02-19,2.4,2.2,2.3,2,2,2.7,3.5,4,3.9,4.4,3.3,3.7,3.1,3.7,3.9,4.3,5.8,5.1,4.7,4.9,4.9,5.6,4.6,4.2,
47045,Nitrogen Oxides,2020-02-20,2.6,2.5,2.5,4.1,4.7,6.2,10.7,15.6,12.1,6.5,5.2,3.4,4.1,4.1,3.2,4,4,7,12.4,15,9.1,14.8,11.7,12.7,
47045,Nitrogen Oxides,2020-02-21,7.4,9.6,7.3,8.7,8.1,14.7,23.7,26.6,25.3,10.3,7.2,6.2,6,6.2,6.3,6.3,7.8,6.9,9.4,11.1,11.2,8.8,10.2,7.8,
47045,Nitrogen Oxides,2020-02-22,6.6,6.3,5,4.9,5.7,6.7,7.7,9.8,7.6,6.3,6.3,6.6,5.6,5.7,6,5.7,5.5,6.5,10.1,29.1,39.4,49.3,54.3,27.1,
47045,Nitrogen Oxides,2020-02-23,16,14.4,11.5,6.7,8.2,10.2,10.7,12.1,13.1,6.3,5.9,6.4,7,6.6,6.4,6.3,7.3,6.9,7.3,7.5,6.4,7,8.3,5.3,
47045,Nitrogen Oxides,2020-02-24,5.2,5.7,6.7,10.2,17.9,42.4,40.2,42.1,30.9,19.6,8,6.6,6.9,6,6.1,5.8,5.9,9.4,11,7.9,42.3,11.7,18.1,25.7,
47045,Nitrogen Oxides,2020-02-25,15.4,15.1,26,20.3,11,5.2,4.7,4.1,3.6,3.3,2.6,3,3.2,3,3,3.8,6.4,7.1,8.9,9.3,9.7,6.5,4.3,2.6,
47045,Nitrogen Oxides,2020-02-26,2.4,2.9,3,2.9,2.9,3.2,3.5,4.1,3.5,3.6,4.6,4.5,4.9,3.4,3.2,4.2,6.6,7.5,5.7,4.8,4.3,4.1,3.2,3.4,
47045,Nitrogen Oxides,2020-02-27,2.9,2.8,3,2.4,2.8,3.7,8.9,4.8,4.5,4.1,4.4,4.1,3.9,4,3.5,3.4,3.7,3.4,2.9,2.7,2.8,2.4,2.3,3,
