Newmarket, (48006) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Newmarket (48006)
Address,Eagle St. W./Mccaffrey Rd.
Latitude,44.044306
Longitude,-79.48325
Elevation, 268 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
48006,Fine Particulate Matter,2020-01-01,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,6,9,9,11,13,13,13,
48006,Fine Particulate Matter,2020-01-02,14,12,11,9,8,8,6,4,4,3,3,3,3,3,3,3,4,5,6,6,7,7,8,9,
48006,Fine Particulate Matter,2020-01-03,9,10,11,12,13,13,13,14,15,16,17,13,9,6,6,5,5,3,3,3,4,4,4,4,
48006,Fine Particulate Matter,2020-01-04,5,5,5,5,4,3,3,3,3,4,5,4,4,3,2,1,2,3,4,5,3,3,2,1,
48006,Fine Particulate Matter,2020-01-05,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,4,6,6,8,7,7,6,
48006,Fine Particulate Matter,2020-01-06,10,11,12,11,9,6,3,1,2,2,2,2,2,3,3,3,5,5,3,3,3,3,3,3,
48006,Fine Particulate Matter,2020-01-07,5,6,6,6,7,7,7,8,8,9,14,14,10,10,10,8,9,11,11,9,9,9,7,6,
48006,Fine Particulate Matter,2020-01-08,7,6,4,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,3,4,3,
48006,Fine Particulate Matter,2020-01-09,4,4,4,5,5,5,5,6,5,4,4,3,3,3,3,3,5,5,6,6,5,4,4,4,
48006,Fine Particulate Matter,2020-01-10,2,3,4,4,3,3,4,5,6,8,6,5,4,4,5,6,7,8,10,14,16,16,13,11,
48006,Fine Particulate Matter,2020-01-11,10,5,3,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,
48006,Fine Particulate Matter,2020-01-12,1,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,3,4,4,5,5,5,5,4,
48006,Fine Particulate Matter,2020-01-13,5,6,9,8,9,8,8,8,6,5,6,8,8,11,14,16,18,20,25,19,17,14,11,10,
48006,Fine Particulate Matter,2020-01-14,9,10,11,9,8,8,10,8,8,12,13,8,9,10,13,14,15,17,16,14,18,14,10,5,
48006,Fine Particulate Matter,2020-01-15,4,5,7,7,5,4,3,3,4,4,4,4,4,3,4,4,4,4,5,5,6,7,7,8,
48006,Fine Particulate Matter,2020-01-16,9,11,9,9,9,2,1,1,1,1,1,1,1,1,1,2,3,3,4,4,3,3,3,2,
48006,Fine Particulate Matter,2020-01-17,3,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,5,7,10,8,7,8,9,
48006,Fine Particulate Matter,2020-01-18,8,9,10,8,5,4,4,4,4,4,4,4,4,4,3,3,2,2,3,3,4,2,1,2,
48006,Fine Particulate Matter,2020-01-19,2,2,2,2,2,2,2,3,7,9,10,8,7,4,3,3,5,5,5,4,4,3,3,2,
48006,Fine Particulate Matter,2020-01-20,3,3,3,3,3,3,3,3,4,5,5,4,3,3,2,1,2,3,3,4,4,4,6,9,
48006,Fine Particulate Matter,2020-01-21,4,3,3,3,2,2,3,3,4,3,3,3,3,3,3,3,3,4,5,7,6,6,9,10,
48006,Fine Particulate Matter,2020-01-22,13,12,11,12,13,13,14,16,19,19,14,12,12,10,8,8,9,10,11,12,13,13,12,12,
48006,Fine Particulate Matter,2020-01-23,13,14,15,16,17,17,17,17,18,19,16,15,13,13,12,17,22,24,20,20,22,20,14,12,
48006,Fine Particulate Matter,2020-01-24,12,12,11,7,5,12,9,9,13,14,12,12,12,11,11,13,16,19,17,13,11,7,6,6,
48006,Fine Particulate Matter,2020-01-25,6,6,6,5,6,7,7,6,5,5,4,6,7,6,5,7,7,10,13,11,8,8,6,6,
48006,Fine Particulate Matter,2020-01-26,8,8,8,9,8,8,10,11,10,6,5,6,6,5,3,3,4,3,2,1,1,1,1,1,
48006,Fine Particulate Matter,2020-01-27,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,3,3,2,2,2,2,2,
48006,Fine Particulate Matter,2020-01-28,3,3,3,4,3,2,1,1,1,2,2,3,3,4,3,3,3,3,4,5,6,4,2,2,
48006,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,4,3,5,7,7,9,11,9,6,
48006,Fine Particulate Matter,2020-01-30,10,12,11,9,10,10,10,9,6,6,4,3,3,3,4,4,5,5,5,5,6,8,10,6,
48006,Fine Particulate Matter,2020-01-31,7,7,8,9,10,11,14,16,16,14,12,10,11,9,8,8,7,7,7,8,8,10,12,12,
48006,Fine Particulate Matter,2020-02-01,14,12,14,15,14,15,14,15,18,24,26,26,22,22,20,19,17,18,18,17,10,10,9,10,
48006,Fine Particulate Matter,2020-02-02,12,14,17,17,15,12,9,8,8,9,12,14,10,5,3,4,6,9,11,12,13,14,10,9,
48006,Fine Particulate Matter,2020-02-03,9,6,7,6,4,3,3,2,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,3,
48006,Fine Particulate Matter,2020-02-04,3,3,4,4,3,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,
48006,Fine Particulate Matter,2020-02-05,1,1,1,1,1,1,1,2,3,3,3,2,2,2,2,2,3,4,4,4,4,3,4,6,
48006,Fine Particulate Matter,2020-02-06,6,5,7,5,5,5,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,2,2,
48006,Fine Particulate Matter,2020-02-07,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,6,4,
48006,Fine Particulate Matter,2020-02-08,3,4,3,3,3,3,3,3,4,4,5,5,4,4,3,3,5,8,10,10,9,7,8,6,
48006,Fine Particulate Matter,2020-02-09,7,7,6,5,5,6,7,7,7,7,9,11,12,14,15,15,16,19,22,22,8,5,3,3,
48006,Fine Particulate Matter,2020-02-10,3,3,3,4,4,5,5,6,8,11,9,7,3,3,3,3,5,6,6,7,9,9,10,8,
48006,Fine Particulate Matter,2020-02-11,7,8,9,10,11,11,11,11,5,4,4,4,5,7,7,7,10,10,11,8,8,8,7,8,
48006,Fine Particulate Matter,2020-02-12,6,5,4,3,4,5,6,7,7,9,11,11,11,11,10,10,10,9,11,12,15,14,14,14,
48006,Fine Particulate Matter,2020-02-13,16,9,7,8,10,11,11,13,13,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,
48006,Fine Particulate Matter,2020-02-14,3,3,3,3,3,3,4,4,4,3,2,2,2,2,3,3,6,11,9,9,10,9,7,7,
48006,Fine Particulate Matter,2020-02-15,8,9,9,9,8,9,9,9,10,9,8,8,8,7,6,6,7,9,10,9,8,8,8,9,
48006,Fine Particulate Matter,2020-02-16,15,20,22,21,16,15,13,10,10,9,9,8,7,7,7,6,7,8,8,5,5,7,4,5,
48006,Fine Particulate Matter,2020-02-17,5,4,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,3,
48006,Fine Particulate Matter,2020-02-18,5,7,6,6,5,4,3,4,8,11,12,16,11,6,4,2,2,2,2,2,2,2,2,2,
48006,Fine Particulate Matter,2020-02-19,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,3,3,4,4,
48006,Fine Particulate Matter,2020-02-20,4,4,4,4,2,2,2,2,3,3,4,4,3,3,2,2,2,2,3,3,4,3,2,2,
48006,Fine Particulate Matter,2020-02-21,2,4,3,4,4,5,6,6,4,4,4,4,4,3,3,4,4,5,7,8,10,10,8,5,
48006,Fine Particulate Matter,2020-02-22,4,4,5,6,6,7,8,8,9,10,10,10,9,10,10,9,10,11,14,13,12,14,15,13,
48006,Fine Particulate Matter,2020-02-23,15,14,14,13,11,10,10,9,9,9,10,10,11,10,10,11,11,11,11,11,10,10,10,9,
48006,Fine Particulate Matter,2020-02-24,9,9,11,12,12,13,15,16,16,14,14,13,12,11,9,7,8,7,7,7,5,5,5,3,
48006,Fine Particulate Matter,2020-02-25,4,4,4,5,5,4,5,5,5,6,5,5,5,6,5,6,8,9,10,7,7,6,8,6,
48006,Fine Particulate Matter,2020-02-26,5,5,5,5,4,4,4,4,5,6,7,6,6,5,5,5,7,7,8,7,6,5,5,4,
48006,Fine Particulate Matter,2020-02-27,4,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,3,4,4,3,3,3,3,3,
