Parry Sound, (49005) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Parry Sound (49005)
Address,7 Bay St.
Latitude,45.338261
Longitude,-80.039269
Elevation, 176 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
49005,Nitrogen Dioxide,2020-01-01,1.2,1.2,1.2,1.5,1.7,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.6,0.7,1,1,1.4,1.4,1.5,
49005,Nitrogen Dioxide,2020-01-02,2.1,2.3,2.6,3,3.7,3.4,4.5,4.3,3.4,3.9,3.1,3,3.2,3.1,3.1,3.6,3.4,3.7,3.9,4.2,4.5,4.7,4.1,3.5,
49005,Nitrogen Dioxide,2020-01-03,3.1,3.4,3.2,3,2.8,2.7,2.5,2.2,2.2,1.6,1.4,1.6,2.6,1.2,1,0.9,0.8,0.7,0.9,0.9,0.7,0.8,1.4,3.2,
49005,Nitrogen Dioxide,2020-01-04,2.8,2.8,3.2,5.1,2.9,2.1,2.8,3.9,2.9,2.8,1.9,1.7,1.3,0.9,1.1,1.9,1.5,1,1.8,1.1,1.7,1.1,0.7,0.6,
49005,Nitrogen Dioxide,2020-01-05,0.4,0.9,0.6,0.8,0.4,0.6,0.7,2,2.1,1.2,1.3,0.9,0.7,0.7,0.8,1.2,2.1,1.7,2.6,1.4,2.5,1.2,1.1,1.1,
49005,Nitrogen Dioxide,2020-01-06,1.2,2,2.4,9999,2.3,1.8,1.1,0.7,0.6,0.5,0.5,0.5,0.4,0.7,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,
49005,Nitrogen Dioxide,2020-01-07,0.3,0.4,0.3,2.3,2.3,19.3,13.4,6.4,4.4,2.4,2,1.6,1.8,2.3,2.7,3.5,3.6,3.5,4.2,3.5,1.4,1.5,1,0.8,
49005,Nitrogen Dioxide,2020-01-08,0.7,0.8,0.7,0.6,0.5,4.7,0.7,1.1,1.3,0.9,1,1,1.1,1.2,0.7,1,1.2,1.3,1.4,2.2,1.4,2.6,3.3,4.5,
49005,Nitrogen Dioxide,2020-01-09,12.2,9999,8.3,9999,3.9,3.4,2.8,5,4.5,1.5,1.6,1.9,1.6,0.9,1.1,1.5,1.5,1.4,1.4,1.2,1.5,1.4,1.6,2,
49005,Nitrogen Dioxide,2020-01-10,2.4,2.8,3.3,3.3,2.8,2.4,2.2,2.2,2.5,2.6,2.3,2.3,2.5,2.7,2.8,2.5,2.9,3.1,4.1,5.3,9.6,8.9,18.3,10.2,
49005,Nitrogen Dioxide,2020-01-11,4.9,5.7,5,3.8,5.5,5.6,5.4,3.7,2.5,2.1,1.5,1.6,1.7,2,1.6,1.8,1.7,1.4,1.1,1.4,1,0.9,1.1,0.9,
49005,Nitrogen Dioxide,2020-01-12,0.8,1.3,1.1,1.3,1.2,5.3,1.9,1.7,1.6,1.5,1.5,1.4,1.8,1.4,1.1,2.4,2.3,4.8,4.1,3.2,4.2,4.4,2.4,5.4,
49005,Nitrogen Dioxide,2020-01-13,5.6,4.5,4.3,9999,3.4,3.2,6.2,6.5,6.9,4.6,4.1,3.5,3.2,3.5,2.9,3.5,3.7,8.6,8,5.3,4.5,7.9,7.1,9.8,
49005,Nitrogen Dioxide,2020-01-14,11.9,16,11.7,7.3,7.2,4.4,1.6,5.2,2,3.5,3.7,2.9,2.7,2.2,1.9,1.9,2.2,2.1,2,2.3,2.7,3.1,3,2.7,
49005,Nitrogen Dioxide,2020-01-15,2.6,2,1.7,1.4,1.3,1.4,1.1,1,2.2,3.8,1.6,1.4,1.3,1.3,1.4,1.1,1.2,6,10.2,12.7,11.5,9.7,4.3,2.2,
49005,Nitrogen Dioxide,2020-01-16,2.2,3.1,1.3,1.1,0.4,3,1.7,2.4,2.4,1.6,1.4,1.6,1.3,1,2.5,0.9,1.1,1.1,0.9,0.8,1.4,0.9,0.7,0.7,
49005,Nitrogen Dioxide,2020-01-17,1.9,4,4.2,3.9,2.8,5.7,6.6,22.4,24.7,19,6.6,1.6,1.6,1.2,0.9,1.7,3.6,5.9,9.9,15.2,13.8,7.6,7,7.4,
49005,Nitrogen Dioxide,2020-01-18,3.3,7.6,2.6,2.5,4.3,4.4,3.4,1.7,1.3,1.1,1.3,1.4,1.3,0.9,0.9,2.6,2.4,3.1,1.3,1.9,3.5,3.8,2.9,2.5,
49005,Nitrogen Dioxide,2020-01-19,3.1,2.7,3.6,3.9,2.7,1.4,1.1,4.7,0.7,1,1.2,1.3,1.3,1.6,1.2,1.8,1.6,2.1,2.7,2.2,1.9,1.7,2.5,1.8,
49005,Nitrogen Dioxide,2020-01-20,2.6,5.2,4.7,9999,2.8,8.8,9.9,28.3,28.4,29.4,20.5,5.5,1.4,0.7,0.6,0.5,0.5,0.6,2.9,16,24.4,33.7,31.5,30,
49005,Nitrogen Dioxide,2020-01-21,36.7,29.3,23.9,23.7,20.9,19.2,20.1,14.5,7.5,9999,9999,9999,9999,9999,0.7,0.8,0.9,1,1.2,1.4,1.5,1.7,1.8,1.9,
49005,Nitrogen Dioxide,2020-01-22,1.8,1.6,1.7,2.1,2.4,2.3,2.3,2.4,2.5,3.1,3.2,3.4,3.4,3.5,3.7,3.7,3.6,3.3,3,2.9,3.3,3.6,4.8,5.2,
49005,Nitrogen Dioxide,2020-01-23,5.5,5.5,5.3,5.1,4.8,4.6,5.1,5.4,4.3,4.3,4.5,4.6,4.6,5,9999,6.5,8.1,10.3,16.4,15.2,13.3,5.9,6.8,7.4,
49005,Nitrogen Dioxide,2020-01-24,6.4,9.9,8.7,6.6,6.3,5,4,6.8,4.6,4.6,3.6,3.2,3.1,2.9,3.4,3.9,3.8,2.6,2.9,3.8,3.8,4.3,4.4,4.6,
49005,Nitrogen Dioxide,2020-01-25,3.6,5.2,3.5,3.2,3.5,3.9,4.2,4.3,4.5,3.6,3.1,2.7,3,3.3,3.6,3.9,3.8,3.3,2.8,2.5,2.4,2.6,2.6,2,
49005,Nitrogen Dioxide,2020-01-26,2,1.8,1.5,1.7,2,2.5,2.5,1.6,1.2,1.1,1,0.9,0.8,0.8,0.8,0.9,0.8,0.6,0.6,0.5,0.6,0.6,0.8,0.9,
49005,Nitrogen Dioxide,2020-01-27,1,0.8,0.7,9999,0.7,0.9,0.8,1.8,2.4,1.6,1.2,1.2,0.8,0.7,0.7,0.7,0.7,1.6,0.8,0.8,0.6,0.8,0.7,0.9,
49005,Nitrogen Dioxide,2020-01-28,0.4,1,0.8,0.5,0.6,0.5,0.9,1.9,2.3,1.1,0.8,0.7,0.7,0.8,0.8,1.4,2,1.3,1.5,1.9,1.7,1,0.9,1.2,
49005,Nitrogen Dioxide,2020-01-29,1.2,1.8,1,1.1,1,1.2,1.9,2.1,1.9,1.4,1.2,0.9,1,1.1,0.7,0.5,0.4,0.7,8.9,12.9,16,13.6,12.4,15.1,
49005,Nitrogen Dioxide,2020-01-30,7.3,9.6,2.9,2.5,5,4.9,1.8,2.1,1.6,1.6,1.1,1.4,1.3,1.3,1.5,1.6,1.7,1.8,11.7,25.1,25,18.6,10.4,5.9,
49005,Nitrogen Dioxide,2020-01-31,9.1,9.7,5,4.4,3.3,3,3.8,8.6,5,4.6,5.2,5.4,4.6,6.2,6.4,5.8,7.5,6.8,6,5.2,4.5,3.3,2.5,2.1,
49005,Nitrogen Dioxide,2020-02-01,2.3,2.1,2.2,2.3,2.3,2.4,2.5,2.8,2.9,3,3,3,3.1,3.1,3.4,3.5,3.4,3.2,3.5,3.4,3.6,3.9,4,4,
49005,Nitrogen Dioxide,2020-02-02,4.1,3.9,3.5,17.8,9.6,4.6,4,4.3,4.4,2.3,2.1,2.3,2.2,2.1,2.3,2.2,2.6,4.1,9,5.9,4.3,10.7,6.7,3.6,
49005,Nitrogen Dioxide,2020-02-03,3.2,2.3,2.1,9999,2,1.7,1.5,1.4,1.4,1.2,1.4,1.3,1.4,1.3,1.2,1,1,1.6,2.5,2.1,5.4,17.5,7.8,4.2,
49005,Nitrogen Dioxide,2020-02-04,7.7,10.9,10.9,11,7.8,6.6,4.8,2.2,1.2,0.9,9999,9999,9999,0.8,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.3,
49005,Nitrogen Dioxide,2020-02-05,0.3,0.5,1.7,0.8,0.6,1.1,5.4,7.8,15.3,3.5,4.1,1.8,1.3,0.3,0,9999,0.5,1,1.4,0.8,2.1,7.1,8.3,4.8,
49005,Nitrogen Dioxide,2020-02-06,4.2,2.6,2.7,2,1.6,2.8,3.5,6.1,4.5,3.4,3.3,2,1.7,1.8,1.7,1.8,2.1,2.3,2.1,3,2.6,2.4,2,1.9,
